type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
energy and utilities,energy_infrastructure,US49456B1017,KINDER MORGAN INC,1,"Opera una vasta red de oleoductos y terminales para gas natural, petróleo crudo, productos refinados y CO2, desempeñando un papel fundamental en el transporte y almacenamiento de recursos energéticos en América del Norte.","Las operaciones de Kinder Morgan están profundamente entrelazadas con el tema de la Infraestructura Energética, como lo demuestra su propiedad y operación de activos estables basados en tarifas explícitamente identificados como centrales para este sector. Esto se ve respaldado además por sus inversiones estratégicas, incluida la adquisición de un sistema de recolección y procesamiento de gas natural de Outrigger Energy por $640 millones, y los proyectos de expansión planificados por $2.3 mil millones para 2025. El enfoque de la empresa en expandir las capacidades de transporte y almacenamiento dentro de su red de gasoductos de gas natural, junto con sus extensas redes de gasoductos, instalaciones de procesamiento y sistemas de almacenamiento, subraya la centralidad de la infraestructura energética en su modelo de negocio y estrategia de crecimiento.","[{'name': 'kmi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kmi-FY24-10-K.html'}, {'name': 'kmi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kmi-Q225-10-Q.html'}]",83975037,USD,KMI,SMART,STK,True,EU_EN1
energy and utilities,energy_infrastructure,US65339F1012,NEXTERA ENERGY INC,2,"Gestiona y desarrolla una amplia gama de infraestructura energética crítica, abarcando importantes inversiones en redes de generación, transmisión y distribución de electricidad, esenciales para energizar comunidades e industrias.","El compromiso de NextEra Energy (NEE) con el tema de la Infraestructura Energética se demuestra a través de las actividades de sus filiales y significativas inversiones. FPL planea invertir casi 50.000 millones de dólares entre 2025 y 2029, añadiendo más de 25 gigavatios de nueva generación y almacenamiento de baterías para 2034, y está estratégicamente posicionada para satisfacer el crecimiento a largo plazo de Florida invirtiendo en infraestructura de generación, transmisión y distribución. Además, las filiales de NEE emiten garantías relacionadas con instalaciones de generación de energía y un proyecto de gasoducto, al tiempo que requieren fondos para apoyar y hacer crecer sus negocios a través de gastos de capital e inversiones.","[{'name': 'nee-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nee-FY24-10-K.html'}]",75960201,USD,NEE,SMART,STK,True,EU_EN1
energy and utilities,energy_infrastructure,US74762E1029,QUANTA SERVICES INC,3,"Proporciona soluciones integrales de infraestructura para las industrias de energía eléctrica y oleoductos, incluidos servicios de ingeniería, adquisición, construcción y mantenimiento esenciales para el desarrollo y sostenimiento de redes energéticas.","Quanta Services está significativamente involucrada en la infraestructura energética, particularmente en la transmisión de alto voltaje, y considera la expansión actual como potencialmente la mayor inversión en una generación. La compañía está posicionada en el centro de la transformación energética y de infraestructura, con un enfoque en redes eléctricas resilientes, generación de energía y expansión tecnológica. Esto se ve respaldado aún más por la alta demanda de infraestructura de transmisión, subestaciones y distribución nueva y ampliada necesaria para transportar energía de manera confiable, así como por su participación en programas de modernización y confiabilidad de la red.","[{'name': 'pwr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q125-10-Q.html'}, {'name': 'pwr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q225-10-Q.html'}]",6608432,USD,PWR,SMART,STK,True,EU_EN1
energy and utilities,energy_infrastructure,US2937921078,ENTERPRISE PRODUCTS PARTNERS,4,"Opera una extensa red de oleoductos, instalaciones de almacenamiento y plantas de procesamiento cruciales para el transporte, procesamiento y exportación de gas natural, petróleo crudo y productos refinados en toda América del Norte.","Las operaciones de Enterprise Products Partners están profundamente arraigadas en la infraestructura energética, como lo demuestra su red de activos energéticos de midstream totalmente integrados, que incluye oleoductos, plantas de procesamiento, sistemas de almacenamiento y terminales marítimas. Sus operaciones de midstream abarcan la recolección, el tratamiento, el procesamiento, el transporte y el almacenamiento de gas natural, así como el transporte, la fraccionamiento, el almacenamiento y las terminales marítimas de líquidos de gas natural (LGN) y petróleo crudo. La empresa también está expandiendo su capacidad para recolectar, procesar, transportar, mejorar, distribuir y exportar hidrocarburos, con importantes inversiones de capital en proyectos de crecimiento y nuevas plantas de procesamiento de gas.","[{'name': 'epd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/epd-Q125-10-Q.html'}]",6607910,USD,EPD,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,BMG162521014,BROOKFIELD INFRASTRUCTURE PA,5,"Gestiona y opera una cartera diversificada de activos de infraestructura energética críticos, que incluyen oleoductos, almacenamiento y sistemas de transmisión, esenciales para la cadena de suministro energético mundial.","La participación de BIP en el tema de Infraestructura Energética se ve subrayada por la adquisición de Colonial Enterprises, que opera el sistema de oleoductos de productos refinados más grande de los Estados Unidos, considerado un componente crítico de la economía estadounidense. La empresa considera esta adquisición como una rara oportunidad de invertir en infraestructura energética de alta calidad, alineándose con su estrategia más amplia con respecto a la desglobalización y el flujo cambiante de moléculas y productos básicos. Además, BIP se beneficia de las tendencias de crecimiento en la industria energética de Canadá a través de sus negocios midstream canadienses, con activos estratégicamente ubicados cerca de abundantes cuencas de recursos y participación en proyectos como LNG Canada. La empresa también ve oportunidades de inversión en infraestructura energética relacionadas con la relocalización de la manufactura y la diversificación de las fuentes de energía.",,48085842,USD,BIP,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,US8168511090,SEMPRA,6,"Desarrolla, construye y opera infraestructura energética crítica, incluyendo sistemas de transmisión y distribución de electricidad y gas natural, y plantas de gas natural licuado (GNL), para suministrar energía a millones de clientes.","La participación de Sempra en el tema de Infraestructura Energética es evidente a través de sus inversiones estratégicas y su enfoque operativo. El negocio principal de la empresa gira en torno a la inversión, el desarrollo y la operación de infraestructura energética, brindando servicios eléctricos y de gas a clientes en toda América del Norte. Sempra planea invertir aproximadamente $13 mil millones en infraestructura energética este año, con más de $10 mil millones dirigidos a servicios públicos de EE. UU., y está activamente involucrada en varios proyectos, incluida la licuefacción de gas natural, proyectos de oleoductos y terminales, y proyectos de generación de energía renovable y secuestro. Además, las subsidiarias de Sempra, como SDG&E y SoCalGas, contribuyen a los servicios de electricidad y gas natural, reforzando el compromiso de la empresa de construir infraestructura crítica que respalde el crecimiento económico.","[{'name': 'sre-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q324-10-Q.html'}, {'name': 'sre-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q125-10-Q.html'}, {'name': 'sre-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sre-FY24-10-K.html'}, {'name': 'sre-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q225-10-Q.html'}]",11020,USD,SRE,SMART,STK,True,EU_EN1
energy and utilities,energy_infrastructure,US29273V1008,ENERGY TRANSFER LP,7,"Opera una extensa cartera de activos de infraestructura energética, que incluyen gas natural, petróleo crudo y oleoductos de productos refinados, instalaciones de almacenamiento y procesamiento, críticos para el transporte y la distribución de productos energéticos.","El compromiso de Energy Transfer con el tema de Infraestructura Energética es evidente en sus operaciones comerciales principales, que dependen en gran medida de una extensa infraestructura para el transporte y almacenamiento de gas natural, petróleo crudo y líquidos del gas natural (LGN), incluidas tuberías, instalaciones de almacenamiento y plantas de procesamiento. Las actividades principales de la empresa se centran en las operaciones de gas natural, abarcando el transporte y almacenamiento intermedio e interestatal, el transporte y almacenamiento de gas natural interestatal, así como el transporte de petróleo crudo, LGN y productos refinados, servicios de terminales y servicios de almacenamiento y fraccionamiento de LGN. Además, Energy Transfer tiene como objetivo aumentar el flujo de caja distribuible expandiendo los negocios de gas natural y líquidos de sus subsidiarias a través de proyectos de construcción y expansión relacionados con su infraestructura existente.","[{'name': 'et-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/et-FY24-10-K.html'}, {'name': 'et-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/et-Q225-10-Q.html'}]",37830920,USD,ET,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,ES0144580Y14,IBERDROLA SA.,8,"Impulsa el desarrollo y la modernización de la infraestructura energética a través de importantes inversiones en activos de generación renovable, líneas de transmisión y redes de distribución inteligentes a nivel mundial.",,,46586284,EUR,IBE,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,CA29250N1050,ENBRIDGE INC,9,Implica el desarrollo y la operación de extensas redes de oleoductos y otras instalaciones cruciales para el transporte y la distribución de energía.,"La participación de Enbridge en el tema de Infraestructura Energética se demuestra a través de sus inversiones en gasoductos y oleoductos, proyectos de transmisión y generación de energía renovable, así como su enfoque en mantener la solidez financiera para respaldar estos proyectos de capital. El segmento de Transmisión de Gas de la compañía experimentó mayores contribuciones debido a la contratación favorable en los activos de Transmisión de Gas de EE. UU. y al aumento de los ingresos atribuibles a las liquidaciones de casos tarifarios. Además, Enbridge se enfoca en extender la vida útil de sus activos y mejorar la confiabilidad y la eficiencia, impulsado por las demandas del sistema y proyectos como la Expansión T-North.","[{'name': 'enb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enb-Q125-10-Q.html'}]",5082726,CAD,ENB,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,DE0007236101,SIEMENS AG-REG,10,"Contribuye significativamente a la infraestructura energética global a través de su completa cartera de tecnologías y servicios para la generación, transmisión y distribución de energía.",,,14217,EUR,SIE,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,IT0003128367,ENEL SPA,11,Participa en el desarrollo y operación de Infraestructura Energética.,,,29816333,EUR,ENEL,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,US16411R2085,CHENIERE ENERGY INC,12,Desempeña un papel fundamental en la infraestructura energética global a través del desarrollo y la operación de terminales de gas natural licuado (GNL) e instalaciones relacionadas para el procesamiento y la exportación de gas natural.,"Cheniere Energy se identifica como una empresa de infraestructura energética fuertemente involucrada en actividades relacionadas con el GNL. La empresa posee y opera instalaciones de licuefacción y exportación de gas natural en Sabine Pass, Luisiana, y cerca de Corpus Christi, Texas, junto con gasoductos y almacenamiento asociados. Además, están expandiendo la Terminal de GNL de Corpus Christi y poseen posiciones de tierra significativas para la posible expansión de la capacidad de licuefacción, lo que demuestra un fuerte enfoque en la infraestructura energética.","[{'name': 'lng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lng-Q225-10-Q.html'}, {'name': 'lng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lng-FY24-10-K.html'}]",4728003,USD,LNG,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,US36828A1016,GE VERNOVA INC,13,"Se enfoca en electrificar y descarbonizar la economía global proporcionando tecnologías y servicios esenciales para la generación de energía, la modernización de la red y la integración de energías renovables, fortaleciendo así la infraestructura energética en todo el mundo.","GE Vernova está estratégicamente posicionada para capitalizar la creciente demanda de infraestructura energética, particularmente infraestructura de red y soluciones de descarbonización, impulsada por la electrificación acelerada en diversos sectores. La empresa está realizando inversiones sustanciales en su negocio, incluido un compromiso significativo con I+D y CapEx, para satisfacer la creciente necesidad de soluciones de electrificación y descarbonización. Esto incluye inversiones en centrales eléctricas, líneas de transmisión y equipos de estabilización de red como condensadores síncronos, para los cuales la empresa ve una oportunidad de mercado sustancial. El enfoque de GE Vernova se extiende a la fabricación esbelta, la expansión de márgenes y el crecimiento de la cartera en sus segmentos de Energía, Eólica y Electrificación, lo que destaca la importancia estratégica de la infraestructura energética para la estrategia de crecimiento general de la empresa.",,691984365,USD,GEV,SMART,STK,True,EU_EN1
energy and utilities,energy_infrastructure,US55336V1008,MPLX LP,14,"Posee y opera una cartera diversificada de activos de infraestructura energética de midstream, que incluyen oleoductos, plantas de procesamiento e instalaciones de almacenamiento, fundamentales para el transporte y la distribución de petróleo crudo, productos refinados y gas natural.","El compromiso de MPLX con el tema de Infraestructura Energética es sustancial, ya que la empresa posee y opera una amplia gama de activos de infraestructura y logística de energía de transmisión. Esto incluye una red de oleoductos de crudo y productos refinados, operaciones marinas interiores, terminales, cavernas de almacenamiento y plantas de procesamiento y fraccionamiento de gas natural y líquidos de gas natural (LGN). Además, MPLX está expandiendo activamente su negocio principal mediante la construcción de plantas de procesamiento y la optimización de las cadenas de valor, con una parte significativa de su capital de crecimiento asignada a oportunidades dentro del segmento de servicios de gas natural y LGN, lo que demuestra un claro enfoque estratégico en la mejora de sus capacidades de infraestructura energética.","[{'name': 'mplx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mplx-FY24-10-K.html'}, {'name': 'mplx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mplx-Q225-10-Q.html'}]",116339790,USD,MPLX,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,US56585A1025,MARATHON PETROLEUM CORP,15,"Desarrolla y mantiene infraestructura energética crítica, incluidas tuberías, terminales e instalaciones de almacenamiento, esenciales para el transporte y la distribución de petróleo crudo y productos refinados.","La participación de Marathon Petroleum en el tema de Infraestructura Energética es evidente a través de sus significativas operaciones midstream, administradas principalmente por MPLX. Estas operaciones abarcan la recolección, el transporte, el almacenamiento y la distribución de petróleo crudo, productos refinados y líquidos de gas natural a través de extensos oleoductos, terminales e instalaciones de almacenamiento. Esto está respaldado además por inversiones estratégicas, como la adquisición de los negocios de recolección de Whiptail Midstream y el desarrollo de proyectos de oleoductos que conectan cuencas clave con mercados de fraccionamiento y exportación, incluida la cuenca de Utica y el Oleoducto Río Bravo. La empresa también hace referencia a inversiones en plantas de procesamiento de gas y proyectos de recolección, incluido BANGL, LLC, un sistema de oleoductos de líquidos de gas natural, e instalaciones relacionadas con el procesamiento, fraccionamiento y tratamiento.","[{'name': 'mpc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mpc-Q324-10-Q.html'}, {'name': 'mpc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mpc-Q225-10-Q.html'}]",89495776,USD,MPC,SMART,STK,True,EU_EN1
energy and utilities,energy_infrastructure,US26441C2044,DUKE ENERGY CORP,16,"Opera y mantiene una red integral de activos de generación, transmisión y distribución, formando infraestructura energética esencial para la entrega de electricidad.","El compromiso de Duke Energy con la Infraestructura Energética es evidente en sus continuos esfuerzos por mejorar y expandir sus sistemas. La compañía está llevando a cabo una construcción de infraestructura de una década, invirtiendo miles de millones en mejoras de la red, unidades de gas natural, nucleares e hidroeléctricas, incluida una asociación estratégica con GE Venova para asegurar turbinas de gas natural. Estas inversiones tienen como objetivo satisfacer la creciente demanda, reemplazar la infraestructura obsoleta y mejorar la confiabilidad de sus sistemas de distribución eléctrica y de gas natural, especialmente a raíz de los daños relacionados con tormentas que requieren importantes esfuerzos de restauración y reconstrucción.","[{'name': 'duk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/duk-Q324-10-Q.html'}]",110176011,USD,DUK,SMART,STK,True,EU_EN1
energy and utilities,energy_infrastructure,US6826801036,ONEOK INC,17,"Opera una extensa red de oleoductos de gas natural y líquidos de gas natural, plantas de procesamiento e instalaciones de almacenamiento, proporcionando infraestructura de transmisión crítica para el transporte y la entrega de energía.","Las operaciones de ONEOK están fuertemente involucradas en la infraestructura energética, con una parte significativa de sus ganancias basada en tarifas. Esto está respaldado por su participación en la recolección y procesamiento de gas natural, líquidos del gas natural (LGN), gasoductos de gas natural, productos refinados y crudo, así como su propiedad de gasoductos, plantas de procesamiento, instalaciones de fraccionamiento y almacenamiento. La compañía también está realizando inversiones de capital en infraestructura energética, incluyendo gasoductos, plantas de procesamiento y terminales de exportación, con gastos de capital totales de 629 millones de dólares para los tres meses finalizados el 31 de marzo de 2025. Si bien ONEOK se deshizo de algunos activos de gasoductos, todavía está invirtiendo en nueva infraestructura, como la terminal de exportación Texas City Logistics y el gasoducto MBTC.","[{'name': 'oke-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oke-Q125-10-Q.html'}]",10794,USD,OKE,SMART,STK,True,EU_EN1
energy and utilities,energy_infrastructure,US08265T2087,BENTLEY SYSTEMS INC-CLASS B,18,"Ofrece soluciones de software integrales que facilitan el diseño, la construcción y la gestión operativa de diversas formas de infraestructura energética.","La participación de la empresa en el tema de Infraestructura Energética es evidente a través de su plataforma de Sistemas de Líneas Eléctricas, que es crucial para las inversiones físicas en la red de transmisión y distribución eléctrica. La empresa reconoce una fuerte inversión en infraestructura energética junto con la infraestructura de transporte y agua. Además, la empresa está bien posicionada para beneficiarse de los desarrollos en transmisión, ya que la estrategia de IA de EE. UU. enfatiza la inversión en infraestructura para centros de datos y conexiones a la red eléctrica.",,446864692,USD,BSY,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,US7265031051,PLAINS ALL AMER PIPELINE LP,19,"Opera extensas redes de oleoductos y gasoductos, así como instalaciones de almacenamiento de petróleo crudo y gas natural, proporcionando servicios intermedios críticos que sustentan la infraestructura energética en toda América del Norte.","El negocio de Plains All American Pipeline (PAA) depende en gran medida de la infraestructura energética, ya que posee y opera sistemas críticos de infraestructura de transporte intermedio, que incluyen activos de transporte por ductos, almacenamiento y terminales en importantes cuencas productoras de petróleo crudo y líquidos de gas natural (LGN). El modelo de negocio de la empresa integra la agregación de suministros a gran escala con la propiedad y operación de infraestructura de transporte intermedio que conecta las principales regiones productoras con los centros de demanda clave y las terminales de exportación. Además, el compromiso de PAA se demuestra a través de inversiones en ductos y proyectos de infraestructura, como el PuenteTex Pipeline, las expansiones de terminales de Permian y las conexiones de arrendamiento, lo que solidifica su papel como un proveedor de infraestructura vital que satisface la creciente necesidad de energía confiable en los mercados globales.","[{'name': 'paa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/paa-Q225-10-Q.html'}, {'name': 'paa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/paa-FY24-10-K.html'}]",6608417,USD,PAA,SMART,STK,False,EU_EN1
energy and utilities,energy_infrastructure,DK0060094928,ORSTED A/S,20,"Impulsa la expansión y modernización de la infraestructura energética global a través de importantes inversiones en parques eólicos marinos, redes eléctricas y soluciones de energía sostenible.",,,242060078,DKK,ORSTED,SMART,STK,False,EU_EN1
