industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
energy and utilities,energy_investments,US30231G1022,EXXON MOBIL CORP,1,"Impulsa el sector energético global a través de un importante despliegue de capital e inversiones estratégicas en exploración, producción y desarrollo de infraestructura de recursos, dando forma así al futuro suministro de energía.","La empresa está asignando capital hacia el crecimiento rentable y el fortalecimiento de su poder de obtención de beneficios invirtiendo tanto en negocios existentes como nuevos. Esto se refleja en sus prioridades de asignación de capital sin cambios, que se centran en invertir en crecimiento rentable para generar fuertes flujos de efectivo. Se proyecta que el CapEx total en efectivo de la empresa crezca a entre 28 mil millones y 33 mil millones de dólares por año hasta 2030.",13977,USD,XOM,SMART,STK,True,,EN2
energy and utilities,energy_investments,US1667641005,CHEVRON CORP,2,"Realiza importantes asignaciones de capital para la exploración, desarrollo y producción de diversos recursos energéticos a nivel mundial.",,5684,USD,CVX,SMART,STK,True,,EN2
energy and utilities,energy_investments,US20825C1045,CONOCOPHILLIPS,3,"Participa activamente en importantes inversiones globales en la exploración, desarrollo y producción de petróleo y gas natural, impulsando el despliegue de capital y recursos dentro del sector energético.","ConocoPhillips demuestra un fuerte compromiso con las inversiones en energía a través de importantes planes de gastos de capital e inversiones estratégicas en varios proyectos. La empresa asignó $8.8 mil millones en gastos de capital e inversiones en los primeros nueve meses de 2024, incluidas inversiones en proyectos de GNL y adquisiciones de participaciones operativas en Alaska. Para 2025, ConocoPhillips planea asignar $12.9 mil millones en CapEx para lograr un crecimiento de la producción de un solo dígito bajo, con aproximadamente $3 mil millones destinados a proyectos de ciclo largo. Estas inversiones, junto con una estrategia para devolver capital sustancial a los accionistas, resaltan el enfoque de la empresa en las inversiones en energía como una prioridad principal.",10885,USD,COP,SMART,STK,True,"[{'name': 'cop-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q324-10-Q.html'}]",EN2
energy and utilities,energy_investments,US7185461040,PHILLIPS 66,4,Impulsa una asignación sustancial de capital y desarrollo estratégico dentro del sector de inversiones energéticas.,,105669270,USD,PSX,SMART,STK,True,,EN2
energy and utilities,energy_investments,US65339F1012,NEXTERA ENERGY INC,5,"Realiza importantes inversiones de capital en proyectos de infraestructura energética a gran escala, particularmente en energías renovables, impulsando el crecimiento y el desarrollo dentro del sector.","El compromiso de NextEra Energy con las Inversiones Energéticas es evidente a través de los sustanciales gastos de capital de FPL, que fueron de aproximadamente $2 mil millones para el trimestre y se espera que estén entre $8 mil millones y $8.8 mil millones para el año completo. Estas inversiones respaldan la expansión y mejora del sistema eléctrico y las instalaciones de generación de FPL, garantizando un servicio confiable y satisfaciendo las demandas de electricidad de los clientes, así como financiando las inversiones de NEER en energía independiente y otros proyectos. Además, NextEra Energy ha realizado importantes compromisos financieros para comenzar la construcción de proyectos renovables suficientes para cubrir los proyectos planificados hasta 2029, y FPL continúa invirtiendo en infraestructura para mantener la confiabilidad y mantener las facturas bajas.",75960201,USD,NEE,SMART,STK,True,"[{'name': 'nee-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nee-Q125-10-Q.html'}]",EN2
energy and utilities,energy_investments,GB0007980591,BP PLC,6,"Impulsa una asignación de capital significativa y un desarrollo estratégico en un amplio espectro de proyectos energéticos globales, influyendo en los flujos de inversión y dando forma al futuro del sector energético.",,228891,GBP,BP.,SMART,STK,False,,EN2
energy and utilities,energy_investments,ES0173516115,REPSOL SA,7,Participa en una asignación de capital significativa y desarrollo estratégico en un amplio espectro de proyectos energéticos.,,30314140,EUR,REP,SMART,STK,False,,EN2
energy and utilities,energy_investments,FR0000120271,TOTALENERGIES SE,8,"Dirige una inversión de capital sustancial hacia una cartera diversificada de proyectos energéticos, incluida la exploración y producción de petróleo y gas, el desarrollo de energías renovables y tecnologías energéticas emergentes, contribuyendo así significativamente a las inversiones energéticas globales.",,29612193,EUR,TTE,SMART,STK,False,,EN2
energy and utilities,energy_investments,US36828A1016,GE VERNOVA INC,9,"Impulsa importantes inversiones en el sector energético al proporcionar tecnologías y soluciones esenciales para la generación de energía, la modernización de redes y el desarrollo de energías renovables.","La participación de GEV en inversiones energéticas es evidente en su enfoque en las dinámicas financieras y de inversión, que son cruciales para avanzar en iniciativas estratégicas y desplegar nuevos proyectos de generación de energía. La empresa reconoce que el acceso al capital y la comprensión de las tendencias de inversión en el sector energético son importantes para el desarrollo de proyectos. Las actividades de inversión de GEV incluyen proyectos en Energía de Gas y Energía Nuclear, junto con consideraciones de recompra de acciones y dividendos. Si bien estas inversiones son significativas, no representan el enfoque principal de la empresa.",691984365,USD,GEV,SMART,STK,True,"[{'name': 'gev-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q225-10-Q.html'}]",EN2
energy and utilities,energy_investments,AN8068571086,SLB LTD,10,"Apoya y habilita las inversiones energéticas globales al proporcionar tecnología avanzada, soluciones integradas y servicios para la exploración, desarrollo y producción de petróleo y gas.",,12200,USD,SLB,SMART,STK,True,,EN2
