industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
energy and utilities,energy_sector,US1667641005,CHEVRON CORP,1,"Opera como una empresa energética global líder, dedicada a la exploración, producción, refinación y comercialización de petróleo crudo y gas natural, contribuyendo fundamentalmente al suministro energético mundial.","La identidad de Chevron Corporation como empresa energética global subraya el papel central del sector energético en sus operaciones y estrategia. Las actividades de la empresa, incluido el desarrollo de recursos de petróleo y gas para satisfacer la demanda de energía, se llevan a cabo a través de filiales y afiliadas en numerosos países. El enfoque de Chevron en sólidos resultados financieros, crecimiento del flujo de caja libre líder en la industria y distribuciones superiores a los accionistas, junto con su pronóstico de liderar la industria en generación total de efectivo, demuestra aún más la importancia del sector energético para la empresa.","[{'name': 'cvx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q324-10-Q.html'}, {'name': 'cvx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q225-10-Q.html'}]",5684,USD,CVX,SMART,STK,True,EN3
energy and utilities,energy_sector,US65339F1012,NEXTERA ENERGY INC,2,"Desempeña un papel fundamental en la generación, transmisión y distribución de electricidad, con un fuerte énfasis en el avance de soluciones de energía limpia.","NextEra Energy se identifica como una ""compañía de todo tipo de energía"", involucrada en servicios públicos de electricidad, generación de energía renovable y gasoductos de gas natural. La empresa enfatiza su liderazgo en energías renovables, gas y energía nuclear, operando la mayor flota de gas en Estados Unidos y construyendo más infraestructura energética que cualquier otra entidad en los Estados Unidos. Esto se logra principalmente a través de sus dos negocios principales, Florida Power & Light (FPL), una de las compañías eléctricas más grandes de EE. UU., y NextEra Energy Resources (NEER), el mayor generador de energía renovable del mundo a partir de viento y sol.","[{'name': 'nee-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nee-FY24-10-K.html'}]",75960201,USD,NEE,SMART,STK,True,EN3
energy and utilities,energy_sector,AN8068571086,SLB LTD,3,"Proporciona una amplia gama de tecnología, servicios y soluciones esenciales para las operaciones de exploración, perforación, producción y procesamiento dentro de la industria energética a nivel mundial.","Las operaciones de SLB se centran en gran medida en el sector energético, como lo demuestran sus actividades y resultados financieros relacionados con proyectos de petróleo, gas y marinos. El enfoque estratégico y el rendimiento financiero de la empresa están estrechamente ligados a este sector, lo que se enfatiza aún más por su participación en proyectos de ciclo largo en mercados internacionales, de aguas profundas y de gas. Este compromiso se ve reforzado por la adquisición de ChampionX, una empresa especializada en soluciones químicas, sistemas de elevación artificial y equipos de ingeniería para la perforación y producción de petróleo y gas.","[{'name': 'slb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slb-Q125-10-Q.html'}, {'name': 'slb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slb-Q324-10-Q.html'}]",12200,USD,SLB,SMART,STK,True,EN3
energy and utilities,energy_sector,US6745991058,OCCIDENTAL PETROLEUM CORP,4,"Opera como una importante empresa energética global, principalmente involucrada en la exploración y producción de petróleo y gas, contribuyendo significativamente al suministro energético mundial.","La participación de Occidental en el Sector Energético es evidente en sus operaciones comerciales principales, que abarcan activos de petróleo y gas, químicos y de transporte. El rendimiento financiero de la empresa está estrechamente ligado a los precios del petróleo, NGL y gas natural, con una parte importante de sus ingresos derivada del segmento de petróleo y gas. Esto está respaldado además por importantes inversiones de capital en activos de petróleo y gas, particularmente en la Cuenca Pérmica y otras regiones clave, lo que destaca el enfoque de la empresa en generar valor para los accionistas a través de su cartera de energía.","[{'name': 'oxy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oxy-Q225-10-Q.html'}, {'name': 'oxy-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/oxy-FY24-10-K.html'}, {'name': 'oxy-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oxy-Q324-10-Q.html'}]",10880,USD,OXY,SMART,STK,True,EN3
energy and utilities,energy_sector,US16411R2085,CHENIERE ENERGY INC,5,"Facilita el comercio y la seguridad energética mundial a través de sus importantes operaciones de licuefacción y exportación de gas natural, un componente crítico del Sector Energético.","Cheniere opera como una empresa de infraestructura energética, centrándose principalmente en negocios relacionados con el GNL, incluida la producción, exportación y ventas a empresas energéticas integradas, servicios públicos y empresas de comercio de energía a nivel mundial. El éxito financiero de la empresa es evidente a través de su sustancial EBITDA ajustado consolidado, flujo de efectivo distribuible e ingresos netos, lo que se ve aún más subrayado por una guía anual más estricta. La posición de Cheniere como líder en el mercado de GNL y una plataforma de infraestructura contratada de primer nivel destaca su importante papel dentro del sector energético, con actividades que abarcan la producción de GNL, la exportación y acuerdos comerciales en diversas regiones.","[{'name': 'lng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lng-Q225-10-Q.html'}]",4728003,USD,LNG,SMART,STK,False,EN3
energy and utilities,energy_sector,US30231G1022,EXXON MOBIL CORP,6,"Desempeña un papel fundamental en la cadena de suministro de energía global a través de sus extensas operaciones en exploración, producción, refinación y distribución de petróleo y gas.","El enfoque de ExxonMobil en el sector energético se ve subrayado por su compromiso de proporcionar soluciones energéticas fiables y asequibles, respaldado por una cartera de productos que facilitan la vida moderna. La empresa está invirtiendo estratégicamente en proyectos ventajosos para satisfacer de manera rentable la demanda de energía, tanto en negocios existentes como en nuevas empresas. Este compromiso se refleja en su sólido desempeño financiero, con sustanciales ganancias y generación de flujo de efectivo, lo que permite la inversión continua y la ejecución de sus estrategias centradas en la energía.",,13977,USD,XOM,SMART,STK,True,EN3
energy and utilities,energy_sector,CA29250N1050,ENBRIDGE INC,7,"Proporciona servicios críticos de infraestructura energética, incluido el transporte y la distribución de petróleo crudo, gas natural y energía renovable, sirviendo como piedra angular del sector energético en general.","El sustancial compromiso de Enbridge en el sector energético se destaca por sus operaciones en oleoductos, transmisión de gas, distribución y almacenamiento de gas, y generación de energía renovable. La empresa genera ingresos por transporte, distribución de gas y ventas de productos, con ingresos por ventas de productos de $27.0 mil millones y ganancias del segmento de Distribución y Almacenamiento de Gas de $2,869 millones. Reforzando esta posición, Enbridge adquirió US Gas Utilities, formó la Whistler Parent JV y adquirió Tomorrow RNG, solidificando aún más su presencia en el panorama energético.","[{'name': 'enb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/enb-FY24-10-K.html'}]",5082726,CAD,ENB,SMART,STK,False,EN3
energy and utilities,energy_sector,FR0000120271,TOTALENERGIES SE,8,"Opera como una empresa multinacional líder en energía, involucrada en la exploración, producción, transformación y distribución de petróleo, gas natural y electricidad, dando forma significativamente al panorama energético mundial.",,,29612193,EUR,TTE,SMART,STK,False,EN3
energy and utilities,energy_sector,GB00BP6MXD84,SHELL PLC,9,"Opera como una importante empresa energética integrada, involucrada en la exploración, producción, refinación y comercialización de petróleo, gas y otros productos energéticos a nivel mundial.",,,542125742,GBP,SHEL,SMART,STK,False,EN3
energy and utilities,energy_sector,NO0010096985,EQUINOR ASA,10,"Desempeña un papel fundamental en la cadena de suministro energético global a través de operaciones integradas en el desarrollo de petróleo, gas y energía renovable, contribuyendo significativamente a la transformación continua del sector.",,,12492456,NOK,EQNR,SMART,STK,False,EN3
