symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
GEV,EU,ENE_10,energy and utilities,energy_services,US36828A1016,GE VERNOVA INC,1,"Se enfoca en brindar servicios energéticos integrales, incluyendo equipos, soluciones y soporte para la generación, transmisión y distribución de electricidad a través de diversas fuentes de energía.","La participación de GE Vernova en la industria de servicios energéticos es evidente a través de sus importantes ingresos por servicios en los segmentos de Energía, Eólica y Electrificación, y los servicios representan una parte sustancial de su cartera de pedidos. Esto está respaldado además por la creciente demanda de energía de carga base confiable, infraestructura de red y soluciones de descarbonización, lo que impulsa la necesidad de invertir en la base instalada y en las actualizaciones de equipos. El enfoque de la empresa en mejorar la solidez y la resiliencia de la generación y transmisión de energía, junto con la creciente utilización de su base instalada, crea oportunidades de ingresos adicionales por servicios, incluidas las actualizaciones. Además, las operaciones mundiales de la empresa se ven afectadas por tendencias de la industria como la descarbonización y la creciente demanda de energía renovable, que impulsan el crecimiento en sus segmentos de negocio.","[{'name': 'gev-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q225-10-Q.html'}, {'name': 'gev-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q125-10-Q.html'}]",691984365,USD,SMART,STK
HAL,EU,ENE_10,energy and utilities,energy_services,US4062161017,HALLIBURTON CO,2,"Proporciona una cartera integral de productos y servicios a la industria del petróleo y gas upstream, abarcando soluciones para la construcción de pozos, completamiento y optimización de la producción.","El negocio de Halliburton está significativamente ligado a la industria energética, ya que opera en más de 70 países, brindando un conjunto integral de servicios y productos a las principales empresas de petróleo y gas natural a nivel mundial. La empresa anticipa que las crecientes demandas de producción de petróleo y gas natural impulsarán la demanda de sus ofertas. Sin embargo, el mercado de productos y servicios energéticos en América del Norte ha experimentado una debilidad debido a los menores precios de los productos básicos y al menor número de plataformas terrestres en EE. UU.","[{'name': 'hal-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hal-FY24-10-K.html'}]",7890,USD,SMART,STK
SLB,EU,ENE_10,energy and utilities,energy_services,AN8068571086,SLB LTD,3,"Sirve como un proveedor global líder de tecnología y servicios para la industria energética, apoyando la exploración, perforación, producción y soluciones digitales.",,,12200,USD,SMART,STK
PWR,EU,ENE_10,energy and utilities,energy_services,US74762E1029,QUANTA SERVICES INC,4,"Proporciona soluciones integrales de infraestructura para las industrias de energía eléctrica y petróleo y gas, apoyando el desarrollo, la expansión y el mantenimiento de sistemas críticos de suministro de energía.","El compromiso de PWR con el tema de Servicios Energéticos se refleja en su provisión de soluciones industriales, servicios de servicios públicos de gas e integridad de tuberías. La empresa se enfoca en el mantenimiento recurrente de rutas críticas, gastos regulados para la modernización del sistema, reducción de emisiones de metano, cumplimiento ambiental y garantía de seguridad y confiabilidad. Además, PWR ofrece servicios de restauración de emergencia, operando principalmente bajo contratos existentes, incluidos MSAs y acuerdos similares.","[{'name': 'pwr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q324-10-Q.html'}, {'name': 'pwr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q125-10-Q.html'}, {'name': 'pwr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pwr-FY24-10-K.html'}]",6608432,USD,SMART,STK
BKR,EU,ENE_10,energy and utilities,energy_services,US05722G1004,BAKER HUGHES CO,5,"Ofrece equipos, tecnologías y servicios esenciales que impulsan el sector global de servicios energéticos, permitiendo la exploración, producción y procesamiento eficientes en toda la cadena de valor del petróleo y el gas.","La participación de Baker Hughes en la industria de servicios energéticos se demuestra a través de sus acuerdos de servicios contractuales, específicamente dentro de su segmento GTS, donde aseguró más de $350 millones en acuerdos durante el trimestre, lo que contribuyó a un fortalecimiento de la cartera de ingresos recurrentes. Estos acuerdos incluyen servicios de mantenimiento, como un nuevo acuerdo con Petrobel centrado en mejorar el tiempo de actividad y la fiabilidad de los equipos de turbomaquinaria. Además, Baker Hughes renovó un contrato de servicios plurianual con Oman LNG, que incorpora servicios de monitorización y diagnóstico remotos entregados a través de su iCenter.",,281316445,USD,SMART,STK
J,EU,ENE_10,energy and utilities,energy_services,US46982L1089,JACOBS SOLUTIONS INC,6,Proporciona servicios de ingeniería y técnicos críticos que apoyan y avanzan el sector de Servicios Energéticos.,"La exposición de Jacobs al tema de Servicios Energéticos se demuestra a través del crecimiento del negocio de energía y servicios públicos de PA Consulting, que contribuyó a un aumento de ingresos de $38.8 millones, o 3.5%. Además, la línea de negocio de Infraestructura e Instalaciones Avanzadas de Jacobs proporciona soluciones integrales centradas en abordar los desafíos de seguridad energética de los clientes.","[{'name': 'j-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/j-FY24-10-K.html'}]",582332987,USD,SMART,STK
FLR,EU,ENE_10,energy and utilities,energy_services,US3434121022,FLUOR CORP,7,"Proporciona servicios integrales de ingeniería, adquisición y construcción para proyectos a gran escala en el sector energético, incluidas infraestructuras de petróleo y gas, productos químicos y energías renovables.",,,11218575,USD,SMART,STK
ABBN,EU,ENE_10,energy and utilities,energy_services,CH0012221716,ABB LTD-REG,8,"Proporciona una cartera integral de servicios y tecnologías para la generación, transmisión, distribución y optimización de energía, mejorando la eficiencia y la confiabilidad en toda la cadena de valor de la energía.",,,2682965,CHF,SMART,STK
FTI,EU,ENE_10,energy and utilities,energy_services,GB00BDSFG982,TECHNIPFMC PLC,9,"Proporciona tecnología, productos y servicios integrales a las industrias de energía tradicional y nueva, permitiendo el desarrollo y la producción de recursos energéticos a nivel mundial.",,,262072228,USD,SMART,STK
SU,EU,ENE_10,energy and utilities,energy_services,FR0000121972,SCHNEIDER ELECTRIC SE,10,"Proporciona soluciones y servicios integrales para la gestión, optimización y sostenibilidad energética en diversos sectores.",,,29612196,EUR,SMART,STK
WFT.CAD,EU,ENE_10,energy and utilities,energy_services,IE00BLNN3691,WEATHERFORD INTERNATIONAL PL,11,"Proporciona una cartera integral de productos y servicios esenciales para la perforación, evaluación, completación, producción e intervención de pozos de petróleo y gas natural a nivel mundial.","La participación de Weatherford en el tema de la industria de Servicios Energéticos es evidente a través de sus operaciones comerciales principales, ya que la compañía se identifica explícitamente como un proveedor líder mundial de servicios energéticos. Weatherford ofrece servicios energéticos, integrando la digitalización avanzada y tecnologías probadas para crear ofertas sostenibles. Las actividades de la compañía abarcan un amplio espectro de servicios a lo largo del ciclo de vida de los pozos de petróleo y gas, incluyendo perforación, evaluación, construcción de pozos, completación, producción, intervención y abandono responsable. Sin embargo, la compañía se está centrando en la reducción de costos y la mejora de la eficiencia, lo que se alinea con el tema de Servicios Energéticos.","[{'name': 'wfrd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wfrd-Q225-10-Q.html'}, {'name': 'wfrd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wfrd-Q324-10-Q.html'}, {'name': 'wfrd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wfrd-FY24-10-K.html'}]",157876608,CAD,CORPACT,STK
KBR,EU,ENE_10,energy and utilities,energy_services,US48242W1062,KBR INC,12,"Proporciona servicios de ingeniería, adquisición y construcción para el sector energético, apoyando proyectos en mercados de energía tradicionales y nuevos.","La participación de KBR en la industria de Servicios Energéticos es evidente a través de la provisión de soluciones de ingeniería y gestión de proyectos destinadas a avanzar en la seguridad energética, la descarbonización sostenible, la transición energética y la optimización de activos. El enfoque de KBR se extiende a soluciones de optimización de activos habilitadas digitalmente, con clientes que invierten en soluciones digitales para optimizar operaciones, aumentar la eficiencia energética y minimizar la huella ambiental. Además, KBR ofrece licencias de procesos patentadas centradas en la sostenibilidad, y servicios de asesoramiento en transición energética y seguridad, lo que demuestra aún más su participación en servicios energéticos.","[{'name': 'kbr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbr-Q125-10-Q.html'}]",41552939,USD,SMART,STK
