type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
energy and utilities,energy_storage,US88160R1014,TESLA INC,1,"Desarrolla e implementa soluciones avanzadas de almacenamiento de baterías, incluidos sistemas residenciales, comerciales y a escala de servicios públicos, para mejorar la estabilidad de la red, permitir la integración de energías renovables y proporcionar energía de respaldo.","La participación de Tesla en el tema de Almacenamiento de Energía es evidente a través de su diseño, desarrollo, fabricación, arrendamiento y venta de productos de almacenamiento de energía, con un enfoque en aumentar la producción y la penetración en el mercado. La compañía ha desplegado cantidades significativas de productos de almacenamiento de energía, incluyendo 31.4 GWh en 2024, y ve oportunidades para que estos productos estabilicen la red y proporcionen capacidad de energía adicional, particularmente con las crecientes demandas de energía de la IA. Los productos Megapack y Powerwall de Tesla son componentes clave de sus soluciones de almacenamiento de energía, y la compañía está expandiendo sus capacidades de producción con Megafábricas en múltiples ubicaciones para satisfacer la alta demanda y abordar la creciente necesidad de eficiencia de la red.","[{'name': 'tsla-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q125-10-Q.html'}, {'name': 'tsla-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q225-10-Q.html'}, {'name': 'tsla-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q324-10-Q.html'}, {'name': 'tsla-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tsla-FY24-10-K.html'}]",76792991,USD,TSLA,SMART,STK,True
energy and utilities,energy_storage,US0126531013,ALBEMARLE CORP,2,"Suministra compuestos de litio esenciales, un componente crítico para las baterías de iones de litio que impulsan el mercado de almacenamiento de energía en rápida expansión.","La participación de Albemarle en el tema de Almacenamiento de Energía es evidente a través de su negocio dedicado de Almacenamiento de Energía, que contribuye al transporte limpio a través de vehículos eléctricos y mejora la utilización de energía renovable a través del almacenamiento en red. El enfoque de la empresa en esta área se ve subrayado por su papel en la transformación de recursos esenciales en ingredientes críticos para el almacenamiento de energía y en red. Albemarle anticipa que la demanda de litio, impulsada significativamente por el almacenamiento estacionario y la demanda de vehículos eléctricos, se duplicará con creces de 2024 a 2030, y el almacenamiento fijo se acercará al 20% de la demanda total de litio.","[{'name': 'alb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q125-10-Q.html'}, {'name': 'alb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q324-10-Q.html'}, {'name': 'alb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q225-10-Q.html'}, {'name': 'alb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/alb-FY24-10-K.html'}]",4347,USD,ALB,SMART,STK,True
energy and utilities,energy_storage,US34379V1035,FLUENCE ENERGY INC,3,"Desarrolla y despliega sistemas avanzados de almacenamiento de energía y aplicaciones digitales, proporcionando infraestructura crítica para la modernización de la red y la integración de fuentes de energía renovables.","La participación de Fluence Energy en el tema de Almacenamiento de Energía es sustancial, ya que el crecimiento de los ingresos de la empresa está directamente relacionado con la adopción de estas soluciones. La empresa se enfoca en ofrecer soluciones de almacenamiento de energía, particularmente sistemas de almacenamiento de baterías (BESS), y está trabajando activamente con socios de la cadena de suministro para cumplir con los nuevos requisitos regulatorios. Fluence también está colaborando con operadores de centros de datos para desarrollar sistemas de almacenamiento que satisfagan la demanda de energía en rápida evolución, lo que resalta aún más la alineación estratégica de la empresa con las soluciones de almacenamiento de energía.","[{'name': 'flnc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flnc-Q225-10-Q.html'}, {'name': 'flnc-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flnc-Q325-10-Q.html'}]",523222620,USD,FLNC,SMART,STK,False
energy and utilities,energy_storage,US65339F1012,NEXTERA ENERGY INC,4,"Desempeña un papel importante en el avance de las soluciones de almacenamiento de energía, particularmente a través de la integración de la tecnología de baterías con fuentes de energía renovables para mejorar la confiabilidad y eficiencia de la red.","NextEra Energy Resources demuestra una fuerte conexión con el tema del almacenamiento de energía, identificándose explícitamente como líder mundial en capacidad de almacenamiento en baterías. Esto se ve reforzado por las iniciativas estratégicas de la empresa, incluido el plan de FPL de agregar más de 8 gigavatios de almacenamiento en baterías para 2029 y más de 25 gigavatios para 2034. Además, aproximadamente el 30% de la cartera actual de la empresa proviene de proyectos de almacenamiento, lo que refleja la demanda de los clientes y la importancia del almacenamiento para satisfacer las necesidades de capacidad, con nuevas inversiones y ganancias también vinculadas a las instalaciones de almacenamiento en baterías.","[{'name': 'nee-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nee-FY24-10-K.html'}, {'name': 'nee-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nee-Q225-10-Q.html'}, {'name': 'nee-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nee-Q324-10-Q.html'}]",75960201,USD,NEE,SMART,STK,True
energy and utilities,energy_storage,KR7373220003,LG ENERGY SOLUTION,5,"Se enfoca en el desarrollo y suministro de soluciones avanzadas de baterías para sistemas de almacenamiento de energía, desempeñando un papel importante en la transición energética global.",,,550587851,KRW,373220,KSE,STK,False
energy and utilities,energy_storage,US29355A1079,ENPHASE ENERGY INC,6,"Desarrolla y fabrica soluciones integradas de energía solar y almacenamiento, incluidos sistemas de almacenamiento de baterías, que permiten a los propietarios de viviendas almacenar y gestionar su energía solar.","La participación de Enphase en el tema de Almacenamiento de Energía es sustancial, como lo demuestran su línea de productos IQ Battery, un componente central de sus soluciones integradas de energía solar, almacenamiento y gestión de energía. El compromiso de la empresa se refleja en importantes envíos de baterías, incluyendo 190.9 megavatios-hora en el segundo trimestre de 2025, y envíos proyectados de 190 a 210 megavatios-hora en el tercer trimestre. Además, Enphase está desarrollando activamente tecnología avanzada de baterías, como la batería de quinta generación con un aumento del 50% en la densidad de energía, y expandiendo la producción de baterías en EE. UU., lo que demuestra un fuerte enfoque en la innovación y el crecimiento en el mercado de almacenamiento de energía.","[{'name': 'enph-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q225-10-Q.html'}, {'name': 'enph-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/enph-FY24-10-K.html'}, {'name': 'enph-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q324-10-Q.html'}, {'name': 'enph-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q125-10-Q.html'}]",105368327,USD,ENPH,SMART,STK,True
energy and utilities,energy_storage,CNE100000296,BYD CO LTD-H,7,"Desarrolla y fabrica tecnologías avanzadas de baterías para diversas soluciones de almacenamiento de energía, apoyando aplicaciones a escala de red, comerciales y residenciales.",,,46652429,HKD,1211,SEHK,STK,False
energy and utilities,energy_storage,US37045V1008,GENERAL MOTORS CO,8,"Invierte significativamente en tecnología de baterías para vehículos eléctricos y soluciones de almacenamiento de energía, esenciales para su transición hacia un futuro totalmente eléctrico.","GM está involucrado con soluciones de almacenamiento de energía a través de la reutilización de baterías de vehículos eléctricos de segunda vida con Redwood Materials. También están finalizando un acuerdo para suministrar módulos de batería a Redwood Energy, el nuevo negocio de almacenamiento de energía de Redwood creado para abordar las crecientes demandas de energía de los centros de datos de IA y otras aplicaciones. Esta iniciativa refleja el enfoque estratégico de GM para aprovechar su tecnología de baterías para vehículos eléctricos con fines de almacenamiento de energía.",,80986742,USD,GM,SMART,STK,True
energy and utilities,energy_storage,US00130H1059,AES CORP,9,Desarrolla y despliega tecnologías avanzadas de almacenamiento de energía para mejorar la fiabilidad de la red y facilitar la integración de fuentes de energía renovables.,"El compromiso de AES con el tema del almacenamiento de energía es evidente a través de su organización e iniciativas estratégicas. La SBU de Energías Renovables de la empresa abarca energía solar, eólica, almacenamiento de energía e hidroeléctrica, lo que destaca la importancia del almacenamiento de energía dentro de su cartera de energía limpia. AES ha completado importantes proyectos de almacenamiento de energía, incluido el proyecto Pike County y el proyecto Bellefield 1, y anticipa una mayor expansión con proyectos como el Petersburg Energy Center. Además, AES tiene una cartera madura de energías renovables y almacenamiento de baterías, con una parte sustancial de su cartera en EE. UU. dedicada al almacenamiento de energía, respaldada por créditos fiscales hasta 2033.","[{'name': 'aes-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aes-Q125-10-Q.html'}, {'name': 'aes-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aes-FY23-10-K.html'}, {'name': 'aes-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aes-Q324-10-Q.html'}, {'name': 'aes-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aes-Q225-10-Q.html'}]",2560358,USD,AES,SMART,STK,True
energy and utilities,energy_storage,KR7006400006,SAMSUNG SDI CO LTD,10,"Desarrolla y suministra soluciones avanzadas de baterías para diversas aplicaciones de almacenamiento de energía, contribuyendo significativamente a la transición energética global y a la estabilización de la red.",,,17382567,KRW,006400,KSE,STK,False
