industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TE,ENT,CRM,technology,enterprise_software,US79466L3024,SALESFORCE INC,1,"Proporciona un conjunto completo de soluciones de software empresarial basadas en la nube, que incluyen plataformas de CRM, ventas, servicio, marketing y análisis, impulsando la innovación y la transformación digital para empresas a nivel mundial.","El compromiso de Salesforce con el tema de Software Empresarial es evidente a través de sus ofertas principales e iniciativas estratégicas. Como líder en tecnología CRM, Salesforce proporciona servicios de computación en la nube para empresas, con ingresos por suscripción y soporte que constituyen una parte significativa de sus ingresos totales. La empresa se enfoca en transformarse en una 'empresa agentica' al integrar IA en sus productos, incluidos Sales Cloud, Service Cloud y Marketing Cloud, y está reconstruyendo cada producto para que sea agentico. Este compromiso se demuestra aún más con la adquisición de Informatica para mejorar sus capacidades de IA y datos y la introducción del marco ADAM (Aplicaciones, Datos, Agentes, Metadatos) para ofrecer una experiencia empresarial integral.","[{'name': 'crm-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q126-10-Q.html'}, {'name': 'crm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q225-10-Q.html'}, {'name': 'crm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q325-10-Q.html'}, {'name': 'crm-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crm-FY25-10-K.html'}]",29624264,USD,SMART,STK
TE,ENT,MSFT,technology,enterprise_software,US5949181045,MICROSOFT CORP,2,"Proporciona un conjunto completo de soluciones de software empresarial, que abarcan sistemas operativos, aplicaciones de productividad, servicios de computación en la nube y herramientas de inteligencia empresarial que son fundamentales para las operaciones organizacionales modernas y la transformación digital.","El compromiso de Microsoft con el tema de Software Empresarial es evidente a través del crecimiento y las ganancias de cuota de mercado de su suite Dynamics 365. Los ingresos de Dynamics 365 han aumentado constantemente, impulsados por el crecimiento en todas las cargas de trabajo, y ha ganado cuota de mercado al atraer empresas de proveedores heredados. El negocio comercial de la empresa incluye productos Dynamics y servicios en la nube, y la adopción de Microsoft 365 Copilot demuestra aún más la inversión de Microsoft en software empresarial. La suite Dynamics 365, que incluye aplicaciones inteligentes basadas en la nube en ERP, CRM, Power Apps y Power Automate, destaca la fuerte presencia de Microsoft en el mercado de software empresarial.","[{'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}]",272093,USD,SMART,STK
TE,ENT,ORCL,technology,enterprise_software,US68389X1054,ORACLE CORP,3,"Proporciona un conjunto completo de soluciones de software empresarial, que incluyen sistemas de gestión de bases de datos, aplicaciones en la nube y servicios de infraestructura, esenciales para las empresas globales.","El compromiso de Oracle con el tema de Software Empresarial es evidente a través de la provisión de productos y servicios que abordan las necesidades de TI empresariales, incluidas aplicaciones empresariales y ofertas de infraestructura. Estas ofertas se entregan a nivel mundial a través de varios modelos de implementación de TI, y el negocio de la nube y las licencias, que abarca un amplio espectro de aplicaciones empresariales y tecnologías de infraestructura, contribuye significativamente a los ingresos totales de Oracle. Oracle también ha desarrollado suites de aplicaciones integradas basadas en agentes de IA para diversas industrias y aplicaciones estratégicas de back-office, incluidas soluciones SaaS para ERP, finanzas, EPM, HCM, cadena de suministro y fabricación.","[{'name': 'orcl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q324-10-Q.html'}, {'name': 'orcl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q125-10-Q.html'}, {'name': 'orcl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q225-10-Q.html'}]",272800,USD,SMART,STK
TE,ENT,ADBE,technology,enterprise_software,US00724F1012,ADOBE INC,4,"Proporciona un conjunto integral de software de creatividad digital, gestión de documentos y gestión de experiencias que son fundamentales para la creación de contenido empresarial, la colaboración y las iniciativas de transformación digital.","El compromiso de Adobe con el tema de Software Empresarial es evidente a través de sus soluciones integrales y pilares de crecimiento estratégico. La plataforma integrada de Adobe, incluido GenStudio, está transformando la cadena de suministro de contenido, como lo demuestra el fuerte crecimiento de los acuerdos inter-nube. La empresa ofrece soluciones como Adobe Experience Manager, Adobe Commerce y Adobe Workfront, que ayudan a los clientes a gestionar la entrega de contenido, crear experiencias de comercio y ejecutar flujos de trabajo de marketing. Además, componentes clave de la solución integrada GenStudio, como Workfront, Frame y AEM Assets, ahora superan los mil millones de dólares en ARR, con un crecimiento superior al 25% interanual.","[{'name': 'adbe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q324-10-Q.html'}]",265768,USD,SMART,STK
TE,ENT,NOW,technology,enterprise_software,US81762P1021,SERVICENOW INC,5,"Ofrece una plataforma en la nube integral que automatiza y optimiza los flujos de trabajo digitales en las funciones de TI, de empleados y de servicio al cliente para grandes empresas.","El enfoque de ServiceNow en software empresarial es evidente en su Now Platform, una solución basada en la nube diseñada para digitalizar flujos de trabajo para organizaciones de diversos sectores. La plataforma de la compañía integra IA, datos y flujos de trabajo para impulsar resultados comerciales, con aplicaciones organizadas en torno a tecnología, CRM, funciones comerciales principales y herramientas para creadores. ServiceNow se posiciona como el sistema operativo de IA extensible para la empresa agentiva, ofreciendo una plataforma completa e integrada que abarca una amplia gama de capacidades de software empresarial, incluyendo CRM, ITSM, ITOM y HRSD.","[{'name': 'now-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q125-10-Q.html'}, {'name': 'now-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q225-10-Q.html'}]",109911821,USD,SMART,STK
TE,ENT,SAP,technology,enterprise_software,DE0007164600,SAP SE,6,"Proporciona soluciones integrales de software empresarial que permiten a las empresas gestionar operaciones críticas, incluyendo ERP, CRM y gestión de la cadena de suministro, en diversas industrias.",,,14204,EUR,SMART,STK
TE,ENT,GOOGL,technology,enterprise_software,US02079K3059,ALPHABET INC-CL A,7,"Proporciona un conjunto completo de servicios de computación en la nube y aplicaciones de productividad, atendiendo a las diversas necesidades de software de empresas y organizaciones a nivel mundial.",,,208813719,USD,SMART,STK
TE,ENT,FTNT,technology,enterprise_software,US34959E1091,FORTINET INC,8,"Proporciona soluciones integrales de software de ciberseguridad para empresas, abordando necesidades de seguridad críticas en diversos entornos empresariales.","El compromiso de Fortinet con el tema de software empresarial es evidente en su completa plataforma de ciberseguridad, que incluye más de 50 productos que abarcan redes seguras, SASE unificado y SecOps impulsado por IA. El Fortinet Security Fabric, diseñado para profesionales de redes y seguridad, ofrece soluciones entregadas a través de medios físicos, virtuales, en la nube o SaaS, soportando diversas funciones. Si bien atiende a empresas de diversos sectores, Fortinet también se enfoca en innovaciones de IA, incluida la IA generativa y la IA de operaciones de red, para mejorar las capacidades de su plataforma.","[{'name': 'ftnt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftnt-Q125-10-Q.html'}, {'name': 'ftnt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ftnt-FY24-10-K.html'}]",70236214,USD,SMART,STK
TE,ENT,AVGO,technology,enterprise_software,US11135F1012,BROADCOM INC,9,Desarrolla y suministra plataformas de software que respaldan las necesidades operativas y de infraestructura de grandes empresas.,"La participación de Broadcom en el tema de Software Empresarial es evidente a través de sus soluciones de software de infraestructura, diseñadas para simplificar los entornos de TI para las empresas y mejorar la velocidad y flexibilidad del negocio. Esto se destaca por el éxito de la conversión de clientes empresariales a la suscripción de la pila de software VCF, lo que les permite crear nubes privadas modernizadas y ejecutar aplicaciones basadas en contenedores y de IA. Los ingresos de software de infraestructura de la empresa alcanzaron los 6.800 millones de dólares en el tercer trimestre, lo que representa el 43% de los ingresos totales, y están impulsados por VMware Cloud Foundation versión 9.0, una plataforma de nube totalmente integrada respaldada por más de 5.000 desarrolladores.","[{'name': 'avgo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q225-10-Q.html'}, {'name': 'avgo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q324-10-Q.html'}]",313130367,USD,SMART,STK
TE,ENT,ACN,technology,enterprise_software,IE00B4BNMY34,ACCENTURE PLC-CL A,10,"Proporciona servicios integrales para la implementación, integración y gestión de soluciones de software empresarial, lo que permite la transformación digital para empresas a nivel mundial.","Accenture demuestra su compromiso con el software empresarial a través de varias iniciativas clave. La empresa participa activamente en la modernización de los núcleos digitales, incluidos los sistemas ERP, y es relevante para industrias centrales como la fabricación digital. Accenture también está ayudando a las empresas a aprovechar sus activos y plataformas para implementar IA, ayudándolas a estar preparadas para la IA. Esto incluye ayudar a las empresas a utilizar la IA incluso cuando no están completamente preparadas en toda la empresa. Además, Accenture destaca una demanda significativa en torno a los ERP y las plataformas, particularmente dentro del gobierno federal, centrándose en la modernización, la consolidación y la eficiencia.","[{'name': 'acn-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q325-10-Q.html'}]",67889930,USD,SMART,STK
