type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
entertainment and media,entertainment_industry,US5380341090,LIVE NATION ENTERTAINMENT IN,1,"Opera como una empresa líder mundial de entretenimiento en vivo, impulsando la industria a través de la promoción de conciertos, la operación de recintos y servicios de venta de entradas.","Las operaciones de Live Nation están profundamente entrelazadas con la industria del entretenimiento, como lo demuestran sus segmentos de negocio principales: Conciertos, Ticketing y Patrocinio y Publicidad. El enfoque de la empresa en la promoción de eventos de música en vivo, la gestión de recintos a nivel mundial y la facilitación de la venta de entradas subraya su papel central en el sector del entretenimiento. Live Nation monitorea métricas clave como la asistencia a eventos, la venta de entradas y los ingresos por patrocinios, lo que demuestra aún más su participación central en el sector del entretenimiento, con una parte significativa de sus ingresos derivada de conciertos y actividades relacionadas.","[{'name': 'lyv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lyv-FY24-10-K.html'}, {'name': 'lyv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyv-Q324-10-Q.html'}, {'name': 'lyv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyv-Q225-10-Q.html'}, {'name': 'lyv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyv-Q125-10-Q.html'}]",37511786,USD,LYV,SMART,STK,True,EM_ENT
entertainment and media,entertainment_industry,US9344231041,WARNER BROS DISCOVERY INC,2,"Opera como una empresa global de medios y entretenimiento, produciendo y distribuyendo una amplia gama de contenido a través de plataformas de cine, televisión, streaming y digitales, dando forma significativamente a la industria.","Warner Bros. Discovery se identifica como una empresa líder mundial de medios y entretenimiento, que crea y distribuye contenido a través de televisión, cine, streaming, videojuegos interactivos, publicaciones, experiencias temáticas y productos de consumo. La empresa enfatiza su compromiso con la narración de alta calidad y la fortaleza de sus estudios en la configuración de la cultura, centrándose en una combinación de éxitos de taquilla basados en IP y nuevas y atractivas producciones originales. Con la visión de combinar la posición de Discovery en medios y entretenimiento con las icónicas marcas de Warner Bros. y HBO, la empresa aspira a ser la mejor empresa de narración del mundo, aprovechando su alcance global y su diversa oferta de contenido para impulsar un crecimiento sostenible a largo plazo y el valor para los accionistas.","[{'name': 'wbd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q324-10-Q.html'}, {'name': 'wbd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q125-10-Q.html'}, {'name': 'wbd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q224-10-Q.html'}, {'name': 'wbd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wbd-FY24-10-K.html'}]",554208351,USD,WBD,SMART,STK,True,EM_ENT
entertainment and media,entertainment_industry,US2546871060,WALT DISNEY CO/THE,3,"Moldea el panorama del entretenimiento global a través de su extensa cartera de contenido, parques temáticos y redes de medios, influyendo en las experiencias del consumidor en todo el mundo.","La conexión de Disney con la industria del entretenimiento es evidente a través de su sólida cartera de negocios en crecimiento que generan valor de manera fluida, respaldada por una profunda biblioteca de propiedad intelectual (PI) querida y habilitada con tecnología de vanguardia. La empresa genera ingresos de películas, series y otro contenido producido y distribuido a través de redes lineales, servicios directos al consumidor y ventas/licencias de contenido. Esto se refleja en los ingresos del segmento de Entretenimiento, que constituye una parte significativa de los ingresos totales de la empresa, y en el aumento del ingreso operativo del segmento. La amplia cartera de contenido y programación de alta calidad de la empresa les permite continuar aumentando los ingresos y la rentabilidad en su negocio de streaming.","[{'name': 'dis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dis-FY24-10-K.html'}, {'name': 'dis-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q125-10-Q.html'}]",6459,USD,DIS,SMART,STK,True,EM_ENT
entertainment and media,entertainment_industry,US64110L1061,NETFLIX INC,4,"Opera como un servicio de entretenimiento global líder, que ofrece una amplia gama de películas, series de televisión y juegos en múltiples géneros a una base de suscriptores en todo el mundo.","El negocio de Netflix está profundamente entrelazado con la industria del entretenimiento, como lo demuestra su autoidentificación como uno de los principales servicios de entretenimiento del mundo con una membresía global sustancial. La estrategia principal de la empresa gira en torno al crecimiento de su negocio ofreciendo contenido atractivo, que incluye películas, series, juegos y eventos en vivo. Netflix se enfoca en convertirse en la empresa de entretenimiento más querida y valorada, con inversiones significativas en creación de contenido y producción global en 50 países, y se dedica a proporcionar una oferta de entretenimiento amplia y diversa a sus miembros.","[{'name': 'nflx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nflx-Q324-10-Q.html'}]",15124833,USD,NFLX,SMART,STK,True,EM_ENT
entertainment and media,entertainment_industry,US20030N1019,COMCAST CORP-CLASS A,5,"Opera como un importante proveedor global de servicios de medios, entretenimiento y telecomunicaciones, abarcando la creación de contenido, distribución y experiencias en parques temáticos.","El compromiso de Comcast con la Industria del Entretenimiento es evidente a través de su negocio de 'Contenido y Experiencias', que abarca Medios, Estudios y Parques Temáticos. La compañía invierte significativamente en contenido premium dentro de sus estudios, destacando exitosos estrenos cinematográficos y próximas películas. El segmento de medios de Comcast presenta una mezcla de eventos en vivo, deportes y entretenimiento en NBC y Peacock, con una expansión continua de las experiencias en parques temáticos. Esta amplia presencia en cine, televisión, streaming y parques temáticos demuestra el compromiso de Comcast con la industria del entretenimiento.","[{'name': 'cmcsa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmcsa-FY24-10-K.html'}, {'name': 'cmcsa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q125-10-Q.html'}]",267748,USD,CMCSA,SMART,STK,True,EM_ENT
entertainment and media,entertainment_industry,US87256C1018,TKO GROUP HOLDINGS INC,6,"Opera como una empresa global de deportes y entretenimiento, impulsando un compromiso significativo a través de sus propiedades de deportes de combate y lucha profesional de primer nivel.","TKO Group Holdings está profundamente integrada en la industria del entretenimiento, principalmente a través de la operación de marcas líderes de deportes de combate y entretenimiento deportivo como UFC y WWE. La compañía monetiza sus medios y contenido a través de diversas vías, incluyendo derechos de medios, eventos en vivo, patrocinios y licencias de productos de consumo. El impulso de TKO está impulsado por la demanda sostenida de contenido premium y eventos en vivo, que se han convertido en diferenciadores clave para las organizaciones que buscan la participación de la audiencia. Estas actividades brindan experiencias culturales, artísticas y recreativas a través de eventos en vivo, televisión y plataformas en línea, solidificando la importante presencia de TKO en el panorama del entretenimiento.","[{'name': 'tko-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tko-Q324-10-Q.html'}, {'name': 'tko-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tko-FY24-10-K.html'}, {'name': 'tko-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tko-Q125-10-Q.html'}, {'name': 'tko-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tko-Q225-10-Q.html'}]",652841542,USD,TKO,SMART,STK,True,EM_ENT
entertainment and media,entertainment_industry,US9345502036,WARNER MUSIC GROUP CORP-CL A,7,"Juega un papel crucial en la industria del entretenimiento global al descubrir, desarrollar y distribuir artistas musicales y su contenido a través de diversas plataformas.","La conexión de Warner Music Group (WMG) con la Industria del Entretenimiento es evidente, ya que se identifica como una de las principales empresas de entretenimiento musical del mundo con operaciones que abarcan la música grabada y la edición musical. El negocio principal de la empresa se centra en la creación, distribución y comercialización de música para atraer audiencias a nivel mundial, y participa en el descubrimiento y desarrollo de artistas de grabación. La reconocida familia de sellos discográficos icónicos de WMG, incluyendo Atlantic Records, Warner Records, Elektra Records y Parlophone Records, alberga a muchos de los artistas de grabación más populares e influyentes del mundo, lo que destaca su posición en la industria del entretenimiento musical.","[{'name': 'wmg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmg-Q225-10-Q.html'}, {'name': 'wmg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmg-Q125-10-Q.html'}, {'name': 'wmg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wmg-FY24-10-K.html'}, {'name': 'wmg-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmg-Q325-10-Q.html'}]",424890313,USD,WMG,SMART,STK,True,EM_ENT
entertainment and media,entertainment_industry,US5178341070,LAS VEGAS SANDS CORP,8,"Opera complejos turísticos integrados a gran escala que son centrales para la industria del entretenimiento, ofreciendo diversas actividades y experiencias de ocio.","Las Vegas Sands Corp. participa en la industria del entretenimiento a través de la operación de resorts integrados, que ofrecen una diversa gama de opciones de entretenimiento, incluyendo espectáculos en vivo, eventos en lugares como la Venetian Arena y otras atracciones. La empresa enfatiza un calendario robusto de entretenimiento y estilo de vida, particularmente en Marina Bay Sands, e invierte en comodidades no relacionadas con los juegos para atraer visitantes. Si bien el entretenimiento es un componente de los resorts integrados de la empresa, no es el principal impulsor de ingresos, sino que mejora la experiencia general del resort y atrae a una base de clientes más amplia, ya que la empresa tiene como objetivo establecer Macao como un centro regional de entretenimiento.","[{'name': 'lvs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q125-10-Q.html'}, {'name': 'lvs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q225-10-Q.html'}, {'name': 'lvs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q324-10-Q.html'}, {'name': 'lvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lvs-FY24-10-K.html'}]",32602412,USD,LVS,SMART,STK,True,EM_ENT
entertainment and media,entertainment_industry,JP3435000009,SONY GROUP CORP,9,"Impulsa la innovación en múltiples sectores del entretenimiento, incluyendo los videojuegos con PlayStation, la producción y distribución de música, las películas y la electrónica de consumo que mejoran las experiencias inmersivas.",,,13905705,JPY,6758,SMART,STK,False,EM_ENT
entertainment and media,entertainment_industry,US0231351067,AMAZON.COM INC,10,"Ofrece una suite integral de servicios de entretenimiento, que incluyen transmisión de video a través de Prime Video, transmisión de música con Amazon Music, contenido en vivo a través de Twitch y audiolibros de Audible, junto con importantes inversiones en producción de contenido original y estudios de cine.",,,3691937,USD,AMZN,SMART,STK,True,EM_ENT
