industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
RE,CO1,BX,real estate,estate,US09260D1072,BLACKSTONE INC,1,"Opera como un inversor y gestor global líder de una vasta cartera de activos inmobiliarios, que abarca diversos tipos de propiedades en numerosas geografías.","El compromiso de Blackstone con las Inversiones Inmobiliarias es evidente a través de su organización en cuatro segmentos, donde los Bienes Raíces se mencionan explícitamente como uno de ellos. El negocio inmobiliario de la empresa es reconocido como un líder mundial en inversión inmobiliaria, operando como un negocio integrado a nivel mundial con inversiones que abarcan América, Europa y Asia. Blackstone ha estado invirtiendo activamente en sus estrategias de capital y deuda inmobiliaria, con una parte importante de su cartera de capital global y BREIT centrada en centros de datos, logística y viviendas de alquiler.","[{'name': 'bx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bx-Q125-10-Q.html'}, {'name': 'bx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bx-Q324-10-Q.html'}, {'name': 'bx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bx-FY24-10-K.html'}]",372834689,USD,SMART,STK
RE,CO1,PSA,real estate,estate,US74460D1090,PUBLIC STORAGE,2,"Opera como un destacado propietario y operador de instalaciones de autoalmacenamiento, generando ingresos principalmente a través del alquiler de unidades de almacenamiento en una vasta cartera de propiedades.","El negocio de Public Storage se centra en las tenencias inmobiliarias, específicamente en instalaciones de autoalmacenamiento, como lo demuestran sus estrategias activas de adquisición, desarrollo y expansión. Desde principios de 2022, la empresa adquirió 243 instalaciones con 17.2 millones de pies cuadrados alquilables netos por $3.5 mil millones. Este crecimiento se ve impulsado aún más por un grupo no comparable de 520 propiedades, que representa el 21% de la cartera y ha experimentado un crecimiento acelerado de los ingresos. Los experimentados equipos de adquisición y desarrollo de la empresa están creciendo activamente la cartera, con una sólida cartera de proyectos de desarrollo valorados en aproximadamente $650 millones a entregarse en los próximos dos años.","[{'name': 'psa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psa-Q324-10-Q.html'}]",12002,USD,SMART,STK
RE,CO1,PLD,real estate,estate,US74340W1036,PROLOGIS INC,3,"Opera como un fideicomiso de inversión inmobiliaria centrado en la adquisición, desarrollo y gestión de activos inmobiliarios.",,,88819288,USD,SMART,STK
RE,CO1,ELS,real estate,estate,US29472R1086,EQUITY LIFESTYLE PROPERTIES,4,"Se enfoca en la adquisición, propiedad y gestión de una cartera diversa de activos inmobiliarios, especializándose principalmente en comunidades de casas móviles, resorts de RV y marinas.","La participación de la compañía en Bienes Raíces se evidencia a través de su extensa cartera de propiedades en los Estados Unidos y Canadá, que incluye comunidades de casas prefabricadas y vehículos recreativos, así como marinas. Como propietario totalmente integrado de estas propiedades orientadas al estilo de vida, la compañía se enfoca en las operaciones de propiedades, ventas de casas y alquileres, obteniendo una parte significativa de sus ingresos de su cartera de casas prefabricadas (MH), que tiene altas tasas de ocupación. La compañía invierte activamente en sus comunidades, desarrollando nuevos sitios y agregando inventario de viviendas, al tiempo que mantiene un balance sólido y acceso a capital para futuras inversiones, lo que demuestra un compromiso con la expansión de sus bienes raíces.","[{'name': 'els-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/els-Q125-10-Q.html'}, {'name': 'els-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/els-Q225-10-Q.html'}, {'name': 'els-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/els-FY24-10-K.html'}]",9584,USD,SMART,STK
RE,CO1,GLPI,real estate,estate,US36467J1088,GAMING AND LEISURE PROPERTIE,5,"Se enfoca en la propiedad y el arrendamiento de activos inmobiliarios, que comprenden principalmente propiedades dentro de los sectores del juego y el ocio.","Gaming and Leisure Properties (GLPI) exhibe una fuerte conexión con el tema de la industria de Real Estate Holdings, como lo demuestra su modelo de negocio principal centrado en la adquisición, financiación y propiedad de bienes raíces, principalmente arrendados a operadores de juegos. Como fideicomiso de inversión inmobiliaria (REIT), el desempeño financiero de GLPI está directamente relacionado con los ingresos generados por su extensa cartera de instalaciones de juego, que incluye participaciones en numerosas propiedades en varios estados. La empresa gestiona y expande activamente esta cartera a través de adquisiciones, desarrollos y acuerdos de arrendamiento, con ingresos derivados principalmente de ingresos de alquiler e ingresos de inversión en arrendamientos, solidificando las propiedades inmobiliarias como un componente central de sus operaciones.","[{'name': 'glpi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/glpi-Q324-10-Q.html'}, {'name': 'glpi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/glpi-Q225-10-Q.html'}, {'name': 'glpi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/glpi-FY24-10-K.html'}, {'name': 'glpi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/glpi-Q125-10-Q.html'}]",136254442,USD,SMART,STK
RE,CO1,8802,real estate,estate,JP3899600005,MITSUBISHI ESTATE CO LTD,6,"Gestiona y mantiene una importante cartera de activos inmobiliarios, que abarca diversos tipos de propiedades y desarrollos.",,,13906005,JPY,SMART,STK
RE,CO1,O,real estate,estate,US7561091049,REALTY INCOME CORP,7,"Se enfoca en la adquisición y gestión de una cartera diversificada de propiedades inmobiliarias comerciales, principalmente bajo contratos de arrendamiento neto a largo plazo, generando ingresos por alquiler de sus extensas tenencias.","El negocio de Realty Income se centra significativamente en las propiedades inmobiliarias, como lo demuestra su propiedad o participación en más de 15.457 a 15.621 propiedades en diversas fechas de informes. Estas propiedades, que abarcan millones de pies cuadrados de espacio alquilable, se arriendan a un número considerable de clientes y forman el núcleo de las operaciones y la estructura financiera de la empresa. La extensa cartera de propiedades de la empresa, detallada en sus presentaciones, subraya la importancia de las propiedades inmobiliarias para la generación de ingresos y la estabilidad general de Realty Income.","[{'name': 'o-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/o-FY24-10-K.html'}, {'name': 'o-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/o-Q324-10-Q.html'}]",10672,USD,SMART,STK
RE,CO1,EQIX,real estate,estate,US29444U7000,EQUINIX INC,8,"Se enfoca en la adquisición, desarrollo y gestión de activos inmobiliarios especializados, específicamente centros de datos, para respaldar las necesidades de infraestructura digital a nivel mundial.",,,181764593,USD,SMART,STK
RE,CO1,ARE,real estate,estate,US0152711091,ALEXANDRIA REAL ESTATE EQUIT,9,Implica la propiedad y gestión directa de una cartera diversa de activos inmobiliarios.,"El enfoque de Alexandria en Inversiones Inmobiliarias es evidente en sus operaciones comerciales principales, que implican la propiedad y gestión de activos Labspace®, particularmente en mercados con altas barreras de entrada. La gestión estratégica de la cartera inmobiliaria de la empresa se demuestra a través de su plan de capital de 2024, que incluyó financiación de desinversiones estratégicas centradas en una cartera de activos diversificados. Además, las operaciones y el rendimiento financiero de la empresa como entidad inmobiliaria, incluida la actividad de arrendamiento, las tasas de alquiler y los ingresos netos de explotación, se discuten ampliamente.","[{'name': 'ARE-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ARE-FY24-10-K.html'}]",6607487,USD,SMART,STK
RE,CO1,WPC,real estate,estate,US92936U1097,WP CAREY INC,10,"Se especializa en la adquisición y gestión de una cartera diversificada de propiedades inmobiliarias comerciales, principalmente a través de transacciones de venta y arrendamiento posterior (sale-leaseback) y financiación de construcción a medida (build-to-suit).","El enfoque de W. P. Carey en Bienes Raíces es evidente a través de su importante cartera de activos inmobiliarios comerciales, principalmente arrendados de forma neta a inquilinos en los Estados Unidos y en el norte y oeste de Europa. La empresa gestiona activamente su cartera, como lo demuestra la adquisición de diez inversiones por un total de $800.6 millones y la disposición de 55 propiedades por $487.3 millones. Con inversiones netas en bienes raíces por un total de $15,340.1 millones e ingresos totales por arrendamiento de $717.963 millones para los seis meses finalizados el 30 de junio de 2025, las actividades inmobiliarias son centrales para las operaciones y el desempeño financiero de la empresa.","[{'name': 'wpc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wpc-Q225-10-Q.html'}]",113407826,USD,SMART,STK
