industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
EM,FIL,DIS,entertainment and media,film_production,US2546871060,WALT DISNEY CO/THE,1,"Es un productor mundial líder de películas en múltiples estudios de renombre, contribuyendo significativamente al panorama del contenido cinematográfico y su distribución mundial.","El compromiso de Disney con la producción cinematográfica es evidente a través de su segmento de Entretenimiento, que genera ingresos a partir de contenido cinematográfico distribuido en redes lineales, plataformas directas al consumidor y ventas/licencias de contenido, incluidos los estrenos en cines. La compañía enfatiza el éxito creativo de sus estudios de cine, lo que resulta en la aparición de nuevas franquicias populares y menciona el éxito de largometrajes en la taquilla mundial, con títulos como *Lilo & Stitch* superando los mil millones de dólares. Además, Disney se basa en este éxito con próximos títulos como *Zootopia 2* y *Avatar: Fire and Ash*, al tiempo que consolida los esfuerzos dentro de Marvel para mejorar la calidad de las películas, lo que demuestra una inversión y un enfoque continuos en la producción cinematográfica.","[{'name': 'dis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q225-10-Q.html'}, {'name': 'dis-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q125-10-Q.html'}, {'name': 'dis-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q325-10-Q.html'}, {'name': 'dis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dis-FY24-10-K.html'}]",6459,USD,SMART,STK
EM,FIL,WBD,entertainment and media,film_production,US9344231041,WARNER BROS DISCOVERY INC,2,"Es un productor y distribuidor mundial líder de películas, contribuyendo significativamente a la creación y difusión de contenido cinematográfico en todo el mundo.","La participación de Warner Bros. Discovery en la producción cinematográfica es evidente a través de su segmento de Estudios, que se enfoca en la producción y lanzamiento de largometrajes. La estrategia de la compañía involucra una mezcla de éxitos de taquilla basados en propiedad intelectual (IP) y nuevos originales, con Warner Bros. Motion Pictures y DC Studios desempeñando roles clave, así como aprovechando su biblioteca de IP, incluyendo DC y Harry Potter, para crear películas y construir valor de activos. El CEO ha enfatizado la producción cinematográfica como una estrategia clave, destacando éxitos como la película de Minecraft y planes futuros para grandes franquicias cinematográficas como Superman, lo que demuestra la importancia estratégica de la producción cinematográfica para la compañía.","[{'name': 'wbd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q125-10-Q.html'}, {'name': 'wbd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q224-10-Q.html'}, {'name': 'wbd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q324-10-Q.html'}, {'name': 'wbd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wbd-FY24-10-K.html'}]",554208351,USD,SMART,STK
EM,FIL,CMCSA,entertainment and media,film_production,US20030N1019,COMCAST CORP-CLASS A,3,"Participa en el desarrollo, producción y distribución de largometrajes a través de sus diversas divisiones de estudio, contribuyendo significativamente a la industria cinematográfica mundial.","La participación de Comcast en la producción cinematográfica es evidente a través de su segmento de Estudios, que genera ingresos por estrenos en cines y licencias de contenido. El segmento de Estudios ha producido películas exitosas como *Cómo entrenar a tu dragón* y *Jurassic World: Rebirth*, contribuyendo a los ingresos de taquilla. Los ingresos por licencias de contenido también juegan un papel importante, y el momento de la disponibilidad de contenido de los estudios de cine y televisión impacta las cifras de ingresos. Sin embargo, los ingresos pueden fluctuar debido a factores como el momento de los estrenos y las paradas de trabajo en toda la industria.","[{'name': 'cmcsa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q324-10-Q.html'}, {'name': 'cmcsa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmcsa-FY24-10-K.html'}, {'name': 'cmcsa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q125-10-Q.html'}]",267748,USD,SMART,STK
EM,FIL,NFLX,entertainment and media,film_production,US64110L1061,NETFLIX INC,4,"Participa en la producción significativa de películas, distribuidas a nivel mundial a través de su plataforma de streaming.",,,15124833,USD,SMART,STK
EM,FIL,PSKY,entertainment and media,film_production,US69932A2042,PARAMOUNT SKYDANCE CL B,5,"Participa en la creación, desarrollo y producción de películas para distribución global.","El enfoque de Paramount en la Producción Cinematográfica es evidente a través de su estrategia de ofrecer una lista con un amplio atractivo para el público, equilibrando la inversión en diferentes títulos y generando ingresos posteriores. Esto se destaca por el éxito en taquilla de Sonic the Hedgehog 3, que generó casi 500 millones de dólares en ventas de taquilla, y el rendimiento en streaming de Gladiator II, que se convirtió en la película número 1 en la historia de Paramount+. Además, la empresa ha reducido con éxito los costos promedio de producción de las películas de Paramount Pictures, demostrando un compromiso con la eficiencia dentro de su segmento de entretenimiento filmado.",,804144296,USD,SMART,STK
EM,FIL,9602,entertainment and media,film_production,JP3598600009,TOHO CO LTD,6,Es un contribuyente clave para la industria de producción cinematográfica.,,,14019149,JPY,SMART,STK
EM,FIL,9601,entertainment and media,film_production,JP3362800009,SHOCHIKU CO LTD,7,"Produce y distribuye una amplia gama de películas, contribuyendo a la industria del cine japonés.",,,14019144,JPY,SMART,STK
EM,FIL,HAS,entertainment and media,film_production,US4180561072,HASBRO INC,8,Desarrolla propiedad intelectual a partir de su extensa cartera de marcas para su adaptación a contenido cinematográfico y televisivo.,"Hasbro participa en la producción cinematográfica como parte de su oferta de entretenimiento más amplia, ofreciendo experiencias de juego a través del cine y la televisión. Si bien la compañía se deshizo de su negocio de cine y televisión eOne, conserva la capacidad de desarrollar y producir entretenimiento, incluidas películas para cines relacionadas con la propiedad intelectual principal de Hasbro. Esto incluye retener contenido creado basado en marcas y la capacidad de desarrollar y producir entretenimiento como animación, cortometrajes digitales y televisión de guion.","[{'name': 'has-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/has-Q324-10-Q.html'}, {'name': 'has-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/has-Q225-10-Q.html'}]",754956,USD,SMART,STK
EM,FIL,MAT,entertainment and media,film_production,US5770811025,MATTEL INC,9,"Desarrolla y produce películas basadas en su extenso portafolio de marcas de juguetes icónicas, expandiendo su propiedad intelectual a contenido de entretenimiento.",,,9365,USD,SMART,STK
EM,FIL,IMAX,entertainment and media,film_production,CA45245E1097,IMAX CORP,10,Apoya a la industria de producción cinematográfica ofreciendo sistemas de cámara especializados y servicios de postproducción que mejoran la calidad cinematográfica y la experiencia inmersiva de las películas.,"La participación de IMAX en la Producción Cinematográfica es evidente a través de su provisión de tecnología y servicios a cineastas y estudios. El proceso de remasterización de películas IMAX de la empresa mejora la fidelidad de imagen y sonido, mientras que su programa IMAX DNA y su programa de cámaras certificadas brindan a los cineastas herramientas distintivas para optimizar la experiencia IMAX. Se filman películas seleccionadas utilizando cámaras de película IMAX patentadas o cámaras digitales certificadas por IMAX, lo que brinda a los cineastas una calidad de imagen mejorada y diferenciada y una relación de aspecto de película exclusiva de IMAX. Como plataforma tecnológica para el entretenimiento, IMAX aprovecha su tecnología patentada en la remasterización digital de películas al formato IMAX, ofreciendo un enfoque único para la producción cinematográfica.","[{'name': 'imax-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/imax-Q125-10-Q.html'}, {'name': 'imax-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/imax-FY24-10-K.html'}]",4813359,USD,SMART,STK
