industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
financials,financial_markets,US45866F1049,INTERCONTINENTAL EXCHANGE IN,1,"Opera bolsas globales, cámaras de compensación y servicios de datos en diversas clases de activos, formando infraestructura crítica para mercados financieros en todo el mundo.","La participación de ICE en el tema de los Mercados Financieros es evidente a través de la operación de tecnología de mercado regulada que facilita la cotización, negociación y compensación de una amplia gama de contratos de derivados y valores financieros. Esto incluye la provisión de datos esenciales y servicios de conectividad para bolsas y cámaras de compensación. El segmento de Bolsas de ICE genera ingresos sustanciales de estas actividades, que abarcan futuros, opciones, acciones al contado y opciones sobre acciones, y también opera en varios mercados financieros, incluidos la energía y los valores respaldados por hipotecas. Además, la participación de ICE se extiende a mercados internacionales, como el mercado de gilts del Reino Unido, lo que demuestra su importante papel en el ecosistema financiero más amplio.","[{'name': 'ice-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ice-Q125-10-Q.html'}, {'name': 'ice-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ice-Q225-10-Q.html'}]",136370275,USD,ICE,SMART,STK,True,FI4
financials,financial_markets,US6311031081,NASDAQ INC,2,"Opera mercados financieros globales, proporcionando la tecnología y la infraestructura que permiten la cotización, negociación y compensación de valores, sustentando así las funciones del mercado de capitales.","El compromiso de Nasdaq con los Mercados Financieros es evidente en su papel como empresa tecnológica global que atiende a diversos participantes, incluidos clientes corporativos, gestores de inversiones, bancos, corredores y operadores de bolsas, dentro de los mercados de capitales globales. Las operaciones de la empresa se estructuran en torno a tres segmentos de negocio: Plataformas de Acceso a Capital, Tecnología Financiera y Servicios de Mercado. La importante posición de Nasdaq en la facilitación de volúmenes de negociación y el logro de una alta tasa de éxito entre las OPI de empresas operativas elegibles para Nasdaq en EE. UU. subrayan su importancia para los mercados financieros, lo que se ve aún más resaltado por los ingresos y volúmenes récord en acciones al contado, opciones sobre acciones y opciones sobre índices.","[{'name': 'ndaq-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ndaq-Q125-10-Q.html'}]",29380756,USD,NDAQ,SMART,STK,True,FI4
financials,financial_markets,US78409V1044,S&P GLOBAL INC,3,"Desempeña un papel fundamental en los mercados financieros al proporcionar datos esenciales, puntos de referencia y herramientas analíticas que facilitan la toma de decisiones transparentes y eficientes en materia de negociación e inversión.","La participación de S&P Global en los mercados financieros es evidente a través de la provisión de calificaciones crediticias, puntos de referencia, análisis y soluciones de flujo de trabajo a los mercados de capital globales, incluidos administradores de activos, bancos de inversión y bolsas. La participación de la empresa se extiende al procesamiento de operaciones y la mitigación de riesgos a través de su empresa conjunta, OSTTRA, que presta servicios a los mercados OTC en diversas clases de activos. Además, el segmento de Índices de S&P Global ofrece puntos de referencia transparentes y herramientas para asesores de inversión e inversores institucionales, lo que subraya su papel en el apoyo a la toma de decisiones y la supervisión del mercado dentro de la comunidad financiera.","[{'name': 'spgi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q225-10-Q.html'}, {'name': 'spgi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q324-10-Q.html'}, {'name': 'spgi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q125-10-Q.html'}]",229629397,USD,SPGI,SMART,STK,True,FI4
financials,financial_markets,US12572Q1058,CME GROUP INC,4,"Opera mercados líderes de derivados para futuros y opciones en diversas clases de activos, facilitando el descubrimiento de precios y la gestión de riesgos para participantes globales.","La conexión de CME Group con los Mercados Financieros es evidente en la operación de bolsas como CME, CBOT, NYMEX y COMEX, que facilitan la negociación de diversas clases de activos. Una parte importante de los ingresos de la empresa se deriva de las tarifas de compensación y transacción generadas en estos mercados. El papel de la empresa como lugar de negociación de contratos de futuros y opciones, junto con la extensa discusión sobre volúmenes de negociación y tarifas en varios instrumentos financieros, resalta su posición central dentro de los mercados financieros.","[{'name': 'cme-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q125-10-Q.html'}]",45127739,USD,CME,SMART,STK,True,FI4
financials,financial_markets,US46625H1005,JPMORGAN CHASE & CO,5,"Opera en diversos mercados financieros a nivel mundial, brindando amplios servicios que facilitan la formación de capital, las actividades de negociación e inversión para instituciones y particulares.",,,1520593,USD,JPM,SMART,STK,True,FI4
financials,financial_markets,US38141G1040,GOLDMAN SACHS GROUP INC,6,Desempeña un papel fundamental en los mercados financieros mundiales al proporcionar amplios servicios financieros y facilitar transacciones de capital.,,,4627828,USD,GS,SMART,STK,True,FI4
financials,financial_markets,US0605051046,BANK OF AMERICA CORP,7,"Opera como un participante y proveedor importante de diversos productos y servicios financieros, facilitando transacciones y flujos de capital en diversos mercados financieros globales.",,,10098,USD,BAC,SMART,STK,True,FI4
financials,financial_markets,US6174464486,MORGAN STANLEY,8,"Opera extensamente en los mercados financieros globales, brindando diversos servicios como recaudación de capital, negociación y asesoramiento para clientes institucionales e individuales.",,,2841574,USD,MS,SMART,STK,True,FI4
financials,financial_markets,US1729674242,CITIGROUP INC,9,"Facilita transacciones financieras globales y proporciona una amplia gama de productos y servicios financieros en diversos mercados, incluyendo mercados de capitales, divisas y derivados.",,,87335484,USD,C,SMART,STK,True,FI4
financials,financial_markets,US8926721064,TRADEWEB MARKETS INC-CLASS A,10,"Opera mercados electrónicos para una amplia gama de productos de renta fija, derivados y ETF, facilitando servicios de negociación y datos de mercado para clientes institucionales.","El negocio de Tradeweb se centra en la construcción y operación de mercados electrónicos para una red global de más de 3.000 clientes dentro del ecosistema financiero, facilitando la negociación en diversas clases de activos, incluyendo tasas, crédito, acciones y mercados monetarios. Las plataformas de la empresa ofrecen soluciones de negociación transparentes, eficientes, rentables y conformes en múltiples productos, regiones y regímenes regulatorios. Tradeweb invierte constantemente en tecnología e infraestructura para mejorar su plataforma de negociación electrónica y expandir su red, con un enfoque en ecosistemas de negociación electrónica, participación del cliente y automatización.","[{'name': 'tw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tw-Q125-10-Q.html'}, {'name': 'tw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tw-Q225-10-Q.html'}, {'name': 'tw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tw-FY24-10-K.html'}]",359693017,USD,TW,SMART,STK,False,FI4
financials,financial_markets,GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,11,"Opera y proporciona infraestructura crítica para los mercados financieros globales, facilitando la negociación, compensación y liquidación de una amplia gama de valores e instrumentos financieros.",,,39234929,GBP,LSEG,SMART,STK,False,FI4
financials,financial_markets,DE0005810055,DEUTSCHE BOERSE AG,12,"Opera un mercado líder para la negociación de valores y derivados, proporcionando infraestructura esencial para los mercados de capitales.",,,11490214,EUR,DB1,SMART,STK,False,FI4
financials,financial_markets,US09290D1019,BLACKROCK INC,13,Participa activamente e influye en los mercados financieros globales a través de sus extensas actividades de gestión de activos y la provisión de diversos productos de inversión.,,,729193719,USD,BLK,SMART,STK,True,FI4
financials,financial_markets,US8085131055,SCHWAB (CHARLES) CORP,14,"Facilita la participación en mercados financieros ofreciendo servicios de corretaje, plataformas de inversión y una diversa gama de productos financieros a sus clientes.",,,11905,USD,SCHW,SMART,STK,True,FI4
financials,financial_markets,US6153691059,MOODY'S CORP,15,"Apoya los mercados financieros ofreciendo calificaciones crediticias cruciales, investigación y perspectivas analíticas que informan las decisiones de inversión y gestión de riesgos.",,,6497,USD,MCO,SMART,STK,True,FI4
financials,financial_markets,US57060D1081,MARKETAXESS HOLDINGS INC,16,Facilita el acceso al mercado para los participantes dentro de los mercados financieros.,"MarketAxess está profundamente involucrada en el tema de los Mercados Financieros, principalmente a través de la operación de plataformas líderes de negociación electrónica. Estas plataformas facilitan la negociación eficiente, proporcionan liquidez y ofrecen ahorro de costos en los mercados mundiales de renta fija, sirviendo a aproximadamente 2.100 inversores institucionales y empresas de corretaje. La plataforma Open Trading de la empresa también es reconocida como una solución de negociación preferida de todos a todos en los mercados crediticios mundiales. Además, MarketAxess utiliza tecnología de negociación patentada para permitir la negociación eficiente de diversos valores de renta fija, incluidos bonos de grado de inversión de EE. UU., bonos de alto rendimiento, deuda de mercados emergentes y eurobonos.","[{'name': 'mktx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mktx-Q225-10-Q.html'}, {'name': 'mktx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mktx-Q125-10-Q.html'}]",31918430,USD,MKTX,SMART,STK,True,FI4
financials,financial_markets,US12503M1080,CBOE GLOBAL MARKETS INC,17,"Opera mercados financieros globales, ofreciendo servicios de negociación y compensación para una amplia gama de productos que incluyen opciones, futuros, acciones y divisas.","Cboe Global Markets está profundamente integrado en el tema de los mercados financieros, operando como una red de intercambio líder que ofrece soluciones de negociación, compensación e inversión a nivel mundial. La compañía proporciona soluciones de negociación en múltiples clases de activos, incluyendo acciones, derivados y divisas, en América del Norte, Europa y Asia Pacífico. El compromiso de Cboe de construir un mercado global confiable e inclusivo subraya aún más su papel central, ya que opera múltiples plataformas de negociación y se posiciona como facilitador de un futuro financiero sostenible.","[{'name': 'cboe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cboe-Q324-10-Q.html'}]",76227954,USD,CBOE,SMART,STK,True,FI4
financials,financial_markets,US45841N1072,INTERACTIVE BROKERS GRO-CL A,18,Opera una plataforma de corretaje electrónico que ofrece a los clientes acceso a una amplia gama de productos financieros y mercados globales.,,,43645865,USD,IBKR,SMART,STK,True,FI4
financials,financial_markets,JP3183200009,JAPAN EXCHANGE GROUP INC,19,"Opera importantes mercados financieros para acciones, derivados y otros valores, facilitando la negociación y la formación de capital dentro del sistema financiero global.",,,118017958,JPY,8697,SMART,STK,False,FI4
financials,financial_markets,NL0006294274,EURONEXT NV,20,"Opera una red paneuropea líder de mercados financieros, facilitando la negociación, compensación y liquidación de diversas clases de activos.",,,156871527,EUR,ENX,SMART,STK,False,FI4
financials,financial_markets,US19260Q1076,COINBASE GLOBAL INC -CLASS A,21,"Opera una plataforma líder para la compra, venta y almacenamiento de criptomonedas, sirviendo como un mercado financiero clave para activos digitales.",,,481691285,USD,COIN,SMART,STK,True,FI4
financials,financial_markets,US78467J1007,SS&C TECHNOLOGIES HOLDINGS,22,Entrega tecnología crítica y servicios habilitados por software que facilitan las operaciones y la eficiencia de diversos mercados financieros.,"La participación de SS&C en el tema de Mercados Financieros es evidente a través de su adquisición de Calastone, que se espera que se cierre en el cuarto trimestre. Se anticipa que esta adquisición mejorará las capacidades de SS&C en ETFs, activos digitales y productos del mercado monetario, al tiempo que proporcionará oportunidades de venta cruzada entre los 4.500 clientes de Calastone y la base de clientes existente de SS&C. La adquisición de Calastone proporcionará capacidades adicionales en ETFs, activos digitales y productos del mercado monetario, y se espera que sea acreedora al crecimiento de los ingresos, el margen EBITDA y el BPA en un plazo de 12 meses.",,73911494,USD,SSNC,SMART,STK,False,FI4
financials,financial_markets,CA87262K1057,TMX GROUP LTD,23,Opera mercados financieros que facilitan la negociación de diversas clases de activos y proporcionan servicios esenciales para la formación de capital dentro del ecosistema financiero global.,,,113846858,CAD,X,SMART,STK,False,FI4
financials,financial_markets,US0889291045,BGC GROUP INC-A,24,"Opera una diversa gama de mercados financieros, facilitando transacciones en diversas clases de activos.","La fuerte conexión de BGC con el tema de los Mercados Financieros es evidente en su papel como un mercado global líder especializado en la ejecución de operaciones en una variedad de productos, incluidos valores de renta fija y derivados. Las plataformas de mercados electrónicos (ECS) y FMX de la empresa son centrales para sus operaciones, y FMX logra volúmenes récord y cuota de mercado en bonos del Tesoro de EE. UU. y divisas. La posición de BGC como el mayor corredor de ECS del mundo, combinada con el crecimiento de sus plataformas Fenics, subraya aún más su enfoque y éxito en el mercado financiero.","[{'name': 'bgc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bgc-Q225-10-Q.html'}, {'name': 'bgc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bgc-Q324-10-Q.html'}]",640318253,USD,BGC,SMART,STK,True,FI4
financials,financial_markets,US0640581007,BANK OF NEW YORK MELLON CORP,25,"Proporciona servicios esenciales de custodia, compensación y liquidación que sustentan la funcionalidad y eficiencia de los mercados financieros mundiales.","BNY opera como una plataforma de servicios financieros en el corazón de los mercados de capitales del mundo, brindando servicios de ejecución de operaciones en 100 mercados a nivel mundial y en todas las principales clases de activos. Este papel central se ve subrayado por su capacidad para capitalizar la elevada volatilidad del mercado y la actividad récord de negociación de acciones en EE. UU. Reforzando esta posición, Liontrust está externalizando completamente su negociación al equipo de soluciones de negociación del lado comprador de BNY, que ofrece ejecución de operaciones global las 24 horas.",,44986804,USD,BK,SMART,STK,True,FI4
financials,financial_markets,US9282541013,VIRTU FINANCIAL INC-CLASS A,26,"Actúa como un destacado creador de mercado, mejorando la liquidez y facilitando la negociación eficiente en diversos mercados financieros.","La participación de Virtu en el tema de Mercados Financieros es evidente en su papel de proveer liquidez a los mercados globales a través de soluciones de negociación transparentes. Las ofertas de la empresa permiten a los clientes operar en cientos de mercados en más de 50 países y en múltiples clases de activos, incluyendo acciones, ETFs, renta fija, divisas y materias primas. Virtu ofrece servicios de ejecución y opera mercados de negociación como Virtu MatchIt y POSIT, ofreciendo pujas y ofertas competitivas en más de 25.000 valores e instrumentos financieros en numerosos mercados a nivel mundial.","[{'name': 'virt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/virt-Q125-10-Q.html'}, {'name': 'virt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/virt-Q225-10-Q.html'}]",190480975,USD,VIRT,SMART,STK,True,FI4
financials,financial_markets,US7707001027,ROBINHOOD MARKETS INC - A,27,"Opera una plataforma de mercado financiero que permite a los inversores minoristas acceder a diversos productos y servicios financieros, contribuyendo a la accesibilidad y expansión del mercado financiero.",,,504546674,USD,HOOD,SMART,STK,True,FI4
financials,financial_markets,US8574771031,STATE STREET CORP,28,"Facilita las operaciones dentro de los mercados financieros al ofrecer una gama de servicios que permiten la negociación, liquidación y administración de activos para los participantes del mercado.","La participación de la empresa en los mercados financieros es evidente a través de su posición como proveedor líder de soluciones de negociación, investigación y préstamos, mejoradas por plataformas innovadoras y soluciones de cartera. La franquicia de mercados de la empresa está equipada para apoyar a los clientes durante períodos volátiles, ofreciendo liquidez profunda y experiencia en negociación. Además, las operaciones de la empresa en los mercados financieros se destacan por el crecimiento y un sólido desempeño financiero durante períodos de turbulencia del mercado, con un aumento de los ingresos por operaciones de divisas impulsado por la volatilidad geopolítica y mayores volúmenes de clientes en las plataformas de negociación.",,2730980,USD,STT,SMART,STK,True,FI4
financials,financial_markets,US74144T1088,T ROWE PRICE GROUP INC,29,"Gestiona inversiones y proporciona productos financieros, participando activamente y contribuyendo al funcionamiento de los mercados financieros globales.",,,275321,USD,TROW,SMART,STK,True,FI4
financials,financial_markets,BMG491BT1088,INVESCO LTD,30,"Gestiona una diversa gama de productos y servicios de inversión, participando activamente y facilitando los flujos de capital dentro de los mercados financieros globales.","La participación de Invesco en los mercados financieros es evidente a través de sus diversas operaciones, incluidos los ETF, productos de renta fija y otros vehículos de inversión, así como su plataforma global de ETF e índices. La plataforma diversificada y la escala global de la empresa son integrales para mantener el crecimiento orgánico de los flujos a largo plazo. Además, los canales de distribución de Invesco, que abarcan vías minoristas e institucionales, contribuyen a su presencia en los mercados financieros.","[{'name': 'ivz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ivz-FY24-10-K.html'}]",47550606,USD,IVZ,SMART,STK,True,FI4
financials,financial_markets,US6177001095,MORNINGSTAR INC,31,Apoya los mercados financieros ofreciendo servicios independientes de investigación de inversiones y datos que permiten la toma de decisiones informada para los participantes.,,,34415020,USD,MORN,SMART,STK,True,FI4
financials,financial_markets,US50212V1008,LPL FINANCIAL HOLDINGS INC,32,Opera dentro de los Mercados Financieros.,"LPL opera significativamente dentro de la industria de los mercados financieros, posicionándose como líder en el espacio mediado por asesores a través de su papel como el mayor corredor-distribuidor independiente del país, una firma líder de asesoramiento de inversiones y un custodio principal. La empresa proporciona soluciones tecnológicas, plataformas de corretaje y asesoramiento, y otros servicios a asesores financieros independientes e instituciones. LPL también revisa regularmente sus operaciones y ofertas de servicios, incluidas políticas, procedimientos y plataformas, en respuesta a los desarrollos del mercado, y mantiene valores de negociación para facilitar las transacciones de los clientes.","[{'name': 'lpla-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lpla-FY24-10-K.html'}]",109435481,USD,LPLA,SMART,STK,False,FI4
financials,financial_markets,US03076C1062,AMERIPRISE FINANCIAL INC,33,"Ofrece planificación financiera integral, gestión de inversiones y soluciones de seguros que son componentes integrales de diversos mercados financieros.",,,35970258,USD,AMP,SMART,STK,True,FI4
