industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
financials,financial_services_for_smes,US0900431000,BILL HOLDINGS INC,1,"Ofrece servicios y soluciones financieras críticas diseñadas específicamente para pequeñas y medianas empresas, desempeñando un papel central en su eficiencia operativa y salud financiera.","BILL está profundamente comprometido con el tema de los Servicios Financieros para PYMES, como lo demuestra su posición como plataforma líder de operaciones financieras para pequeñas y medianas empresas. La plataforma integrada de la empresa está diseñada para ayudar a las PYMES a administrar de manera eficiente sus cuentas por pagar, por cobrar y la gestión de gastos. BILL atiende a casi 0.5 millones de PYMES y a más de 9,000 firmas de contabilidad, y se enfoca en ofrecer agentes de operaciones financieras para pequeñas y medianas empresas para acelerar el crecimiento, incluso aumentando el acceso al capital para las PYMES utilizando funciones de IA.","[{'name': 'bill-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bill-Q325-10-Q.html'}, {'name': 'bill-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bill-Q225-10-Q.html'}]",395196161,USD,BILL,SMART,STK,True,FI2
financials,financial_services_for_smes,US4612021034,INTUIT INC,2,"Proporciona soluciones integrales de software de gestión financiera y cumplimiento, incluyendo servicios de contabilidad, impuestos y nóminas, esenciales para la eficiencia operativa y el crecimiento de pequeñas y medianas empresas.","El compromiso de Intuit con los Servicios Financieros para PYMES es evidente a través de su segmento de Soluciones Empresariales Globales, que se enfoca en servir a pequeñas y medianas empresas en todo el mundo. Este segmento ofrece QuickBooks, una suite de servicios en línea y software de escritorio para la gestión financiera y empresarial, junto con soluciones de nómina, seguimiento de tiempo, procesamiento de pagos de comerciantes, soluciones de pago de facturas, cuentas corrientes y opciones de financiación. El enfoque de Intuit se extiende a la provisión de productos y servicios de gestión financiera, cumplimiento y marketing, con el objetivo de ser el centro del crecimiento de las pequeñas empresas al ofrecer herramientas para gestionar finanzas, clientes y empleados.","[{'name': 'intu-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intu-FY24-10-K.html'}, {'name': 'intu-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intu-Q125-10-Q.html'}, {'name': 'intu-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intu-Q325-10-Q.html'}, {'name': 'intu-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intu-Q225-10-Q.html'}]",270662,USD,INTU,SMART,STK,True,FI2
financials,financial_services_for_smes,US46625H1005,JPMORGAN CHASE & CO,3,"Proporciona servicios financieros integrales a pequeñas y medianas empresas, apoyando sus necesidades operativas y su crecimiento en diversos sectores.","La participación de JPMorgan en Servicios Financieros para PYMES es evidente en su enfoque en el mercado medio empresarial, que impulsa una parte significativa de su actividad general. La compañía está invirtiendo activamente en este sector a través de su iniciativa '500 bancos de la economía de la innovación', que es relativamente nueva para ellos. JPMorgan tiene como objetivo expandir su presencia en el mercado medio ofreciendo una suite integral de servicios financieros, que incluyen préstamos, soluciones de pago, servicios de custodia, gestión de activos y servicios de divisas.",,1520593,USD,JPM,SMART,STK,True,FI2
financials,financial_services_for_smes,US92826C8394,VISA INC-CLASS A SHARES,4,"Proporciona un conjunto completo de soluciones de pago digital y herramientas financieras que permiten a las pequeñas y medianas empresas aceptar pagos, gestionar transacciones y hacer crecer sus negocios a nivel mundial.",,,49462172,USD,V,SMART,STK,True,FI2
financials,financial_services_for_smes,US0530151036,AUTOMATIC DATA PROCESSING,5,"Proporciona servicios integrales de nómina, recursos humanos y administración de beneficios, que son funciones financieras esenciales para pequeñas y medianas empresas.","La participación de ADP con Servicios Financieros para PYMES es evidente a través de su paquete para pequeñas empresas, que incorpora servicios de seguros y jubilación adaptados para pequeñas y medianas empresas. La asociación de la empresa con Fiserv integra soluciones como Clover y CashFlow Central con la solución de nómina y RR. HH. RUN de ADP, con el objetivo de crear un ecosistema integral para pequeñas empresas. Esta colaboración se extiende al despliegue de la oferta RUN dentro de Clover para servir a un subconjunto de la base de clientes de Fiserv, lo que demuestra aún más el enfoque de ADP en apoyar las necesidades financieras de las PYMES.","[{'name': 'adp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adp-Q225-10-Q.html'}]",4661,USD,ADP,SMART,STK,True,FI2
financials,financial_services_for_smes,US57636Q1040,MASTERCARD INC - A,6,"Proporciona soluciones de procesamiento de pagos, herramientas digitales y servicios financieros adaptados a pequeñas y medianas empresas, facilitando sus operaciones y crecimiento.",,,38685693,USD,MA,SMART,STK,True,FI2
financials,financial_services_for_smes,CA82509L1076,SHOPIFY INC - CLASS A,7,"Ofrece una plataforma de comercio integrada que proporciona y facilita directamente servicios financieros cruciales, incluido el procesamiento de pagos y el acceso a capital, empoderando a las pequeñas y medianas empresas en sus operaciones comerciales.","La participación de Shopify en los servicios financieros para PYMES es evidente a través de Shopify Capital, que ayuda a los comerciantes elegibles a obtener financiación en varios países. Este servicio está diseñado para apoyar a las pequeñas y medianas empresas proporcionándoles financiación. Si bien los comerciantes de Shopify van desde emprendedores hasta grandes empresas, Shopify Capital está diseñado específicamente para ofrecer servicios financieros a las PYMES.","[{'name': 'shop-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/shop-FY24-10-K.html'}]",195426111,CAD,SHOP,SMART,STK,False,FI2
financials,financial_services_for_smes,US7043261079,PAYCHEX INC,8,"Ofrece soluciones integrales de externalización de recursos humanos, nóminas y beneficios adaptadas a las necesidades operativas y financieras específicas de las pequeñas y medianas empresas.","Paychex participa significativamente en Servicios Financieros para PYMES a través de la entrega de tecnología y servicios de asesoramiento en recursos humanos, soluciones de beneficios para empleados, seguros y procesamiento de nóminas a pequeñas y medianas empresas en los EE. UU. y partes de Europa. Este compromiso se ve reforzado por el enfoque de la empresa en empresas de hasta 99 empleados a través de Paychex Flex, la plataforma SurePayroll que atiende al mercado de bricolaje para pequeñas empresas, y la adquisición de Alterna Capital Solutions para diversificar su cartera de soluciones para PYMES. Con aproximadamente 800.000 clientes, el modelo PEO de Paychex empodera aún más a las pequeñas empresas al permitirles ofrecer beneficios comparables a los de las grandes corporaciones.","[{'name': 'payx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/payx-Q325-10-Q.html'}, {'name': 'payx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/payx-Q125-10-Q.html'}]",272942,USD,PAYX,SMART,STK,True,FI2
financials,financial_services_for_smes,US70450Y1038,PAYPAL HOLDINGS INC,9,"Ofrece procesamiento de pagos, facturación y soluciones de capital de trabajo que empoderan a las pequeñas y medianas empresas para gestionar sus finanzas y hacer crecer sus negocios.","PayPal demuestra su enfoque en los servicios financieros para PYMES a través de varias iniciativas. La empresa prioriza el empoderamiento de los comerciantes al proporcionar herramientas para gestionar y acelerar el crecimiento, incluida la migración de transacciones a PayPal Complete Payments (PPCP), que ofrece a las PYMES acceso a un checkout online de marca y nuevos productos como Fastlane. PayPal también amplía el acceso a herramientas y capital, profundizando las relaciones con plataformas como Wix para proporcionar a los comerciantes un conjunto completo de herramientas de pago. Además, PayPal ofrece productos de financiación para comerciantes para pequeñas y medianas empresas, con préstamos a comerciantes, anticipos e intereses y comisiones por cobrar pendientes que alcanzaron los 1.700 millones de dólares al 30 de junio de 2025.","[{'name': 'pypl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q125-10-Q.html'}, {'name': 'pypl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pypl-FY24-10-K.html'}, {'name': 'pypl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q324-10-Q.html'}, {'name': 'pypl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q225-10-Q.html'}]",199169591,USD,PYPL,SMART,STK,True,FI2
financials,financial_services_for_smes,US9029733048,US BANCORP,10,Proporciona un conjunto completo de productos y servicios financieros adaptados para satisfacer las necesidades bancarias y de crédito de las pequeñas y medianas empresas.,"USB demuestra su participación en Servicios Financieros para PYMES a través de su solidez en préstamos a pequeñas empresas, particularmente dentro del sector de la salud, y su participación en programas de préstamos de la SBA. El crecimiento de la empresa en mercados de expansión y el mercado medio indica aún más su compromiso con las actividades financieras para PYMES. Si bien la empresa experimenta crecimiento en pequeñas empresas, no hay detalles específicos sobre equipos o empleados dedicados en esta área.",,11669769,USD,USB,SMART,STK,True,FI2
