type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
financials,fintech_solutions,US92826C8394,VISA INC-CLASS A SHARES,1,"Facilita y habilita una amplia gama de innovaciones en pagos digitales, apoyando el desarrollo y la adopción de soluciones de tecnología financiera a nivel mundial.","La fuerte participación de Visa en Soluciones Fintech es evidente a través de sus adquisiciones estratégicas y operaciones comerciales principales. Las adquisiciones de Featurespace, un desarrollador de tecnología de protección de pagos con IA en tiempo real, y Pismo Holdings, una plataforma de procesamiento de emisores nativa de la nube y banca central, demuestran la inversión de Visa en innovación fintech. Visa facilita el comercio global y el movimiento de dinero a través de tecnologías innovadoras, brindando servicios de procesamiento de transacciones a través de VisaNet. Además, Visa se asocia activamente con empresas fintech como Sunny y Wealthsimple, ofreciendo soluciones personalizadas como tarjetas de desembolso prepagas y ofertas para clientes de alto patrimonio.","[{'name': 'v-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/v-Q325-10-Q.html'}, {'name': 'v-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/v-Q225-10-Q.html'}, {'name': 'v-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/v-FY24-10-K.html'}]",49462172,USD,V,SMART,STK,True
financials,fintech_solutions,US70450Y1038,PAYPAL HOLDINGS INC,2,"Proporciona un conjunto completo de soluciones digitales de pago y tecnología financiera, lo que permite transacciones seguras y convenientes para consumidores y empresas a nivel mundial.","La participación de PayPal en Soluciones Fintech es evidente en su misión de revolucionar el comercio a nivel mundial, permitiendo pagos digitales y simplificando las experiencias comerciales para consumidores y comerciantes. La empresa se está transformando activamente de una empresa de pagos tradicional a una plataforma de comercio dinámica, conectando a millones de consumidores y comerciantes a través de su plataforma abierta bidireccional. Esta transformación está respaldada por inversiones en servicios de valor añadido y el desarrollo de una billetera inteligente dinámica, destinada a proporcionar experiencias de compra personalizadas e innovadoras. Como plataforma tecnológica líder, PayPal se enfoca en crear experiencias innovadoras que simplifican el movimiento de dinero, la venta y las compras, tanto en línea como fuera de línea.","[{'name': 'pypl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pypl-FY24-10-K.html'}, {'name': 'pypl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q125-10-Q.html'}, {'name': 'pypl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q324-10-Q.html'}]",199169591,USD,PYPL,SMART,STK,True
financials,fintech_solutions,US31620M1062,FIDELITY NATIONAL INFO SERV,3,"Proporciona un conjunto completo de soluciones de tecnología financiera que impulsan la industria global de servicios financieros, permitiendo funciones críticas para bancos, comerciantes y empresas de mercados de capitales.","FIS se identifica como una empresa de tecnología financiera que proporciona soluciones a instituciones financieras, empresas y desarrolladores, lo que es un aspecto central de sus operaciones. Esto se demuestra aún más por el hecho de que los flujos de ingresos de la empresa se derivan de soluciones tecnológicas y de procesamiento, junto con inversiones en empresas que desarrollan tecnologías complementarias en el espacio de los servicios financieros. La dedicación de FIS a avanzar en la forma en que el mundo paga, opera bancariamente e invierte, combinada con su estrategia Future Forward y el lanzamiento del Money Movement Hub, subraya la importancia de las soluciones fintech para impulsar el éxito de la empresa. La empresa también se centra en soluciones digitales, incluida la adquisición de Issuer Solutions y la selección de su producto Digital One por parte de un banco comunitario del Medio Oeste, lo que pone de relieve la importancia estratégica de mejorar las capacidades digitales.","[{'name': 'fis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fis-Q225-10-Q.html'}, {'name': 'fis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fis-FY24-10-K.html'}, {'name': 'fis-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fis-Q125-10-Q.html'}, {'name': 'fis-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fis-Q324-10-Q.html'}]",37866641,USD,FIS,SMART,STK,True
financials,fintech_solutions,US57636Q1040,MASTERCARD INC - A,4,"Proporciona infraestructura de pago, tecnología y servicios de red esenciales que permiten y aceleran el desarrollo y la adopción de diversas innovaciones fintech en todo el ecosistema financiero global.","Mastercard opera como una empresa de tecnología dentro de la industria global de pagos, facilitando los pagos electrónicos y ofreciendo diversas soluciones de pago. Esto se destaca por sus asociaciones con plataformas fintech como OnePay y Mercado Libre, junto con colaboraciones como el lanzamiento de una nueva tarjeta de crédito con Walmart a través de una asociación con OnePay y Synchrony. Además, la participación de Mastercard se extiende a capacidades de banca abierta a través de asociaciones con Deutsche Bank y Payoneer, lo que demuestra su inversión en servicios diseñados para acelerar el crecimiento de las pequeñas empresas en toda Europa. La función principal de la empresa implica conectar a varias entidades en todo el mundo al permitir transacciones de pago electrónico seguras y accesibles.","[{'name': 'ma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ma-Q225-10-Q.html'}, {'name': 'ma-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ma-Q125-10-Q.html'}, {'name': 'ma-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ma-Q324-10-Q.html'}, {'name': 'ma-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ma-FY24-10-K.html'}]",38685693,USD,MA,SMART,STK,True
financials,fintech_solutions,US58733R1023,MERCADOLIBRE INC,5,"Ofrece una amplia gama de procesamiento de pagos digitales, crédito y servicios financieros a través de su plataforma Mercado Pago, facilitando el comercio y la inclusión financiera en sus regiones operativas.","MercadoLibre se identifica como el ecosistema líder de comercio electrónico y fintech en América Latina, enfatizando la importancia de su plataforma Mercado Pago. Esta plataforma es líder en usuarios activos mensuales en México, Argentina y Chile, y la segunda más grande en Brasil, ofreciendo un portafolio completo de servicios financieros a consumidores y comerciantes. Los servicios fintech de la compañía continúan ganando una fuerte tracción, con un crecimiento significativo en usuarios activos mensuales, activos bajo gestión y cartera de crédito, lo que refleja su importancia estratégica y la inversión continua en soluciones fintech. MercadoLibre tiene como objetivo transformar los servicios financieros y convertirse en el banco digital más grande de la región, interrumpiendo los mercados tradicionales y solidificando su posición en el panorama fintech.","[{'name': 'meli-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/meli-FY24-10-K.html'}, {'name': 'meli-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meli-Q225-10-Q.html'}, {'name': 'meli-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meli-Q125-10-Q.html'}]",45602025,USD,MELI,SMART,STK,False
financials,fintech_solutions,US46625H1005,JPMORGAN CHASE & CO,6,"Desarrolla e integra soluciones tecnológicas avanzadas para modernizar la banca, el procesamiento de pagos y otros servicios financieros, impulsando la innovación dentro del sector de la tecnología financiera.","JPMorgan reconoce la importancia de las empresas fintech, particularmente sus esfuerzos por innovar en sistemas de pago y programas de recompensas, lo que impulsa a la empresa a mantenerse informada e involucrada en el espacio fintech. Esto se refleja en la continua inversión de JPMorgan en tecnología y el crecimiento de su base de empleados tecnológicos. La empresa reconoce a las fintech como una fuerza competitiva, lo que requiere que sean conscientes de los avances, a pesar de que no hay evidencia explícita de equipos dedicados o posicionamiento único en la industria fintech.",,1520593,USD,JPM,SMART,STK,True
financials,fintech_solutions,US8522341036,BLOCK INC,7,Proporciona soluciones de tecnología financiera.,"La empresa demuestra su compromiso con las Soluciones Fintech a través de sus ecosistemas Square y Cash App. Square facilita los pagos con tarjeta y ofrece herramientas adicionales de gestión empresarial, mientras que Cash App proporciona productos y servicios financieros para particulares, incluyendo Cash App Card y Cash App Pay. El enfoque de la empresa en estos ecosistemas es evidente en el crecimiento de los productos relacionados con servicios financieros de Cash App, como el uso de Cash App Card, Cash App Borrow y Cash App Instant Deposit, así como los ingresos de su plataforma BNPL. La empresa también utiliza su banco, Square Financial Services, para emitir préstamos al consumidor para Cash App Borrow a nivel nacional.","[{'name': 'xyz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xyz-Q225-10-Q.html'}, {'name': 'xyz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xyz-Q125-10-Q.html'}, {'name': 'xyz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/xyz-FY24-10-K.html'}]",212671971,USD,XYZ,SMART,STK,True
financials,fintech_solutions,US4612021034,INTUIT INC,8,"Desarrolla y proporciona un conjunto integral de soluciones de tecnología financiera, que incluyen preparación de impuestos, software de contabilidad y gestión de finanzas personales, empoderando a individuos y pequeñas empresas con herramientas para la prosperidad financiera.","El enfoque de Intuit en Soluciones Fintech es evidente en la entrega de productos y servicios de gestión financiera, cumplimiento y marketing, aprovechando la IA, incluida la IA generativa, para transformar la industria de la tecnología financiera. La empresa proporciona productos y servicios impulsados por la tecnología como QuickBooks Online y TurboTax, optimizando la entrega de servicios financieros y automatizando tareas para empresas a través de su plataforma todo en uno y el Intuit Enterprise Suite. Además, Intuit está lanzando una plataforma empresarial transformadora con agentes de IA que automatizan flujos de trabajo y brindan información en tiempo real, mejorando el flujo de caja y impulsando el crecimiento de sus clientes, lo que demuestra un compromiso con soluciones financieras tecnológicamente avanzadas.","[{'name': 'intu-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intu-FY24-10-K.html'}, {'name': 'intu-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intu-Q125-10-Q.html'}, {'name': 'intu-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intu-Q325-10-Q.html'}]",270662,USD,INTU,SMART,STK,True
financials,fintech_solutions,KYG6683N1034,NU HOLDINGS LTD/CAYMAN ISL-A,9,"Se enfoca en proporcionar productos y servicios financieros digitales innovadores, incluidas tarjetas de crédito, cuentas y soluciones de inversión, a una amplia base de clientes, impulsando así la adopción y evolución de fintech a nivel mundial.","Nubank opera como una plataforma líder de tecnología financiera, que ofrece una gama de productos y servicios, que incluyen banca digital, crédito, seguros e inversiones en criptomonedas. La empresa enfatiza su plataforma de bajo costo y alta eficiencia, que impulsa la adquisición, el compromiso y la monetización de clientes. El enfoque de Nubank en soluciones fintech es fundamental para su modelo de negocio, aprovechando las eficiencias de escala, la automatización de procesos y la inversión sostenida en tecnología para reducir costos y mejorar su modelo de banca digital.",,531212348,USD,NU,SMART,STK,False
financials,fintech_solutions,GB00BL9YR756,WISE PLC - A,10,"Ofrece una infraestructura tecnológica global para pagos transfronterizos, permitiendo transacciones internacionales más rápidas, baratas y transparentes para individuos y empresas.",,,501271364,GBP,WISE,SMART,STK,False
