symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
UBER,CR,FOO,consumer and retail,food_delivery,US90353T1007,UBER TECHNOLOGIES INC,1,"Opera una plataforma global líder para la entrega de alimentos, permitiendo a los consumidores pedir de una amplia selección de restaurantes e impulsando la expansión del mercado de servicios de comidas bajo demanda.","La conexión de Uber entre los consumidores y los proveedores de servicios de entrega de preparación de comidas, comestibles y otros servicios subraya la importancia de la entrega de alimentos para sus operaciones. Las reservas brutas de entrega han crecido consistentemente año tras año, impulsadas por un aumento en el volumen de viajes, y este crecimiento es un factor clave en los ingresos de la empresa. Uber se enfoca en hacer crecer su estrategia de plataforma en movilidad y entrega, con esfuerzos para integrar estos servicios, como lo demuestra el éxito de Uber One y las sustanciales reservas de entrega impulsadas por la aplicación de viajes. La empresa también se enfoca en la asequibilidad a través de programas de membresía y ofertas financiadas por comerciantes, y está viendo éxito en varios mercados.","[{'name': 'uber-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/uber-FY24-10-K.html'}, {'name': 'uber-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q125-10-Q.html'}, {'name': 'uber-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q324-10-Q.html'}, {'name': 'uber-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q225-10-Q.html'}]",365207014,USD,SMART,STK
DASH,CR,FOO,consumer and retail,food_delivery,US25809K1051,DOORDASH INC - A,2,Opera una plataforma líder que conecta a los consumidores con restaurantes y otros comerciantes locales para servicios de entrega de comida a pedido.,"La conexión de DoorDash con el tema de Entrega de Alimentos es evidente a través de sus operaciones comerciales principales, centradas principalmente en los Marketplaces de DoorDash y Wolt, que operan en más de 30 países y organizan servicios de entrega. Estos marketplaces conectan a comerciantes, consumidores y 'Dashers', facilitando la presencia en línea, la generación de demanda y el cumplimiento de pedidos. El enfoque de la empresa en expandir la selección, mejorar la asequibilidad y aumentar la calidad del servicio subraya aún más su dedicación a la entrega de alimentos, que el CEO Tony Xu identifica como la categoría más resiliente.","[{'name': 'dash-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dash-FY24-10-K.html'}, {'name': 'dash-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dash-Q324-10-Q.html'}, {'name': 'dash-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dash-Q225-10-Q.html'}]",459309417,USD,SMART,STK
CART,CR,FOO,consumer and retail,food_delivery,US5653941030,MAPLEBEAR INC,3,Opera una destacada plataforma en línea que conecta a los consumidores con supermercados y tiendas minoristas locales para la entrega conveniente de alimentos y artículos esenciales.,"La participación de Instacart en el tema de entrega de alimentos es evidente a través de su modelo de entrega a pedido, que inicialmente se centró en comestibles pero se ha expandido para incluir servicios de entrega de restaurantes. La empresa facilita la entrega y recogida en restaurantes, con asociaciones como la de Uber Eats que contribuyen a esta expansión. Si bien el enfoque principal de Instacart sigue siendo la entrega de comestibles, la integración de servicios de restaurantes tiene como objetivo reforzar los pedidos de comestibles y crear un ciclo virtuoso, beneficiando particularmente a los miembros de Instacart+ y aumentando la frecuencia de los pedidos.","[{'name': 'cart-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cart-Q125-10-Q.html'}, {'name': 'cart-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cart-Q324-10-Q.html'}]",655310909,USD,SMART,STK
GRAB,CR,FOO,consumer and retail,food_delivery,KYG4124C1096,GRAB HOLDINGS LTD - CL A,4,"Ofrece amplios servicios de entrega de alimentos como componente central de su plataforma súper-app, conectando a los consumidores con una amplia gama de restaurantes y socios de entrega.","El enfoque de Grab en la entrega de alimentos es evidente a través de varias iniciativas y servicios, que incluyen GrabFood, GrabFood for One, Shared Saver, Dine Out, Cuentas Familiares y Pedidos Grupales. Estas iniciativas están diseñadas para impulsar el crecimiento y la participación dentro del segmento de Entregas, con nuevas iniciativas de productos que crecen 3 veces más rápido que los productos existentes y contribuyen a una parte sustancial del GMV de Entregas. Grab también enfatiza la asequibilidad y la participación del usuario a través de opciones como la entrega Saver y el programa de fidelización GrabUnlimited, que impulsa un mayor gasto y frecuencia de pedidos. El compromiso de la empresa de expandir sus servicios de entrega de alimentos se demuestra aún más por su enfoque en la selección de productos, el tráfico de comerciantes y la integración de pedidos de alimentos y comestibles a través de GrabMore.",,530319709,USD,SMART,STK
DPZ,CR,FOO,consumer and retail,food_delivery,US25754A2015,DOMINO'S PIZZA INC,5,"Opera como líder mundial en entrega de pizza, aprovechando su extensa red de tiendas y logística para brindar servicios convenientes de entrega de alimentos a clientes de todo el mundo.","Domino's mantiene una presencia significativa en el sector de la entrega de alimentos a través de su modelo de negocio principal, que incluye servicios de entrega y para llevar. La empresa tiene acuerdos con Uber Technologies y DoorDash, lo que permite a los clientes pedir productos de Domino's a través de estos mercados. Domino's está trabajando activamente para mejorar tanto sus propios canales de entrega como los servicios de entrega de agregadores, y se espera que el lanzamiento nacional con DoorDash impulse las ventas en EE. UU. La empresa considera a los agregadores como parte de su negocio de entrega y se enfoca en estar donde están los clientes.","[{'name': 'dpz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dpz-Q225-10-Q.html'}, {'name': 'dpz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dpz-Q125-10-Q.html'}, {'name': 'dpz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dpz-Q324-10-Q.html'}]",29831612,USD,SMART,STK
TKWY,CR,FOO,consumer and retail,food_delivery,NL0012015705,JUST EAT TAKEAWAY,6,"Opera como un mercado líder mundial de entrega de alimentos en línea, facilitando las conexiones entre los consumidores y una amplia gama de restaurantes para pedir y entregar comidas de manera conveniente.",,,249769712,EUR,VALUE,STK
DHER,CR,FOO,consumer and retail,food_delivery,DE000A2E4K43,DELIVERY HERO SE,7,Opera una plataforma global que conecta a los clientes con restaurantes y supermercados para servicios de pedidos y entrega de alimentos y comestibles en línea.,,,281129632,EUR,SMART,STK
CPNG,CR,FOO,consumer and retail,food_delivery,US22266T1097,COUPANG INC,8,"Opera un servicio integral de entrega de alimentos, aprovechando su extensa infraestructura logística para proporcionar un acceso conveniente a comidas para los consumidores.","Coupang participa activamente en la industria de entrega de alimentos a través de su servicio Coupang Eats, que está disponible en Corea y otras regiones. La empresa enfatiza su compromiso de brindar la mejor experiencia al cliente en entrega de alimentos, centrándose en la selección, el valor y la entrega fiable. Coupang Eats se considera una oferta en desarrollo, y la empresa se enfoca en mantener su impulso y sorprender a los clientes con su servicio.","[{'name': 'cpng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cpng-FY24-10-K.html'}, {'name': 'cpng-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpng-Q125-10-Q.html'}, {'name': 'cpng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpng-Q225-10-Q.html'}]",475686899,USD,SMART,STK
WMT,CR,FOO,consumer and retail,food_delivery,US9311421039,WALMART INC,9,"Ofrece amplios servicios de entrega de alimentos, aprovechando su vasta red minorista para ofrecer cómodas opciones de comestibles y comidas directamente a los consumidores.","El compromiso de Walmart con la entrega de alimentos es evidente a través de su énfasis en velocidades de entrega más rápidas y la expansión de las capacidades de cumplimiento. Una parte significativa de las entregas de Walmart se completan en tres horas, con un porcentaje notable que llega en menos de 30 minutos, lo que resalta el enfoque de la empresa en la velocidad y la conveniencia. Esto se ve respaldado aún más por el crecimiento de las entregas desde tiendas y la contribución de las ventas de comercio electrónico, impulsadas por la recogida y entrega cumplidas en tienda. Walmart también se enfoca en mejorar la velocidad de entrega, con el objetivo de llegar a una gran parte de la población de EE. UU. con opciones de entrega de 3 horas o menos, y está desarrollando capacidades de comercio rápido en mercados internacionales como China e India.","[{'name': 'wmt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q325-10-Q.html'}]",13824,USD,SMART,STK
MCD,CR,FOO,consumer and retail,food_delivery,US5801351017,MC DONALD'S-CORP,10,"Aprovecha su extensa red global de restaurantes para ofrecer servicios de entrega de alimentos generalizados, ampliando significativamente el acceso de los clientes a su menú.","McDonald's demuestra un fuerte enfoque en la entrega de alimentos, ofreciendo servicios desde más de 36.000 a 39.000 restaurantes en aproximadamente 100 mercados, lo que representa casi el 90% de sus ubicaciones. La empresa está mejorando activamente la experiencia de entrega al cliente al permitir pedidos a través de aplicaciones móviles y formar alianzas estratégicas a largo plazo con proveedores de entrega. McDonald's tiene como objetivo integrar aún más la entrega en sus operaciones, esperando aumentar el porcentaje de ventas de entrega en todo el sistema originadas en su aplicación móvil al 30% para finales de 2027.","[{'name': 'mcd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q125-10-Q.html'}, {'name': 'mcd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q225-10-Q.html'}, {'name': 'mcd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q324-10-Q.html'}]",9408,USD,SMART,STK
ETERNAL,CR,FOO,consumer and retail,food_delivery,INE758T01015,ETERNAL LIMITED,11,"Opera una plataforma digital líder que conecta a los clientes con una amplia red de restaurantes para servicios de pedidos y entrega de alimentos en línea, contribuyendo significativamente a la expansión y conveniencia del mercado de comidas preparadas.",,,504495347,INR,NSE,STK
PZZA,CR,FOO,consumer and retail,food_delivery,US6988131024,PAPA JOHN'S INTL INC,12,Participa en el sector de entrega de alimentos operando una cadena global de restaurantes de pizza que ofrece servicios de entrega para sus productos alimenticios.,"Papa John's opera y otorga franquicias de restaurantes de entrega y para llevar de pizza, con una parte significativa de sus ventas ocurriendo a través de canales digitales. Para mejorar la experiencia del cliente, están realizando inversiones estratégicas en infraestructura tecnológica, incluida una asociación con Google Cloud para mejorar el proceso de pedido y entrega. Además, el transporte y la entrega representan componentes significativos de su costo de ventas, lo que resalta la importancia de la entrega para su modelo de negocio. Adicionalmente, otros ingresos se derivan de su negocio de pedidos en línea y móviles.","[{'name': 'pzza-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pzza-Q125-10-Q.html'}, {'name': 'pzza-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pzza-Q324-10-Q.html'}, {'name': 'pzza-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pzza-Q225-10-Q.html'}]",273538,USD,SMART,STK
KR,CR,FOO,consumer and retail,food_delivery,US5010441013,KROGER CO,13,"Opera extensos servicios de entrega de comestibles, brindando a los clientes acceso conveniente a una amplia gama de productos alimenticios directamente en sus hogares.","La participación de Kroger en la entrega de alimentos es evidente en su creciente estrategia de comercio electrónico, donde las ventas de entrega han superado a las ventas de recogida en tienda. La empresa se centra en mejorar la velocidad de entrega, con el objetivo de entregas en menos de dos horas, y aprovechando su huella de tiendas para expandir las capacidades de entrega rápida. Las soluciones de entrega de Kroger, que incluyen pedidos entregados desde ubicaciones de tiendas minoristas, centros de cumplimiento de clientes y plataformas de terceros, han mostrado un crecimiento significativo, impulsado por la creciente demanda en toda la red de entrega de Kroger. Además, las mejoras en la rentabilidad de la entrega y la capacidad de cumplir pedidos tanto de tiendas como de centros de cumplimiento centralizados subrayan la importancia de la entrega de alimentos para el negocio de Kroger.","[{'name': 'kr-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kr-Q224-10-Q.html'}]",8908,USD,SMART,STK
