industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,food_ingredients,US4595061015,INTL FLAVORS & FRAGRANCES,1,"Como proveedor global líder, proporciona ingredientes alimentarios esenciales que impulsan la innovación y mejoran el sabor, la textura y el valor nutricional de los productos alimenticios y bebidas de consumo.","La participación de IFF en el tema de Ingredientes Alimentarios es evidente a través de su segmento dedicado de Ingredientes Alimentarios, que presenta una amplia gama de ingredientes especiales naturales y de origen vegetal, que ofrecen soluciones de texturización, protección de alimentos, proteínas de soja y guisantes, emulsionantes y edulcorantes. El segmento Nourish de la empresa también contribuye con una cartera de ingredientes de origen natural diseñados para mejorar el valor nutricional, la textura y la funcionalidad de diversas aplicaciones de alimentos y bebidas. Además, IFF ha expandido estratégicamente su liderazgo mundial en ingredientes y soluciones de alto valor para el mercado de Alimentos y Bebidas a través de fusiones y adquisiciones, solidificando su posición en categorías clave como Sabor, Textura, Nutrición, Enzimas, Cultivos y Proteínas de Soja.","[{'name': 'iff-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q125-10-Q.html'}, {'name': 'iff-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q324-10-Q.html'}, {'name': 'iff-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q225-10-Q.html'}, {'name': 'iff-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/iff-FY24-10-K.html'}]",8385,USD,IFF,SMART,STK,True,FO1
consumer and retail,food_ingredients,US0394831020,ARCHER-DANIELS-MIDLAND CO,2,"Proporciona una amplia gama de ingredientes derivados de productos agrícolas, sirviendo a la industria global de alimentos y bebidas con soluciones para el realce del sabor, la textura y la nutrición.","La participación de ADM en el tema de Ingredientes Alimentarios es evidente a través de su posición como proveedor principal de nutrición humana y animal, que ofrece una amplia cartera de ingredientes y soluciones. La empresa fabrica, vende y distribuye una amplia gama de ingredientes, incluidas proteínas de origen vegetal, sabores naturales, colores, emulsionantes y enzimas. Esto se ve reforzado por las adquisiciones de Revela Foods y FDL, que desarrollan ingredientes de sabor lácteo y sistemas de ingredientes funcionales, respectivamente. Si bien el segmento de Nutrición contribuye con una parte de los ingresos totales, el enfoque de ADM en sabores e ingredientes especiales resalta su importancia estratégica para el mercado de ingredientes alimentarios.","[{'name': 'adm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q225-10-Q.html'}, {'name': 'adm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adm-FY24-10-K.html'}, {'name': 'adm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q125-10-Q.html'}, {'name': 'adm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q324-10-Q.html'}]",4165,USD,ADM,SMART,STK,True,FO1
consumer and retail,food_ingredients,US4571871023,INGREDION INC,3,Desempeña un papel crucial en la industria de alimentos y bebidas al suministrar una amplia cartera de ingredientes que permiten a los fabricantes desarrollar productos diversos e innovadores.,"Ingredion se identifica como un proveedor líder mundial de soluciones de ingredientes, transformando materiales de origen vegetal en ingredientes de valor agregado para los mercados de alimentos, bebidas, nutrición animal, cervecería e industrial. El segmento de Soluciones de Textura y Saludables de la compañía impulsa el crecimiento a través de soluciones de etiqueta limpia y formulaciones asequibles, con un enfoque en la reducción de azúcar y el fortalecimiento de proteínas. Ingredion también se asocia con los clientes para ayudar a introducir productos con texturas novedosas y perfiles más saludables, al tiempo que atiende las necesidades de reformulación de los clientes con formulaciones personalizadas.","[{'name': 'ingr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ingr-FY24-10-K.html'}, {'name': 'ingr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ingr-Q225-10-Q.html'}, {'name': 'ingr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ingr-Q125-10-Q.html'}, {'name': 'ingr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ingr-Q324-10-Q.html'}]",107051249,USD,INGR,SMART,STK,True,FO1
consumer and retail,food_ingredients,CH1300646267,BUNGE GLOBAL SA,4,"Proporciona ingredientes alimentarios esenciales al transformar materias primas agrícolas en aceites, harinas y productos especializados para la industria alimentaria mundial.","La participación de Bunge en el tema de la industria de ingredientes alimentarios es evidente a través de sus segmentos de Aceites Refinados y Especiales y Molienda, que producen productos utilizados como ingredientes en otros productos alimenticios. El segmento de Aceites Refinados y Especiales, un segmento importante de informes, se centra en ingredientes utilizados en la producción de alimentos, contribuyendo una parte notable de los ingresos de Bunge con 3.177 millones de dólares en ventas netas para los tres meses finalizados el 30 de junio de 2025. Además, la inversión minoritaria histórica de la empresa en Australian Plant Proteins, un fabricante de ingredientes proteicos novedosos, demuestra aún más su interés en el sector de ingredientes alimentarios, a pesar del posterior deterioro de la inversión. El segmento de Aceites Refinados y Especiales también experimenta ventas por precios más altos en Europa y Asia debido a una mayor demanda.","[{'name': 'bg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q225-10-Q.html'}, {'name': 'bg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bg-FY24-10-K.html'}]",663174498,USD,BG,SMART,STK,True,FO1
consumer and retail,food_ingredients,CH0010645932,GIVAUDAN-REG,5,"Es un desarrollador y proveedor líder de ingredientes alimentarios, contribuyendo al sabor, la textura y los perfiles nutricionales de productos de alimentos y bebidas a nivel mundial.",,,8945997,CHF,GIVN,SMART,STK,False,FO1
consumer and retail,food_ingredients,US2372661015,DARLING INGREDIENTS INC,6,Proporciona ingredientes alimentarios esenciales al transformar subproductos animales y aceites de cocina usados en diversos productos de valor añadido para la industria alimentaria.,"Darling Ingredients es un desarrollador y productor global de ingredientes naturales sostenibles a partir de bio-nutrientes comestibles e in-comestibles, creando una amplia gama de ingredientes y soluciones especializadas personalizadas para clientes, incluidos los de la industria alimentaria. El segmento operativo de Ingredientes Alimentarios de la empresa se centra en actividades como el procesamiento de trozos de huesos de res y cerdo, pieles, cueros e intestinos en colágeno y tripa natural en varios continentes. Darling Ingredients también transforma corrientes de subproductos animales en ingredientes utilizables y especializados como colágeno y grasas comestibles, y está avanzando en la validación científica de productos como Nextida GC, un producto para el control de la glucosa, lo que refleja su dedicación a la innovación en el espacio de los ingredientes alimentarios.","[{'name': 'dar-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dar-Q125-10-Q.html'}, {'name': 'dar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dar-Q324-10-Q.html'}, {'name': 'dar-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dar-Q225-10-Q.html'}, {'name': 'dar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dar-FY24-10-K.html'}]",6604385,USD,DAR,SMART,STK,True,FO1
consumer and retail,food_ingredients,DE000SYM9999,SYMRISE AG,7,"Es un desarrollador y productor líder de sabores e ingredientes nutricionales, esenciales para la creación y mejora de diversos productos alimenticios a nivel mundial.",,,41963116,EUR,SY1,SMART,STK,False,FO1
consumer and retail,food_ingredients,DK0060336014,NOVONESIS (NOVOZYMES) B,8,"Desarrolla y suministra soluciones biológicas, incluidas enzimas, que son cruciales para mejorar la producción, la calidad y la funcionalidad de diversos ingredientes alimentarios.",,,98293256,DKK,NSIS.B,SMART,STK,False,FO1
consumer and retail,food_ingredients,US9024941034,TYSON FOODS INC-CL A,9,"Proporciona un volumen sustancial de productos cárnicos y avícolas, que se utilizan ampliamente como ingredientes fundamentales en toda la industria alimentaria.",,,275405,USD,TSN,SMART,STK,True,FO1
consumer and retail,food_ingredients,GB00BP92CJ43,TATE & LYLE PLC,10,"Es un contribuyente clave a la industria de Ingredientes Alimentarios, suministrando componentes esenciales para diversos productos alimenticios.",,,559436965,GBP,TATE,SMART,STK,False,FO1
