industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,food_service_distribution,US8718291078,SYSCO CORP,1,"Opera como un distribuidor global líder de alimentos y productos relacionados a restaurantes, centros de atención médica, instalaciones educativas y otras operaciones de servicios de alimentos, sirviendo como un eslabón crítico en la cadena de suministro para estos sectores.","La participación de Sysco en el tema de Distribución de Servicios de Alimentación es significativa, ya que la empresa opera principalmente dentro de esta industria. Sysco se identifica como líder del mercado en distribución de servicios de alimentación, con Operaciones de Servicios de Alimentación en EE. UU. e Internacionales representando una parte sustancial de sus ventas totales. El enfoque de la empresa se ve subrayado por iniciativas estratégicas como la transformación 'Recipe for Growth', destinada a superar a la industria de distribución de servicios de alimentación, y los esfuerzos para mejorar los niveles de servicio con tasas de cumplimiento y entrega a tiempo. La dedicación de Sysco se evidencia aún más en su extensa red de distribución, su base de clientes que abarca restaurantes, atención médica, educación y los sectores de viajes y ocio, y sus continuos esfuerzos para optimizar su cadena de suministro, incluyendo nuevas instalaciones y programas de abastecimiento estratégico.","[{'name': 'syy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syy-Q225-10-Q.html'}, {'name': 'syy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syy-Q125-10-Q.html'}, {'name': 'syy-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syy-Q325-10-Q.html'}, {'name': 'syy-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/syy-FY25-10-K.html'}]",12581,USD,SYY,SMART,STK,True,FOO
transportation and logistics,food_service_distribution,US9120081099,US FOODS HOLDING CORP,2,"Sirve como un eslabón crítico en la cadena de suministro, proporcionando servicios integrales de distribución de alimentos a una amplia gama de establecimientos de servicio de alimentos.","US Foods mantiene una sólida posición en la distribución de servicios de alimentos a través de sus extensas operaciones e iniciativas estratégicas. La compañía suministra aproximadamente 250,000 ubicaciones de clientes en todo el país con una variedad de artículos de alimentos y no alimentos, utilizando una red de más de 70 centros de distribución y una flota de más de 6,500 camiones. Esta extensa infraestructura apoya la misión de la compañía de empoderar a chefs y operadores de servicios de alimentos, reforzada aún más por su estrategia 'WE HELP YOU MAKE IT™'. Además, US Foods está explorando la posible venta de su negocio CHEF’STORE para centrarse por completo en las operaciones de distribución general entregadas, lo que demuestra un claro compromiso con esta área central.","[{'name': 'usfd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/usfd-Q125-10-Q.html'}, {'name': 'usfd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/usfd-Q324-10-Q.html'}, {'name': 'usfd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/usfd-FY24-10-K.html'}, {'name': 'usfd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/usfd-Q225-10-Q.html'}]",234662860,USD,USFD,SMART,STK,True,FOO
transportation and logistics,food_service_distribution,US71377A1034,PERFORMANCE FOOD GROUP CO,3,"Opera como un proveedor líder en el sector de distribución de servicios de alimentos, suministrando una amplia gama de productos a diversos establecimientos de comida fuera del hogar.","Performance Food Group Company opera principalmente en la industria de distribución de servicios de alimentos, comercializando y distribuyendo alimentos y productos relacionados en América del Norte. El segmento de servicios de alimentos de la compañía se dedica a dar servicio a restaurantes y suministrar una amplia gama de productos, incluidas marcas nacionales, marcas de clientes y productos alimenticios de marca propia a más de 300.000 ubicaciones de clientes. Además, Performance Food Group tiene una estrategia clara para consolidar su posición como distribuidor líder de alimentos y servicios de alimentos en América del Norte en el mercado de alimentos fuera del hogar.","[{'name': 'pfgc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pfgc-Q225-10-Q.html'}]",208317027,USD,PFGC,SMART,STK,True,FOO
transportation and logistics,food_service_distribution,US03852U1060,ARAMARK,4,"Ofrece soluciones integrales de servicios de alimentos, gestionando la adquisición y distribución de alimentos y suministros para una clientela diversa en múltiples industrias.","La participación de Aramark en la Distribución de Servicios de Alimentos es evidente a través de sus operaciones globales de cadena de suministro, que respaldan su provisión de servicios de alimentos a diversos sectores, incluyendo educación, salud, negocios y deportes. La empresa se enfoca en la expansión de GPO y aprovecha sus capacidades de cadena de suministro para impulsar el crecimiento de las ganancias y la expansión de los márgenes, utilizando tecnología impulsada por IA para mejorar estas capacidades. Además, las iniciativas de cadena de suministro de Aramark forman parte de sus esfuerzos de gestión de costos, apoyando indirectamente la distribución de servicios de alimentos al garantizar el suministro eficiente de productos alimenticios. Si bien Aramark brinda servicios de alimentos a una variedad de clientes, sus mejoras en la cadena de suministro y la expansión de GPO respaldan implícitamente la distribución de servicios de alimentos.","[{'name': 'armk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/armk-Q125-10-Q.html'}]",139816149,USD,ARMK,SMART,STK,True,FOO
transportation and logistics,food_service_distribution,GB00B0744B38,BUNZL PLC,5,"Proporciona soluciones integrales de distribución a la industria de servicios de alimentos, estableciéndose como un actor global clave.",,,34777674,GBP,BNZL,SMART,STK,False,FOO
transportation and logistics,food_service_distribution,US5132721045,LAMB WESTON HOLDINGS INC,6,"Suministra una amplia gama de productos de patatas congeladas a la industria de la restauración, que se distribuyen a través de diversos canales a restaurantes y otros clientes comerciales.","Lamb Weston se identifica como un productor, distribuidor y comercializador global líder de productos de patata congelada de valor añadido, y las patatas fritas representan la mayoría de su cartera de productos, llegando a una diversa base de clientes en más de 100 países. La empresa se enfoca en fortalecer las alianzas con los clientes realineando los equipos de ventas en torno a mercados prioritarios y expandiéndose a canales poco penetrados utilizando un modelo de intermediario. Lamb Weston también se enfoca en expandir su cuota en categorías clave fuera del hogar, incluyendo tiendas de conveniencia y cash and carry, al tiempo que reconoce la importancia del tráfico de restaurantes para las ventas netas de su segmento en Norteamérica.","[{'name': 'lw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lw-Q125-10-Q.html'}]",253184108,USD,LW,SMART,STK,True,FOO
transportation and logistics,food_service_distribution,FR0000121220,SODEXO SA,7,Impulsa una demanda sustancial y necesidades logísticas complejas dentro del sector de distribución de servicios de alimentos al operar una vasta red global de servicios de alimentos in situ.,,,29612218,EUR,SW,SMART,STK,False,FOO
transportation and logistics,food_service_distribution,US1630861011,CHEFS' WAREHOUSE INC/THE,8,"Participa en la distribución de productos alimenticios especializados y suministros culinarios a restaurantes de alta cocina, hoteles y operadores de servicios de alimentos institucionales.","El negocio de Chefs' Warehouse se centra en la distribución de servicios de alimentos, como lo demuestra su papel como distribuidor principal de alimentos especializados, sirviendo a una vasta red de más de 44,000 a 50,000 ubicaciones de clientes principales, principalmente restaurantes independientes y establecimientos de alta cocina, en Estados Unidos, Oriente Medio y Canadá. La empresa se enfoca en mejorar la eficiencia de la distribución, expandir su red e integrar adquisiciones para mejorar las capacidades de distribución. Su compromiso de mantener una posición de primer nivel en el mercado de distribución de alimentos especializados se demuestra aún más mediante inversiones continuas en personas, instalaciones y tecnología.","[{'name': 'chef-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chef-Q225-10-Q.html'}, {'name': 'chef-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chef-FY24-10-K.html'}, {'name': 'chef-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chef-Q324-10-Q.html'}]",91869066,USD,CHEF,SMART,STK,True,FOO
transportation and logistics,food_service_distribution,US03064D1081,AMERICOLD REALTY TRUST INC,9,Proporciona infraestructura con control de temperatura crucial para el almacenamiento y la distribución de productos dentro de la industria de servicios de alimentos.,,,302902503,USD,COLD,SMART,STK,False,FOO
transportation and logistics,food_service_distribution,ZAE000117321,BIDVEST GROUP LTD,10,"Proporciona servicios integrales de distribución de alimentos y productos relacionados a una amplia gama de establecimientos de servicio de alimentos, incluyendo restaurantes, hoteles y operaciones de catering.",,,290088032,ZAR,BVT,JSE,STK,False,FOO
