industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
hospitality,food_service_solutions,US5801351017,MC DONALD'S-CORP,1,"Opera como la empresa de restaurantes más grande del mundo, proporcionando amplias soluciones de servicio de alimentos a nivel mundial a través de su vasta red de establecimientos de comida rápida.","McDonald's se enfoca en construir una plataforma operativa de restaurantes eficiente que aproveche la tecnología basada en la nube para mejorar las operaciones y el servicio al cliente. Esto incluye la implementación de software nuevo y universal en todos los restaurantes para acelerar la innovación y mejorar la experiencia del cliente. La empresa también está implementando soluciones tecnológicas como la computación de borde, desarrollada en asociación con Google, y capacidades habilitadas por IA para mejorar las experiencias en los restaurantes, la calidad de los alimentos y el ahorro de costos. Además, McDonald's está estandarizando plataformas globales para mejorar la eficiencia de los empleados y la toma de decisiones basada en datos, optimizando los procesos con nuevos sistemas de finanzas y recursos humanos.","[{'name': 'mcd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q125-10-Q.html'}, {'name': 'mcd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q324-10-Q.html'}]",9408,USD,MCD,SMART,STK,True,FOO
hospitality,food_service_solutions,US8887871080,TOAST INC-CLASS A,2,"Proporciona una plataforma integrada basada en la nube diseñada específicamente para optimizar las operaciones, mejorar las experiencias de los huéspedes y gestionar los pagos de restaurantes y otros negocios de servicios de alimentos.","La plataforma de Toast está diseñada específicamente para la comunidad de restaurantes, ofreciendo un conjunto completo de productos SaaS y soluciones de tecnología financiera. Toast funciona como el sistema operativo del restaurante, conectando las operaciones de sala y cocina en diversos modelos de servicio. La empresa impulsa aproximadamente 140.000 ubicaciones de clientes a nivel mundial y se enfoca en proporcionar herramientas para que los restaurantes mejoren sus operaciones y el servicio al cliente, incluyendo la gestión de catering y eventos, dispositivos de punto de venta y pedidos en línea.","[{'name': 'tost-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tost-Q125-10-Q.html'}, {'name': 'tost-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tost-Q225-10-Q.html'}, {'name': 'tost-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tost-FY24-10-K.html'}]",516097394,USD,TOST,SMART,STK,True,FOO
hospitality,food_service_solutions,US8718291078,SYSCO CORP,3,"Proporciona amplias soluciones de distribución de servicios de alimentos, suministrando una amplia gama de productos alimenticios y no alimenticios a restaurantes, atención médica, educación y sectores de la hostelería, permitiendo así sus operaciones.","El compromiso de Sysco con las Soluciones de Servicio de Alimentos es evidente en sus iniciativas estratégicas destinadas a mejorar la experiencia del cliente y la eficiencia operativa. La transformación 'Receta para el Crecimiento' de la empresa está respaldada por pilares estratégicos, que incluyen estrategias digitales, de productos y soluciones, de cadena de suministro, de equipos de clientes y de horizontes futuros, todas diseñadas para servir mejor a los clientes. Sysco también se enfoca en enriquecer la experiencia del cliente a través de herramientas digitales personalizadas, soluciones de marketing y merchandising, así como en mejorar la agilidad de precios al empoderar a los colegas de primera línea con autoridad para la toma de decisiones y aprovechando herramientas de precios. Además, Sysco está desarrollando una cadena de suministro más ágil y productiva para apoyar mejor a sus clientes.","[{'name': 'syy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syy-Q125-10-Q.html'}, {'name': 'syy-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/syy-FY25-10-K.html'}, {'name': 'syy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syy-Q225-10-Q.html'}]",12581,USD,SYY,SMART,STK,True,FOO
hospitality,food_service_solutions,US9884981013,YUM! BRANDS INC,4,"Opera y franquicia una cartera de marcas icónicas de restaurantes a nivel mundial, ofreciendo diversas opciones de restauración y impulsando el crecimiento estratégico dentro del segmento de restaurantes de servicio rápido.","Yum! Brands está activamente involucrada en la mejora de sus soluciones de servicio de alimentos a través del desarrollo e implementación de su plataforma Byte. Byte Connect, una plataforma de integración de menús y pedidos para proveedores de entrega externos, se está escalando en Pizza Hut U.S. para reducir costos para los franquiciados, y Byte Coach está mejorando la excelencia operativa en las tiendas Pizza Hut a nivel mundial. Yum! está reasignando recursos para acelerar las capacidades digitales, tecnológicas y de innovación para mejorar la experiencia del cliente y la economía de las unidades, como parte de su Estrategia de Buen Crecimiento que aprovecha la tecnología y la escala del sistema. La empresa también está utilizando una herramienta de voz del consumidor integrada en Byte Coach para refinar las rutinas operativas.","[{'name': 'yum-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/yum-Q324-10-Q.html'}]",3206042,USD,YUM,SMART,STK,True,FOO
hospitality,food_service_solutions,US25809K1051,DOORDASH INC - A,5,"Impulsa el mercado de entrega bajo demanda para restaurantes y otros comerciantes, ofreciendo una plataforma integral que conecta a los consumidores con una amplia gama de proveedores de servicios de alimentos y agiliza la gestión de pedidos.","La Plataforma de Comercio de DoorDash ofrece un conjunto de servicios destinados a ayudar a los comerciantes a gestionar y expandir sus negocios a través de sus propios canales. Esto incluye DoorDash Drive On-Demand y Wolt Drive, que son servicios de cumplimiento de entrega de marca blanca, junto con software y servicios que facilitan los pedidos en línea, el desarrollo de aplicaciones móviles de marca y la gestión de reservas y mesas. Además, la plataforma proporciona herramientas para la gestión de relaciones con los clientes, marketing, pedidos y pagos en mesa, y atención al cliente, lo que demuestra el enfoque de DoorDash en proporcionar soluciones integrales de servicio de alimentos a sus socios.","[{'name': 'dash-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dash-Q225-10-Q.html'}]",459309417,USD,DASH,SMART,STK,True,FOO
hospitality,food_service_solutions,GB00BD6K4575,COMPASS GROUP PLC,6,"Ofrece una amplia gama de servicios de catering y soporte a nivel mundial, ofreciendo soluciones integrales de restauración en los sectores empresarial, educativo, sanitario y deportivo.",,,280731727,GBP,CPG,SMART,STK,False,FOO
hospitality,food_service_solutions,US5962781010,MIDDLEBY CORP,7,Ofrece una completa cartera de equipos y soluciones integradas fundamentales para las operaciones de cocinas comerciales dentro de la industria de la restauración.,"El enfoque de Middleby en Soluciones de Servicio de Alimentos es evidente a través de su Grupo de Equipos Comerciales de Servicio de Alimentos, que constituye una parte importante de sus ventas netas. La empresa se dedica a ofrecer soluciones que alivian los desafíos laborales, mejoran la velocidad del servicio y reducen los costos de alimentos para su clientela, lo que se ve subrayado por las inversiones en herramientas digitales e iniciativas de servicio. Además, Middleby está invirtiendo estratégicamente en automatización, controles e IoT para abordar los puntos débiles de los clientes y diferenciarse, lo que se refleja en sus premios a la innovación y el desarrollo de un equipo de ventas dedicado a comercializar soluciones líderes en la industria. Este compromiso también se demuestra a través de su plataforma Open Kitchen, que integra la conectividad en varios aspectos de las operaciones de servicio de alimentos.","[{'name': 'midd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/midd-Q324-10-Q.html'}, {'name': 'midd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/midd-FY24-10-K.html'}]",4814876,USD,MIDD,SMART,STK,True,FOO
hospitality,food_service_solutions,FR0000121220,SODEXO SA,8,Ofrece soluciones integrales de servicio de alimentos a diversos clientes en múltiples sectores.,,,29612218,EUR,SW,SMART,STK,False,FOO
hospitality,food_service_solutions,CA76131D1033,RESTAURANT BRANDS INTERN,9,"Sirve como un importante operador global de marcas de restaurantes de servicio rápido, contribuyendo significativamente al tema de Soluciones de Servicio de Alimentos al proporcionar un acceso generalizado a comidas preparadas y experiencias gastronómicas.","QSR demuestra su compromiso con las Soluciones de Servicio de Alimentos a través de varias iniciativas. Los flujos de ingresos de la compañía incluyen tarifas tecnológicas cobradas a restaurantes franquiciados, que se utilizan para compensar parcialmente los gastos relacionados con iniciativas tecnológicas. Además, Burger King está ejecutando su plan plurianual ""Reclaim the Flame"", que asigna inversiones a tecnología de restaurantes y equipos de cocina. Estas inversiones están destinadas a acelerar el crecimiento de las ventas y mejorar la rentabilidad de los franquiciados, lo que indica un enfoque estratégico en el aprovechamiento de la tecnología dentro de sus operaciones de servicio de alimentos.","[{'name': 'qsr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qsr-Q125-10-Q.html'}, {'name': 'qsr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qsr-FY24-10-K.html'}]",176477354,CAD,QSR,SMART,STK,False,FOO
hospitality,food_service_solutions,US8552441094,STARBUCKS CORP,10,"Ofrece una amplia gama de café y otras bebidas, junto con alimentos, a través de su extensa red de locales minoristas, lo que la convierte en un actor clave en el sector de servicios de alimentos.",,,274105,USD,SBUX,SMART,STK,True,FOO
