industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
EM,GA1,NVDA,entertainment and media,gaming_hardware,US67066G1040,NVIDIA CORP,1,Desarrolla y suministra una gama líder de unidades de procesamiento gráfico y plataformas que son fundamentales para potenciar experiencias de juego avanzadas e innovación en hardware en toda la industria.,"La participación de NVIDIA en el tema de Hardware para Videojuegos es evidente a través de sus GPU de la serie GeForce RTX 40 y SoC de consolas de videojuegos, que impulsan los ingresos de los videojuegos. Esto está respaldado por la demanda sostenida de gráficos 3D y la escala del mercado de videojuegos, con NVIDIA aprovechando su arquitectura de GPU para crear plataformas para diversas aplicaciones, incluidos los videojuegos. Los ingresos de videojuegos de la empresa han experimentado aumentos significativos, impulsados por las ventas de la arquitectura Blackwell y la introducción de las GPU GeForce RTX 5060 y 5060 Ti, así como por colaboraciones como la Nintendo Switch 2, que utiliza tecnologías de renderizado neuronal e IA de NVIDIA.","[{'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}]",4815747,USD,SMART,STK
EM,GA1,MSFT,entertainment and media,gaming_hardware,US5949181045,MICROSOFT CORP,2,"Desarrolla y fabrica la serie Xbox de consolas de videojuegos y periféricos relacionados, contribuyendo significativamente a la innovación y adopción de hardware de entretenimiento interactivo a nivel mundial.","La participación de Microsoft en la industria del hardware de juegos es evidente a través de sus consolas Xbox, aunque el rendimiento reciente indica un impacto fluctuante. Si bien los ingresos por juegos han aumentado en general, impulsados por el contenido y los servicios de Xbox, ha habido una disminución constante en los ingresos de hardware de Xbox debido a un menor volumen de ventas de consolas. Esta disminución se menciona en múltiples ocasiones, lo que se compensa con el crecimiento en otras áreas, como Xbox Game Pass y la adquisición de Activision Blizzard. A pesar del crecimiento general de los ingresos por juegos, la disminución específica en los ingresos de hardware sugiere una posición secundaria y desafiada dentro del tema del hardware de juegos.","[{'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}]",272093,USD,SMART,STK
EM,GA1,AMD,entertainment and media,gaming_hardware,US0079031078,ADVANCED MICRO DEVICES,3,Diseña y fabrica unidades centrales y de procesamiento gráfico de alto rendimiento que son componentes críticos para PC de juegos y alimentan las principales consolas de juegos de la generación actual.,"El compromiso de AMD con el tema de hardware para juegos es evidente a través de su producción de GPUs Radeon y procesadores Ryzen, componentes esenciales para hardware para juegos, siendo los procesadores Ryzen mencionados explícitamente como una CPU preferida para los jugadores. AMD se enfoca en el mercado de juegos entusiastas con su nueva arquitectura RDNA 4, que impulsa las GPUs de la serie Radeon 9070, ofreciendo trazado de rayos mejorado y escalado impulsado por IA para juegos 4K. Si bien AMD se prepara para lanzar sus GPUs de próxima generación de la serie Radeon 9000, el segmento de juegos ha experimentado caídas de ingresos debido a menores ventas semipersonalizadas, ya que Microsoft y Sony reducen el inventario del canal.","[{'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}]",4391,USD,SMART,STK
EM,GA1,6758,entertainment and media,gaming_hardware,JP3435000009,SONY GROUP CORP,4,"Desarrolla y vende consolas de videojuegos líderes, como la serie PlayStation, influyendo significativamente en el mercado mundial de hardware de videojuegos.",,,13905705,JPY,SMART,STK
EM,GA1,7974,entertainment and media,gaming_hardware,JP3756600007,NINTENDO CO LTD,5,"Diseña y fabrica consolas y accesorios de videojuegos populares, influyendo significativamente en la evolución y accesibilidad de las plataformas de entretenimiento interactivo.",,,14017724,JPY,SMART,STK
EM,GA1,INTC,entertainment and media,gaming_hardware,US4581401001,INTEL CORP,6,"Suministra procesadores de alto rendimiento críticos para potenciar PC para juegos, lo que permite experiencias de juego avanzadas e impulsa la innovación en el sector de hardware para juegos.",,,270639,USD,SMART,STK
EM,GA1,META,entertainment and media,gaming_hardware,US30303M1027,META PLATFORMS INC-CLASS A,7,"Desarrolla y comercializa cascos de realidad virtual, como la serie Meta Quest, que sirven como plataforma principal para experiencias de juego inmersivas, contribuyendo significativamente al mercado de hardware de juegos.",,,107113386,USD,SMART,STK
EM,GA1,2357,entertainment and media,gaming_hardware,TW0002357001,ASUSTEK COMPUTER INC,8,"Desarrolla y fabrica una amplia gama de hardware para videojuegos, incluidos componentes y periféricos, satisfaciendo las necesidades de la comunidad mundial de jugadores.",,,37928738,TWD,TWSE,STK
EM,GA1,LOGN,entertainment and media,gaming_hardware,CH0025751329,LOGITECH INTERNATIONAL-REG,9,"Proporciona una cartera integral de hardware para juegos, incluidos periféricos y accesorios, que satisface las diversas necesidades de la comunidad mundial de jugadores.","La participación de Logitech en el tema de Hardware para Videojuegos es evidente a través de su diversa cartera que incluye una variedad de productos de hardware para videojuegos como ratones para videojuegos, volantes, auriculares y teclados. La empresa diseña soluciones de hardware habilitadas por software para soportar los videojuegos, y tiene como objetivo proporcionar más herramientas a una comunidad más amplia de jugadores, capitalizando el crecimiento y la evolución de la industria de los videojuegos.","[{'name': 'logi-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/logi-Q126-10-Q.html'}]",39999891,CHF,SMART,STK
EM,GA1,HPQ,entertainment and media,gaming_hardware,US40434L1052,HP INC,10,"Desarrolla y vende una gama de hardware para juegos, incluidas PC de alto rendimiento, portátiles y accesorios, bajo marcas dedicadas a los juegos.","La participación de HP en hardware para juegos es evidente a través de la entrega de dispositivos, servicios y suscripciones relacionados con los juegos. La empresa identifica los 'Juegos' como un área clave de crecimiento, con un enfoque en 'PC para juegos, HyperX y accesorios para juegos'. Esto se ve respaldado aún más por el crecimiento de los ingresos de los consumidores impulsado por los juegos, particularmente en América del Norte y China, y HyperX impulsando el crecimiento en el espacio de periféricos para juegos.","[{'name': 'hpq-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpq-Q125-10-Q.html'}, {'name': 'hpq-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpq-Q324-10-Q.html'}]",209411801,USD,SMART,STK
