type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,gene_therapy,US8036071004,SAREPTA THERAPEUTICS INC,1,"Desarrolla y comercializa terapias génicas, particularmente para enfermedades neuromusculares raras, posicionándose como líder en el avance de esta área terapéutica.","Sarepta Therapeutics está fuertemente invertida en el tema de la Terapia Génica, como lo demuestra su enfoque en el descubrimiento y desarrollo de terapias génicas para enfermedades raras. El compromiso de la compañía se destaca por ELEVIDYS, una terapia génica basada en AAV aprobada por la FDA, que generó ingresos sustanciales y se consideró el lanzamiento de terapia génica más exitoso de la historia. La dedicación de Sarepta se extiende a la fabricación, con asociaciones establecidas para mejorar sus capacidades de producción de terapia génica, y una sólida cartera que incluye múltiples programas de terapia génica en desarrollo para distrofias musculares de cinturas (LGMD).","[{'name': 'srpt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/srpt-Q225-10-Q.html'}, {'name': 'srpt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/srpt-Q324-10-Q.html'}, {'name': 'srpt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/srpt-Q125-10-Q.html'}, {'name': 'srpt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/srpt-FY24-10-K.html'}]",110434131,USD,SRPT,SMART,STK,True,HE_GE1
health,gene_therapy,CH0334081137,CRISPR THERAPEUTICS AG,2,Desarrolla y comercializa terapias de edición genética utilizando tecnología CRISPR para tratar enfermedades genéticas graves.,"El enfoque de la empresa en la terapia génica es evidente en su misión de crear medicamentos transformadores basados en genes, utilizando la tecnología CRISPR/Cas9 para interrumpir, eliminar, corregir e insertar genes para tratar enfermedades genéticas e ingeniar terapias celulares avanzadas. Este compromiso se ve aún más resaltado por el desarrollo de terapias basadas en CRISPR y la aprobación histórica de CASGEVY, una terapia de edición génica basada en CRISPR. La dedicación de la empresa se extiende a un equipo de investigación dedicado en etapa temprana, CRISPR-X, enfocado en innovar modalidades de edición de próxima generación, junto con asociaciones estratégicas como la de Vertex Pharmaceuticals para el desarrollo de tratamientos basados en genes.","[{'name': 'crsp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crsp-Q225-10-Q.html'}, {'name': 'crsp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crsp-FY24-10-K.html'}, {'name': 'crsp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crsp-Q125-10-Q.html'}]",252260612,USD,CRSP,SMART,STK,False,HE_GE1
health,gene_therapy,US2358511028,DANAHER CORP,3,Incluye la Terapia Génica como un área de sus operaciones comerciales.,"El compromiso de Danaher con la terapia génica es evidente a través de su segmento de Biotecnología, que proporciona equipos, consumibles y servicios a clientes involucrados en la investigación, desarrollo, fabricación y administración de medicamentos biológicos, incluidas terapias novedosas de células, genes, ARNm y otros ácidos nucleicos. Si bien la terapia génica se reconoce como una alternativa interesante para el tratamiento de enfermedades genéticas, la exposición de Danaher es limitada, con ingresos principalmente centrados en proteínas. La participación de la compañía incluye el apoyo a la terapia génica basada en AAV y consumibles de genómica, pero se espera que los ingresos de Aldevron y Sarepta sean mínimos, lo que indica que la terapia génica no es un motor importante del negocio actual de Danaher.","[{'name': 'dhr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dhr-FY24-10-K.html'}, {'name': 'dhr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhr-Q225-10-Q.html'}, {'name': 'dhr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhr-Q324-10-Q.html'}]",6442,USD,DHR,SMART,STK,True,HE_GE1
health,gene_therapy,US92532F1003,VERTEX PHARMACEUTICALS INC,4,"Impulsa importantes esfuerzos de investigación y desarrollo en terapia génica, contribuyendo al avance de nuevas soluciones terapéuticas.","Vertex demuestra su compromiso con la terapia génica a través del desarrollo, aprobación y comercialización de CASGEVY, una terapia celular editada genéticamente ex vivo, no viral, con CRISPR/Cas9, para tratar la enfermedad de células falciformes y la beta talasemia dependiente de transfusiones. CASGEVY está aprobado en varios países, incluidos EE. UU., la UE y el Reino Unido, y está generando ingresos. Además, Vertex está desarrollando terapias de ARNm y genéticas para personas con fibrosis quística que no pueden beneficiarse de sus medicamentos actuales para la fibrosis quística y también está logrando avances preclínicos en enfoques de edición genética para tratamientos de la diabetes.","[{'name': 'vrtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q324-10-Q.html'}, {'name': 'vrtx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q225-10-Q.html'}, {'name': 'vrtx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q125-10-Q.html'}, {'name': 'vrtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vrtx-FY24-10-K.html'}]",275850,USD,VRTX,SMART,STK,True,HE_GE1
health,gene_therapy,CH0012005267,NOVARTIS AG-REG,5,"Implica la investigación, el desarrollo y la comercialización de terapias génicas, abordando diversas enfermedades genéticas y contribuyendo al avance de esta área terapéutica.",,,1615110,CHF,NOVN,SMART,STK,False,HE_GE1
health,gene_therapy,NL0010696654,UNIQURE NV,6,Impulsa la innovación en el campo de la terapia génica a través del desarrollo y la comercialización de tratamientos para enfermedades genéticas graves.,"El enfoque principal de uniQure es la terapia génica, como lo demuestra su declaración explícita de liderazgo en el campo y su misión de ofrecer tratamientos curativos para enfermedades graves. Este compromiso está respaldado por una cartera de terapias génicas innovadoras dirigidas a la enfermedad de Huntington, la epilepsia del lóbulo temporal mesial refractaria, la enfermedad de Fabry y la esclerosis lateral amiotrófica. La dedicación de la empresa se evidencia aún más por la designación de terapia innovadora recibida de la FDA para AMT-130, una terapia génica novedosa para la enfermedad de Huntington, y los importantes gastos de investigación y desarrollo asignados a estos programas.","[{'name': 'qure-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qure-Q125-10-Q.html'}, {'name': 'qure-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qure-FY24-10-K.html'}, {'name': 'qure-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qure-Q225-10-Q.html'}]",143720844,USD,QURE,SMART,STK,False,HE_GE1
health,gene_therapy,US5011471027,KRYSTAL BIOTECH INC,7,Avanza en el campo de la terapia génica a través del desarrollo de soluciones terapéuticas.,"El compromiso de Krystal Biotech con el tema de Terapia Génica es sustancial, impulsado por su enfoque en el descubrimiento, desarrollo, fabricación y comercialización de medicamentos genéticos. Su plataforma patentada de tecnología de terapia génica, basada en el virus del herpes simple-1 (HSV-1) modificado, facilita la entrega de transgenes terapéuticos. Este compromiso se ve subrayado por su producto comercial, VYJUVEK, una terapia génica redosificable aprobada en los Estados Unidos, Europa y Japón para tratar la epidermólisis bullosa distrófica (DEB), junto con una cartera de candidatos a terapia génica como KB407, KB408, KB803, KB707 y KB105.","[{'name': 'krys-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/krys-Q225-10-Q.html'}, {'name': 'krys-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/krys-Q324-10-Q.html'}, {'name': 'krys-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/krys-Q125-10-Q.html'}, {'name': 'krys-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/krys-FY24-10-K.html'}]",290007409,USD,KRYS,SMART,STK,True,HE_GE1
health,gene_therapy,CH0012032048,ROCHE HOLDING AG-GENUSSCHEIN,8,"Se dedica a la investigación, desarrollo y comercialización de terapias génicas para abordar diversas afecciones médicas.",,,228954,CHF,ROG,SMART,STK,False,HE_GE1
health,gene_therapy,US7599161095,REPLIGEN CORP,9,"Proporciona tecnologías y componentes de bioprocesamiento críticos, esenciales para la fabricación y el desarrollo de terapias génicas.","Repligen apoya la producción de terapias celulares y génicas, con tecnologías implementadas para superar los desafíos en el procesamiento de vectores de entrega génica como lentivirus y vectores virales adenoasociados. Esto está respaldado además por la adquisición de Tantti, que ha desarrollado perlas de cromatografía macroporosas para optimizar la purificación de vectores virales. Si bien la plataforma de terapia génica generó $10 millones en ingresos en la primera mitad del año y $3 millones en julio, la guía actualizada anticipa ingresos incrementales mínimos para el resto de 2025.","[{'name': 'rgen-Q222-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgen-Q222-10-Q.html'}, {'name': 'rgen-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgen-Q125-10-Q.html'}]",273816,USD,RGEN,SMART,STK,True,HE_GE1
health,gene_therapy,US02043Q1076,ALNYLAM PHARMACEUTICALS INC,10,"Desarrolla terapias de interferencia de ARN (ARNi), una forma de silenciamiento génico, para tratar diversas enfermedades genéticas raras.",,,29442968,USD,ALNY,SMART,STK,False,HE_GE1
