symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
VRTX,GEN,health,genetic_medications,US92532F1003,VERTEX PHARMACEUTICALS INC,1,"Impulsa el desarrollo y la comercialización de medicamentos genéticos innovadores, particularmente para enfermedades graves con causas genéticas subyacentes, estableciendo una posición de liderazgo en el área terapéutica.","Vertex demuestra un fuerte compromiso con el tema de Medicamentos Genéticos a través de su desarrollo de terapias para enfermedades genéticas. La compañía tiene múltiples medicamentos aprobados que abordan las causas subyacentes de la fibrosis quística (FQ), una enfermedad genética potencialmente mortal, y está evaluando activamente estos medicamentos en poblaciones de pacientes adicionales. Además, Vertex tiene una terapia celular editada genéticamente aprobada, CASGEVY, para tratar la enfermedad de células falciformes (ECF) y la beta talasemia dependiente de transfusiones (TDT), ambas enfermedades de la sangre heredadas, y también está desarrollando terapias de ARNm y otras terapias genéticas para pacientes con FQ que no pueden beneficiarse de sus tratamientos actuales.","[{'name': 'vrtx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q225-10-Q.html'}, {'name': 'vrtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q324-10-Q.html'}, {'name': 'vrtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vrtx-FY24-10-K.html'}]",275850,USD,SMART,STK
LLY,GEN,health,genetic_medications,US5324571083,ELI LILLY & CO,2,Impulsa la innovación en el desarrollo de terapias que aprovechan mecanismos genéticos para tratar una variedad de enfermedades.,"La compañía demuestra su compromiso con las medicinas genéticas a través de varias iniciativas estratégicas y ensayos clínicos en curso. La adquisición de Verve Therapeutics es un elemento clave, que incorpora nuevas medicinas genéticas centradas en enfermedades cardiovasculares, incluidos programas como VERVE-102 y VERVE-201, que pueden requerir una sola administración. Además, la cartera de la compañía incluye programas de terapia génica dirigidos a trastornos genéticos, como la Terapia Génica GBA1 para la enfermedad de Gaucher tipo 1, la Terapia Génica GRN para la demencia frontotemporal y la Terapia Génica OTOF para la pérdida de audición, todos los cuales se encuentran en ensayos de Fase 2.","[{'name': 'lly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lly-FY24-10-K.html'}]",9160,USD,SMART,STK
ALNY,GEN,health,genetic_medications,US02043Q1076,ALNYLAM PHARMACEUTICALS INC,3,"Se centra en el desarrollo de terapias de interferencia de ARN (ARNi), pioneras en una nueva clase de medicamentos innovadores para enfermedades genéticas.","El enfoque de Alnylam en Medicamentos Genéticos es evidente a través de su desarrollo de nuevas terapias basadas en la interferencia del ácido ribonucleico (ARNi), un mecanismo para el silenciamiento y la regulación específica de la secuencia de la expresión génica. La estrategia de investigación y desarrollo de la empresa se dirige a genes genéticamente validados implicados en la causa o la vía de las enfermedades humanas, utilizando ARN de interferencia pequeña (siARN) para silenciar el ARN mensajero (ARNm). Alnylam ha desarrollado una nueva clase de medicamentos innovadores conocidos como terapias de ARNi, con seis medicamentos aprobados basados en ARNi, lo que demuestra un fuerte compromiso con este enfoque.","[{'name': 'alny-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alny-Q225-10-Q.html'}, {'name': 'alny-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/alny-FY24-10-K.html'}]",29442968,USD,SMART,STK
MRNA,GEN,health,genetic_medications,US60770K1079,MODERNA INC,4,"Desarrolla y comercializa terapias y vacunas basadas en ARN mensajero (ARNm), aprovechando su plataforma de tecnología genética patentada para abordar una amplia gama de enfermedades.",,,344809106,USD,SMART,STK
TMO,GEN,health,genetic_medications,US8835561023,THERMO FISHER SCIENTIFIC INC,5,"Proporciona instrumentación científica, reactivos y servicios esenciales que sustentan los procesos de investigación, desarrollo y fabricación dentro de la industria de la medicina genética.","El compromiso de Thermo Fisher con la Medicina Genética es evidente a través del crecimiento en ciencias genéticas, que aumentó en 56 millones de dólares. Este crecimiento fue impulsado principalmente por la adquisición de Olink por parte de la empresa en 2024, lo que demuestra una inversión estratégica en esta área. El negocio de bioproducción también contribuyó al crecimiento debido a una mayor demanda de clientes farmacéuticos y biotecnológicos.","[{'name': 'tmo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmo-Q225-10-Q.html'}]",12869,USD,SMART,STK
SRPT,GEN,health,genetic_medications,US8036071004,SAREPTA THERAPEUTICS INC,6,"Desarrolla y comercializa terapias genéticas de precisión, incluyendo terapias génicas y tratamientos dirigidos por ARN, principalmente para enfermedades neuromusculares raras.","El enfoque de Sarepta en el descubrimiento y desarrollo de medicinas genéticas es evidente a través de su trabajo con terapias dirigidas a ARN, terapia génica y edición genética para enfermedades raras. El compromiso de la empresa se demuestra con sus múltiples productos aprobados y candidatos terapéuticos, incluido ELEVIDYS, destinado a tratar la distrofia muscular de Duchenne y otros trastornos neuromusculares y del sistema nervioso central. La cartera de Sarepta incluye más de 40 programas en diversas etapas de desarrollo, lo que refleja su enfoque multifacético y su experiencia en medicina genética de precisión.","[{'name': 'srpt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/srpt-FY24-10-K.html'}, {'name': 'srpt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/srpt-Q125-10-Q.html'}, {'name': 'srpt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/srpt-Q324-10-Q.html'}]",110434131,USD,SMART,STK
CRSP,GEN,health,genetic_medications,CH0334081137,CRISPR THERAPEUTICS AG,7,Desarrolla y aplica tecnologías de edición genética basadas en CRISPR para crear terapias genéticas transformadoras para enfermedades graves.,"El enfoque de la empresa en Medicamentos Genéticos es evidente en su misión principal de crear medicamentos transformadores basados en genes para enfermedades humanas graves. Es una empresa líder en edición genética centrada en el desarrollo de terapias basadas en CRISPR, incluido el uso de la tecnología CRISPR/Cas9 para interrumpir, eliminar, corregir e insertar genes. El programa de hemoglobinopatías de la empresa ejemplifica aún más este enfoque al dirigirse a las causas genéticas subyacentes de las enfermedades humanas, solidificando su dedicación a avanzar en la medicina genética.","[{'name': 'crsp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crsp-Q225-10-Q.html'}, {'name': 'crsp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crsp-FY24-10-K.html'}]",252260612,USD,SMART,STK
PFE,GEN,health,genetic_medications,US7170811035,PFIZER INC,8,"Participa en la investigación, desarrollo y comercialización de terapias dentro del dominio de la Medicina Genética.",,,11031,USD,SMART,STK
NOVN,GEN,health,genetic_medications,CH0012005267,NOVARTIS AG-REG,9,Impulsa la innovación y el desarrollo en el campo de la Medicina Genética a través de su investigación y cartera de productos.,,,1615110,CHF,SMART,STK
IONS,GEN,health,genetic_medications,US4622221004,IONIS PHARMACEUTICALS INC,10,"Desarrolla y comercializa una cartera de medicamentos genéticos, centrándose en terapias dirigidas al ARN para diversas enfermedades.","Ionis Pharmaceuticals está profundamente involucrada en medicinas genéticas, principalmente a través de su trabajo pionero en terapias dirigidas por ARN. La compañía tiene seis medicamentos comercializados, incluidos SPINRAZA y QALSODY, que abordan enfermedades genéticas como la atrofia muscular espinal (AME) y la esclerosis lateral amiotrófica por superóxido dismutasa 1 (ELA-SOD1). Ionis también tiene varias medicinas genéticas en desarrollo, como Donidalorsen para el angioedema hereditario (AEH), ION582 para el síndrome de Angelman (SA) y Ulefnersen para la ELA-FUS, lo que demuestra un enfoque continuo en la innovación de terapias de ARN.","[{'name': 'ions-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ions-Q125-10-Q.html'}, {'name': 'ions-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ions-FY24-10-K.html'}]",216201303,USD,SMART,STK
