type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,genomic_medicine,US4523271090,ILLUMINA INC,1,Desarrolla y proporciona tecnologías avanzadas de secuenciación y matrices que permiten la investigación genómica y la implementación de la medicina genómica en aplicaciones clínicas a nivel mundial.,"El compromiso de Illumina con la Medicina Genómica es evidente a través de su provisión de soluciones de secuenciación y basadas en matrices para análisis genéticos y genómicos, que sirven a clientes en los mercados de investigación, clínico y aplicado. Los productos de la compañía se utilizan en oncología y salud reproductiva, lo que demuestra su relevancia para la medicina genómica, y su enfoque en la innovación los ha establecido como un líder mundial en tecnologías de secuenciación de ADN y basadas en matrices. Illumina también está avanzando en el ecosistema multiómico, permitiendo a los clientes generar conocimientos que antes no eran posibles, y su nueva oferta de célula única para la investigación CRISPR con aplicaciones en oncología, inmunología y descubrimiento de dianas farmacológicas subraya aún más su participación en la medicina genómica.","[{'name': 'ilmn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ilmn-Q225-10-Q.html'}, {'name': 'ilmn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ilmn-Q125-10-Q.html'}]",9869443,USD,ILMN,SMART,STK,True,GE2
health,genomic_medicine,US2358511028,DANAHER CORP,2,"Proporciona herramientas y tecnologías esenciales que apoyan la investigación, el desarrollo y la aplicación de la medicina genómica en diversas áreas diagnósticas y terapéuticas.","El compromiso de Danaher con la Medicina Genómica es evidente a través de su segmento de Ciencias de la Vida, que proporciona una gama de instrumentos, consumibles, servicios y software utilizados para estudiar la genómica y los componentes básicos de la vida, incluidos el ADN y el ARN, para comprender enfermedades e identificar nuevas terapias. Leica Biosystems de la compañía también lanzó nuevos anticuerpos primarios, PD-L1 y HER2, para la investigación del cáncer y el desarrollo de terapias, aprovechando su centro de medicina de precisión. Además, IDT y Aldevron son reconocidos por su papel en el desarrollo de la primera terapia CRISPR in vivo personalizada basada en ARNm bajo demanda del mundo, lo que demuestra la contribución de Danaher al avance de la medicina personalizada a través de la genómica.","[{'name': 'dhr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhr-Q225-10-Q.html'}, {'name': 'dhr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhr-Q324-10-Q.html'}]",6442,USD,DHR,SMART,STK,True,GE2
health,genomic_medicine,US8835561023,THERMO FISHER SCIENTIFIC INC,3,"Desempeña un papel fundamental en el avance de la medicina genómica al proporcionar tecnologías y servicios esenciales para la investigación genética, el diagnóstico y las aplicaciones terapéuticas.",,,12869,USD,TMO,SMART,STK,True,GE2
health,genomic_medicine,CH0012032048,ROCHE HOLDING AG-GENUSSCHEIN,4,Es un contribuyente clave al avance de la medicina genómica a través de su desarrollo de terapias dirigidas y soluciones de diagnóstico que aprovechan los conocimientos genómicos.,,,228954,CHF,ROG,SMART,STK,False,GE2
health,genomic_medicine,US40131M1099,GUARDANT HEALTH INC,5,"Se enfoca en avanzar en la medicina genómica a través de su tecnología de biopsia líquida para la detección y el monitoreo del cáncer, utilizando perfiles genómicos integrales a partir de muestras de sangre.","El compromiso de la empresa con la Medicina Genómica es evidente en su enfoque en la oncología de precisión, utilizando pruebas avanzadas de sangre y tejido para obtener información sobre los impulsores de la enfermedad. La prueba de sangre GuardantINFINITY, una biopsia líquida inteligente de próxima generación, proporciona información multidimensional sobre los perfiles moleculares del tumor y la respuesta inmune, promoviendo la investigación del cáncer y el desarrollo de terapias. Además, la empresa ofrece perfiles de mutaciones tumorales a través de pruebas como Guardant360 CDx y aprovecha la plataforma GuardantINFORM para acelerar el desarrollo de fármacos de oncología de precisión, lo que demuestra un enfoque integral para aprovechar la información genómica en la atención del cáncer.","[{'name': 'gh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gh-FY24-10-K.html'}, {'name': 'gh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gh-Q225-10-Q.html'}]",335906876,USD,GH,SMART,STK,False,GE2
health,genomic_medicine,CH0012005267,NOVARTIS AG-REG,6,Impulsa avances en medicina genómica a través del desarrollo y comercialización de terapias génicas y celulares.,,,1615110,CHF,NOVN,SMART,STK,False,GE2
health,genomic_medicine,US30063P1057,EXACT SCIENCES CORP,7,"Desarrolla y comercializa pruebas de diagnóstico genómico para la detección temprana del cáncer y la guía del tratamiento, contribuyendo a enfoques de medicina personalizada.","Exact Sciences participa estratégicamente en la medicina genómica, con el objetivo de ser una solución integral para las pruebas genómicas completas. Esto está respaldado por su cartera de oncología de precisión, que ofrece información genómica procesable para informar el pronóstico y el tratamiento del cáncer. Su prueba OncoExTra aplica perfiles tumorales completos, utilizando la secuenciación del exoma completo y del transcriptoma completo, para ayudar en la selección de terapias, presentando un extenso panel de aproximadamente 20.000 genes y 169 intrones. Además, están buscando activamente el reembolso de Medicare para Oncodetect, lo que demuestra aún más su compromiso con la medicina genómica para el tratamiento del cáncer.","[{'name': 'exas-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exas-Q225-10-Q.html'}]",11468575,USD,EXAS,SMART,STK,False,GE2
health,genomic_medicine,US5049221055,LABCORP HOLDINGS INC,8,"Proporciona servicios integrales de pruebas genómicas y diagnóstico, apoyando la medicina personalizada y los avances en la investigación clínica dentro del campo de la medicina genómica.","Labcorp está cada vez más involucrada en la Medicina Genómica, como lo demuestra su integración de las soluciones de pruebas genéticas de Invitae y el lanzamiento de herramientas de asequibilidad y acceso para pacientes, incluidas dos pruebas adicionales de paneles de riesgo genético. La compañía ve oportunidades de crecimiento más rápido en salud femenina, enfermedades autoinmunes, oncología y neurología, y espera que el negocio de Invitae sea ligeramente acreditado en ganancias para todo el año 2025. Estas áreas tienen necesidades insatisfechas significativas para los pacientes y se espera que crezcan más rápido que otras áreas terapéuticas.",,703660032,USD,LH,SMART,STK,True,GE2
health,genomic_medicine,US74834L1008,QUEST DIAGNOSTICS INC,9,Proporciona servicios integrales de pruebas genómicas que contribuyen a diagnósticos personalizados y estrategias de tratamiento dentro del campo de la medicina genómica.,"DGX demuestra su compromiso con la Medicina Genómica a través de su gran personal interno de expertos médicos y científicos, incluyendo directores médicos, directores científicos, consejeros genéticos y genetistas certificados. Este equipo proporciona consultoría médica y científica a proveedores de atención médica y pacientes sobre pruebas y resultados de pruebas, ayudándoles a utilizar los servicios de la empresa para mejorar los resultados y aumentar la satisfacción. La presencia de estos expertos resalta el enfoque de la empresa en ofrecer apoyo y orientación en el área de las pruebas genómicas.","[{'name': 'dgx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dgx-Q324-10-Q.html'}, {'name': 'dgx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dgx-Q225-10-Q.html'}]",2459465,USD,DGX,SMART,STK,True,GE2
health,genomic_medicine,US6323071042,NATERA INC,10,"Desarrolla y proporciona soluciones avanzadas de pruebas genéticas que aplican conocimientos genómicos a diversas afecciones médicas, lo que permite enfoques de diagnóstico y tratamiento personalizados.","El enfoque de Natera en la medicina genómica es evidente a través de su prueba Signatera, que utiliza tecnología patentada de PCR multiplex y secuenciación dirigida para detectar ctDNA, con la versión genómica ahora ampliamente disponible. La compañía está presentando datos clínicos sobre el genoma Signatera en múltiples tipos de tumores y está desarrollando una versión de investigación para mejorar los niveles de detección, abriendo más oportunidades de investigación. Natera también planea lanzar pruebas de MRD tumor-naive y explorar el uso de Signatera en decisiones de tratamiento impulsadas por biomarcadores, destacando su compromiso con la innovación en medicina genómica. La comunidad médica está respondiendo positivamente a la utilidad de Signatera, y Natera espera que esta tendencia continúe.",,198950253,USD,NTRA,SMART,STK,False,GE2
