type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
materials and mining,gold_production,US6516391066,NEWMONT CORP,1,"Como el mayor productor de oro del mundo, influye y contribuye significativamente al tema global de la ""Producción de Oro"".","La participación de Newmont en la Producción de Oro es evidente ya que la compañía se identifica como la principal empresa aurífera del mundo. Esto se ve reforzado por el hecho de que Newmont es la única empresa aurífera incluida tanto en el Índice S&P 500 como en la lista Fortune 500. La compañía se dedica principalmente a la exploración y adquisición de propiedades de oro e informa sobre la producción de oro en varias ubicaciones, con ventas de oro que contribuyen a una parte significativa de sus ingresos totales, como 4.245 millones de dólares para los tres meses finalizados el 31 de marzo de 2025. Además, Newmont produjo 1,5 millones de onzas de oro en el segundo trimestre, lo que demuestra un compromiso sustancial con la producción de oro, y el proyecto Ahafo North avanza según lo planeado, preparándose para verter el primer oro en los próximos meses.","[{'name': 'nem-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q125-10-Q.html'}, {'name': 'nem-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q225-10-Q.html'}, {'name': 'nem-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nem-FY24-10-K.html'}, {'name': 'nem-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q324-10-Q.html'}]",10174,USD,NEM,SMART,STK,True,MM_GOL
materials and mining,gold_production,CA06849F1080,BARRICK MINING CORP,2,"Opera como un productor mundial líder de oro, participando en extensas operaciones mineras y exploración estratégica para mantener y expandir su base de recursos.",,,780709680,CAD,ABX,SMART,STK,False,MM_GOL
materials and mining,gold_production,US35671D8570,FREEPORT-MCMORAN INC,3,"Se encuentra entre los principales productores mundiales, contribuyendo significativamente a la producción mundial de oro.","Freeport-McMoRan (FCX) participa significativamente en la producción de oro, particularmente a través de su distrito minero de Grasberg, que es uno de los depósitos de cobre y oro más grandes del mundo. La empresa reconoce explícitamente su exposición financiera al oro, y las operaciones de Grasberg tienen un alto contenido de oro junto con el cobre. PT-FI comenzó la producción de oro de su nuevo PMR en diciembre de 2024 y comenzó a vender lingotes de oro en febrero de 2025, lo que enfatiza aún más el enfoque de la empresa en la extracción y venta de oro, y se espera que las ventas de oro promedien casi 4 veces las tasas del primer trimestre.","[{'name': 'fcx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q324-10-Q.html'}, {'name': 'fcx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q125-10-Q.html'}, {'name': 'fcx-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fcx-FY23-10-K.html'}, {'name': 'fcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q225-10-Q.html'}]",7089,USD,FCX,SMART,STK,True,MM_GOL
materials and mining,gold_production,US7802871084,ROYAL GOLD INC,4,"Obtiene ingresos de intereses de regalías y flujos en propiedades que producen oro a nivel mundial, contribuyendo al mercado general de producción de oro.","El compromiso de Royal Gold con la Producción de Oro es sustancial, como lo demuestra el hecho de que el oro representa consistentemente una parte significativa de los ingresos de la empresa. Por ejemplo, el oro representó el 76% de los ingresos de la empresa en 2024, y esta tendencia se ve reforzada por la gestión activa de flujos y regalías de metales preciosos, incluido el oro. Royal Gold tiene ingresos por flujos de la producción de oro en minas como Mount Milligan, Pueblo Viejo y Andacollo, y también ha adquirido regalías de proyectos como el Back River Gold Project, lo que demuestra un claro énfasis estratégico en el oro.","[{'name': 'rgld-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q225-10-Q.html'}, {'name': 'rgld-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rgld-FY24-10-K.html'}, {'name': 'rgld-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q125-10-Q.html'}, {'name': 'rgld-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q324-10-Q.html'}]",4817403,USD,RGLD,SMART,STK,True,MM_GOL
materials and mining,gold_production,GB00BRXH2664,ANGLOGOLD ASHANTI PLC,5,"Es un importante productor mundial de oro, operando numerosas minas en múltiples continentes para extraer y procesar oro.",,,655276604,USD,AU,SMART,STK,False,MM_GOL
materials and mining,gold_production,US38059T1060,GOLD FIELDS LTD-SPONS ADR,6,Se encuentra entre las principales entidades mundiales que contribuyen a la extracción y suministro de oro.,,,6857605,USD,GFI,SMART,STK,False,MM_GOL
materials and mining,gold_production,CA4969024047,KINROSS GOLD CORP,7,"Se dedica a la exploración, desarrollo y operación de minas de oro, contribuyendo al suministro mundial de oro.",,,6313288,CAD,K,SMART,STK,False,MM_GOL
materials and mining,gold_production,CA7847301032,SSR MINING INC,8,"Se enfoca en la producción de oro, contribuyendo al suministro global del metal precioso.","La participación de SSR Mining en la producción de oro es evidente a través de sus actividades comerciales principales. Como empresa minera de metales preciosos, SSR Mining participa principalmente en la operación, adquisición, exploración y desarrollo de propiedades de recursos de metales preciosos, produciendo doré de oro junto con otros concentrados. La compañía informa datos de producción y ventas de oro en sus minas Çöpler, Marigold y Seabee, enfatizando aún más su enfoque en el oro. Las cifras de producción de oro se informan explícitamente, y las fluctuaciones en las ventas de oro impactan significativamente los ingresos de la compañía, lo que demuestra la importancia del oro para el rendimiento financiero de SSR Mining. Las actividades de la compañía también incluyen el proyecto de desarrollo de oro y cobre Hod Maden en el noreste de Türkiye y la adquisición de la Mina de Oro Cripple Creek & Victor.","[{'name': 'ssrm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ssrm-Q125-10-Q.html'}, {'name': 'ssrm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ssrm-Q225-10-Q.html'}, {'name': 'ssrm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ssrm-FY24-10-K.html'}]",284632514,CAD,SSRM,SMART,STK,False,MM_GOL
materials and mining,gold_production,US1921085049,COEUR MINING INC,9,"Opera como un importante productor de oro, extrayendo y procesando el metal precioso de sus operaciones mineras.","Las operaciones de Coeur Mining están significativamente ligadas a la producción de oro, ya que la empresa se identifica principalmente como productora de oro y plata con activos operativos en Estados Unidos y México. Este enfoque se refleja en sus resultados financieros, con ventas de oro constituyendo una parte importante de sus ingresos totales. La empresa anticipa un fuerte crecimiento en la producción de oro en sus operaciones norteamericanas, proyectando aumentos sustanciales en el EBITDA ajustado y el flujo de caja libre. Además, Coeur Mining proporciona estadísticas detalladas de producción de oro, incluidas las onzas producidas y vendidas, así como los precios medios realizados por onza de oro en diversas minas como Las Chispas, Palmarejo, Rochester, Kensington y Wharf.","[{'name': 'cde-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cde-FY24-10-K.html'}, {'name': 'cde-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cde-Q125-10-Q.html'}]",60532895,USD,CDE,SMART,STK,False,MM_GOL
materials and mining,gold_production,US4227041062,HECLA MINING CO,10,"Se dedica a la minería y producción de oro, contribuyendo al suministro mundial del metal precioso.","Hecla Mining Company participa activamente en la producción de oro, como lo demuestra su producción de casi 46,000 onzas de oro en un trimestre y 141,923 onzas de oro en un año. Las ventas de oro contribuyen una parte notable de los ingresos de la empresa, alcanzando hasta el 42% en algunos períodos. Minas como Casa Berardi y Greens Creek son contribuyentes significativos a la producción de oro de la empresa, y se realizan revisiones estratégicas para maximizar el valor de los activos de oro como Casa Berardi, con opciones que incluyen extender las operaciones subterráneas o acelerar los flujos de efectivo.","[{'name': 'hl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hl-Q225-10-Q.html'}, {'name': 'hl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hl-Q125-10-Q.html'}, {'name': 'hl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hl-FY24-10-K.html'}]",8027,USD,HL,SMART,STK,True,MM_GOL
