type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,health_care_materials,US26614N1028,DUPONT DE NEMOURS INC,1,Sirve como un proveedor global líder de materiales esenciales y soluciones innovadoras cruciales para la industria de la salud.,"La participación de DuPont en el tema Materiales para la Salud es evidente a través de varias vías. El segmento IndustrialsCo proporciona productos de ingeniería y soluciones integradas, sirviendo notablemente al sector médico con embalajes y dispositivos médicos especializados. Además, el segmento Water & Protection ofrece productos de ingeniería y sistemas integrados, incluido el embalaje médico, para diversas industrias. Esto se ve reforzado por la adquisición de Donatelle Plastics, una empresa de dispositivos médicos especializada en el diseño, desarrollo y fabricación de componentes y dispositivos médicos; sin embargo, Safety Solutions experimentó descensos en el volumen debido al desabastecimiento de inventario en los canales, principalmente en productos de embalaje médico dentro de los mercados de la salud.","[{'name': 'dd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dd-Q225-10-Q.html'}, {'name': 'dd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dd-Q324-10-Q.html'}, {'name': 'dd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dd-FY24-10-K.html'}]",365921621,USD,DD,SMART,STK,True,HE4
health,health_care_materials,US8835561023,THERMO FISHER SCIENTIFIC INC,2,"Se enfoca en suministrar materiales y consumibles críticos para aplicaciones de atención médica, investigación y diagnóstico, apoyando a la industria de la salud en general.",,,12869,USD,TMO,SMART,STK,True,HE4
health,health_care_materials,US1508701034,CELANESE CORP,3,"Suministra materiales avanzados críticos para diversas aplicaciones de atención médica, incluidos dispositivos médicos, sistemas de administración de medicamentos y envases farmacéuticos.","La participación de Celanese en el tema de Materiales para la Salud es evidente a través de su segmento de Materiales de Ingeniería, que desarrolla y suministra polímeros especiales de alto rendimiento para aplicaciones médicas. La amplia cartera de productos de la empresa atiende diversas aplicaciones de uso final, incluido el sector médico. Si bien las aplicaciones médicas se reconocen como un área importante, no representan un énfasis estratégico de primer nivel, lo que sugiere un nivel secundario de importancia para el tema de Materiales para la Salud.","[{'name': 'ce-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ce-Q324-10-Q.html'}, {'name': 'ce-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ce-Q125-10-Q.html'}, {'name': 'ce-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ce-Q225-10-Q.html'}]",32943358,USD,CE,SMART,STK,True,HE4
health,health_care_materials,US83444M1018,SOLVENTUM CORP,4,Desarrolla y suministra una amplia gama de materiales esenciales críticos para diversas aplicaciones dentro de la industria de la salud.,"La participación de Solventum en el tema de Materiales para la Salud es evidente a través de su desarrollo, fabricación y comercialización de soluciones para la salud que aprovechan la ciencia profunda de los materiales. El enfoque de la empresa incluye impulsar la adopción de nuevos productos como el apósito V.A.C Peel and Place y eBowie-Dick. El segmento MedSurg de Solventum, que abarca el cuidado avanzado de heridas y la prevención de infecciones, demuestra aún más la participación de la empresa en materiales para la salud.","[{'name': 'solv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/solv-Q225-10-Q.html'}, {'name': 'solv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/solv-Q125-10-Q.html'}, {'name': 'solv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/solv-FY24-10-K.html'}, {'name': 'solv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/solv-Q324-10-Q.html'}]",691984360,USD,SOLV,SMART,STK,True,HE4
health,health_care_materials,US8064071025,HENRY SCHEIN INC,5,"Sirve como distribuidor global de materiales de atención médica, proporcionando una amplia gama de productos dentales, médicos y de salud animal a profesionales de todo el mundo.",,,3655640,USD,HSIC,SMART,STK,True,HE4
health,health_care_materials,US05368V1061,AVIENT CORP,6,"Desarrolla y suministra soluciones y servicios de polímeros especializados que son vitales para el sector de materiales de atención médica, apoyando la fabricación de dispositivos médicos y otras aplicaciones críticas.","El compromiso de Avient con el tema de Materiales para la Salud es evidente a través de su cartera de Materiales de Ingeniería, que crea características intrínsecamente lubricantes en materiales para la salud diseñados para mejorar la comodidad del paciente. Esto se logra a través de una tecnología patentada que ofrece menor fricción y mejor procesabilidad en tubos de polietileno, con aplicaciones en catéteres, bombas peristálticas, máquinas CPAP y fabricación biofarmacéutica. Además, Avient ha experimentado un fuerte crecimiento en el sector de la salud, impulsado por la demanda de dispositivos y suministros médicos, con una fortaleza notable en los mercados de la salud, particularmente en EMEA. La empresa ha reportado una mayor demanda en el mercado final de la salud, lo que contribuye a aumentos en las ventas tanto en los segmentos de 'Color, Aditivos y Tintas' como en 'Materiales de Ingeniería Especializados', solidificando aún más su posición en el panorama de los materiales para la salud.","[{'name': 'avnt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avnt-Q324-10-Q.html'}]",431102494,USD,AVNT,SMART,STK,True,HE4
health,health_care_materials,US05352A1007,AVANTOR INC,7,Proporciona materiales esenciales e insumos críticos que permiten el desarrollo y la fabricación de productos dentro de la industria de la salud.,"El compromiso de Avantor con el tema de Materiales para la Salud es evidente a través de su plataforma de siliconas de marca NuSil, que ha demostrado un sólido desempeño y un crecimiento de un solo dígito bajo, particularmente dentro del sector médico. Este crecimiento en la plataforma médica ha superado el número de procedimientos de pacientes, lo que resalta la importancia de la empresa en esta área. Sin embargo, una disminución en las siliconas de grado médico también ha contribuido a la disminución de las ventas netas en el segmento de Producción de Biociencias, junto con la finalización de los ingresos por vacunas COVID-19, lo que indica que, si bien es importante, este tema está sujeto a fluctuaciones del mercado.","[{'name': 'avtr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/avtr-FY24-10-K.html'}]",366131368,USD,AVTR,SMART,STK,True,HE4
health,health_care_materials,US0758871091,BECTON DICKINSON AND CO,8,"Proporciona dispositivos médicos esenciales, sistemas de instrumentos y reactivos, contribuyendo significativamente al desarrollo y suministro de materiales críticos para la atención médica.",,,4886,USD,BDX,SMART,STK,True,HE4
health,health_care_materials,IT0005452658,STEVANATO GROUP SPA,9,"Proporciona soluciones esenciales de contención y administración de medicamentos, como viales de vidrio, cartuchos y jeringas, fundamentales para el almacenamiento y la administración seguros de productos farmacéuticos y otros productos sanitarios.","La participación de Stevanato Group en el tema de Materiales para el Cuidado de la Salud es evidente a través de su provisión de materiales para aplicaciones médicas, particularmente soluciones de contención de fármacos como viales y jeringas. La empresa está experimentando una mayor demanda de viales especialmente recubiertos para fármacos de alta potencia, incluidos conjugados anticuerpo-fármaco que requieren tecnologías avanzadas y procesos de producción complejos. Para satisfacer la creciente demanda del mercado de sus productos principales de contención de fármacos, Stevanato Group está realizando inversiones de capital, particularmente en el contexto del crecimiento de los productos biológicos. La empresa se centra en soluciones premium de contención de fármacos, como lo demuestra la acogida de participantes de la Conferencia de la Parental Drug Association (PDA) para una visita a sus avanzadas capacidades de fabricación.",,502252241,USD,STVN,SMART,STK,False,HE4
health,health_care_materials,US88579Y1010,3M CO,10,Proporciona una amplia gama de materiales y tecnologías esenciales utilizados en diversos segmentos de la industria de la salud.,,,9720,USD,MMM,SMART,STK,True,HE4
