industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
health,health_care_monitoring,US2521311074,DEXCOM INC,1,Proporciona sistemas de monitorización continua de glucosa que son fundamentales para el manejo de la diabetes y la mejora de los resultados de salud de los pacientes a través de datos en tiempo real.,"El enfoque de Dexcom en los sistemas de monitorización continua de glucosa (MCG) demuestra una fuerte conexión con el tema de la monitorización sanitaria, ya que la empresa diseña, desarrolla y comercializa estos sistemas para el control de la diabetes y la salud metabólica. Este compromiso se ve reforzado por el lanzamiento de productos como Dexcom G6 y G7, junto con la introducción de Stelo, un biosensor diseñado para adultos con prediabetes y diabetes tipo 2, lo que lo convierte en el primer biosensor de glucosa de venta libre en los EE. UU. Además, la organización de ventas directas de la empresa se dirige a profesionales de la salud, como endocrinólogos y educadores en diabetes, lo que destaca la importancia estratégica de los sistemas de MCG para su negocio.","[{'name': 'dxcm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dxcm-Q225-10-Q.html'}, {'name': 'dxcm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dxcm-Q324-10-Q.html'}, {'name': 'dxcm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dxcm-Q125-10-Q.html'}, {'name': 'dxcm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dxcm-FY24-10-K.html'}]",33837089,USD,DXCM,SMART,STK,True,HE5
health,health_care_monitoring,IE00BTN1Y115,MEDTRONIC PLC,2,"Proporciona una amplia gama de dispositivos y soluciones médicas críticas para el monitoreo de la atención médica, apoyando la gestión de pacientes y la toma de decisiones clínicas.","La participación de Medtronic en el Monitoreo de la Salud es evidente a través de sus soluciones de respiración y monitoreo, identificadas como una de sus áreas de productos principales. La cartera Médico Quirúrgica de la empresa incluye sensores y monitores para oximetría de pulso, capnografía, nivel de conciencia y oximetría cerebral. Además, la división de Cuidados Intensivos y Monitoreo refleja esta participación, con un crecimiento en la oximetría de pulso Nellcor, monitores de pacientes RespArray y el sistema de monitoreo BIS Advance impactando las ventas netas.","[{'name': 'mdt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q325-10-Q.html'}, {'name': 'mdt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q125-10-Q.html'}, {'name': 'mdt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q225-10-Q.html'}, {'name': 'mdt-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mdt-FY25-10-K.html'}]",181387075,USD,MDT,SMART,STK,True,HE5
health,health_care_monitoring,US0028241000,ABBOTT LABORATORIES .,3,Desarrolla y proporciona soluciones avanzadas de diagnóstico y monitoreo que permiten a las personas y a los profesionales de la salud rastrear parámetros de salud y gestionar afecciones de manera efectiva.,"El enfoque de Abbott en el monitoreo de la salud es evidente a través de sus sistemas de monitoreo continuo de glucosa (CGM) y monitores cardíacos implantables (ASSERT-IQ®), que brindan observación continua de las métricas de salud del paciente. El negocio de Cuidado de la Diabetes de la compañía, que presenta sistemas CGM, experimentó un crecimiento sustancial de ventas, totalizando $ 6.4 mil millones en 2024. Este crecimiento está respaldado además por la aprobación de la FDA para nuevos sistemas CGM de venta libre como Lingo® y Libre Rio™, basados en la tecnología FreeStyle Libre®.","[{'name': 'abt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abt-FY24-10-K.html'}]",4065,USD,ABT,SMART,STK,True,HE5
health,health_care_monitoring,US4500561067,IRHYTHM TECHNOLOGIES INC,4,"Permite el monitoreo continuo y exhaustivo dentro del sector de la salud a través de soluciones tecnológicas avanzadas, impactando significativamente la atención al paciente y el diagnóstico.","iRhythm Technologies demuestra un fuerte enfoque en la Monitorización de la Salud a través de su negocio principal de prestación de servicios de monitorización cardíaca ambulatoria y remota. El sistema Zio de la empresa, que incluye un biosensor vestible para la grabación continua de datos de ECG y análisis de datos basados en la nube, es fundamental para sus operaciones, ayudando a los médicos en la monitorización de pacientes y el diagnóstico de arritmias. iRhythm se dedica a la monitorización continua y a largo plazo, expandiéndose a vías de atención previas y incorporando la monitorización de signos vitales adicionales, todo lo cual subraya su compromiso con la atención cardíaca proactiva y preventiva.","[{'name': 'irtc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/irtc-Q225-10-Q.html'}, {'name': 'irtc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/irtc-FY24-10-K.html'}, {'name': 'irtc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/irtc-Q125-10-Q.html'}]",252330405,USD,IRTC,SMART,STK,False,HE5
health,health_care_monitoring,US5747951003,MASIMO CORPORATION,5,"Proporciona soluciones avanzadas de monitorización de pacientes no invasivas, contribuyendo a mejorar los resultados de la atención médica y la toma de decisiones clínicas.","El compromiso de Masimo con el tema de Monitoreo de Atención Médica es evidente a través de su desarrollo, fabricación y comercialización de tecnologías de monitoreo de pacientes no invasivas, soluciones de automatización y conectividad hospitalaria, dispositivos de monitoreo remoto y productos de salud para el consumidor. Sus tecnologías de medición principales incluyen la oximetría de pulso Measure-through Motion and Low Perfusion™ y parámetros avanzados de Pulse CO-Oximetry rainbow®, junto con la función cerebral, la hemodinámica, la oximetría regional, la frecuencia respiratoria acústica, la capnografía y el monitoreo de gases, el seguimiento de la posición y actividad del paciente, y las soluciones de telesalud. La empresa también se enfoca en acelerar el monitoreo inteligente e innovar tecnologías portátiles, con planes de actualizar los sensores existentes y crear monitores de próxima generación habilitados con algoritmos avanzados basados en IA para permitir el monitoreo continuo del paciente.","[{'name': 'masi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/masi-Q324-10-Q.html'}, {'name': 'masi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/masi-Q125-10-Q.html'}, {'name': 'masi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/masi-FY24-10-K.html'}, {'name': 'masi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/masi-Q225-10-Q.html'}]",45441825,USD,MASI,SMART,STK,True,HE5
health,health_care_monitoring,US36266G1076,GE HEALTHCARE TECHNOLOGY,6,"Proporciona soluciones y dispositivos críticos de monitorización de pacientes que permiten la observación continua de los signos vitales y otros parámetros de salud, apoyando la toma de decisiones clínicas y la atención al paciente en diversos entornos sanitarios.","La participación de GE HealthCare en el Monitoreo de la Salud es evidente a través de su segmento de Soluciones de Atención al Paciente (PCS), que incluye Soluciones de Monitoreo. El enfoque de la empresa en la introducción de nuevos productos dentro de las soluciones de monitoreo, anestesia y parto resalta su compromiso en esta área. Si bien el crecimiento en las soluciones de monitoreo ha contribuido a los aumentos de ingresos dentro del segmento de PCS, también se ha visto compensado por desafíos en otras áreas como las soluciones de soporte vital. La empresa también está actualizando la capacidad de los sistemas de monitoreo, con mejoras de IA planificadas para cambiar la forma en que funcionan realmente esos sistemas.","[{'name': 'gehc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gehc-FY24-10-K.html'}, {'name': 'gehc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gehc-Q225-10-Q.html'}]",601776309,USD,GEHC,SMART,STK,True,HE5
health,health_care_monitoring,NL0000009538,KONINKLIJKE PHILIPS NV,7,"Proporciona soluciones integradas para el monitoreo de la atención médica, abarcando signos vitales del paciente, datos de diagnóstico y sistemas de atención conectada para mejorar la toma de decisiones clínicas y los resultados del paciente.",,,29622921,EUR,PHIA,SMART,STK,False,HE5
health,health_care_monitoring,US4523271090,ILLUMINA INC,8,"Proporciona tecnologías avanzadas de secuenciación de ADN y matrices que son críticas para las pruebas genéticas, la detección de enfermedades y la vigilancia de la salud, contribuyendo significativamente al campo de la monitorización de la atención médica.","La participación de Illumina en el tema de Monitoreo de la Salud es evidente a través de las capacidades de proteómica de alto rendimiento de SomaLogic, particularmente el Ensayo SomaScan, que analiza miles de proteínas humanas a partir de pequeñas muestras. Este ensayo ofrece información procesable para el descubrimiento de fármacos, el diagnóstico y el monitoreo de la salud, posicionando a SomaLogic como un actor clave en proteómica con aplicaciones en el monitoreo de la salud.",,9869443,USD,ILMN,SMART,STK,True,HE5
health,health_care_monitoring,US7611521078,RESMED INC,9,"Desarrolla y fabrica dispositivos médicos y soluciones de software para el monitoreo y manejo de afecciones respiratorias y trastornos de la respiración durante el sueño, contribuyendo significativamente al monitoreo de la atención médica remota y en clínica.","La participación de ResMed en el Monitoreo de la Salud es evidente a través de su ecosistema de salud digital, que incluye dispositivos y plataformas conectados a la nube. Esto se destaca por el lanzamiento de NightOwl, una prueba de apnea del sueño en el hogar, y VPAP Tx, una plataforma de prueba y titulación en laboratorio de sueño diseñada para entornos hospitalarios y ambulatorios. Estos productos forman parte de un camino conectado destinado a mejorar el diagnóstico, la prescripción y la adherencia a la terapia, y la empresa también está trabajando para incorporar información diagnóstica en aplicaciones para pacientes. El enfoque de ResMed en la salud digital está respaldado además por inversiones en tecnologías de aprendizaje automático, inteligencia artificial e inteligencia artificial generativa.",,4817352,USD,RMD,SMART,STK,True,HE5
health,health_care_monitoring,US45784P1012,INSULET CORP,10,"Desarrolla y comercializa un sistema de administración de insulina sin tubo que integra el monitoreo continuo de glucosa para la administración automatizada de insulina, avanzando en el manejo y monitoreo remoto de enfermedades crónicas como la diabetes.","El compromiso de Insulet con la temática de Monitoreo de la Salud es evidente a través del diseño y la funcionalidad de su sistema Omnipod. El Omnipod 5 se integra con monitores continuos de glucosa (MCG) como Dexcom G6/G7 y Abbott FreeStyle Libre 2 Plus para controlar el nivel de azúcar en sangre. Además, Insulet está aprovechando datos de más de 365,000 clientes conectados a la nube para mejorar los resultados de los pacientes, la participación y la retención, y ha introducido Omnipod Discover, un servicio para que los profesionales de la salud y los pacientes realicen un seguimiento de los datos y las tendencias de salud.","[{'name': 'podd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/podd-Q225-10-Q.html'}, {'name': 'podd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/podd-Q324-10-Q.html'}]",44061838,USD,PODD,SMART,STK,True,HE5
