symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
UNH,HE1,health,health_care_services,US91324P1021,UNITEDHEALTH GROUP INC,1,"Sirve como proveedor fundamental dentro del ecosistema sanitario al ofrecer una gama completa de servicios sanitarios, que incluyen beneficios para la salud, prestación de atención, servicios de farmacia y análisis de datos.","El enfoque de UnitedHealth Group en ""Healthcare Services"" es evidente a través de las operaciones de UnitedHealthcare y Optum, ambas de las cuales brindan una gama de servicios de atención médica. La empresa se describe como una empresa de atención médica y bienestar con la misión de ayudar a las personas a vivir vidas más saludables y mejorar el sistema de salud. Este compromiso se refleja en su enfoque en mejorar el acceso a la atención, la participación preventiva y varios modelos de prestación de atención, que incluyen atención en clínica, en el hogar, conductual y virtual. UnitedHealthcare atiende a un número significativo de personas, y el crecimiento en Medicare Advantage y las ofertas comerciales basadas en tarifas contribuyen a los aumentos de ingresos.","[{'name': 'unh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/unh-Q125-10-Q.html'}, {'name': 'unh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/unh-FY24-10-K.html'}, {'name': 'unh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/unh-Q225-10-Q.html'}, {'name': 'unh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/unh-Q324-10-Q.html'}]",13272,USD,SMART,STK
CVS,HE1,health,health_care_services,US1266501006,CVS HEALTH CORP,2,"Proporciona una gama integral de servicios de atención médica, que abarcan la gestión de beneficios farmacéuticos, operaciones de farmacias minoristas y soluciones de seguros de salud, contribuyendo significativamente al ecosistema de prestación de atención médica.","El compromiso de CVS Health con los servicios de atención médica es evidente a través de su enfoque multifacético para proporcionar soluciones de salud. La compañía se dedica a abordar importantes desafíos de atención médica, como la asequibilidad, el acceso y la coordinación de la atención, aprovechando su extensa red de más de 9.000 centros minoristas, más de 1.000 clínicas médicas y conexiones con más de 185 millones de consumidores. CVS Health ofrece servicios de atención médica a través de sus clínicas médicas, de forma virtual y en el hogar, y ofrece soluciones de habilitación para proveedores. Además, CVS se centra en optimizar y simplificar la atención médica, comprometiendo inversiones significativas para transformar la atención médica y mejorar la experiencia general del paciente.","[{'name': 'cvs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q125-10-Q.html'}, {'name': 'cvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cvs-FY24-10-K.html'}, {'name': 'cvs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q324-10-Q.html'}, {'name': 'cvs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q225-10-Q.html'}]",2585769,USD,SMART,STK
ELV,HE1,health,health_care_services,US0367521038,ELEVANCE HEALTH INC,3,"Opera como un proveedor líder de beneficios y servicios de salud, dando forma significativamente al acceso, la prestación y la gestión de la atención médica para millones de personas.","La participación de Elevance Health en Servicios de Atención Médica es evidente a través de su propósito principal de mejorar la salud y su amplia prestación de servicios relacionados con la atención médica. Como una de las aseguradoras de salud más grandes de los Estados Unidos, Elevance Health atiende a una membresía médica sustancial a través de sus planes de salud afiliados y subsidiarias como Carelon Health, CarelonRx y Carelon Behavioral Health, que abarcan una amplia gama de servicios que incluyen farmacia, atención médica y salud conductual. El compromiso de la compañía se extiende a los programas de gestión de la atención, iniciativas de bienestar y gestión de enfermedades, todos destinados a mejorar los resultados de salud de los miembros y optimizar la prestación de atención, solidificando aún más su enfoque en la provisión de soluciones integrales de atención médica.","[{'name': 'elv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/elv-FY24-10-K.html'}, {'name': 'elv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elv-Q324-10-Q.html'}, {'name': 'elv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elv-Q225-10-Q.html'}, {'name': 'elv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elv-Q125-10-Q.html'}]",173962302,USD,SMART,STK
HCA,HE1,health,health_care_services,US40412C1018,HCA HEALTHCARE INC,4,"Opera una vasta red de hospitales y centros de atención médica, proporcionando una amplia gama de servicios médicos a las comunidades.","El negocio de HCA Healthcare se centra en la prestación de servicios de atención médica, como lo demuestra el hecho de que sus ingresos se generan a través de contratos con pacientes por estos servicios. La compañía opera un gran número de hospitales y centros de atención médica, ofreciendo una amplia gama de servicios médicos, que incluyen atención hospitalaria, servicios ambulatorios, atención de emergencia y procedimientos quirúrgicos. HCA se enfoca en la creciente demanda de servicios de atención médica, el aumento del número de instalaciones, la mejora de los resultados de calidad, el aumento de la eficiencia y la mejor gestión de la capacidad hospitalaria, y se compromete a brindar a las comunidades atención médica de alta calidad, conveniente y rentable.","[{'name': 'hca-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hca-Q324-10-Q.html'}, {'name': 'hca-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hca-Q225-10-Q.html'}, {'name': 'hca-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hca-Q125-10-Q.html'}, {'name': 'hca-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hca-FY24-10-K.html'}]",85076790,USD,SMART,STK
MCK,HE1,health,health_care_services,US58155Q1031,MCKESSON CORP,5,"Proporciona distribución farmacéutica esencial, gestión de suministros médicos y quirúrgicos, y soluciones de tecnología sanitaria que sustentan la prestación de servicios de atención médica.","El compromiso de McKesson con el tema de la industria de Servicios de Atención Médica es evidente a través de su posicionamiento estratégico como líder diversificado en servicios de atención médica dedicado a mejorar los resultados de salud. Este compromiso se demuestra a través del segmento de Productos Farmacéuticos de EE. UU., que proporciona una gama de servicios que incluyen gestión de consultorios, tecnología y apoyo clínico para oncología y otras prácticas especializadas. Sólidamente su posición, McKesson ha ampliado sus capacidades a través de adquisiciones como Core Ventures y PRISM Vision, mejorando sus ofertas de servicios en oncología y oftalmología, y expandiendo la Red de Oncología de EE. UU. para incluir un número significativo de proveedores en varios estados.","[{'name': 'mck-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mck-Q126-10-Q.html'}, {'name': 'mck-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mck-Q225-10-Q.html'}, {'name': 'mck-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mck-FY25-10-K.html'}, {'name': 'mck-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mck-Q325-10-Q.html'}]",9657,USD,SMART,STK
UHS,HE1,health,health_care_services,US9139031002,UNIVERSAL HEALTH SERVICES-B,6,"Opera como un proveedor líder de servicios de atención médica, incluyendo hospitales de cuidados agudos, centros de salud conductual y centros ambulatorios, atendiendo a diversas poblaciones de pacientes en varios mercados.","El negocio principal de Universal Health Services gira en torno a la prestación de servicios de atención médica a través de sus subsidiarias, que poseen y operan hospitales de cuidados agudos, centros ambulatorios y centros de salud conductual. Las operaciones de la compañía abarcan una amplia gama de servicios, que incluyen cirugía general y especializada, medicina interna, obstetricia, atención de urgencias y más, ofrecidos a través de una red de centros de hospitalización y ambulatorios. El enfoque de UHS en los servicios de atención médica se demuestra aún más a través de discusiones sobre el crecimiento de los ingresos, los planes de expansión y la gestión de costos dentro de sus segmentos de cuidados agudos y salud conductual. La dedicación de la compañía a los servicios de atención médica es evidente en toda su presentación de informes financieros e iniciativas estratégicas.","[{'name': 'uhs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uhs-Q125-10-Q.html'}, {'name': 'uhs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uhs-Q324-10-Q.html'}, {'name': 'uhs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/uhs-FY24-10-K.html'}, {'name': 'uhs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uhs-Q225-10-Q.html'}]",13206,USD,SMART,STK
CI,HE1,health,health_care_services,US1255231003,THE CIGNA GROUP,7,"Proporciona una amplia gama de servicios de atención médica, que incluyen planes de seguro médico y soluciones de gestión de la atención, al servicio de personas, familias y empleadores en diversos mercados.","The Cigna Group demuestra su participación en Servicios de Salud a través de sus subsidiarias, que ofrecen una gama de productos y servicios médicos, conductuales, dentales y relacionados. El segmento Cigna Healthcare enfatiza aún más este enfoque al proporcionar soluciones médicas integrales y coordinadas a clientes y consumidores. Los negocios de Evernorth Specialty and Care Services de la compañía, que representan una parte sustancial de sus ingresos, muestran capacidades únicas, incluida la entrega de millones de recetas. Además, Cigna trabaja activamente para mejorar el acceso y la asequibilidad en la atención médica, lo que indica un compromiso para construir un modelo de atención médica más sostenible.","[{'name': 'ci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ci-Q125-10-Q.html'}, {'name': 'ci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ci-Q225-10-Q.html'}, {'name': 'ci-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ci-Q324-10-Q.html'}, {'name': 'ci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ci-FY24-10-K.html'}]",346403540,USD,SMART,STK
CAH,HE1,health,health_care_services,US14149Y1082,CARDINAL HEALTH INC,8,"Proporciona distribución esencial de productos farmacéuticos y médicos, junto con diversas soluciones, para apoyar a hospitales, farmacias y otros proveedores de atención médica, facilitando la atención al paciente y operaciones eficientes de atención médica.","La participación de Cardinal Health en Servicios de Salud es evidente en su papel como compañía global de servicios y productos de atención médica, que ofrece soluciones integrales en todo el continuo de atención. La compañía proporciona soluciones personalizadas para diversas instalaciones de atención médica, incluidos hospitales, farmacias y centros de cirugía ambulatoria, conectando pacientes, proveedores, pagadores, farmacéuticos y fabricantes para una coordinación de atención integrada. Esto se demuestra aún más con la adquisición de GIA, una organización de servicios de gestión gastroenterológica, e ION, una red de oncología comunitaria independiente liderada por médicos, lo que amplía su conjunto de soluciones clínicas y de gestión de prácticas.","[{'name': 'cah-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cah-Q125-10-Q.html'}, {'name': 'cah-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cah-Q225-10-Q.html'}, {'name': 'cah-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cah-FY25-10-K.html'}, {'name': 'cah-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cah-Q325-10-Q.html'}]",5407,USD,SMART,STK
HUM,HE1,health,health_care_services,US4448591028,HUMANA INC,9,"Ofrece una amplia gama de planes de seguro de salud y servicios relacionados, facilitando el acceso a la atención médica y gestionando los resultados de salud para individuos y grupos.","El compromiso de Humana con los Servicios de Atención Médica es evidente a través de sus servicios de seguros Humana y los servicios de atención médica CenterWell, que tienen como objetivo mejorar la salud de millones de personas. El segmento CenterWell, que abarca farmacia, atención primaria y soluciones para el hogar, está diseñado para mejorar la experiencia general de atención médica y los resultados de salud. El enfoque de Humana en la excelencia clínica, el cierre de brechas en la atención y la integración de su segmento de seguros con CenterWell demuestra aún más su compromiso de brindar servicios integrales de atención médica, incluidos los planes Medicare Advantage y Medicaid.","[{'name': 'hum-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hum-Q225-10-Q.html'}, {'name': 'hum-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hum-FY24-10-K.html'}, {'name': 'hum-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hum-Q125-10-Q.html'}, {'name': 'hum-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hum-Q324-10-Q.html'}]",8251,USD,SMART,STK
TMO,HE1,health,health_care_services,US8835561023,THERMO FISHER SCIENTIFIC INC,10,"Proporciona instrumentos analíticos esenciales, productos de diagnóstico y servicios de laboratorio que sustentan operaciones críticas y avances dentro del sector de servicios de atención médica.","Thermo Fisher Scientific demuestra su compromiso con la industria de servicios de atención médica a través de diversas vías, incluida la mejora de la salud del paciente mediante diagnósticos y el servicio al mercado de atención médica y diagnóstico. El enfoque de la empresa se destaca por el crecimiento de los ingresos y un sólido desempeño dentro del canal del mercado de atención médica, particularmente en los negocios de diagnóstico de trasplantes e inmunodiagnóstico. Esto se ve respaldado además por el hecho de que el crecimiento en el canal del mercado de atención médica impulsa los ingresos orgánicos en el segmento de Diagnósticos Especializados. Si bien la empresa ha experimentado algunos vientos en contra en China que afectan los ingresos en el mercado de diagnóstico y atención médica, su negocio de servicios farmacéuticos también contribuye al proporcionar servicios a clientes farmacéuticos y biotecnológicos para el desarrollo de vacunas y terapias.","[{'name': 'tmo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmo-Q125-10-Q.html'}, {'name': 'tmo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmo-Q324-10-Q.html'}, {'name': 'tmo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmo-Q225-10-Q.html'}]",12869,USD,SMART,STK
