type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,healthcare_retail,US1266501006,CVS HEALTH CORP,1,"Opera una extensa red de farmacias minoristas, clínicas MinuteClinic y tiendas de salud, proporcionando servicios de prescripción accesibles, productos de venta libre y soluciones de atención médica integradas directamente a los consumidores.","CVS Health demuestra un fuerte compromiso con el comercio minorista de atención médica a través de su extensa red de más de 9.000 ubicaciones minoristas y más de 1.000 clínicas médicas sin cita previa y de atención primaria. Esta sustancial presencia minorista permite al segmento de Farmacia y Bienestar del Consumidor dispensar recetas, ofrecer servicios farmacéuticos auxiliares como programas de atención al paciente y vacunaciones, y vender una amplia gama de productos de salud y bienestar. El enfoque de la empresa en la salud comunitaria se enfatiza aún más en sus esfuerzos por garantizar el acceso a los medicamentos y mejorar la experiencia del cliente, respaldado por inversiones en tecnología y colegas en su huella nacional y conexiones con más de 185 millones de consumidores.","[{'name': 'cvs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q125-10-Q.html'}, {'name': 'cvs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q225-10-Q.html'}, {'name': 'cvs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q324-10-Q.html'}, {'name': 'cvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cvs-FY24-10-K.html'}]",2585769,USD,CVS,SMART,STK,True,HE6
health,healthcare_retail,US9311421039,WALMART INC,2,"Opera una importante red de centros de salud y farmacias, brindando servicios y productos de atención médica accesibles a comunidades en diversas regiones.","La participación de Walmart en el tema de Retail de Atención Médica es evidente a través de varias iniciativas y resultados de ventas. Tanto Walmart U.S. como Sam's Club U.S. experimentaron sólidas ventas en salud y bienestar, lo que contribuyó al crecimiento de las ventas comparables. Walmart también ha lanzado la entrega de farmacia para mejorar la flexibilidad del cliente, lo que ha llevado a un aumento de usuarios digitales. Además, Sam's Club ha sido reconocida como la Empresa de Farmacia del Año de J.D. Power durante nueve años consecutivos, lo que demuestra un compromiso sostenido con este sector.","[{'name': 'wmt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q325-10-Q.html'}]",13824,USD,WMT,SMART,STK,True,HE6
health,healthcare_retail,US0231351067,AMAZON.COM INC,3,"Ofrece servicios de farmacia en línea y soluciones de atención virtual, junto con una amplia plataforma minorista de productos relacionados con la salud, ampliando el acceso a ofertas farmacéuticas y de bienestar.","El compromiso de Amazon con el tema de Retail de Atención Médica es evidente a través del crecimiento de Amazon Pharmacy, que ha experimentado un aumento interanual del 50%. Este crecimiento, logrado sobre una base existente sustancial, demuestra el enfoque estratégico y la inversión de Amazon en el negocio de farmacias. Si bien Amazon Pharmacy está experimentando una expansión considerable, su impacto se refleja principalmente en su tasa de crecimiento en lugar de metodologías únicas dentro del sector de retail de atención médica.",,3691937,USD,AMZN,SMART,STK,True,HE6
health,healthcare_retail,US87612E1064,TARGET CORP,4,"Integra productos de salud y bienestar y servicios de farmacia dentro de su ecosistema minorista, brindando a los consumidores un acceso conveniente a soluciones minoristas de atención médica.",,,6437,USD,TGT,SMART,STK,True,HE6
health,healthcare_retail,US58155Q1031,MCKESSON CORP,5,"Distribuye productos farmacéuticos y médicos a una vasta red de farmacias minoristas y otros proveedores de atención médica, asegurando la disponibilidad de bienes esenciales dentro del ecosistema minorista de atención médica.","El compromiso de McKesson con el tema de Retail de Atención Médica se demuestra a través de sus operaciones internacionales y el apoyo a las farmacias comunitarias. El segmento Internacional de la empresa abarca operaciones minoristas en Canadá y Noruega, incluidas las farmacias minoristas de Rexall Health y la propiedad, asociaciones o franquicias con farmacias minoristas en Noruega. McKesson también apoya a las farmacias comunitarias en los EE. UU. a través de su franquicia Health Mart, una red nacional de farmacias independientes.","[{'name': 'mck-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mck-Q126-10-Q.html'}, {'name': 'mck-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mck-Q325-10-Q.html'}, {'name': 'mck-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mck-FY25-10-K.html'}, {'name': 'mck-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mck-Q225-10-Q.html'}]",9657,USD,MCK,SMART,STK,True,HE6
health,healthcare_retail,US68404L2016,OPTION CARE HEALTH INC,6,"Proporciona servicios integrales de infusión en el hogar y en sitios alternativos, entregando directamente soluciones de atención médica especializadas a los pacientes dentro del sector de la atención médica minorista.",,,402333216,USD,OPCH,SMART,STK,True,HE6
health,healthcare_retail,AU000000SIG5,SIGMA HEALTHCARE LTD,7,Contribuye al sector de la atención médica minorista a través de la distribución de productos farmacéuticos y la operación de una red de farmacias.,,,7549213,AUD,SIG,SMART,STK,False,HE6
health,healthcare_retail,US8064071025,HENRY SCHEIN INC,8,"Suministra productos y servicios esenciales a médicos y dentistas de consultorio, apoyando así la prestación de servicios de atención médica a pacientes dentro del sector de la atención médica minorista.",,,3655640,USD,HSIC,SMART,STK,True,HE6
health,healthcare_retail,US03073E1055,CENCORA INC,9,"Facilita la distribución de productos farmacéuticos y soluciones sanitarias a farmacias minoristas y otros proveedores de atención médica, garantizando la disponibilidad de productos dentro del sector minorista de la salud.","El compromiso de Cencora con el tema de la Venta Minorista de Atención Médica es evidente a través de su segmento de Soluciones de Atención Médica de EE. UU., que proporciona servicios, productos farmacéuticos, productos de atención médica de venta libre y suministros de atención médica a domicilio a una variedad de proveedores de atención médica minorista, incluidas farmacias minoristas independientes y de cadena. La empresa apoya a las farmacias independientes a través de su red Good Neighbor Pharmacy, ofreciendo análisis avanzados para identificar oportunidades de negocio, abordar lagunas en la atención y adaptar los servicios a poblaciones de pacientes específicas. Cencora también aboga por los proveedores comunitarios y apoya la resiliencia en el espacio de las farmacias independientes para garantizar el acceso de los pacientes a la atención, así como organiza eventos como la conferencia Good Neighbor Pharmacy ThoughtSpot para educar a los clientes sobre las tendencias de la industria.","[{'name': 'cor-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cor-FY24-10-K.html'}]",1714996,USD,COR,SMART,STK,True,HE6
health,healthcare_retail,US22160K1051,COSTCO WHOLESALE CORP,10,"Opera farmacias, centros ópticos y centros de audífonos, proporcionando una gama de productos y servicios relacionados con la salud a sus miembros.","La participación de Costco en el tema de Retail de Atención Médica es evidente a través de sus negocios auxiliares de almacén, que incluyen servicios de farmacia, óptica y audífonos. Estos servicios se mencionan constantemente en varios documentos, con informes de un sólido desempeño trimestral dentro del segmento de negocios auxiliares. Costco enfatiza el valor para sus miembros en óptica a través de sus laboratorios, fabricando lentes de alta calidad y ofreciendo precios competitivos en monturas, incluidas marcas de lujo. Si bien la farmacia y la óptica forman parte de las ofertas de Costco, las ventas de farmacia impulsaron el aumento de las ventas auxiliares de almacén durante las primeras treinta y seis semanas de 2024.","[{'name': 'cost-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cost-Q324-10-Q.html'}, {'name': 'cost-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cost-FY24-10-K.html'}, {'name': 'cost-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cost-Q125-10-Q.html'}]",272997,USD,COST,SMART,STK,True,HE6
