symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
NESN,HEA,consumer and retail,healthconscious_brand,CH0038863350,NESTLE SA-REG,1,"Desarrolla y comercializa una amplia cartera de productos de alimentos y bebidas, enfatizando el valor nutricional, la transparencia de los ingredientes y los beneficios para el bienestar para satisfacer las cambiantes demandas de los consumidores de opciones conscientes de la salud.",,52238348,CHF,SMART,STK,
ULVR.OLD,HEA,consumer and retail,healthconscious_brand,GB00B10RZP78,UNILEVER PLC,2,"Impulsa el mercado de productos conscientes de la salud innovando en su diversa cartera de marcas, enfatizando los beneficios nutricionales, los ingredientes naturales y el abastecimiento sostenible para satisfacer las preferencias cambiantes de los consumidores.",,39234893,GBP,SMART,STK,
CELH,HEA,consumer and retail,healthconscious_brand,US15118V2079,CELSIUS HOLDINGS INC,3,"Se enfoca en comercializar sus productos como una alternativa más saludable en el mercado de bebidas energéticas, enfatizando los beneficios funcionales y los ingredientes ""mejores para ti"".","Celsius Holdings demuestra una fuerte conexión con la marca consciente de la salud a través de varias iniciativas clave. La empresa se dirige explícitamente a los consumidores que buscan 'rendimiento funcional, formulaciones más saludables y apoyo a un estilo de vida activo', como lo demuestra su comercialización de las marcas CELSIUS y Alani Nu. Esto se enfatiza aún más con el lanzamiento de la campaña 'Live. Fit. Go.' y la adquisición de Alani Nu, una marca centrada en el bienestar con un fuerte atractivo entre los consumidores de la Generación Z y las mujeres. Celsius también se enfoca en la innovación de productos para satisfacer las demandas cambiantes de los consumidores conscientes de la salud, y sus bebidas energéticas sin azúcar impulsan una parte significativa del crecimiento de la categoría.",71364351,USD,SMART,STK,"[{'name': 'celh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/celh-Q225-10-Q.html'}, {'name': 'celh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/celh-FY24-10-K.html'}]"
DAN,HEA,consumer and retail,healthconscious_brand,FR0000120644,DANONE,4,Promueve una amplia gama de productos que atraen a consumidores preocupados por la salud al enfatizar los beneficios nutricionales y el bienestar a través de sus estrategias de marca y desarrollo de productos.,,6579874,CHF,SMART,STK,
PEP,HEA,consumer and retail,healthconscious_brand,US7134481081,PEPSICO INC,5,Desarrolla y comercializa activamente una cartera diversa de productos de alimentos y bebidas para alinearse con la demanda de los consumidores de opciones más saludables y estilos de vida orientados al bienestar.,,11017,USD,SMART,STK,
SFM,HEA,consumer and retail,healthconscious_brand,US85208M1027,SPROUTS FARMERS MARKET INC,6,"Opera como un minorista especializado de comestibles centrado en alimentos naturales y orgánicos, apelando directamente a los consumidores preocupados por su salud.","Sprouts Farmers Market demuestra un fuerte enfoque en la marca consciente de la salud a través de varias estrategias. El compromiso de la empresa de ayudar a las personas a vivir y comer mejor es evidente en su enfoque en productos frescos, locales, innovadores, naturales y orgánicos que resuenan con los consumidores conscientes de la salud. Sprouts inspira el bienestar de forma natural con una cuidada selección de productos ""better-for-you"" (mejores para ti) combinada con personas con propósito, aportando lo último en productos saludables e innovadores elaborados con ingredientes que se adaptan al estilo de vida, como los orgánicos, de origen vegetal y sin gluten. Este compromiso se extiende a los esfuerzos de marketing, con un enfoque en clientes objetivo entusiastas de la salud y productos basados en atributos, así como en miembros del equipo conocedores que ayudan a los clientes a tomar decisiones informadas para alcanzar sus objetivos de salud.",132310192,USD,SMART,STK,"[{'name': 'sfm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sfm-FY24-10-K.html'}, {'name': 'sfm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sfm-Q225-10-Q.html'}]"
PG,HEA,consumer and retail,healthconscious_brand,US7427181091,PROCTER & GAMBLE CO/THE,7,"Impulsa la preferencia del consumidor a través del desarrollo y marketing de productos que enfatizan los beneficios para la salud y el bienestar, alineándose con las tendencias cambiantes de los consumidores conscientes de la salud.","El enfoque de Procter & Gamble en el branding consciente de la salud es evidente a través de las iniciativas estratégicas de Align en el mercado del bienestar digestivo, abordando específicamente la hinchazón. Se lanzó la versión de alivio de la hinchazón y digestión de alimentos de Align para abordar la necesidad insatisfecha de los consumidores que experimentan hinchazón, que se asocia con la incapacidad de digerir los alimentos. Esto fue respaldado aún más por el lanzamiento del primer 3 en 1 Biótico de Align, un prebiótico para nutrir las buenas bacterias, un probiótico para calmar la hinchazón y un postbiótico para apoyar la salud inmunológica, lo que demuestra una innovación de producto significativa y la comunicación de los síntomas.",11054,USD,SMART,STK,
KO,HEA,consumer and retail,healthconscious_brand,US1912161007,COCA-COLA CO/THE,8,Se enfoca en reformular productos existentes e introducir nuevas ofertas con menor contenido de azúcar y atributos más saludables para alinearse con las preferencias cambiantes de los consumidores por opciones conscientes de la salud.,,8894,USD,SMART,STK,
SBUX,HEA,consumer and retail,healthconscious_brand,US8552441094,STARBUCKS CORP,9,"Se centra en expandir su menú con opciones de alimentos y bebidas más saludables, incluyendo alternativas de origen vegetal y bebidas personalizables, para satisfacer las cambiantes preferencias de los consumidores por el bienestar y la transparencia nutricional.","El compromiso de Starbucks con la marca orientada a la salud es evidente a través de varias iniciativas, incluido el desarrollo de una nueva plataforma de salud y bienestar destinada a resonar en diversos grupos demográficos. Esta dirección estratégica está respaldada además por ajustes en su oferta de productos, como la eliminación de azúcar de Matcha, que condujo a un aumento significativo en las ventas. Además, Starbucks ha introducido bebidas sin azúcar en China y está explorando nuevos puntos de precio, lo que demuestra una adaptación a las preferencias del mercado local y un enfoque en opciones orientadas a la salud.",274105,USD,SMART,STK,
CMG,HEA,consumer and retail,healthconscious_brand,US1696561059,CHIPOTLE MEXICAN GRILL INC,10,Enfatiza ingredientes frescos y de alta calidad y opciones de comidas personalizables para atraer a los consumidores que buscan opciones alimentarias más saludables y transparentes.,,37655664,USD,SMART,STK,
