industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
unclassified,home_furniture,US94419L1017,WAYFAIR INC- CLASS A,1,"Opera como un minorista en línea líder especializado en una amplia selección de muebles y decoración para el hogar, atendiendo a diversas necesidades de los clientes.","El negocio de Wayfair se centra en los muebles para el hogar, ya que la compañía declara explícitamente que es 'el destino para todo lo relacionado con el hogar', ofreciendo más de 30 millones de productos. Este enfoque está respaldado por su inversión en CastleGate, una red diseñada a medida para productos frágiles, pesados y voluminosos que definen la categoría del hogar. Wayfair cree que una parte cada vez mayor de los dólares gastados en artículos para el hogar se gastará en línea, lo que presenta una oportunidad para adquirir una mayor cuota de mercado.","[{'name': 'w-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/w-Q125-10-Q.html'}, {'name': 'w-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/w-Q225-10-Q.html'}, {'name': 'w-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/w-FY24-10-K.html'}]",168812158,USD,W,SMART,STK,False,HO1
unclassified,home_furniture,US74967X1037,RH,2,"Opera como un destacado minorista y curador de mobiliario de lujo para el hogar, ofreciendo una colección completa de muebles, iluminación, textiles y decoración a una clientela exigente.","El negocio de RH está fuertemente enfocado en el mercado de mobiliario para el hogar, ya que la empresa se identifica como un minorista líder y una marca de estilo de vida de lujo que opera principalmente en este sector. Este énfasis está respaldado por sus surtidos curados e integrados presentados a través de varios canales de venta, incluyendo tiendas minoristas, sitios web y Sourcebooks. RH ofrece una amplia gama de mercancías, incluyendo muebles, iluminación, textiles, artículos de baño, decoración y mobiliario para exteriores y jardines, y se enfoca en elevar el diseño y la calidad de sus productos. Además, RH está invirtiendo en ubicaciones globales icónicas y construyendo una empresa hotelera global, integrando mobiliario de hogar de lujo con experiencias hoteleras de alta gama.","[{'name': 'rh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rh-Q324-10-Q.html'}, {'name': 'rh-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rh-Q224-10-Q.html'}, {'name': 'rh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rh-FY24-10-K.html'}, {'name': 'rh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rh-Q125-10-Q.html'}]",258821404,USD,RH,SMART,STK,True,HO1
unclassified,home_furniture,US9699041011,WILLIAMS-SONOMA INC,3,"Ofrece una amplia selección de muebles, decoración, utensilios de cocina y productos para exteriores a través de sus marcas minoristas especializadas, atendiendo a una amplia gama de preferencias de los consumidores en el sector del mobiliario para el hogar.","Williams-Sonoma es un minorista especializado centrado en productos para el hogar, con marcas como Williams Sonoma, Pottery Barn y West Elm dedicadas a muebles para el hogar. El énfasis de la empresa en los muebles es evidente en las discusiones sobre la vacilación de los clientes hacia las compras de muebles que impactan los ingresos, lo que se ve parcialmente compensado por las fortalezas en muebles infantiles para el hogar. Su estrategia de crecimiento incluye un enfoque en diseños de muebles nuevos e innovadores, así como una amplia gama de artículos que no son muebles, como decoración de temporada, textiles y artículos para el hogar, comercializados a través de comercio electrónico, tiendas minoristas y catálogos de venta directa.","[{'name': 'wsm-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wsm-Q224-10-Q.html'}, {'name': 'wsm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wsm-FY24-10-K.html'}, {'name': 'wsm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wsm-Q125-10-Q.html'}, {'name': 'wsm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wsm-Q324-10-Q.html'}]",5019164,USD,WSM,SMART,STK,True,HO1
unclassified,home_furniture,US4370761029,HOME DEPOT INC,4,"Ofrece una selección integral de productos esenciales para la decoración y el amueblamiento del hogar, satisfaciendo una amplia gama de necesidades de los consumidores para mejorar los espacios de vida.","La participación de la empresa en el tema de los muebles para el hogar es evidente a través de sus ventas de electrodomésticos, soluciones de almacenamiento y otros productos relacionados. Esto está respaldado además por una participación más amplia en proyectos de mejora del hogar y ventas incrementales vinculadas a los esfuerzos de recuperación de huracanes. La empresa también experimentó una fuerte participación en su Centro de Regalos de Electrodomésticos, eventos de Decoración Navideña y Black Friday, con eventos de electrodomésticos y del Centro de Regalos registrando años de ventas récord. Si bien no menciona explícitamente los muebles para el hogar, la empresa proporciona soluciones para la remodelación y el amueblamiento de propiedades residenciales.",,7930,USD,HD,SMART,STK,True,HO1
unclassified,home_furniture,US04035M1027,ARHAUS INC,5,"Se enfoca en ofrecer muebles para el hogar de alta calidad, incluidos muebles y decoración, para satisfacer la demanda de los consumidores de piezas elegantes y bien elaboradas.","El negocio de Arhaus está significativamente ligado al mercado de muebles para el hogar, ya que la compañía se identifica como un minorista premium especializado en este sector. Ofrecen una amplia gama de productos, incluyendo muebles, artículos para exteriores, iluminación, textiles y decoración, obtenidos a nivel mundial y diseñados para su uso en todo el hogar. La compañía enfatiza la calidad, la artesanía y el diseño, atendiendo a los consumidores que buscan amueblar y actualizar sus hogares, y se están expandiendo a nuevas áreas como colecciones de baño, demostrando un compromiso con el mercado de muebles para el hogar.","[{'name': 'arhs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/arhs-FY24-10-K.html'}, {'name': 'arhs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/arhs-Q225-10-Q.html'}, {'name': 'arhs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/arhs-Q125-10-Q.html'}]",524517600,USD,ARHS,SMART,STK,False,HO1
unclassified,home_furniture,US88023U1016,SOMNIGROUP INTERNATIONAL INC,6,"Se especializa en productos y servicios dentro del sector de mobiliario para el hogar, particularmente aquellos relacionados con el sueño y la comodidad.","La conexión de la empresa con la industria del mueble y la decoración del hogar está impulsada principalmente por su posición como la empresa de ropa de cama más grande del mundo. Esto se apoya en su enfoque en el diseño, fabricación, distribución y venta minorista de productos de ropa de cama, así como en su cartera de marcas reconocidas como Tempur-Pedic, Sealy y Stearns & Foster. Ofrecen soluciones innovadoras para dormir y satisfacen las necesidades cambiantes de los consumidores en más de 100 países en todo el mundo a través de sus empresas de propiedad total, Tempur Sealy, Mattress Firm y Dreams.","[{'name': 'tpx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpx-Q125-10-Q.html'}, {'name': 'tpx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tpx-FY24-10-K.html'}, {'name': 'tpx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpx-Q225-10-Q.html'}, {'name': 'tpx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpx-Q324-10-Q.html'}]",27059190,USD,SGI,SMART,STK,True,HO1
unclassified,home_furniture,US5486611073,LOWE'S COS INC,7,"Sirve como un importante minorista que ofrece una selección completa de productos para el hogar, apoyando a los consumidores en la decoración y el equipamiento de sus espacios de vida.","La exposición de Lowe's al tema de los Muebles para el Hogar es evidente a través de su sólida oferta de electrodomésticos, donde se identifica como líder en la industria y ha visto ventas comparables que superan el promedio de la empresa. La empresa enfatiza su amplia variedad y capacidades de entrega al día siguiente para electrodomésticos en todo EE. UU. Además, Lowe's está ampliando su alcance en muebles para el hogar a través de la adquisición de ADG, centrándose en encimeras, gabinetes y pisos, y agregando Daltile a su línea, una marca de baldosas preferida por los profesionales.","[{'name': 'low-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/low-Q224-10-Q.html'}]",9199,USD,LOW,SMART,STK,True,HO1
unclassified,home_furniture,US5246601075,LEGGETT & PLATT INC,8,"Suministra una amplia gama de componentes y productos de ingeniería que son fundamentales para la industria del mueble y la decoración del hogar, incluyendo ropa de cama y muebles.","La participación de Leggett & Platt en la industria del mueble para el hogar es evidente a través del suministro de componentes para fabricantes de muebles residenciales y líneas selectas de muebles terminados de marca propia. Su segmento de Productos de Muebles, Pisos y Textiles, que incluye muebles para el hogar, contribuye a una parte de las ventas comerciales. Las operaciones chinas de la compañía también juegan un papel al vender componentes a clientes asiáticos que exportan muebles terminados a los EE. UU., aunque este segmento ha enfrentado desafíos como el impacto de los aranceles y las interrupciones.","[{'name': 'leg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/leg-Q125-10-Q.html'}, {'name': 'leg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/leg-Q225-10-Q.html'}, {'name': 'leg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/leg-Q324-10-Q.html'}, {'name': 'leg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/leg-FY24-10-K.html'}]",9081,USD,LEG,SMART,STK,True,HO1
unclassified,home_furniture,US6081901042,MOHAWK INDUSTRIES INC,9,"Fabrica una amplia gama de productos para suelos, como alfombras, baldosas cerámicas y laminados, sirviendo como proveedor fundamental para el mercado de mobiliario del hogar.","La conexión de Mohawk con el tema de los muebles para el hogar proviene de su posición como el mayor fabricante de pisos del mundo y un proveedor líder de pisos tanto para mercados residenciales como comerciales. Como proveedor importante de todas las categorías principales de pisos, los productos de Mohawk son un componente clave de los muebles para el hogar, particularmente dado que la remodelación residencial es un impulsor de ventas principal para sus productos de pisos. Sin embargo, la empresa se ve afectada por la débil demanda en sus mercados, ya que las presiones inflacionarias, las tasas de interés elevadas, las políticas comerciales cambiantes y los eventos geopolíticos contribuyen a la incertidumbre del consumidor que ha llevado a aplazamientos generales de grandes compras discrecionales.","[{'name': 'mhk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mhk-Q225-10-Q.html'}, {'name': 'mhk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mhk-FY24-10-K.html'}, {'name': 'mhk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mhk-Q324-10-Q.html'}]",271967,USD,MHK,SMART,STK,True,HO1
unclassified,home_furniture,US9633201069,WHIRLPOOL CORP,10,"Fabrica y comercializa una amplia gama de electrodomésticos principales, incluidos productos de lavandería, refrigeración, cocina y lavavajillas, que son componentes integrales del mobiliario del hogar.","Whirlpool es una empresa líder en electrodomésticos de cocina y lavandería que ofrece una gama de electrodomésticos para el hogar, incluidos electrodomésticos principales y pequeños electrodomésticos. Con marcas icónicas como Whirlpool, KitchenAid, JennAir, Maytag, Amana, Brastemp, Consul e InSinkErator, la empresa impulsa una innovación significativa para satisfacer las necesidades cambiantes de los consumidores. El enfoque de Whirlpool en la innovación es evidente en la introducción de nuevos productos, como la línea KitchenAid con opciones de personalización, las innovadoras placas de inducción con extracción descendente de JennAir y las lavadoras de carga superior Maytag centradas en mascotas con tecnología Pet Pro. Los electrodomésticos principales de la empresa y los productos InSinkErator contribuyen significativamente al diseño interior y la funcionalidad del hogar.","[{'name': 'whr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/whr-FY24-10-K.html'}, {'name': 'whr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/whr-Q225-10-Q.html'}, {'name': 'whr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/whr-Q324-10-Q.html'}]",13751,USD,WHR,SMART,STK,True,HO1
