type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,home_improvement,US4370761029,HOME DEPOT INC,1,"Sirve como un minorista líder que ofrece una amplia gama de productos, servicios y herramientas para proyectos de renovación y construcción de viviendas, contribuyendo y dando forma significativamente al mercado de mejoras para el hogar.","El negocio de Home Depot está significativamente ligado a la industria de la mejora del hogar, como lo demuestran su enfoque estratégico e inversiones. La empresa se enfoca explícitamente en brindar la mejor experiencia de compra para el cliente en mejora del hogar, con iniciativas destinadas a fortalecer su posición competitiva y brindar un excelente servicio al cliente. Home Depot está invirtiendo en sus tiendas, experiencia de compra interconectada y ecosistema Pro para mejorar la experiencia del cliente y aumentar las ventas. Esto se ve respaldado además por el hecho de que se observaron ventas comparables positivas en departamentos de mercancía como Electrodomésticos, Fontanería, Jardín de Interior, Electricidad, Jardín de Exterior y Materiales de Construcción.","[{'name': 'hd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q125-10-Q.html'}, {'name': 'hd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q224-10-Q.html'}, {'name': 'hd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q324-10-Q.html'}, {'name': 'hd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hd-FY24-10-K.html'}]",7930,USD,HD,SMART,STK,True,HOM
consumer and retail,home_improvement,US5486611073,LOWE'S COS INC,2,"Facilita proyectos de reparación, mantenimiento y renovación del hogar al ofrecer una selección completa de materiales de construcción, herramientas y electrodomésticos tanto para consumidores individuales como para constructores profesionales.","Lowe's está fuertemente invertida en la industria de mejoras para el hogar, como lo demuestra su estrategia Total Home destinada al crecimiento rentable de la cuota de mercado cuando el mercado se recupere. La compañía se enfoca tanto en clientes profesionales como en bricolaje, abordando un mercado total direccionable sustancial. Lowe's también ha lanzado Mylow, un asesor virtual impulsado por IA diseñado para ayudar a los clientes con proyectos de mejoras para el hogar, desde la planificación hasta la compra. Además, la compañía ha visto resultados positivos en varias categorías de mejoras para el hogar, incluidos materiales de construcción, plomería y madera, impulsados por proyectos de reparación y mantenimiento, y reconoce el apoyo de la demanda a largo plazo de tendencias como la formación de hogares de millennials y el trabajo remoto.","[{'name': 'low-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/low-Q125-10-Q.html'}, {'name': 'low-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/low-Q324-10-Q.html'}, {'name': 'low-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/low-Q224-10-Q.html'}, {'name': 'low-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/low-FY24-10-K.html'}]",9199,USD,LOW,SMART,STK,True,HOM
consumer and retail,home_improvement,US8243481061,SHERWIN-WILLIAMS CO/THE,3,"Ofrece una amplia selección de pinturas, tintes y recubrimientos esenciales para proyectos de renovación y decoración residenciales y comerciales, contribuyendo significativamente al sector de la mejora del hogar.","La participación de Sherwin-Williams en el tema de Mejoras del Hogar es evidente a través de su Grupo de Tiendas de Pintura y su Grupo de Marcas de Consumo, que atienden a clientes minoristas y profesionales en los mercados de repintado residencial y residencial nuevo. La empresa se enfoca en la productividad de los contratistas, ofreciendo soluciones para agilizar la finalización de trabajos, y la adquisición de Suvinil está destinada a reforzar su presencia en el sector de marcas de consumo. Si bien la empresa anticipa presiones económicas que afectarán el comportamiento del consumidor dentro de estos grupos, se espera que las inversiones en ventas, capacitación, herramientas digitales y relaciones con constructores de viviendas impulsen el crecimiento. Sin embargo, la empresa ha experimentado debilidad en el mercado de bricolaje, lo que ha afectado las ventas en el Grupo de Marcas de Consumo, particularmente en América del Norte.","[{'name': 'shw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/shw-Q125-10-Q.html'}, {'name': 'shw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/shw-Q225-10-Q.html'}, {'name': 'shw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/shw-Q324-10-Q.html'}, {'name': 'shw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/shw-FY24-10-K.html'}]",12120,USD,SHW,SMART,STK,True,HOM
consumer and retail,home_improvement,US31488V1070,FERGUSON ENTERPRISES INC,4,"Suministra materiales esenciales de fontanería, HVAC y construcción, desempeñando un papel importante en las renovaciones residenciales, mejoras y construcción de nuevas viviendas dentro del sector.","La participación de Ferguson en el tema de Mejoras para el Hogar se refleja en el crecimiento de las ventas netas dentro de los mercados residenciales, que experimentaron un aumento aproximado del 2% en comparación con el año fiscal anterior. Este crecimiento abarca tanto la construcción nueva como las actividades relacionadas con reparaciones, mantenimiento y mejoras. El desempeño de la compañía en el mercado residencial está relacionado con reparaciones, mantenimiento y mejoras, lo que sugiere la relevancia del tema de Mejoras para el Hogar en los resultados financieros de la compañía.","[{'name': 'ferg-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ferg-Q325-10-Q.html'}]",717988170,USD,FERG,SMART,STK,False,HOM
consumer and retail,home_improvement,IE0001827041,CRH PLC,5,"Proporciona una cartera integral de materiales y soluciones de construcción que son integrales para la construcción residencial, la renovación y diversos proyectos de mejora del hogar.","La participación de CRH en el tema de la Mejora del Hogar está relacionada con la construcción residencial, específicamente con actividades de reparación y remodelación. Los principales mercados de construcción de la empresa incluyen proyectos residenciales con énfasis en la reparación y remodelación de viviendas unifamiliares y multifamiliares. Debido al envejecimiento del parque de viviendas de EE. UU., CRH anticipa que la actividad de reparación y remodelación será más prominente que la nueva construcción en el futuro cercano, y el segmento de Soluciones Internacionales integra materiales, productos y servicios de construcción para la construcción y renovación de edificios residenciales.","[{'name': 'crh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crh-FY24-10-K.html'}]",12538958,EUR,CRG,SMART,STK,False,HOM
consumer and retail,home_improvement,US12008R1077,BUILDERS FIRSTSOURCE INC,6,Proporciona materiales de construcción y servicios de construcción esenciales para proyectos de mejoras del hogar residencial y nuevas construcciones.,"Las operaciones de la empresa se ven significativamente influenciadas por el mercado de reparación y remodelación residencial, ya que este es un impulsor principal junto con la nueva construcción. Esto se evidencia aún más en un aumento en el segmento de reparación y remodelación, con una fortaleza particular observada en las regiones del Atlántico Medio y Centro Sur. La capacidad de la empresa para seguir siendo competitiva está ligada a la prestación de un sólido servicio al cliente y una amplia oferta de productos dentro de este mercado.","[{'name': 'bldr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bldr-FY24-10-K.html'}]",34851874,USD,BLDR,SMART,STK,True,HOM
consumer and retail,home_improvement,US8545021011,STANLEY BLACK & DECKER INC,7,"Proporciona una amplia gama de herramientas eléctricas, herramientas manuales y equipos para exteriores esenciales para proyectos de bricolaje y renovación y mantenimiento profesional del hogar.","El compromiso de la compañía con el tema de Mejoras para el Hogar es evidente a través de su diversa oferta de productos y cartera de marcas. La marca DEWALT demuestra un crecimiento de ingresos año tras año en herramientas eléctricas, herramientas manuales, accesorios, almacenamiento y productos para exteriores, mientras que las marcas CRAFTSMAN y STANLEY ofrecen herramientas eléctricas de cordón y sin cordón enfocadas en el bricolaje y los oficios. Además, se venden productos para el hogar de consumo, como herramientas eléctricas para el hogar, aspiradoras de mano y pequeños electrodomésticos bajo la marca BLACK+DECKER. Sin embargo, la compañía ha experimentado una disminución en los ingresos de herramientas eléctricas debido a presiones en la categoría de bricolaje de consumo y un entorno de consumo y bricolaje débil, lo que indica tanto la participación como los desafíos dentro del mercado de mejoras para el hogar.","[{'name': 'swk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/swk-Q125-10-Q.html'}, {'name': 'swk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/swk-Q324-10-Q.html'}, {'name': 'swk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/swk-FY24-10-K.html'}, {'name': 'swk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/swk-Q225-10-Q.html'}]",73354293,USD,SWK,SMART,STK,True,HOM
consumer and retail,home_improvement,US5745991068,MASCO CORP,8,"Suministra una amplia gama de productos de marca, incluyendo grifos, gabinetes y acabados arquitectónicos decorativos, que son esenciales para proyectos residenciales de renovación de viviendas y nuevas construcciones.","La participación de Masco en el tema de las mejoras para el hogar es evidente a través de su enfoque en las actividades de reparación y remodelación. La empresa diseña, fabrica y distribuye productos de mejora para el hogar de marca, vendidos principalmente para reparación y remodelación. Las iniciativas estratégicas de Masco se centran en productos innovadores de reparación y remodelación, y la empresa reconoce la influencia de la actividad de reparación y remodelación residencial en su desempeño futuro. Si bien la empresa experimenta una presión de demanda continua en la pintura DIY, su enfoque sigue estando en los fundamentos a largo plazo de la industria de reparación y remodelación.","[{'name': 'mas-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mas-Q225-10-Q.html'}, {'name': 'mas-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mas-Q125-10-Q.html'}, {'name': 'mas-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mas-FY24-10-K.html'}]",9360,USD,MAS,SMART,STK,True,HOM
consumer and retail,home_improvement,US6081901042,MOHAWK INDUSTRIES INC,9,"Proporciona una amplia gama de productos de pisos, que incluyen alfombras, baldosas cerámicas, laminados y madera, que son fundamentales para proyectos de renovación y construcción residenciales y comerciales dentro del sector de mejoras para el hogar.","La participación de Mohawk Industries en el tema de la mejora del hogar es evidente a través de su dependencia de la remodelación residencial como un impulsor clave de ventas para sus productos de pisos. La empresa obtiene la mayor parte de sus ventas de la construcción y remodelación residencial y comercial, siendo la remodelación residencial el principal impulsor de ventas de productos de pisos, que a menudo se reemplazan durante las actividades de mejora del hogar. Mohawk reconoce que el aplazamiento de las compras discrecionales por parte de los consumidores, influenciado por las presiones económicas, afecta la remodelación residencial, al tiempo que reconoce que las familias que permanecen más tiempo en sus hogares pueden requerir renovaciones adicionales. La empresa también está adaptando su oferta de productos, como el laminado impermeable de primera calidad, para satisfacer las necesidades de los consumidores en el sector de la remodelación.","[{'name': 'mhk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mhk-Q125-10-Q.html'}, {'name': 'mhk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mhk-FY24-10-K.html'}, {'name': 'mhk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mhk-Q324-10-Q.html'}]",271967,USD,MHK,SMART,STK,True,HOM
consumer and retail,home_improvement,AU000000WES1,WESFARMERS LTD,10,Opera extensas redes minoristas que suministran una amplia gama de productos y servicios para proyectos de mejora del hogar residenciales y comerciales.,,,11910870,AUD,WES,SMART,STK,False,HOM
