industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
hospitality,hospitality_industry,US5719032022,MARRIOTT INTERNATIONAL -CL A,1,"Opera y concede franquicias de una amplia cartera de hoteles y resorts a nivel mundial, posicionándose como un proveedor líder de alojamiento y servicios para huéspedes dentro de la industria hotelera.","La sólida conexión de Marriott con la Industria de la Hospitalidad es evidente a través de sus operaciones a nivel mundial como operador, franquiciador y licenciante de hoteles, propiedades residenciales, tiempos compartidos y otras propiedades de alojamiento bajo más de 30 marcas. El rendimiento de la empresa se mide utilizando métricas clave como RevPAR, ocupación y ADR, con discusiones que abarcan varias regiones, incluyendo EE. UU. y Canadá, Europa, Medio Oriente y África, Gran China y Asia Pacífico. Marriott genera ingresos a través de tarifas de gestión base, tarifas de franquicia y tarifas de gestión de incentivos, con todo el enfoque de las llamadas de resultados dedicado a su rendimiento y estrategias dentro del sector de la hospitalidad.","[{'name': 'mar-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q225-10-Q.html'}, {'name': 'mar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mar-FY24-10-K.html'}, {'name': 'mar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q324-10-Q.html'}, {'name': 'mar-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q125-10-Q.html'}]",9358,USD,MAR,SMART,STK,True,HOS
hospitality,hospitality_industry,US43300A2033,HILTON WORLDWIDE HOLDINGS IN,2,"Opera una vasta red global de marcas hoteleras, contribuyendo significativamente al sector de la hospitalidad a través de diversas opciones de alojamiento y servicios relacionados.","La conexión de Hilton con la Industria Hotelera es evidente a través de su posición como una de las compañías hoteleras globales más grandes, con una amplia cartera de propiedades en numerosos países y territorios. Las operaciones, el rendimiento y las estrategias de la compañía están profundamente arraigados en el sector hotelero, como lo demuestran las discusiones sobre RevPAR, tasas de ocupación, planes de desarrollo y rendimiento de marca en sus llamadas de resultados. El compromiso de Hilton se destaca aún más por su continua expansión, incluyendo importantes aperturas de hoteles y crecimiento neto de unidades, con un enfoque tanto en categorías de lujo como de estilo de vida y expansión a nuevos mercados internacionales. La compañía también reconoce los riesgos inherentes a la industria hotelera, enfatizando aún más su exposición directa y compromiso con el tema.","[{'name': 'hlt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hlt-FY24-10-K.html'}, {'name': 'hlt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q225-10-Q.html'}, {'name': 'hlt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q125-10-Q.html'}, {'name': 'hlt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q324-10-Q.html'}]",257944570,USD,HLT,SMART,STK,True,HOS
hospitality,hospitality_industry,US0090661010,AIRBNB INC-CLASS A,3,"Funciona como una plataforma líder para alquileres y experiencias a corto plazo, transformando fundamentalmente los sectores globales de alojamiento y viajes dentro de la industria hotelera.","El negocio de Airbnb está profundamente entrelazado con la industria de la hospitalidad, como lo demuestra su plataforma que conecta a anfitriones que ofrecen alojamientos y experiencias con huéspedes que buscan estos servicios. Los ingresos de la empresa se ven significativamente impulsados por 'Noches y Experiencias Reservadas', y utiliza métricas como 'Tarifa Diaria Promedio (ADR)' para medir el rendimiento, lo que resalta su participación directa en la hospitalidad. Airbnb se enfoca en mejorar la experiencia del huésped, expandir sus ofertas y perfeccionar su servicio principal, demostrando aún más su compromiso con el sector de la hospitalidad. El modelo de la empresa facilita estancias, experiencias y servicios que permiten a los huéspedes conectarse con comunidades, solidificando su posición como un actor importante en la industria de la hospitalidad.","[{'name': 'abnb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abnb-FY24-10-K.html'}, {'name': 'abnb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abnb-Q225-10-Q.html'}, {'name': 'abnb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abnb-Q125-10-Q.html'}, {'name': 'abnb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abnb-Q324-10-Q.html'}]",459530964,USD,ABNB,SMART,STK,True,HOS
hospitality,hospitality_industry,US09857L1089,BOOKING HOLDINGS INC,4,"Facilita las reservas de viajes y alojamiento a nivel mundial, proporcionando una plataforma integral que conecta a los consumidores con una amplia gama de servicios de hospitalidad, incluidos hoteles, alquileres vacacionales y transporte.","Booking Holdings exhibe una fuerte conexión con la industria de la hospitalidad, principalmente a través de su negocio principal de permitir reservas de servicios de viaje. La empresa obtiene sustancialmente todos sus ingresos de esta actividad, facilitada por sus marcas principales como Booking.com, Priceline, Agoda, KAYAK y OpenTable. Con millones de propiedades listadas, incluyendo hoteles, moteles, resorts y alojamientos alternativos, Booking Holdings desempeña un papel central en la conexión de los consumidores con los proveedores de servicios de viaje y tiene como objetivo mejorar la experiencia de viaje en general. Además, la empresa enfatiza su compromiso de apoyar a los socios de alojamiento al generar demanda de viajes incremental y desarrollar productos y características para apoyar su éxito.","[{'name': 'bkng-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkng-Q324-10-Q.html'}, {'name': 'bkng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bkng-FY24-10-K.html'}]",308728373,USD,BKNG,SMART,STK,True,HOS
hospitality,hospitality_industry,PA1436583006,CARNIVAL CORP,5,"Opera como una empresa líder mundial en cruceros, ofreciendo servicios integrales de hospitalidad que abarcan alojamiento, gastronomía y entretenimiento para millones de huéspedes en su diversa flota.","El negocio de Carnival Corporation se centra en las operaciones de cruceros, que están intrínsecamente ligadas a la industria hotelera, proporcionando alojamiento, comida y servicios turísticos. La empresa se enfoca en mejorar las experiencias de los huéspedes a través de comodidades a bordo y desarrollo de destinos, como Celebration Key y Half Moon Cay. Las operaciones de cruceros de Carnival implican servicios de hospitalidad, incluyendo alojamiento, gastronomía y servicios a bordo, con un enfoque en brindar felicidad a los huéspedes a través de vacaciones en crucero extraordinarias. La dedicación de la empresa a la satisfacción del huésped y la provisión de vacaciones en crucero la posicionan dentro de la industria hotelera.","[{'name': 'ccl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ccl-FY24-10-K.html'}, {'name': 'ccl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ccl-Q125-10-Q.html'}]",5516,USD,CCL,SMART,STK,True,HOS
hospitality,hospitality_industry,US2546871060,WALT DISNEY CO/THE,6,"Opera una cartera global de parques temáticos, resorts y líneas de cruceros, brindando servicios de entretenimiento y alojamiento inmersivos dentro del sector de la hospitalidad.",,,6459,USD,DIS,SMART,STK,True,HOS
hospitality,hospitality_industry,US5529531015,MGM RESORTS INTERNATIONAL,7,"Opera una cartera global de resorts integrados, casinos y lugares de entretenimiento, contribuyendo significativamente al sector de la hostelería a través de alojamiento, juegos de azar, gastronomía y eventos en vivo.","Los fuertes vínculos de MGM con la industria hotelera son evidentes a través de sus operaciones comerciales principales, que incluyen alojamiento, servicios de alimentos y bebidas, y entretenimiento. La empresa genera ingresos sustanciales por habitaciones y alimentos y bebidas en sus segmentos de Las Vegas Strip Resorts, Operaciones Regionales y MGM China, con un enfoque en la entrega de experiencias excepcionales al cliente. Esto se ve respaldado aún más por las importantes inversiones en sus resorts, la solidez de sus ofertas de lujo y la asociación estratégica con Marriott, que se espera que represente 900.000 noches de habitación. El programa MGM Rewards, con sus 50 millones de miembros, también destaca el compromiso de la empresa con la hostelería.","[{'name': 'mgm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q324-10-Q.html'}]",9560,USD,MGM,SMART,STK,True,HOS
hospitality,hospitality_industry,US30212P3038,EXPEDIA GROUP INC,8,"Proporciona una plataforma en línea integral para reservar alojamientos, vuelos y experiencias de viaje, sirviendo como un intermediario y canal de distribución crítico para el sector hotelero global.","La fuerte conexión de Expedia Group con la industria hotelera es evidente a través de su negocio principal de impulsar los viajes globales. La empresa ofrece una amplia gama de servicios de viaje, incluidos los relacionados con propiedades de alojamiento, aerolíneas, alquiler de automóviles y alojamientos alternativos. El alojamiento representa una parte sustancial de los ingresos de Expedia, como se demostró en el primer y segundo trimestre de 2025, con un 77% y un 80% respectivamente. Además, la plataforma de Expedia, con más de 3.5 millones de propiedades de alojamiento disponibles a junio de 2025, conecta a los viajeros con alojamiento y otros servicios de viaje, solidificando su papel en el ecosistema hotelero.","[{'name': 'expe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/expe-FY24-10-K.html'}, {'name': 'expe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expe-Q225-10-Q.html'}]",98542021,USD,EXPE,SMART,STK,True,HOS
hospitality,hospitality_industry,US9100471096,UNITED AIRLINES HOLDINGS INC,9,"Desempeña un papel crucial en la industria hotelera al proporcionar amplios servicios de transporte aéreo que permiten viajar y hacer turismo, apoyando directamente a hoteles, resorts y otros negocios relacionados.","La participación de United Airlines en la Industria de la Hospitalidad es evidente a través de varios aspectos operativos. La compañía está expandiendo su presencia al construir nuevos United Clubs en ciudades importantes como Houston, San Francisco y Denver. El aumento de los gastos operativos se asocia con una mayor actividad de vuelos, incluidos los costos de catering a bordo, suministros y comodidades, operaciones de salas VIP en aeropuertos y servicios para pasajeros. Además, hay aumentos en las membresías de United Club, el volumen de visitantes y las compras de pases de United Club de un solo uso.","[{'name': 'ual-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ual-Q225-10-Q.html'}]",79498203,USD,UAL,SMART,STK,True,HOS
hospitality,hospitality_industry,US8552441094,STARBUCKS CORP,10,"Opera una red global de cafeterías que ofrecen alimentos, bebidas y una experiencia distintiva para el cliente, contribuyendo significativamente al sector de servicios dentro de la industria hotelera.","Starbucks enfatiza la importancia de crear cafeterías cálidas y acogedoras que sirvan como lugares de reunión para los clientes. Esto está respaldado por su compromiso con las mejoras en las cafeterías, con una inversión objetivo de aproximadamente $150,000 por tienda para mejorar el ambiente con mayor textura, calidez y diseño en capas. Además, Starbucks se enfoca en mejorar el servicio al cliente a través de iniciativas como el modelo de Servicio Green Apron y garantizar el acceso a experiencias de Pedido y Pago Móvil de alta calidad, junto con opciones de drive-thru donde sea factible, para mejorar la experiencia general de la cafetería.",,274105,USD,SBUX,SMART,STK,True,HOS
