symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
MAR,financials,hotel_management,US5719032022,MARRIOTT INTERNATIONAL -CL A,1,"Supervisa la gestión y franquicia de una vasta red global de hoteles y marcas de alojamiento, definiendo un segmento significativo de la industria de la gestión hotelera.","El compromiso de Marriott con la Gestión Hotelera es evidente a través de sus operaciones globales como operador, franquiciador y licenciante de propiedades hoteleras y de alojamiento, con una cartera que abarca más de 30 marcas. El modelo de negocio de bajo activo de la empresa, centrado principalmente en la gestión y franquicia de hoteles, genera ingresos a través de tarifas de gestión básicas e incentivos vinculados a los ingresos y la rentabilidad de la propiedad. Además, las llamadas de resultados enfatizan las estrategias relacionadas con la gestión de ingresos, el servicio al cliente y la gestión de marca, destacando la dedicación de la empresa a la eficiencia operativa y la experiencia del cliente dentro del sector hotelero.","[{'name': 'mar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q324-10-Q.html'}, {'name': 'mar-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q225-10-Q.html'}, {'name': 'mar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mar-FY24-10-K.html'}]",9358,USD,SMART,STK,True,WE1
HLT,financials,hotel_management,US43300A2033,HILTON WORLDWIDE HOLDINGS IN,2,"Opera y franquicia una cartera diversa de marcas hoteleras globales, proporcionando servicios integrales de gestión hotelera en una amplia gama de tipos de alojamiento.","La participación de Hilton en la Gestión Hotelera es evidente a través de sus extensas operaciones como una de las compañías hoteleras más grandes del mundo, con un número significativo de propiedades y habitaciones en numerosos países y territorios. El negocio principal de la compañía implica la prestación de servicios de gestión hotelera y oportunidades de franquicia, principalmente a través de su segmento de gestión y franquicia. Este segmento es responsable de supervisar u operar hoteles a cambio de tarifas de gestión, lo que solidifica aún más el enfoque de la compañía en la gestión hotelera, incluida la concesión de licencias de propiedad intelectual y el uso de canales de reserva.","[{'name': 'hlt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hlt-FY24-10-K.html'}, {'name': 'hlt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q225-10-Q.html'}, {'name': 'hlt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q324-10-Q.html'}]",257944570,USD,SMART,STK,True,WE1
CCL,financials,hotel_management,PA1436583006,CARNIVAL CORP,3,"Gestiona amplias operaciones hoteleras en su flota de cruceros global, que abarcan alojamiento, alimentos y bebidas, y servicios para huéspedes para una gran base de clientes internacional.",,,5516,USD,SMART,STK,True,WE1
HST,financials,hotel_management,US44107P1049,HOST HOTELS & RESORTS INC,4,"Opera como un propietario líder de propiedades hoteleras de lujo y de alta gama, proporcionando los activos fundamentales que son administrados por compañías operadoras hoteleras de primer nivel dentro de la industria.","La participación de Host Hotels & Resorts en la Gestión Hotelera es evidente en varios aspectos clave de sus operaciones. La empresa confía en gestores externos bajo acuerdos a largo plazo para operar sus hoteles, y estos gestores obtienen honorarios fijos y de incentivos vinculados a los ingresos y la rentabilidad del hotel. Esto se ve respaldado aún más por el aumento de los honorarios de gestión fijos, calculados como un porcentaje de los ingresos totales. Además, la empresa gestiona activamente sus operaciones hoteleras, centrándose en la gestión de ingresos, el control de costes y la prestación de servicios, con estrategias dirigidas a mejorar el rendimiento general del hotel.","[{'name': 'hst-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hst-Q225-10-Q.html'}, {'name': 'hst-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hst-FY24-10-K.html'}]",8057,USD,SMART,STK,True,WE1
SBUX,financials,hotel_management,US8552441094,STARBUCKS CORP,5,"Opera una red global de cafeterías, ofreciendo una experiencia de cliente distintiva y gestionando extensas operaciones minoristas dentro del sector de la hostelería.","El enfoque de Starbucks en la Gestión de la Hospitalidad es evidente en su inversión en el modelo de servicio 'Green Apron', diseñado para mejorar el flujo de clientes y la conexión. La empresa apoya a los 'socios Green Apron' a través de capacitación y desarrollo, incluida una conferencia de liderazgo para gerentes de tiendas de América del Norte. Esta iniciativa se está implementando en las tiendas de EE. UU., con un enfoque en garantizar que el liderazgo esté alineado con los objetivos del modelo de servicio 'Green Apron', para ofrecer una experiencia excepcional al cliente.",,274105,USD,SMART,STK,True,WE1
MGM,financials,hotel_management,US5529531015,MGM RESORTS INTERNATIONAL,6,"Gestiona y opera una cartera global de resorts integrados, hoteles y locales de entretenimiento, brindando una amplia gama de servicios y experiencias de hospitalidad.","La participación de MGM en la gestión hotelera es evidente a través de la operación de hoteles, resorts y servicios de restauración, lo que contribuye significativamente a los ingresos de la compañía en sus segmentos de Resorts de Las Vegas Strip, Operaciones Regionales y MGM China. La compañía gestiona activamente estas instalaciones hoteleras, como se refleja en métricas detalladas relacionadas con las operaciones hoteleras, como la ocupación, el ADR y el RevPAR. Además, MGM enfatiza el servicio al cliente de calidad y la gestión de ingresos en sus propiedades, mejorando las experiencias de los clientes a través de renovaciones de habitaciones, nuevas comodidades y mejoras de capital específicas, incluida su relación con Marriott.","[{'name': 'mgm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q324-10-Q.html'}, {'name': 'mgm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mgm-FY24-10-K.html'}, {'name': 'mgm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q225-10-Q.html'}]",9560,USD,SMART,STK,True,WE1
BKNG,financials,hotel_management,US09857L1089,BOOKING HOLDINGS INC,7,"Proporciona una plataforma global para reservar alojamientos, vuelos y coches de alquiler, lo que permite a los proveedores de hostelería gestionar su inventario y llegar a una amplia base de clientes.","El negocio principal de la empresa gira en torno a la facilitación de reservas de servicios de viajes, conectando a los consumidores con los proveedores de servicios de viajes y obteniendo prácticamente todos sus ingresos al permitir a los consumidores realizar estas reservas. Si bien el enfoque principal de la empresa son los viajes, también obtiene ingresos de servicios de reserva y gestión de restaurantes a través de OpenTable. Estos servicios contribuyen a la gestión hotelera, aunque representan una parte menor de los ingresos totales de la empresa.","[{'name': 'bkng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bkng-FY24-10-K.html'}, {'name': 'bkng-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkng-Q324-10-Q.html'}]",308728373,USD,SMART,STK,True,WE1
AC,financials,hotel_management,FR0000120404,ACCOR SA,8,Se enfoca en la gestión y operación de una amplia cartera de propiedades y marcas hoteleras en diversos segmentos a nivel mundial.,,,29612126,EUR,SMART,STK,False,WE1
H,financials,hotel_management,US4485791028,HYATT HOTELS CORP - CL A,9,"Opera y franquicia una cartera global de hoteles, resorts y residencias, brindando servicios integrales de gestión hotelera a través de diversas marcas.","El negocio de Hyatt gira significativamente en torno a la gestión hotelera, como lo demuestra la operación de '637 propiedades administradas (191,898 habitaciones)' bajo acuerdos de gestión y servicios hoteleros. Estos acuerdos, incluidos contratos a largo plazo de 50 años para resorts adquiridos de Playa Hotels & Resorts, resaltan el compromiso de la compañía con este sector, con expectativas de importantes tarifas de gestión. La cartera de Hyatt consta de hoteles y resorts de servicio completo, hoteles de servicio selecto y resorts todo incluido, lo que demuestra una amplia gama de actividades de gestión hotelera y relaciones con propietarios y franquiciados externos. La compañía también enfatiza la dedicación de los colegas de Hyatt en todo el mundo por su continuo cuidado de los huéspedes y clientes.","[{'name': 'h-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/h-Q324-10-Q.html'}, {'name': 'h-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/h-Q225-10-Q.html'}, {'name': 'h-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/h-FY24-10-K.html'}]",70084337,USD,SMART,STK,True,WE1
CZR,financials,hotel_management,US12769G1004,CAESARS ENTERTAINMENT INC,10,"Gestiona una vasta cartera de resorts, casinos y hoteles, desempeñando un papel importante en el sector de la gestión hotelera a través de su amplia experiencia operativa y servicios al huésped.","La participación de Caesars Entertainment en la Gestión Hotelera es evidente a través de la operación de 53 propiedades domésticas, con aproximadamente 45,900 habitaciones de hotel, y la empresa aprovecha hoteles, restaurantes y bares para atraer clientes a sus propiedades. La empresa se enfoca en mejorar el servicio al huésped y gestionar los ingresos a través de reinversiones estratégicas en bases de datos de clientes y mejoras de propiedades, y gestiona operaciones hoteleras en sus segmentos de Las Vegas y regionales, con discusiones significativas sobre la ocupación de habitaciones y tarifas. Además, Caesars tiene una empresa conjunta con Cordish Companies para desarrollar un destino de entretenimiento y hospitalidad de uso mixto, lo que demuestra un compromiso para expandir sus ofertas hoteleras.","[{'name': 'czr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/czr-FY24-10-K.html'}, {'name': 'czr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/czr-Q225-10-Q.html'}]",435774408,USD,SMART,STK,True,WE1
