symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
MAR,HOT,hospitality,hotel_operations,US5719032022,MARRIOTT INTERNATIONAL -CL A,1,"Opera como líder mundial en la industria hotelera, gestionando y franquiciando una vasta cartera de propiedades en todo el mundo e impulsando la innovación en servicios de hospitalidad.","Las operaciones hoteleras son centrales para el negocio de la empresa, ya que opera, gestiona y concede franquicias de una vasta cartera de propiedades hoteleras en todo el mundo. Esto se demuestra a través del enfoque de la empresa en indicadores clave de rendimiento como RevPAR, ocupación y ADR, que se utilizan para medir el rendimiento de los hoteles. La empresa genera ingresos a través de tarifas de gestión y franquicia vinculadas a los ingresos y beneficios de los hoteles, y está invirtiendo aún más en la transformación digital de los sistemas de gestión de propiedades, lo que destaca la importancia estratégica de operaciones hoteleras eficientes y centradas en el huésped.","[{'name': 'mar-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q225-10-Q.html'}, {'name': 'mar-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q125-10-Q.html'}, {'name': 'mar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q324-10-Q.html'}, {'name': 'mar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mar-FY24-10-K.html'}]",9358,USD,SMART,STK
HLT,HOT,hospitality,hotel_operations,US43300A2033,HILTON WORLDWIDE HOLDINGS IN,2,"Opera una cartera global de marcas hoteleras, gestionando y franquiciando una diversa gama de propiedades que brindan servicios de alojamiento y hospitalidad en varios segmentos del mercado.","La participación de Hilton en las Operaciones Hoteleras es fundamental para su negocio, como lo demuestra su posición como una de las empresas de hospitalidad más grandes del mundo, gestionando una vasta cartera de propiedades y habitaciones en numerosos países. Las operaciones de la empresa abarcan el funcionamiento diario y la prestación de servicios dentro de los hoteles, incluida la gestión, los servicios al huésped y el mantenimiento de las instalaciones. Hilton genera ingresos a través de tarifas de gestión y franquicia, con objetivos estratégicos centrados en expandir su red hotelera global y su negocio basado en tarifas, que está directamente ligado a métricas de rendimiento hotelero como RevPAR. El segmento de propiedad enfatiza aún más este enfoque, obteniendo ingresos principalmente de la venta de habitaciones de hotel, alimentos y bebidas, y otros servicios en hoteles consolidados propios y arrendados.","[{'name': 'hlt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q125-10-Q.html'}, {'name': 'hlt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q324-10-Q.html'}, {'name': 'hlt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hlt-FY24-10-K.html'}]",257944570,USD,SMART,STK
MGM,HOT,hospitality,hotel_operations,US5529531015,MGM RESORTS INTERNATIONAL,3,"Opera una cartera global de resorts y hoteles, enfatizando servicios integrales para huéspedes y gestión hotelera a gran escala.","Las operaciones hoteleras son centrales para el negocio de MGM, con ingresos generados por habitaciones en sus segmentos Las Vegas Strip Resorts, Operaciones Regionales y MGM China. La empresa rastrea estadísticas hoteleras clave como la ocupación, el ADR y el RevPAR para Las Vegas Strip Resorts, y también monitorea métricas de rendimiento hotelero e implementa remodelaciones de habitaciones para mejorar la experiencia del huésped. MGM aprovecha asociaciones, como con Marriott, para impulsar las reservas de noches de habitación y atraer clientes que gastan más, demostrando el enfoque de la empresa en ofrecer experiencias excepcionales.","[{'name': 'mgm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mgm-FY24-10-K.html'}, {'name': 'mgm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q225-10-Q.html'}, {'name': 'mgm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q324-10-Q.html'}, {'name': 'mgm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q125-10-Q.html'}]",9560,USD,SMART,STK
HST,HOT,hospitality,hotel_operations,US44107P1049,HOST HOTELS & RESORTS INC,4,Funciona como un fideicomiso de inversión inmobiliaria líder fuertemente invertido en operaciones hoteleras a través de la propiedad y gestión estratégica de una cartera diversa de propiedades hoteleras.,"El negocio de Host Hotels & Resorts está significativamente entrelazado con las operaciones hoteleras, como lo demuestran las extensas discusiones sobre ingresos, gastos y métricas de rendimiento como RevPAR, tasas de ocupación y márgenes EBITDA. El enfoque de la empresa en mejorar el rendimiento hotelero es evidente a través de estrategias como renovaciones, reposicionamiento y mejora de los servicios de alimentos y bebidas, así como la gestión de los gastos de salarios y beneficios. Además, los ingresos de hoteles comparables de la empresa constituyen una parte sustancial de sus ingresos totales, impulsados por aumentos en las tarifas de las habitaciones y una fuerte demanda transitoria. La empresa también se enfoca en mejorar las operaciones hoteleras para impulsar los ingresos y la rentabilidad, como lo demuestran las mejoras en RevPAR y el margen EBITDA.","[{'name': 'hst-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hst-Q125-10-Q.html'}, {'name': 'hst-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hst-FY24-10-K.html'}, {'name': 'hst-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hst-Q324-10-Q.html'}, {'name': 'hst-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hst-Q225-10-Q.html'}]",8057,USD,SMART,STK
EXPE,HOT,hospitality,hotel_operations,US30212P3038,EXPEDIA GROUP INC,5,"Proporciona una plataforma que apoya las operaciones hoteleras al permitir reservas, gestionar reservaciones y llegar a una amplia base de clientes para diversas propiedades de alojamiento.","El negocio de Expedia Group está significativamente relacionado con las operaciones hoteleras, como lo demuestra su facilitación de reservas de hoteles y sus relaciones con socios proveedores de hoteles. El alojamiento, que incluye hoteles, representó una parte sustancial de los ingresos mundiales de Expedia. Esto se ve respaldado además por el crecimiento de Brand Expedia y el relanzamiento de Hotels.com, junto con la adición de Premier Inn, una cadena hotelera europea líder, lo que demuestra los esfuerzos para mejorar la experiencia del usuario y ampliar el alcance del mercado.",,98542021,USD,SMART,STK
IHG,HOT,hospitality,hotel_operations,GB00BHJYC057,INTERCONTINENTAL HOTELS GROU,6,"Gestiona una cartera diversa de marcas hoteleras a nivel mundial, contribuyendo significativamente al sector de operaciones hoteleras a través de su extensa red y experiencia en gestión.",,,349588652,GBP,SMART,STK
BKNG,HOT,hospitality,hotel_operations,US09857L1089,BOOKING HOLDINGS INC,7,"Facilita una amplia red de reservas de hoteles y servicios de alojamiento a nivel mundial, lo que contribuye significativamente al éxito operativo y a las estrategias de adquisición de clientes de numerosas propiedades hoteleras.",,,308728373,USD,SMART,STK
SYY,HOT,hospitality,hotel_operations,US8718291078,SYSCO CORP,8,"Suministra una amplia gama de productos y servicios alimenticios esenciales para las operaciones diarias de los hoteles, apoyando sus ofertas culinarias y las experiencias de los huéspedes.",,,12581,USD,SMART,STK
WH,HOT,hospitality,hotel_operations,US98311A1051,WYNDHAM HOTELS & RESORTS INC,9,"Opera una vasta cartera de marcas hoteleras a nivel mundial, gestionando y franquiciando propiedades que atienden a diversos segmentos de la industria hotelera.","La participación de Wyndham Hotels & Resorts en la Operación Hotelera es evidente a través de su negocio principal como franquiciador hotelero líder a nivel mundial, que licencia sus marcas a propietarios de hoteles en numerosos países. El segmento principal de la empresa se centra en el franchising hotelero, que implica la concesión de licencias de marcas de alojamiento y la prestación de servicios relacionados a propietarios de hoteles de terceros. Wyndham busca activamente mejorar las operaciones hoteleras a través de iniciativas como Wyndham Connect PLUS, diseñada para reducir la carga de trabajo en la recepción, y Wyndham Marketplace, destinada a reducir los costos de adquisición. Además, las llamadas de resultados de la empresa abordan constantemente diversas facetas de las operaciones hoteleras, incluidas las mejoras tecnológicas, las plataformas de interacción con los huéspedes y el apoyo a los franquiciados.","[{'name': 'wh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wh-Q225-10-Q.html'}, {'name': 'wh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wh-Q324-10-Q.html'}, {'name': 'wh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wh-Q125-10-Q.html'}, {'name': 'wh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wh-FY24-10-K.html'}]",317669729,USD,SMART,STK
LVS,HOT,hospitality,hotel_operations,US5178341070,LAS VEGAS SANDS CORP,10,"Opera propiedades de resorts integrados con sustanciales servicios hoteleros y alojamientos, que son integrales a su oferta a los huéspedes y a la generación de ingresos.","La participación de Las Vegas Sands en el tema de Operaciones Hoteleras es evidente a través de varios factores clave. Los ingresos de la compañía se ven significativamente influenciados por la ocupación y los precios de los hoteles en sus propiedades principales, incluidos The Venetian Macao y Marina Bay Sands, y la compañía gestiona activamente las operaciones hoteleras, centrándose en métricas como las tasas de ocupación, ADR y RevPAR para medir el rendimiento y la demanda. Para mejorar la experiencia del huésped, la compañía está invirtiendo significativamente en renovaciones, como el proyecto de $750 millones en Marina Bay Sands y la conversión de $1.2 mil millones del Sheraton Grand Macao en el Londoner Grand hotel, con indicadores de rendimiento y flujos de ingresos detallados, lo que indica una participación activa en las operaciones hoteleras.","[{'name': 'lvs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q324-10-Q.html'}, {'name': 'lvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lvs-FY24-10-K.html'}, {'name': 'lvs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q125-10-Q.html'}, {'name': 'lvs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q225-10-Q.html'}]",32602412,USD,SMART,STK
