type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,housing_construction,US23331A1097,DR HORTON INC,1,"Opera como un constructor de viviendas nacional líder, construyendo y vendiendo casas en varios mercados, contribuyendo así directamente al sector de la vivienda residencial.","La conexión de D.R. Horton con la industria de la construcción de viviendas es fuerte, ya que la empresa se identifica como la empresa de construcción de viviendas más grande de los Estados Unidos, siendo la construcción de viviendas su negocio principal. La empresa construye y vende viviendas a través de sus divisiones operativas en numerosos mercados en varios estados. Una parte significativa de sus ingresos se genera por la venta de viviendas unifamiliares independientes, lo que solidifica aún más su enfoque en la construcción de viviendas.","[{'name': 'dhi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q125-10-Q.html'}, {'name': 'dhi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q225-10-Q.html'}, {'name': 'dhi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dhi-FY24-10-K.html'}, {'name': 'dhi-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q325-10-Q.html'}]",268627,USD,DHI,SMART,STK,True,URB
real estate,housing_construction,US5260571048,LENNAR CORP-A,2,"Opera como uno de los constructores de viviendas más grandes del país, construyendo y vendiendo viviendas en varios estados, contribuyendo significativamente al mercado de viviendas residenciales.","El enfoque de Lennar en la construcción de viviendas es evidente en todas sus operaciones, ya que constituye el núcleo de su estrategia comercial y desempeño financiero. Las actividades de la empresa incluyen iniciar, entregar y vender un volumen significativo de viviendas, con ingresos por ventas de viviendas que representan una parte sustancial de sus ingresos totales. Este énfasis se ve reforzado aún más por su enfoque en la eficiencia de producción, la gestión de costos y las adquisiciones estratégicas destinadas a expandir su huella de construcción de viviendas.","[{'name': 'len-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/len-FY24-10-K.html'}, {'name': 'len-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/len-Q125-10-Q.html'}, {'name': 'len-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/len-Q324-10-Q.html'}, {'name': 'len-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/len-Q225-10-Q.html'}]",9091,USD,LEN,SMART,STK,True,URB
real estate,housing_construction,US7458671010,PULTE GROUP INC,3,"Se centra en la construcción y venta de viviendas, contribuyendo al mercado de la vivienda residencial en diversas regiones.","El negocio principal de PulteGroup gira en torno a la construcción de viviendas, como lo demuestran las extensas discusiones sobre sus operaciones de construcción de viviendas, ingresos, costos y rendimiento de segmentos a lo largo de sus presentaciones y llamadas de ganancias. La compañía entrega un volumen significativo de viviendas anualmente, opera en numerosos mercados en múltiples estados y genera la gran mayoría de sus ingresos e utilidades de las actividades de construcción de viviendas. PulteGroup se enfoca estratégicamente en servir a diversos grupos de compradores y gestionar la adquisición y el desarrollo de terrenos para mantener su posición como uno de los mayores constructores de viviendas del país.","[{'name': 'phm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/phm-FY24-10-K.html'}, {'name': 'phm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/phm-Q125-10-Q.html'}, {'name': 'phm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/phm-Q225-10-Q.html'}, {'name': 'phm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/phm-Q324-10-Q.html'}]",11109,USD,PHM,SMART,STK,True,URB
real estate,housing_construction,US8894781033,TOLL BROTHERS INC,4,"Construye y vende viviendas y comunidades de lujo en diversos mercados, contribuyendo directamente a la industria de la construcción de viviendas residenciales.","La participación de Toll Brothers en la industria de la construcción de viviendas es evidente en sus operaciones comerciales principales, que implican el diseño, la construcción, la comercialización y la venta de comunidades residenciales de lujo. El desempeño financiero de la empresa está estrechamente ligado a las ventas de viviendas, como lo demuestran los ingresos significativos por ventas de viviendas, las unidades entregadas y los contratos netos firmados. Por ejemplo, los ingresos por ventas de viviendas constituyeron la gran mayoría de los ingresos totales de la empresa, con ingresos por ventas de viviendas de 2.710 millones de dólares de un total de 2.740 millones de dólares en un período reciente. Toll Brothers se enfoca en el mercado de viviendas de lujo, atendiendo a clientes adinerados con viviendas de lujo para mudarse y para personas mayores vacías, y compradores adinerados por primera vez, con una parte sustancial de compradores que pagan en efectivo.","[{'name': 'tol-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tol-Q324-10-Q.html'}, {'name': 'tol-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tol-Q125-10-Q.html'}, {'name': 'tol-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tol-Q225-10-Q.html'}, {'name': 'tol-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tol-FY24-10-K.html'}]",12915,USD,TOL,SMART,STK,True,URB
real estate,housing_construction,US12008R1077,BUILDERS FIRSTSOURCE INC,5,"Impulsa el sector de la construcción de viviendas suministrando materiales de construcción críticos, componentes manufacturados y servicios esenciales para la construcción residencial.","La conexión de la empresa con el tema de la construcción de viviendas es evidente a través de sus operaciones comerciales principales. La empresa identifica el mercado de nueva construcción residencial como un impulsor principal, y los ingresos y resultados operativos se ven significativamente influenciados por este sector. Como proveedor y fabricante líder de materiales de construcción y servicios de construcción, la empresa se enfoca en mantener relaciones y cuota de mercado con grandes constructores de viviendas, al mismo tiempo que expande su base de constructores de viviendas personalizadas. La empresa también se esfuerza por ser un socio de confianza para los constructores de viviendas al brindar el mejor servicio de su clase y trabajar juntos para resolver los desafíos más complejos de la industria.","[{'name': 'bldr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bldr-Q125-10-Q.html'}, {'name': 'bldr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bldr-FY24-10-K.html'}]",34851874,USD,BLDR,SMART,STK,True,URB
real estate,housing_construction,US62944T1051,NVR INC,6,"Opera como un constructor de viviendas prominente, construyendo y vendiendo propiedades residenciales en diversos mercados.","La participación de NVR en el tema de la industria de la construcción de viviendas es sustancial, ya que la empresa declara explícitamente que su negocio principal gira en torno a la construcción y venta de casas unifamiliares independientes, adosados y condominios. Esta actividad principal está respaldada por datos financieros y operativos detallados, que incluyen ingresos, costos, márgenes de beneficio bruto, nuevos pedidos, liquidaciones y cartera de pedidos, que se informan de manera consistente en varios segmentos geográficos. Además, el énfasis estratégico de NVR en la construcción de viviendas pre-vendidas y una estrategia conservadora de adquisición de lotes subraya la centralidad de la construcción de viviendas en su modelo de negocio, con inversiones sustanciales reflejadas en acuerdos de compra de lotes y lotes controlados.","[{'name': 'nvr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvr-Q324-10-Q.html'}, {'name': 'nvr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvr-Q125-10-Q.html'}, {'name': 'nvr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvr-FY24-10-K.html'}, {'name': 'nvr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvr-Q225-10-Q.html'}]",755864,USD,NVR,SMART,STK,True,URB
real estate,housing_construction,US48666K1097,KB HOME,7,"Se centra en la construcción y venta de viviendas nuevas en diversas comunidades, contribuyendo significativamente al mercado de la vivienda residencial.","La participación de KB Home en el tema de la Construcción de Viviendas es sustancial, ya que los ingresos de la empresa se generan principalmente a partir de operaciones de construcción de viviendas, con miles de millones de dólares en ingresos y miles de viviendas entregadas anualmente. La empresa invierte fuertemente en terrenos y desarrollo de terrenos para apoyar el crecimiento futuro en esta área y se enfoca en métricas clave como los tiempos de construcción y la gestión de costos. KB Home también enfatiza un enfoque de ""construido a pedido"", que considera una competencia central y un diferenciador competitivo clave.","[{'name': 'kbh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kbh-FY24-10-K.html'}, {'name': 'kbh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbh-Q225-10-Q.html'}, {'name': 'kbh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbh-Q125-10-Q.html'}, {'name': 'kbh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbh-Q324-10-Q.html'}]",8772,USD,KBH,SMART,STK,True,URB
real estate,housing_construction,US87724P1066,TAYLOR MORRISON HOME CORP,8,"Se enfoca en la construcción y venta de viviendas, contribuyendo al desarrollo de comunidades residenciales en diversos mercados.","El compromiso de Taylor Morrison con el tema de la construcción de viviendas es significativo, ya que su negocio principal es la construcción de viviendas residenciales y el desarrollo de comunidades de estilo de vida en 12 estados. La compañía diseña, construye y vende una variedad de viviendas, incluidas viviendas unifamiliares y multifamiliares, separadas y adosadas, dirigidas a compradores de nivel de entrada, de mejora y de estilo de vida vacacional. Esto se demuestra aún más por sus sustanciales ingresos por cierre de viviendas, que alcanzaron los 2 mil millones de dólares por la entrega de 3.340 viviendas, y su propiedad o control de 85.051 lotes para la construcción de viviendas.","[{'name': 'tmhc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmhc-Q324-10-Q.html'}, {'name': 'tmhc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmhc-FY24-10-K.html'}, {'name': 'tmhc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmhc-Q125-10-Q.html'}, {'name': 'tmhc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmhc-Q225-10-Q.html'}]",125483759,USD,TMHC,SMART,STK,True,URB
real estate,housing_construction,US5486611073,LOWE'S COS INC,9,"Sirve como un importante minorista que proporciona materiales de construcción, herramientas y productos de mejora del hogar esenciales para proyectos de construcción y renovación residencial.","El compromiso de Lowe's con el tema de la construcción de viviendas es evidente a través de adquisiciones estratégicas y un enfoque en servir a los clientes profesionales involucrados en nuevas construcciones. Se espera que la adquisición de Artisan Design Group (ADG) aumente la penetración del gasto en planes para profesionales, ya que ADG atiende a constructores de viviendas a nivel nacional, regional y local. De manera similar, la adquisición de FBM tiene como objetivo servir mejor a los grandes clientes profesionales, particularmente en aplicaciones de nueva construcción y reparación/remodelación. Lowe's anticipa una demanda significativa de viviendas nuevas, estimando la necesidad de 18 millones de viviendas nuevas para 2033, y se está posicionando para ofrecer a estos clientes una gama completa de productos y servicios, desde paneles de yeso hasta encimeras.",,9199,USD,LOW,SMART,STK,True,URB
real estate,housing_construction,US59001A1025,MERITAGE HOMES CORP,10,"Se especializa en la construcción y venta de viviendas unifamiliares energéticamente eficientes en varios estados, contribuyendo directamente al desarrollo residencial y al mercado de la vivienda.","El negocio de Meritage Homes se centra en la construcción de viviendas, como lo demuestra su información sobre el volumen de cierres de viviendas, ingresos, pedidos y cartera de pedidos. La empresa logró su mayor volumen de unidades de cierre de viviendas en el segundo trimestre, entregando 4.170 viviendas y generando $1.6 mil millones en ingresos por cierre de viviendas. Su estrategia se centra en proporcionar viviendas asequibles y listas para mudarse con un compromiso de entrega en 60 días, y están trabajando activamente para reducir los tiempos del ciclo de construcción. Con inversiones sustanciales en adquisición y desarrollo de terrenos, y un énfasis constante en las actividades de construcción de viviendas a lo largo de sus informes financieros, Meritage Homes demuestra un fuerte compromiso con el sector de la construcción de viviendas.","[{'name': 'mth-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q125-10-Q.html'}, {'name': 'mth-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q324-10-Q.html'}, {'name': 'mth-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mth-FY24-10-K.html'}, {'name': 'mth-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q225-10-Q.html'}]",2586041,USD,MTH,SMART,STK,True,URB
