type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
energy and utilities,hydrocarbon_exploration,US1667641005,CHEVRON CORP,1,"Impulsa los esfuerzos globales de exploración de hidrocarburos a través de una inversión extensiva en descubrimiento y desarrollo, sustentando el suministro de recursos energéticos esenciales.","Chevron demuestra su participación en la exploración de hidrocarburos a través de diversas iniciativas estratégicas, incluida la adjudicación de licencias de exploración en alta mar en Brasil y Egipto. La empresa está modificando activamente su programa de exploración para incorporar un doble enfoque, equilibrando áreas maduras con áreas de frontera de alto impacto, y ha ampliado su cartera de acreage de frontera en más del 20%. Como parte de estos esfuerzos, Chevron planea perforar pozos en Surinam, Namibia y Egipto, y está optimizando su organización de exploración para mejorar la toma de decisiones y aprovechar el talento.","[{'name': 'cvx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q225-10-Q.html'}]",5684,USD,CVX,SMART,STK,True,EU_HY1
energy and utilities,hydrocarbon_exploration,US20825C1045,CONOCOPHILLIPS,2,"Explora y desarrolla activamente recursos de hidrocarburos a nivel mundial, desempeñando un papel fundamental en la satisfacción de la demanda energética mundial.","La participación de ConocoPhillips en la exploración de hidrocarburos es evidente a través de sus actividades de exploración en múltiples regiones, incluidas Alaska, los 48 inferiores, Canadá, Europa, Oriente Medio, el Norte de África y la región de Asia Pacífico. Como empresa líder de E&P, ConocoPhillips explora petróleo crudo, betún, gas natural, GNL y líquidos del gas natural (LGN) a nivel mundial y tiene un inventario de prospectos de exploración globales. Este compromiso se demuestra aún más mediante la asignación de gastos de capital de la empresa a actividades de desarrollo en activos en Noruega y Libia, así como la adquisición de Marathon Oil, una empresa independiente de exploración y producción de petróleo y gas.","[{'name': 'cop-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q324-10-Q.html'}, {'name': 'cop-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q125-10-Q.html'}, {'name': 'cop-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q225-10-Q.html'}, {'name': 'cop-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cop-FY24-10-K.html'}]",10885,USD,COP,SMART,STK,True,EU_HY1
energy and utilities,hydrocarbon_exploration,US30231G1022,EXXON MOBIL CORP,3,"Lleva a cabo amplios esfuerzos globales en la identificación y desarrollo de nuevos yacimientos de petróleo y gas natural, formando la base de sus operaciones de exploración y producción y el futuro suministro de energía.",,,13977,USD,XOM,SMART,STK,True,EU_HY1
energy and utilities,hydrocarbon_exploration,GB0007980591,BP PLC,4,"Impulsa una actividad significativa en la exploración de hidrocarburos, centrándose en el descubrimiento y desarrollo de nuevas reservas de petróleo y gas para asegurar futuros recursos energéticos.",,,228891,GBP,BP.,SMART,STK,False,EU_HY1
energy and utilities,hydrocarbon_exploration,FR0000120271,TOTALENERGIES SE,5,Participa en el descubrimiento y desarrollo de nuevas reservas de petróleo y gas a nivel mundial.,,,29612193,EUR,TTE,SMART,STK,False,EU_HY1
energy and utilities,hydrocarbon_exploration,US6745991058,OCCIDENTAL PETROLEUM CORP,6,"Participa en extensas actividades de exploración y desarrollo para descubrir y producir recursos de hidrocarburos, formando un aspecto fundamental de sus operaciones energéticas globales.","Occidental está significativamente involucrada en la exploración de hidrocarburos, como lo demuestra su operación y desarrollo de áreas con reservas conocidas, incluidas concesiones de exploración en los Emiratos Árabes Unidos. La compañía posee 6 millones de acres brutos con 10,000 ubicaciones potenciales de pozos en Omán y continuará las actividades de exploración y evaluación en los bloques terrestres 3 y 5 en 2025. Este compromiso está respaldado además por los 5.3 mil millones de dólares asignados a gastos de capital en petróleo y gas en 2024, que incluyeron exploración centrada en activos en la Cuenca Pérmica, DJ Basin, Golfo de América y Omán.","[{'name': 'oxy-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/oxy-FY24-10-K.html'}]",10880,USD,OXY,SMART,STK,True,EU_HY1
energy and utilities,hydrocarbon_exploration,US26875P1012,EOG RESOURCES INC,7,"Se enfoca en la exploración y producción de petróleo crudo y gas natural, contribuyendo activamente al descubrimiento y desarrollo de recursos de hidrocarburos.","EOG Resources demuestra su participación en la exploración de hidrocarburos a través de varias actividades clave. La empresa perfora estratégicamente prospectos generados internamente para descubrir y desarrollar reservas de bajo costo, y evalúa constantemente prospectos potenciales de petróleo crudo, condensado, líquidos del gas natural (LGN) y gas natural. Además, EOG busca expandir su inventario de perforación a través de adquisiciones de arrendamientos, farm-ins, intercambios y adquisiciones tácticas. Los esfuerzos de exploración de EOG se extienden internacionalmente, incluida un acuerdo de participación en exploración en Bahréin y la adquisición de una nueva concesión de exploración petrolera en Abu Dhabi.","[{'name': 'eog-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eog-Q324-10-Q.html'}, {'name': 'eog-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eog-Q225-10-Q.html'}, {'name': 'eog-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eog-Q125-10-Q.html'}, {'name': 'eog-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eog-FY24-10-K.html'}]",6890,USD,EOG,SMART,STK,True,EU_HY1
energy and utilities,hydrocarbon_exploration,US4062161017,HALLIBURTON CO,8,Proporciona un conjunto integral de servicios y tecnologías cruciales para la exploración eficiente y efectiva de reservas de petróleo y gas natural a nivel mundial.,"El negocio de Halliburton está significativamente ligado a la exploración de hidrocarburos, ya que sus operaciones se ven afectadas por el gasto en exploración upstream. La empresa apoya a los clientes durante todo el ciclo de vida de un yacimiento, incluida la localización de hidrocarburos y la gestión de datos geológicos. La participación de Halliburton se extiende a trabajos de exploración en regiones como Surinam y África Occidental, con la obtención de contratos que demuestran su competitividad en el espacio offshore, lo que solidifica aún más la importancia de la exploración de hidrocarburos para la empresa.","[{'name': 'hal-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hal-Q225-10-Q.html'}, {'name': 'hal-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hal-Q324-10-Q.html'}, {'name': 'hal-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hal-FY24-10-K.html'}]",7890,USD,HAL,SMART,STK,True,EU_HY1
energy and utilities,hydrocarbon_exploration,AN8068571086,SLB LTD,9,"Proporciona un conjunto integral de tecnologías y servicios esenciales para localizar, evaluar y desarrollar reservas de petróleo y gas a nivel mundial, desempeñando un papel fundamental en la exploración de hidrocarburos.","El negocio principal de SLB contribuye significativamente a la exploración de hidrocarburos a través de su participación en el descubrimiento, desarrollo y extracción de reservas de petróleo y gas. La empresa realiza contribuciones inigualables al descubrimiento de reservas de petróleo y gas, que es una parte destacada de su negocio principal. Esto se apoya además en el aumento de los ingresos digitales por mayores ventas de datos de exploración, particularmente en el Golfo de México de EE. UU.","[{'name': 'slb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/slb-FY24-10-K.html'}]",12200,USD,SLB,SMART,STK,True,EU_HY1
energy and utilities,hydrocarbon_exploration,IT0003132476,ENI SPA,10,Lleva a cabo importantes actividades de exploración global para descubrir y desarrollar nuevas reservas de hidrocarburos.,,,29816844,EUR,ENI,SMART,STK,False,EU_HY1
