symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
COP,HYD,energy and utilities,hydrocarbon_production,US20825C1045,CONOCOPHILLIPS,1,"Es un productor global líder de hidrocarburos, que desempeña un papel central en la producción de petróleo y gas natural.","La participación de ConocoPhillips en la producción de hidrocarburos es un aspecto central de sus operaciones, ya que la empresa es una empresa líder de E&P basada en producción y reservas. Esto se demuestra a través de su exploración, producción, transporte y comercialización de petróleo crudo, betún, gas natural, GNL y LGN en todo el mundo. La producción total de la empresa en 2024 fue de 1.987 MBOED, y tienen una cartera profunda y diversa con décadas de inventario de suministro de alta calidad y bajo costo para desarrollar. Este compromiso se destaca aún más por su producción de 2.389.000 barriles de equivalente de petróleo por día y la adquisición de Marathon Oil, que se sumó a su capacidad de producción.","[{'name': 'cop-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q225-10-Q.html'}, {'name': 'cop-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q125-10-Q.html'}, {'name': 'cop-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q324-10-Q.html'}, {'name': 'cop-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cop-FY24-10-K.html'}]",10885,USD,SMART,STK
CVX,HYD,energy and utilities,hydrocarbon_production,US1667641005,CHEVRON CORP,2,"Es un importante productor mundial de hidrocarburos, dedicado a la exploración, desarrollo y extracción de petróleo crudo y gas natural.","El compromiso de Chevron con la producción de hidrocarburos se ve subrayado por su dedicación al desarrollo de recursos de petróleo y gas para satisfacer la demanda de los clientes. Esto se evidencia además en la producción neta mundial de petróleo equivalente de la empresa, que promedió 3,37 millones de barriles por día en la primera mitad de 2025. Múltiples proyectos, como los del Golfo de América (Ballymore), la Cuenca Pérmica y Kazajstán (TCO), contribuyen significativamente a las actividades de producción de hidrocarburos de Chevron, y se espera que solo Ballymore aumente la producción a 300.000 barriles de petróleo equivalente por día en 2026. Las ganancias de la empresa están estrechamente ligadas a su segmento de negocio de exploración y producción, que está significativamente influenciado por los precios del petróleo crudo y su capacidad para producir eficientemente petróleo crudo, gas natural y líquidos del gas natural (LGN).","[{'name': 'cvx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q324-10-Q.html'}, {'name': 'cvx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q225-10-Q.html'}, {'name': 'cvx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q125-10-Q.html'}]",5684,USD,SMART,STK
XOM,HYD,energy and utilities,hydrocarbon_production,US30231G1022,EXXON MOBIL CORP,3,"Se dedica a la exploración, desarrollo y producción a gran escala de petróleo crudo y gas natural, sirviendo como un importante proveedor global de recursos de hidrocarburos.","El enfoque de ExxonMobil en la producción de hidrocarburos es evidente en su producción récord del segundo trimestre, la más alta desde la fusión de Exxon y Mobil. Una parte importante de su producción de petróleo y gas natural se origina en activos ventajosos de alto rendimiento, con expectativas de superar el 60% para finales de la década. La producción de la empresa en la Cuenca Pérmica alcanzó aproximadamente 1,6 millones de barriles de petróleo equivalente por día, y anticipan un crecimiento adicional hasta 2,3 millones de barriles por día para 2030, impulsado por el enfoque de la empresa en aumentar los volúmenes de sus barriles más rentables.",,13977,USD,SMART,STK
BP,HYD,energy and utilities,hydrocarbon_production,US0556221044,BP PLC-SPONS ADR,4,"Participa en la exploración, extracción y procesamiento extensos de petróleo crudo y gas natural, sirviendo como un productor global principal de hidrocarburos.",,,5171,USD,SMART,STK
DVN,HYD,energy and utilities,hydrocarbon_production,US25179M1036,DEVON ENERGY CORP,5,"Se centra en la exploración, el desarrollo y la producción de petróleo, gas natural y líquidos de gas natural en diversas áreas de recursos de América del Norte, contribuyendo significativamente al suministro de hidrocarburos.","El negocio principal de Devon Energy gira en torno a la producción de hidrocarburos, ya que la empresa se identifica como una empresa independiente líder en exploración y producción de petróleo y gas natural con operaciones centradas en tierra en los Estados Unidos. Esto se ve aún más corroborado por su participación activa en la extracción y procesamiento de hidrocarburos como petróleo y gas de las reservas, con informes detallados de los volúmenes de producción de petróleo, gas y líquidos de gas natural (LGN) en diferentes cuencas. El compromiso de Devon de expandir la producción de petróleo es evidente en su adquisición del negocio de la Cuenca Williston, destinada a aumentar eficientemente la producción y la escala operativa.","[{'name': 'dvn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dvn-Q225-10-Q.html'}, {'name': 'dvn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dvn-Q324-10-Q.html'}, {'name': 'dvn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dvn-FY24-10-K.html'}, {'name': 'dvn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dvn-Q125-10-Q.html'}]",754442,USD,SMART,STK
OXY,HYD,energy and utilities,hydrocarbon_production,US6745991058,OCCIDENTAL PETROLEUM CORP,6,"Participa activamente en la exploración, desarrollo y producción de petróleo crudo y gas natural, lo que constituye el núcleo de su negocio energético.","La participación de Occidental Petroleum en la producción de hidrocarburos es evidente a través de su segmento de petróleo y gas, que se enfoca en la exploración, desarrollo y producción de petróleo, condensado, líquidos del gas natural (LGN) y gas natural. La compañía produjo más de 1.39 millones de barriles de petróleo equivalente (BOE) por día, con una porción significativa de sus recursos asignada a fuentes de esquisto y convencionales. El desempeño financiero de Occidental está estrechamente ligado a los precios del petróleo y el gas, y la compañía continúa enfocándose en mantener su base de producción y mejorar su base de activos a través de inversiones en su negocio de petróleo y gas, incluidos proyectos de recuperación mejorada de petróleo.","[{'name': 'oxy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oxy-Q125-10-Q.html'}, {'name': 'oxy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oxy-Q225-10-Q.html'}]",10880,USD,SMART,STK
TTE,HYD,energy and utilities,hydrocarbon_production,FR0000120271,TOTALENERGIES SE,7,"Participa en la exploración, desarrollo y producción global de petróleo y gas natural, contribuyendo significativamente al suministro de recursos de hidrocarburos.",,,29612193,EUR,SMART,STK
EOG,HYD,energy and utilities,hydrocarbon_production,US26875P1012,EOG RESOURCES INC,8,"Se dedica a la exploración, desarrollo y producción de petróleo crudo y gas natural, contribuyendo significativamente al suministro mundial de hidrocarburos.","EOG Resources está fuertemente involucrada en la producción de hidrocarburos, como lo demuestra su perforación continua de numerosos pozos en grandes áreas de juego, lo que contribuye sustancialmente a su producción de petróleo crudo, condensado, líquidos del gas natural (LGN) y gas natural. Los esfuerzos de la empresa para identificar yacimientos con gran potencial de reservas han demostrado ser exitosos, y se enfoca en aplicar su experiencia en perforación y completación horizontal a yacimientos no convencionales de petróleo crudo y gas natural. Como una de las mayores empresas independientes de petróleo crudo y gas natural en los Estados Unidos, las actividades de EOG incluyen producción tanto en los Estados Unidos como en Trinidad, con una porción significativa de su producción en los Estados Unidos que consiste en petróleo crudo, condensado y LGN.","[{'name': 'eog-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eog-Q125-10-Q.html'}, {'name': 'eog-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eog-Q225-10-Q.html'}, {'name': 'eog-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eog-FY24-10-K.html'}]",6890,USD,SMART,STK
FANG,HYD,energy and utilities,hydrocarbon_production,US25278X1090,DIAMONDBACK ENERGY INC,9,"Se dedica a la exploración, desarrollo y producción de petróleo crudo y gas natural, contribuyendo sustancialmente a la cadena de suministro de hidrocarburos.","La participación de la empresa en la Producción de Hidrocarburos es evidente a través de sus actividades comerciales principales centradas en la adquisición, el desarrollo, la exploración y la explotación de reservas de petróleo y gas natural, particularmente en la Cuenca Pérmica. Sustancialmente todos los ingresos de la empresa se generan a partir de la venta de petróleo, gas natural y líquidos de gas natural, con aumentos significativos en los ingresos y volúmenes de producción reportados. La empresa gestiona activamente su asignación de capital y sus actividades de perforación en respuesta a las condiciones del mercado petrolero, incluidas las decisiones de la OPEP, y tiene como objetivo mejorar el flujo de caja libre por acción. Esto se demuestra aún más por las adquisiciones estratégicas de la empresa, la perforación de más de 400 pozos y los planes de gasto de capital, todo ello orientado a la producción de hidrocarburos.","[{'name': 'fang-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fang-Q225-10-Q.html'}, {'name': 'fang-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fang-Q125-10-Q.html'}]",115441080,USD,SMART,STK
SLB,HYD,energy and utilities,hydrocarbon_production,AN8068571086,SLB LTD,10,"Proporciona soluciones de tecnología, gestión de proyectos e información que mejoran la eficiencia y optimizan el rendimiento durante todo el ciclo de vida de exploración y producción de hidrocarburos.","El negocio principal de SLB contribuye significativamente a la producción de hidrocarburos a través del descubrimiento, desarrollo y extracción de reservas de petróleo y gas, lo que alimenta el suministro energético mundial. Las fortalezas de la empresa son críticas ya que los operadores priorizan la producción y la recuperación, y SLB realiza contribuciones inigualables a la extracción de reservas de petróleo y gas. ChampionX, parte de SLB, proporciona soluciones, equipos y tecnologías que ayudan a las empresas a perforar y producir petróleo y gas.","[{'name': 'slb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slb-Q225-10-Q.html'}, {'name': 'slb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/slb-FY24-10-K.html'}]",12200,USD,SMART,STK
