type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
energy and utilities,hydrogen_fuel_technology,US0091581068,AIR PRODUCTS & CHEMICALS INC,1,"Desempeña un papel fundamental en el avance de la comercialización y el desarrollo de infraestructura de la tecnología de combustible de hidrógeno, impulsando su adopción en los sectores industrial y energético.","Air Products demuestra su compromiso con la tecnología de combustible de hidrógeno a través de varias iniciativas clave. La empresa desarrolla, diseña, construye, posee y opera algunos de los proyectos de hidrógeno limpio más grandes del mundo, apoyando la transición a energía baja y nula en carbono en los sectores industrial y de transporte pesado. Un proyecto importante es el Proyecto de Hidrógeno Verde NEOM, evidenciado por una actividad financiera significativa que incluye financiación de proyectos, intereses capitalizados y swaps de tasas de interés. Además, Air Products aprovecha su posición como proveedor líder de hidrógeno con extensas redes de oleoductos, incluida la más grande del mundo en la Costa del Golfo de EE. UU., y se enfoca estratégicamente en proyectos de hidrógeno verde y azul en Arabia Saudita y Luisiana.","[{'name': 'apd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apd-Q125-10-Q.html'}, {'name': 'apd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/apd-FY24-10-K.html'}, {'name': 'apd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apd-Q225-10-Q.html'}, {'name': 'apd-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apd-Q325-10-Q.html'}]",4487,USD,APD,SMART,STK,True,HY2
energy and utilities,hydrogen_fuel_technology,IE000S9YS762,LINDE PLC,2,"Desempeña un papel fundamental en la producción, procesamiento, almacenamiento y distribución de hidrógeno, apoyando el desarrollo y la adopción generalizada de la tecnología de combustible de hidrógeno en diversas industrias.","La participación de Linde en la tecnología de combustible de hidrógeno es evidente a través de varias vías, incluida su previsión de un crecimiento continuo en las ventas de hidrógeno impulsado por un mayor enfoque en proyectos de descarbonización. Esto está respaldado aún más por su participación en proyectos de energía limpia, como el proyecto Blue Point, una empresa conjunta centrada en la producción de amoníaco bajo en carbono. Linde también ha asegurado múltiples contratos de energía limpia, por un total de aproximadamente $5 mil millones, que incluyen proyectos centrados en hidrógeno y amoníaco bajos en carbono. Además, Linde está persiguiendo activamente proyectos de hidrógeno bajo en carbono en Europa y reconoce la importancia de incentivos como 45Q para apoyar proyectos de hidrógeno azul.","[{'name': 'lin-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lin-FY24-10-K.html'}]",617155599,USD,LIN,SMART,STK,True,HY2
energy and utilities,hydrogen_fuel_technology,US72919P2020,PLUG POWER INC,3,"Se enfoca en el desarrollo y la comercialización de soluciones de celdas de combustible de hidrógeno e hidrógeno verde para diversas aplicaciones, contribuyendo al avance y la adopción del hidrógeno como fuente de energía.","Plug Power está profundamente involucrada en la tecnología de combustible de hidrógeno, como lo demuestra su enfoque en la innovación de soluciones de hidrógeno y celdas de combustible. Las actividades de la empresa abarcan la generación de hidrógeno, la fabricación de electrolizadores y el desarrollo de celdas de combustible, posicionándola como líder en la economía del hidrógeno. Plug está expandiendo su red de generación de hidrógeno, mejorando la estructura de costos del suministro de hidrógeno y avanzando en su negocio de electrolizadores, con una cartera de productos que incluye electrolizadores, celdas de combustible y una red de hidrógeno. Esto se ve reforzado por sus ofertas completas, sistemas PEM probados, ingeniería de plantas integrada y servicio a largo plazo, lo que la diferencia de sus competidores.","[{'name': 'plug-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/plug-Q125-10-Q.html'}, {'name': 'plug-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/plug-Q225-10-Q.html'}, {'name': 'plug-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/plug-FY24-10-K.html'}]",88385302,USD,PLUG,SMART,STK,False,HY2
energy and utilities,hydrogen_fuel_technology,DE000ENER6Y0,SIEMENS ENERGY AG,4,"Desarrolla y proporciona tecnologías esenciales para la producción, el transporte y la utilización de hidrógeno, contribuyendo al avance de la tecnología de combustible de hidrógeno y la transición hacia la energía sostenible.",,,447545380,EUR,ENR,SMART,STK,False,HY2
energy and utilities,hydrogen_fuel_technology,US16115Q3083,CHART INDUSTRIES INC,5,"Proporciona equipos y soluciones de alta ingeniería esenciales para la licuefacción, el almacenamiento y la distribución de hidrógeno, apoyando el desarrollo y la adopción de la tecnología de combustible de hidrógeno.","Chart Industries enfatiza su papel en la tecnología de combustible de hidrógeno, identificándose como un proveedor líder de tecnología, equipos y servicios relacionados. Esto se ve reforzado por el aumento de las ventas y los pedidos en el segmento de Productos Especializados impulsado por los mercados finales de hidrógeno. La empresa participa activamente en proyectos de hidrógeno, incluidos pedidos de plantas de hidrógeno verde y acuerdos de colaboración para avanzar en proyectos de hidrógeno, lo que destaca su importancia estratégica para la industria.","[{'name': 'gtls-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gtls-Q324-10-Q.html'}, {'name': 'gtls-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gtls-Q125-10-Q.html'}, {'name': 'gtls-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gtls-FY24-10-K.html'}, {'name': 'gtls-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gtls-Q225-10-Q.html'}]",40066309,USD,GTLS,SMART,STK,True,HY2
energy and utilities,hydrogen_fuel_technology,US2310211063,CUMMINS INC,6,Desarrolla y suministra tecnologías y productos críticos que permiten soluciones impulsadas por hidrógeno en diversas aplicaciones.,"Cummins demuestra su compromiso con la Tecnología de Combustible de Hidrógeno a través de su segmento Accelera, que diseña, fabrica, vende y da soporte a tecnologías de producción de hidrógeno, así como a sistemas de energía electrificada que incluyen tecnologías de celdas de combustible. Accelera se encuentra en las primeras etapas de comercialización de estas tecnologías, centrándose en el desarrollo de sistemas de energía electrificada y electrolizadores para la producción de hidrógeno. Por ejemplo, Accelera anunció un proyecto para suministrar un sistema de electrolizador de membrana de intercambio de protones (PEM) de 100 megavatios para el proyecto de hidrógeno verde Lingen de bp en Alemania, que se fabricará en la nueva planta de electrolizadores de Accelera en España.","[{'name': 'cmi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmi-Q125-10-Q.html'}, {'name': 'cmi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmi-Q324-10-Q.html'}, {'name': 'cmi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmi-FY24-10-K.html'}]",6207,USD,CMI,SMART,STK,True,HY2
energy and utilities,hydrogen_fuel_technology,US0937121079,BLOOM ENERGY CORP- A,7,"Proporciona tecnología de celdas de combustible de óxido sólido capaz de funcionar con hidrógeno, junto con electrolizadores para la producción de hidrógeno, avanzando en la adopción y la infraestructura del hidrógeno como solución energética.","Bloom Energy demuestra su compromiso con la tecnología de combustible de hidrógeno a través de su avanzada tecnología de producción de electricidad e hidrógeno, incluido el Electrolizador Bloom, que utiliza la misma plataforma basada en celdas de combustible que sus sistemas Energy Server. La empresa enfatiza la importancia del hidrógeno para la descarbonización y su potencial utilización en sus sistemas Energy Server. Si bien reconoce la etapa incipiente del mercado y la infraestructura del hidrógeno, Bloom Energy expresa su intención de expandirse al mercado del hidrógeno, diseñando sus soluciones de energía para funcionar con biocombustibles o hidrógeno.","[{'name': 'be-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/be-Q225-10-Q.html'}, {'name': 'be-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/be-Q125-10-Q.html'}, {'name': 'be-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/be-FY24-10-K.html'}]",326398514,USD,BE,SMART,STK,False,HY2
energy and utilities,hydrogen_fuel_technology,US05722G1004,BAKER HUGHES CO,8,Contribuye al desarrollo y aplicación continua de la Tecnología de Combustible de Hidrógeno.,"Baker Hughes demuestra su compromiso con la tecnología de combustible de hidrógeno a través de varias iniciativas destinadas a reducir las emisiones de carbono. La empresa prevé un crecimiento continuo en soluciones de nueva energía, incluido el hidrógeno, como parte de su estrategia más amplia para reducir las emisiones de carbono para los sectores de energía e industrial. Esto se evidencia aún más en su mayor adjudicación de centros de datos hasta la fecha para turbinas de gas NovaLT diseñadas para funcionar con una mezcla de gas natural e hidrógeno, lo que apoya la fiabilidad y las operaciones con menor contenido de carbono. Además, Baker Hughes tiene un memorando de entendimiento con DataVolt para proyectos globales de centros de datos, con planes para alimentar centros de datos en el Reino utilizando turbinas NovaLT e hidrógeno de NEOM, y también está desarrollando una nueva turbina a pequeña escala para aplicaciones de amoníaco en colaboración con Hanwha.","[{'name': 'bkr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q125-10-Q.html'}, {'name': 'bkr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q225-10-Q.html'}, {'name': 'bkr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q324-10-Q.html'}, {'name': 'bkr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bkr-FY24-10-K.html'}]",281316445,USD,BKR,SMART,STK,True,HY2
energy and utilities,hydrogen_fuel_technology,US48242W1062,KBR INC,9,"Ofrece soluciones avanzadas de ingeniería y tecnología vitales para la producción, el almacenamiento y el despliegue de combustible de hidrógeno en diversos sectores industriales.","La participación de KBR en la tecnología de combustible de hidrógeno es evidente a través de su apoyo a iniciativas de economía de hidrógeno limpio en Irak y Kuwait, donde las tecnologías, soluciones y capacidades de KBR complementan alternativas de energía limpia como el hidrógeno y el amoníaco verde. Las empresas líderes están evaluando alternativas de energía limpia, incluido el hidrógeno y el amoníaco verde, lo que complementa las tecnologías de procesos patentados de KBR. KBR también apoya las iniciativas de energía renovable de Kuwait, incluido el desarrollo de capacidad de hidrógeno y amoníaco verde.","[{'name': 'kbr-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbr-Q224-10-Q.html'}, {'name': 'kbr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbr-Q324-10-Q.html'}, {'name': 'kbr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbr-Q125-10-Q.html'}, {'name': 'kbr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kbr-FY24-10-K.html'}]",41552939,USD,KBR,SMART,STK,True,HY2
energy and utilities,hydrogen_fuel_technology,US4385161066,HONEYWELL INTERNATIONAL INC,10,Ofrece soluciones industriales que apoyan el desarrollo e implementación de Tecnología de Combustible de Hidrógeno.,"El compromiso de Honeywell con la Tecnología de Combustible de Hidrógeno se demuestra a través de la adquisición del negocio de Tecnologías de Catalizadores de Johnson Matthey, lo que mejora sus capacidades en hidrógeno, combustible de aviación sostenible y amoníaco. Esta adquisición permite a Honeywell servir mejor a su base de clientes y expandir su negocio de tecnología de procesos UOP con capacidades adicionales de hidrógeno. El acuerdo, que se espera que se cierre en la primera mitad de 2026, tiene como objetivo mejorar el perfil de crecimiento y márgenes de Honeywell, lo que indica una inversión estratégica en hidrógeno y tecnologías relacionadas.",,4350,USD,HON,SMART,STK,True,HY2
