type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
real estate,impact_investment,DK0060094928,ORSTED A/S,1,"Sirve como una oportunidad fundamental para las inversiones que buscan generar un impacto ambiental y social positivo medible, particularmente a través de su negocio principal en el desarrollo y la operación de energías renovables.",,242060078,DKK,ORSTED,SMART,STK,False,,RE_RE3
real estate,impact_investment,ES0144580Y14,IBERDROLA SA.,2,"Es una empresa de servicios públicos líder a nivel mundial que ofrece importantes oportunidades de inversión para un impacto ambiental y social positivo a través de su enfoque en energías renovables, redes inteligentes e infraestructura sostenible.",,46586284,EUR,IBE,SMART,STK,False,,RE_RE3
real estate,impact_investment,IT0003128367,ENEL SPA,3,Está intrínsecamente vinculada a la inversión de impacto a través de su enfoque en generar resultados sociales y ambientales positivos y medibles en conjunto con retornos financieros.,,29816333,EUR,ENEL,SMART,STK,False,,RE_RE3
real estate,impact_investment,US65339F1012,NEXTERA ENERGY INC,4,"Impulsa el tema de la Inversión de Impacto a través de su extenso desarrollo y operación de proyectos de energía limpia, fomentando así la infraestructura de energía renovable y la gestión ambiental.",,75960201,USD,NEE,SMART,STK,True,,RE_RE3
real estate,impact_investment,US88160R1014,TESLA INC,5,"Acelera la transición global hacia la energía sostenible a través de sus vehículos eléctricos, almacenamiento de baterías y productos solares, contribuyendo significativamente a los objetivos de impacto ambiental.",,76792991,USD,TSLA,SMART,STK,True,,RE_RE3
real estate,impact_investment,US8726571016,TPG INC,6,Participa en inversiones de impacto a través de plataformas dedicadas que destinan capital a empresas que impulsan resultados sociales y ambientales positivos medibles junto con rendimientos financieros.,"TPG demuestra un fuerte compromiso con la Inversión de Impacto a través de su plataforma multi-fondo de Impacto, que cree que se encuentra entre las más grandes de la industria y persigue tanto rendimientos financieros como beneficios sociales medibles. Esta plataforma incluye iniciativas como el Fondo de Capital Privado Rise Climate y la iniciativa Global South, con recaudaciones de fondos en curso que indican un énfasis estratégico en esta área. La plataforma Rise Climate de TPG se enfoca en inversiones con impacto ambiental positivo, como la agricultura sostenible, y las empresas de su cartera de impacto han mostrado un crecimiento significativo en ingresos y EBITDA.",537638912,USD,TPG,SMART,STK,False,"[{'name': 'tpg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpg-Q225-10-Q.html'}, {'name': 'tpg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpg-Q125-10-Q.html'}]",RE_RE3
real estate,impact_investment,DK0061539921,VESTAS WIND SYSTEMS A/S,7,"Proporciona soluciones y servicios avanzados de energía eólica, desempeñando un papel crucial en el desarrollo global de energía renovable, un enfoque principal para las estrategias de inversión de impacto.",,481449559,DKK,VWS,SMART,STK,False,,RE_RE3
real estate,impact_investment,US3364331070,FIRST SOLAR INC,8,"Impulsa la inversión de impacto a través de su enfoque en el desarrollo y la implementación de tecnología fotovoltaica solar avanzada, contribuyendo a los esfuerzos globales de descarbonización y a las soluciones de energía sostenible.",,41622169,USD,FSLR,SMART,STK,True,,RE_RE3
real estate,impact_investment,FI0009013296,NESTE OYJ,9,"Se centra en iniciativas y prácticas empresariales que se alinean con los principios de generación de impacto social y medioambiental positivo, atrayendo inversiones destinadas al desarrollo sostenible.",,33815032,EUR,NESTE,HEX,STK,False,,RE_RE3
real estate,impact_investment,US2788651006,ECOLAB INC,10,"Representa una entidad clave dentro del panorama de la Inversión de Impacto, reflejando su considerable alineación con objetivos de inversión centrados en generar impacto social y ambiental positivo.",,6682,USD,ECL,SMART,STK,True,,RE_RE3
real estate,impact_investment,FR0000121972,SCHNEIDER ELECTRIC SE,11,"Proporciona soluciones digitales innovadoras para la gestión de energía y la automatización industrial que mejoran la sostenibilidad, optimizan la eficiencia de los recursos y aceleran los esfuerzos de descarbonización, contribuyendo directamente al impacto ambiental positivo medible que buscan los inversores de impacto.",,29612196,EUR,SU,SMART,STK,False,,RE_RE3
