type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
industrial,industrial_automation,US7739031091,ROCKWELL AUTOMATION INC,1,"Desarrolla y proporciona soluciones integrales para la automatización industrial, impulsando operaciones eficientes e inteligentes en diversas industrias de fabricación y procesamiento.","La dedicación de Rockwell Automation a la Automatización Industrial es evidente a través de su autoproclamada posición como la empresa más grande del mundo dedicada a este campo. Este compromiso se refleja en su estrategia para dar vida a la Empresa Conectada, simplificando complejos desafíos de producción con tecnología y experiencia en la industria. El enfoque de la empresa se demuestra aún más a través de sus inversiones en plantas e infraestructura digital para impulsar la eficiencia de las plantas, junto con la expansión de la producción de robots móviles autónomos en los EE. UU. Además, Rockwell fue seleccionado como socio oficial de automatización de Incobrasa, lo que destaca el enfoque insignia de la empresa y el poder de la automatización industrial en sus operaciones.","[{'name': 'rok-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rok-Q225-10-Q.html'}, {'name': 'rok-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rok-Q325-10-Q.html'}, {'name': 'rok-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rok-FY24-10-K.html'}, {'name': 'rok-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rok-Q125-10-Q.html'}]",11697,USD,ROK,SMART,STK,True
industrial,industrial_automation,US4385161066,HONEYWELL INTERNATIONAL INC,2,"Desarrolla y proporciona una amplia gama de soluciones de automatización, sistemas de control y software para procesos industriales, mejorando la eficiencia, la seguridad y la productividad en diversos sectores.","La participación de Honeywell en Automatización Industrial es evidente a través de su segmento dedicado de Automatización Industrial, uno de sus cuatro segmentos de negocio clave. Este segmento proporciona soluciones de automatización industrial a varios sectores, incluyendo refino/petroquímicos, ciencias de la vida, servicios públicos y almacén y logística. Si bien la compañía está evaluando alternativas estratégicas para sus negocios de Soluciones de Productividad y Servicios y Soluciones de Almacén y Flujo de Trabajo dentro de este segmento, Honeywell tiene como objetivo crear una empresa de automatización enfocada, reflejada en sus esfuerzos por mejorar la productividad y los márgenes dentro del segmento de Automatización Industrial.","[{'name': 'hon-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q225-10-Q.html'}, {'name': 'hon-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q324-10-Q.html'}, {'name': 'hon-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q125-10-Q.html'}, {'name': 'hon-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hon-FY24-10-K.html'}]",4350,USD,HON,SMART,STK,True
industrial,industrial_automation,CH0012221716,ABB LTD-REG,3,"Impulsa la automatización industrial a través de su cartera integral de robótica, automatización de máquinas y sistemas de control de procesos, lo que permite mejorar la productividad y la eficiencia de las industrias globales.",,,2682965,CHF,ABBN,SMART,STK,False
industrial,industrial_automation,DE0007236101,SIEMENS AG-REG,4,Desarrolla e implementa soluciones integrales de automatización y digitalización que mejoran la productividad y la eficiencia en diversos sectores industriales.,,,14217,EUR,SIE,SMART,STK,False
industrial,industrial_automation,JP3802400006,FANUC CORP,5,"Desarrolla y fabrica robots industriales, sistemas de Control Numérico por Computadora (CNC) y soluciones de automatización de fábricas, desempeñando un papel fundamental en la mejora de la eficiencia y la precisión de la fabricación en diversas industrias a nivel mundial.",,,13905758,JPY,6954,SMART,STK,False
industrial,industrial_automation,US1924221039,COGNEX CORP,6,"Desarrolla y suministra sistemas de visión artificial que son esenciales para tareas de control de calidad, guiado e identificación en entornos de automatización industrial.","Cognex está fuertemente invertida en automatización industrial, particularmente a través de sus productos y soluciones de visión artificial diseñados para mejorar la eficiencia y la calidad en diversas industrias. La empresa tiene como objetivo ser el principal proveedor de tecnología de IA para aplicaciones industriales de visión artificial, ayudando a los clientes a resolver problemas complejos de visión con mayor velocidad y precisión. La plataforma OneVision de Cognex está diseñada para transformar la forma en que los fabricantes construyen, entrenan y escalan herramientas de visión impulsadas por IA, y la empresa se enfoca en escalar su motor de comercialización para expandir su base de clientes. Si bien Cognex reconoce la debilidad en su negocio más amplio de automatización de fábricas y la disminución de los ingresos en ciertos sectores, sigue siendo un proveedor global líder de soluciones de visión artificial que son integrales para la producción automatizada, la distribución y el aseguramiento de la calidad.","[{'name': 'cgnx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cgnx-Q225-10-Q.html'}, {'name': 'cgnx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cgnx-FY24-10-K.html'}, {'name': 'cgnx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cgnx-Q324-10-Q.html'}, {'name': 'cgnx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cgnx-Q125-10-Q.html'}]",267547,USD,CGNX,SMART,STK,True
industrial,industrial_automation,US8807701029,TERADYNE INC,7,"Proporciona soluciones avanzadas de automatización, incluidos robots colaborativos y robots móviles, que mejoran la eficiencia y la flexibilidad de la fabricación en diversos entornos industriales.","La participación de la empresa en el tema de Automatización Industrial es evidente a través de su segmento de Robótica, que ofrece brazos robóticos colaborativos y robots móviles autónomos (AMR) diseñados para mejorar la eficiencia de fabricación y manipulación de materiales para clientes globales de fabricación, logística e industria. El segmento de robótica de la empresa incluye Universal Robots A/S y Mobile Industrial Robots A/S (“MiR”), siendo esta última un fabricante líder de AMR para la automatización industrial. A pesar de reconocer que un mercado débil de automatización industrial afectó los ingresos de Robótica, la empresa está posicionada para un crecimiento anual completo debido a nuevas ofertas de productos y la expansión de los canales de OEM y cuentas grandes.","[{'name': 'ter-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ter-FY24-10-K.html'}, {'name': 'ter-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ter-Q324-10-Q.html'}]",12729,USD,TER,SMART,STK,True
industrial,industrial_automation,US2910111044,EMERSON ELECTRIC CO,8,"Proporciona tecnologías y software de automatización avanzados, incluidas soluciones de medición, control y optimización operativa, para mejorar la eficiencia y la fiabilidad en diversos procesos industriales.",,,6842,USD,EMR,SMART,STK,True
industrial,industrial_automation,US0326541051,ANALOG DEVICES INC,9,"Proporciona soluciones críticas de semiconductores que permiten la automatización industrial avanzada, mejorando la eficiencia operativa, la precisión y la conectividad en la fabricación y otros procesos industriales.","El enfoque de ADI en la automatización industrial es evidente a través de su importante negocio de automatización industrial de más de $1 mil millones, que el CEO destaca constantemente como un área clave para la expansión a largo plazo. La empresa ve una tremenda oportunidad en la automatización, impulsada por el progreso de la robótica y la creciente necesidad de detección, computación en el borde, conectividad y gestión de energía. La pila tecnológica de alto rendimiento y la experiencia en el dominio de ADI se consideran cruciales para el éxito del cliente en este panorama cambiante, particularmente a medida que el mercado se desplaza hacia sistemas robóticos autónomos de próxima generación.",,4157,USD,ADI,SMART,STK,True
industrial,industrial_automation,FR0000121972,SCHNEIDER ELECTRIC SE,10,"Proporciona soluciones integrales de automatización industrial, incluyendo sistemas de control, software y servicios, para mejorar la eficiencia operativa y la gestión de la energía en diversas industrias.",,,29612196,EUR,SU,SMART,STK,False
