industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,industrial_coatings,US6935061076,PPG INDUSTRIES INC,1,"Desarrolla y suministra una amplia gama de recubrimientos y selladores avanzados para diversas aplicaciones industriales, incluyendo los sectores automotriz, aeroespacial, de empaque e industrial en general.","La participación de PPG en el segmento de Recubrimientos Industriales es evidente a través de sus ventas netas reportadas y discusiones sobre los impulsores del rendimiento, con ventas que alcanzaron los 1.562 millones de dólares en un trimestre y 1.665 millones de dólares en otro. Si bien las ventas orgánicas se han mantenido estancadas debido a presiones de precios que compensan los aumentos de volumen, ha habido crecimiento en categorías de productos específicas como acabados generales, transporte, bobinas y electrónica de consumo. La empresa anticipa beneficiarse de los aumentos de precios en productos de repintado con ventajas tecnológicas y ha visto un crecimiento de dos dígitos en recubrimientos protectores y marinos, impulsado por la demanda de productos con ventajas sostenibles y ganancias de cuota de mercado, lo que indica un enfoque en la innovación y el liderazgo del mercado dentro del sector de recubrimientos industriales.","[{'name': 'ppg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ppg-Q324-10-Q.html'}, {'name': 'ppg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ppg-FY24-10-K.html'}, {'name': 'ppg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ppg-Q125-10-Q.html'}, {'name': 'ppg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ppg-Q225-10-Q.html'}]",11295,USD,PPG,SMART,STK,True,IND_14
industrial,industrial_coatings,US8243481061,SHERWIN-WILLIAMS CO/THE,2,"Se especializa en el desarrollo, fabricación y distribución de recubrimientos industriales de alto rendimiento para una amplia gama de aplicaciones.","Sherwin-Williams está fuertemente involucrada en el tema de los recubrimientos industriales, como lo demuestra su participación en el desarrollo, fabricación, distribución y venta de recubrimientos a clientes industriales. Esto está respaldado además por la existencia del Performance Coatings Group, que incluye recubrimientos para bobinas y recubrimientos para envases, y por el aumento de las ventas de recubrimientos protectores y marinos. El enfoque de la empresa en los recubrimientos industriales también es evidente en las discusiones sobre el rendimiento en áreas específicas como bobinas, envases, industria general, repintado de automóviles y madera industrial.","[{'name': 'shw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/shw-Q324-10-Q.html'}, {'name': 'shw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/shw-Q125-10-Q.html'}, {'name': 'shw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/shw-FY24-10-K.html'}, {'name': 'shw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/shw-Q225-10-Q.html'}]",12120,USD,SHW,SMART,STK,True,IND_14
industrial,industrial_coatings,NL0013267909,AKZO NOBEL N.V.,3,"Desarrolla y suministra una amplia gama de recubrimientos industriales para diversas aplicaciones, sirviendo como un proveedor clave en este sector.",,,350068526,EUR,AKZA,SMART,STK,False,IND_14
industrial,industrial_coatings,BMG0750C1082,AXALTA COATING SYSTEMS LTD,4,Desarrolla y suministra una cartera diversa de recubrimientos industriales diseñados para proteger y mejorar el rendimiento en una amplia gama de aplicaciones de fabricación e industriales.,"La participación de Axalta en la industria de recubrimientos industriales es evidente a través de su papel como fabricante y distribuidor global de sistemas de recubrimientos de alto rendimiento, que incluyen soluciones de recubrimientos líquidos y en polvo, dirigidas a una amplia gama de fabricantes industriales a través de su segmento de Recubrimientos de Rendimiento. La dedicación de la empresa se ve aún más destacada por su enfoque en plataformas clave como esmaltes para alambre, resinas de impregnación y recubrimientos en polvo diseñados para motores de alta eficiencia, carcasas de baterías y sistemas de energía. Además, el producto Voltatex de Axalta, un esmalte para alambre utilizado para mejorar la fiabilidad y eficiencia de los vehículos eléctricos y drones, demuestra su inversión en soluciones especializadas de recubrimientos industriales.","[{'name': 'axta-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axta-Q324-10-Q.html'}, {'name': 'axta-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axta-Q125-10-Q.html'}, {'name': 'axta-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axta-Q225-10-Q.html'}, {'name': 'axta-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/axta-FY24-10-K.html'}]",173253787,USD,AXTA,SMART,STK,True,IND_14
industrial,industrial_coatings,JP3749400002,NIPPON PAINT HOLDINGS CO LTD,5,"Fabrica y suministra una cartera completa de recubrimientos industriales, sirviendo a varios sectores y contribuyendo a los avances en protección y durabilidad de superficies.",,,14015707,JPY,4612,SMART,STK,False,IND_14
industrial,industrial_coatings,US7496851038,RPM INTERNATIONAL INC,6,"Opera como un proveedor líder de recubrimientos industriales, sirviendo a diversos sectores con soluciones protectoras y funcionales especializadas.","El compromiso de RPM con los recubrimientos industriales es evidente en múltiples segmentos. El segmento PCG se enfoca en recubrimientos anticorrosivos y ignífugos, mientras que el segmento SPG ofrece recubrimientos industriales aplicados en fábrica. El segmento CPG también incluye recubrimientos y productos químicos, lo que demuestra aún más la participación de la empresa en esta área. Además, la integración del Grupo de Recubrimientos Industriales en el Grupo de Recubrimientos de Rendimiento tiene como objetivo mejorar la colaboración y el servicio al cliente, destacando la importancia estratégica de los recubrimientos industriales para RPM.","[{'name': 'rpm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rpm-Q225-10-Q.html'}, {'name': 'rpm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rpm-Q325-10-Q.html'}]",273962,USD,RPM,SMART,STK,True,IND_14
industrial,industrial_coatings,JP3229400001,KANSAI PAINT CO LTD,7,"Se especializa en el desarrollo y producción de recubrimientos industriales, atendiendo a un amplio espectro de aplicaciones industriales.",,,14015710,JPY,4613,SMART,STK,False,IND_14
industrial,industrial_coatings,US88579Y1010,3M CO,8,Desarrolla y proporciona productos para el mercado de recubrimientos industriales.,,,9720,USD,MMM,SMART,STK,True,IND_14
industrial,industrial_coatings,US2605571031,DOW INC,9,Desarrolla y suministra una gama de materiales esenciales para la formulación y el rendimiento de recubrimientos industriales en diversas aplicaciones.,"La participación de Dow en el tema de Recubrimientos Industriales es evidente a través de su segmento de Materiales y Recubrimientos de Rendimiento, donde se discuten activamente las aplicaciones de recubrimientos y los monómeros de rendimiento. La empresa experimenta aumentos de volumen en Recubrimientos y Monómeros de Rendimiento impulsados por ganancias en recubrimientos industriales, aunque esto se ve parcialmente compensado por descensos en monómeros acrílicos. Si bien Materiales y Recubrimientos de Rendimiento representa una parte notable de las ventas netas de Dow, los recubrimientos industriales también se ven afectados por las tendencias de precios y menores volúmenes en ciertas regiones, lo que indica una participación matizada pero presente en este sector.","[{'name': 'dow-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dow-Q225-10-Q.html'}, {'name': 'dow-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dow-Q125-10-Q.html'}, {'name': 'dow-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dow-FY24-10-K.html'}, {'name': 'dow-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dow-Q324-10-Q.html'}]",356576040,USD,DOW,SMART,STK,True,IND_14
industrial,industrial_coatings,US2774321002,EASTMAN CHEMICAL CO,10,Suministra productos químicos especializados y soluciones innovadoras esenciales para mejorar el rendimiento y la sostenibilidad de los recubrimientos industriales.,"El compromiso de Eastman con el tema de los recubrimientos industriales es evidente a través de su producción y venta de productos relacionados con recubrimientos. El segmento AFP de la empresa fabrica materiales, incluidos polímeros y solventes especiales, para diversas aplicaciones de recubrimientos como recubrimientos arquitectónicos, de transporte, de bienes duraderos y electrónicos. Específicamente, las resinas de poliéster de rendimiento Tetrashield™ de Eastman se utilizan en recubrimientos en polvo industriales, y sus resinas protectoras Tetrashield™ BPA-NI son aplicables en recubrimientos para embalajes metálicos, protectores, industriales y automotrices. Además, Eastman produce aditivos de celulosa utilizados en recubrimientos para automóviles, productos farmacéuticos y embalajes, aunque el negocio de recubrimientos automotrices enfrenta desafíos debido a la moderación de las tasas de producción.","[{'name': 'emn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/emn-Q125-10-Q.html'}, {'name': 'emn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/emn-FY24-10-K.html'}]",6832,USD,EMN,SMART,STK,True,IND_14
