industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
IN,IND_13,DSY,industrial,industrial_software,FR0014003TT8,DASSAULT SYSTEMES SE,1,"Proporciona soluciones líderes de software de diseño 3D, simulación y gestión del ciclo de vida del producto que son fundamentales para la innovación industrial y la transformación digital en diversos sectores.",,500760943,EUR,SMART,STK,
IN,IND_13,PTC,industrial,industrial_software,US69370C1009,PTC INC,2,"Desarrolla y proporciona soluciones integrales de software industrial que permiten la transformación digital, optimizan el desarrollo de productos y mejoran la eficiencia operativa para los fabricantes de todo el mundo.","PTC se identifica como una empresa de software global centrada en permitir la transformación digital de los fabricantes a través de su conjunto de ofertas de software. El negocio principal de la empresa gira en torno a la provisión de soluciones de software, incluyendo CAD (Diseño Asistido por Computadora) y PLM (Gestión del Ciclo de Vida del Producto), que son impulsores clave de los ingresos por software y se utilizan en operaciones industriales para la automatización, los sistemas de control y la gestión de procesos. Las ofertas de PTC también incluyen ALM (Gestión del Ciclo de Vida de Aplicaciones) y SLM (Gestión del Ciclo de Vida del Servicio), solidificando aún más su posición en el dominio del software industrial.",121507047,USD,SMART,STK,"[{'name': 'ptc-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ptc-Q325-10-Q.html'}, {'name': 'ptc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ptc-FY24-10-K.html'}, {'name': 'ptc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ptc-Q125-10-Q.html'}]"
IN,IND_13,ROK,industrial,industrial_software,US7739031091,ROCKWELL AUTOMATION INC,3,"Proporciona soluciones integrales de software industrial que permiten a los fabricantes optimizar la producción, mejorar la eficiencia operativa e impulsar la transformación digital en toda su empresa.","La dedicación de Rockwell Automation a la automatización industrial y la transformación digital es evidente a través de la entrega de productos, soluciones y servicios de hardware y software. El segmento de 'Software y Control' de la empresa ha experimentado notables aumentos en las ventas, lo que demuestra un enfoque significativo en el software industrial. Rockwell Automation destaca su cartera líder en la industria, ofreciendo a los clientes una gama de soluciones, incluidas opciones locales, de borde y nativas de la nube, y menciona importantes victorias de software con empresas como Beam Therapeutics, donde su software FactoryTalk, PharmaSuite y MES está ayudando a automatizar los procesos de producción y garantizar el control de calidad.",11697,USD,SMART,STK,"[{'name': 'rok-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rok-Q225-10-Q.html'}, {'name': 'rok-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rok-FY24-10-K.html'}, {'name': 'rok-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rok-Q325-10-Q.html'}, {'name': 'rok-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rok-Q125-10-Q.html'}]"
IN,IND_13,SIE,industrial,industrial_software,DE0007236101,SIEMENS AG-REG,4,"Desarrolla y proporciona una cartera integral de soluciones de software industrial que permiten la transformación digital, la automatización y la optimización en diversos sectores industriales.",,14217,EUR,SMART,STK,
IN,IND_13,ADSK,industrial,industrial_software,US0527691069,AUTODESK INC,5,"Desarrolla y proporciona soluciones de software líderes para diseño, ingeniería y fabricación, sustentando procesos industriales críticos en diversos sectores.",,265681,USD,SMART,STK,
IN,IND_13,MSFT,industrial,industrial_software,US5949181045,MICROSOFT CORP,6,"Proporciona software y plataformas en la nube fundamentales que permiten la transformación digital, el análisis de datos y las soluciones de inteligencia artificial para operaciones industriales y procesos de fabricación.","El enfoque de Microsoft en el software industrial es evidente a través de la introducción de agentes de operaciones y seguridad de fábricas, presentados en Hannover Messe. Esto se ve reforzado por asociaciones clave con empresas como Autodesk, PTC y Siemens, que están desarrollando soluciones de IA industrial en la plataforma de Microsoft. Estas colaboraciones y el desarrollo de agentes específicos indican un compromiso con el espacio del software industrial, aunque la naturaleza compartida de estos desarrollos sugiere un enfoque colaborativo en lugar de puramente propietario.",272093,USD,SMART,STK,
IN,IND_13,HEXA.B,industrial,industrial_software,SE0015961909,HEXAGON AB-B SHS,7,Proporciona soluciones avanzadas de software industrial esenciales para optimizar procesos industriales complejos y mejorar la productividad.,,490414358,SEK,SMART,STK,
IN,IND_13,SNPS,industrial,industrial_software,US8716071076,SYNOPSYS INC,8,Contribuye al sector del software industrial a través de sus actividades de desarrollo.,,274499,USD,SMART,STK,
IN,IND_13,CDNS,industrial,industrial_software,US1273871087,CADENCE DESIGN SYS INC,9,Desarrolla software avanzado de automatización de diseño electrónico que es esencial para crear los componentes y sistemas sofisticados utilizados en aplicaciones industriales.,,5552,USD,SMART,STK,
IN,IND_13,ORCL,industrial,industrial_software,US68389X1054,ORACLE CORP,10,"Proporciona tecnología de bases de datos crítica, sistemas de planificación de recursos empresariales (ERP) y software de gestión de la cadena de suministro (SCM) que potencia y agiliza las operaciones en diversos sectores industriales.",,272800,USD,SMART,STK,
