industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,infrastructure_development,US1491231015,CATERPILLAR INC,1,"Proporciona equipos y maquinaria pesada esenciales para proyectos globales de construcción y minería, lo que permite directamente el desarrollo y mantenimiento de infraestructura crítica en todo el mundo.","El compromiso de Caterpillar con el desarrollo de infraestructuras es evidente a través de múltiples menciones de su dependencia del gasto en infraestructuras para mantener una demanda resiliente en todos sus segmentos. La empresa reconoce que se espera que los proyectos de infraestructuras relacionados con el gobierno se mantengan sólidos, especialmente dentro del segmento de Industrias de la Construcción, debido a la financiación de la Ley de Inversión en Infraestructuras y Empleos (IIJA). Además, Caterpillar señala que el gasto en construcción en América del Norte se mantiene sólido, impulsado por grandes proyectos plurianuales e inversiones en infraestructuras relacionadas con el gobierno, también respaldadas por la financiación de la IIJA, y que los proyectos de infraestructuras financiados por la IIJA continúan siendo adjudicados.","[{'name': 'cat-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cat-FY24-10-K.html'}, {'name': 'cat-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cat-Q324-10-Q.html'}, {'name': 'cat-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cat-Q225-10-Q.html'}]",5437,USD,CAT,SMART,STK,True,inf
industrial,infrastructure_development,IE0001827041,CRH PLC,2,Proporciona materiales y soluciones de construcción esenciales que son fundamentales para la construcción y el mantenimiento de diversos proyectos de infraestructura a nivel mundial.,"La participación de CRH en el desarrollo de infraestructuras es significativa, ya que la empresa se considera un socio valioso para proyectos de transporte e infraestructuras críticas. La empresa se centra en expandir sus operaciones en América del Norte e Internacionales, especialmente dado el importante apoyo gubernamental a los proyectos de infraestructuras. Esto se evidencia aún más en el aumento de los ingresos del 4% en Soluciones de Edificación e Infraestructura en el primer trimestre de 2024, impulsado por el aumento de los volúmenes en los mercados de agua y energía, junto con los impactos positivos de las adquisiciones. CRH integra materiales esenciales, productos de construcción de valor añadido y servicios de construcción, proporcionando soluciones completas para proyectos de infraestructuras, incluida la fabricación, instalación y mantenimiento de autopistas públicas e infraestructuras comerciales.","[{'name': 'crh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crh-Q125-10-Q.html'}]",12538958,EUR,CRG,SMART,STK,False,inf
industrial,infrastructure_development,US00766T1007,AECOM,3,"Impulsa el desarrollo de infraestructura a través de la provisión de servicios profesionales para el diseño, construcción, financiación y operación de proyectos en diversos sectores a nivel mundial.","El enfoque de AECOM en el desarrollo de infraestructura es evidente a través de sus servicios de consultoría y asesoramiento para gobiernos y empresas de todo el mundo, particularmente en los sectores de transporte, agua, medio ambiente y energía. La empresa destaca las megatendencias globales, incluida una inversión proyectada de $50 billones en infraestructura hasta 2040, y se beneficia del aumento de la inversión en programas de infraestructura global como la Ley de Inversión en Infraestructura y Empleos en EE. UU. La posición de AECOM como una empresa de primer nivel en transporte, agua, medio ambiente e instalaciones subraya aún más su compromiso con el desarrollo de infraestructura, respaldado por ejemplos específicos como la estrategia de infraestructura de 10 años del Reino Unido y el plan de inversión de $150 mil millones de Canadá.","[{'name': 'acm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/acm-FY24-10-K.html'}]",43980401,USD,ACM,SMART,STK,True,inf
industrial,infrastructure_development,US09290D1019,BLACKROCK INC,4,"Gestiona importantes asignaciones de capital y estrategias de inversión centradas en el desarrollo de infraestructura global, apoyando proyectos y activos esenciales.","El enfoque de BlackRock en el Desarrollo de Infraestructura es evidente a través de su adquisición de Global Infrastructure Management (GIP), un gestor líder de fondos de infraestructura, por aproximadamente $3 mil millones en efectivo y 12 millones de acciones comunes de BlackRock. Se espera que esta adquisición cree una amplia franquicia global de infraestructura con capacidades diferenciadas de originación y gestión de activos. Demostrando aún más este compromiso, GIP V de BlackRock representa la mayor recaudación de capital de clientes en un fondo de infraestructura privado, superando su objetivo al recaudar $25.2 mil millones, con planes de recaudar $100 mil millones adicionales en deuda asociada para financiar proyectos de infraestructura, incluidas oportunidades en financiación público-privada y financiación de infraestructura.","[{'name': 'blk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/blk-Q225-10-Q.html'}, {'name': 'blk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/blk-Q125-10-Q.html'}, {'name': 'blk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/blk-Q324-10-Q.html'}]",729193719,USD,BLK,SMART,STK,True,inf
industrial,infrastructure_development,US9291601097,VULCAN MATERIALS CO,5,"Suministra agregados de construcción esenciales, asfalto y concreto premezclado, sirviendo como un proveedor fundamental de materiales cruciales para el desarrollo de proyectos de infraestructura.","El compromiso de la empresa con el tema de Desarrollo de Infraestructura es evidente en su papel como proveedor de materiales básicos esenciales para mantener y expandir la infraestructura de la economía estadounidense, incluidas autopistas, puentes, aeropuertos y sistemas de agua. La empresa está estratégicamente posicionada para beneficiarse de la inversión generacional en infraestructura, considerándola un factor clave para extender el crecimiento y mitigar la ciclicidad de la construcción privada. Con una fortaleza continua en la actividad de construcción pública y adquisiciones recientes, la empresa anticipa un crecimiento del volumen, respaldado por un aumento del gasto estatal y federal y una creciente demanda de agregados.","[{'name': 'vmc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vmc-Q225-10-Q.html'}, {'name': 'vmc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vmc-FY24-10-K.html'}, {'name': 'vmc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vmc-Q324-10-Q.html'}]",13515,USD,VMC,SMART,STK,True,inf
industrial,infrastructure_development,FR0000125486,VINCI SA,6,"Se dedica al diseño, construcción, financiación y operación de proyectos de infraestructura crítica a nivel mundial, incluidas autopistas, aeropuertos, infraestructura energética y diversas obras de construcción e ingeniería civil.",,,29612226,EUR,DG,SMART,STK,False,inf
industrial,infrastructure_development,ES0167050915,ACS ACTIVIDADES CONS Y SERV,7,"Se enfoca en el desarrollo y gestión de diversos proyectos de infraestructura a nivel mundial, abarcando construcción, concesión y servicios en varios sectores.",,,30314131,EUR,ACS,SMART,STK,False,inf
industrial,infrastructure_development,US09260D1072,BLACKSTONE INC,8,"Invierte significativamente en activos de infraestructura global, impulsando el desarrollo, la propiedad y la gestión de proyectos de infraestructura críticos en diversos sectores.","El compromiso de Blackstone con el desarrollo de infraestructura es evidente a través de su plataforma de infraestructura dedicada, que ha mostrado un crecimiento sustancial con activos bajo gestión (AUM) un 36% interanual. La estrategia de despliegue de la firma enfatiza áreas que se benefician de megatendencias seculares como la infraestructura digital y energética, con su plataforma de infraestructura apreciándose significativamente. Blackstone Infrastructure Partners (BIP) tiene como objetivo una combinación diversificada de inversiones en todos los sectores de infraestructura, incluidos energía, transporte, digital y agua/residuos, lo que refleja la amplia participación de la firma en el desarrollo de infraestructura.","[{'name': 'bx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bx-Q125-10-Q.html'}, {'name': 'bx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bx-FY24-10-K.html'}]",372834689,USD,BX,SMART,STK,True,inf
industrial,infrastructure_development,US3434121022,FLUOR CORP,9,"Proporciona servicios globales de ingeniería, adquisición y construcción esenciales para el desarrollo y la modernización de infraestructura crítica en diversos sectores.","Fluor demuestra su participación en el desarrollo de infraestructura a través de varios proyectos e inversiones. La empresa obtuvo un importante contrato de construcción de $682 millones con TxDOT y está cerca de completar el proyecto Gordie Howe, mientras que los nuevos premios en infraestructura contribuyen a la cartera de pedidos de la empresa. Sin embargo, Fluor ha experimentado un crecimiento de costos en múltiples proyectos de infraestructura debido a errores de diseño y otros problemas, lo que ha llevado a una financiación sustancial para empresas conjuntas de infraestructura, incluidos $55 millones para un proyecto con pérdidas. El segmento de Soluciones Urbanas también juega un papel en los proyectos de infraestructura, aunque el crecimiento de los costos en esta área ha compensado parcialmente las ganancias del segmento.","[{'name': 'flr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flr-Q225-10-Q.html'}, {'name': 'flr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/flr-FY24-10-K.html'}, {'name': 'flr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flr-Q125-10-Q.html'}]",11218575,USD,FLR,SMART,STK,True,inf
industrial,infrastructure_development,US03027X1000,AMERICAN TOWER CORP,10,"Se enfoca en desarrollar y operar infraestructura de comunicación crítica, como torres de telefonía celular, que sustentan el avance de la conectividad digital y el desarrollo general de la infraestructura.","La participación de la empresa en el desarrollo de infraestructura es evidente a través de su papel como propietaria, operadora y desarrolladora de bienes raíces de comunicaciones multitenant, junto con la construcción y adquisición de sitios de comunicaciones en todo el mundo. La empresa desarrolla o adquiere selectivamente nuevos sitios en mercados existentes y nuevos y ofrece servicios relacionados con torres, incluyendo solicitud de sitio, zonificación y permisos. Si bien las operaciones inmobiliarias representan una parte significativa de los ingresos totales de la empresa, el desarrollo y la adquisición de sitios de comunicaciones sigue siendo una parte central de su negocio.","[{'name': 'amt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amt-FY24-10-K.html'}]",99831145,USD,AMT,SMART,STK,True,inf
