industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,innovation_in_beverages,US1912161007,COCA-COLA CO/THE,1,Impulsa avances significativos en la industria de las bebidas al ser pionera en el desarrollo de nuevos productos y ampliar las opciones para los consumidores.,"El compromiso de Coca-Cola con la innovación en bebidas es evidente a través de varias iniciativas. La compañía se centra en innovaciones multianuales y lanzamientos más audaces, como se ve con las inversiones en Fuze Tea y la introducción de Coca-Cola Orange Cream y Simply Pop. Este compromiso está respaldado además por su dedicación a la investigación y el desarrollo de nuevos edulcorantes y sabores no calóricos, junto con la adquisición de BodyArmor para expandir su cartera de bebidas de rendimiento deportivo e hidratación. La compañía también adquiere periódicamente marcas y celebra acuerdos de licencia para complementar su oferta de bebidas.","[{'name': 'ko-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ko-FY24-10-K.html'}, {'name': 'ko-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ko-Q125-10-Q.html'}, {'name': 'ko-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ko-Q225-10-Q.html'}]",8894,USD,KO,SMART,STK,True,BE1
consumer and retail,innovation_in_beverages,US7134481081,PEPSICO INC,2,"Impulsa la evolución del mercado de bebidas a través del desarrollo continuo de productos, la diversificación de ingredientes y la introducción de nuevas opciones de bebidas funcionales y sostenibles.","El enfoque de PepsiCo en la innovación de bebidas es evidente a través de varias iniciativas. La compañía adquirió VNGR Beverage, LLC, conocida como poppi, una marca de refrescos prebióticos, lo que indica un movimiento hacia categorías de bebidas novedosas. PepsiCo también se enfoca en la innovación en bebidas, específicamente en colas sin azúcar, bebidas energéticas como Sting y opciones de hidratación como Gatorade, y está trabajando para eliminar los colorantes y saborizantes artificiales de su cartera de bebidas. Además, PepsiCo está explorando plataformas funcionales en bebidas, como hidratación, energía y proteínas, con próximos lanzamientos que incluyen ofertas de proteínas líquidas.","[{'name': 'pep-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q225-10-Q.html'}, {'name': 'pep-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q125-10-Q.html'}, {'name': 'pep-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pep-FY24-10-K.html'}]",11017,USD,PEP,SMART,STK,True,BE1
consumer and retail,innovation_in_beverages,US8552441094,STARBUCKS CORP,3,"Desarrolla e introduce activamente opciones de bebidas nuevas y personalizadas, incluidas bebidas de temporada y categorías ampliadas, para impulsar la participación del cliente y las tendencias del mercado.","Starbucks está activamente involucrada en la innovación de bebidas a través de varias iniciativas. La empresa está reintroduciendo la Experiencia Starbucks con un enfoque renovado en la innovación de productos, construyendo una sólida cartera de innovación de menús centrada en experiencias de café premium y bebidas más allá del café. Esto incluye la introducción de espuma fría proteica, la prueba de bebidas de té y café a base de agua de coco, y la exploración de sabores globales y ofertas de energía personalizables. Starbucks aprovecha un enfoque ágil de prueba y aprendizaje para construir una cartera de innovación culturalmente relevante en bebidas y alimentos, y está innovando la experiencia de degustación de café a través del desarrollo de productos.","[{'name': 'sbux-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbux-Q225-10-Q.html'}, {'name': 'sbux-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sbux-FY24-10-K.html'}]",274105,USD,SBUX,SMART,STK,True,BE1
consumer and retail,innovation_in_beverages,GB0002374006,DIAGEO PLC,4,"Juega un papel fundamental en la configuración del futuro de la industria de las bebidas a través del desarrollo continuo de nuevos productos, sabores y categorías, impulsando las tendencias del mercado y las preferencias de los consumidores.",,,3310674,GBP,DGE,SMART,STK,False,BE1
consumer and retail,innovation_in_beverages,US49271V1008,KEURIG DR PEPPER INC,5,"Impulsa la innovación en bebidas a través de su diversa cartera de marcas y plataformas avanzadas de preparación de dosis única, mejorando la elección y la conveniencia del consumidor.","Keurig Dr Pepper (KDP) demuestra un fuerte enfoque en la innovación de bebidas a través del lanzamiento de nuevos sabores y líneas de productos, la expansión a categorías emergentes y los esfuerzos para satisfacer las preferencias cambiantes de los consumidores. Esto se evidencia en iniciativas como el lanzamiento de Dr Pepper Blackberry, el próximo sabor 7UP Tropical y el desarrollo de una diversa cartera de energía que incluye marcas como GHOST y Bloom. Además, el informe inaugural 'State of Beverages' de KDP subraya el compromiso de la empresa de comprender y satisfacer las demandas cambiantes de los consumidores, mientras que innovaciones como Bloom Pop, un CSD prebiótico, muestran su dedicación a combinar el sabor con beneficios para la salud.",,324057162,USD,KDP,SMART,STK,True,BE1
consumer and retail,innovation_in_beverages,US21036P1084,CONSTELLATION BRANDS INC-A,6,"Impulsa la innovación en bebidas mediante el desarrollo e introducción de nuevas líneas de productos, sabores y formatos de empaque en su diversa cartera, respondiendo activamente a las preferencias cambiantes de los consumidores y las tendencias del mercado.","Constellation Brands participa activamente en la innovación de bebidas a través del desarrollo de nuevos productos, con el objetivo de satisfacer las necesidades y preferencias emergentes de los consumidores. Esto es evidente en su enfoque en la innovación impulsada por el consumidor, la creación de nuevas extensiones de línea y marcas, y su enfoque disciplinado para lanzar productos innovadores como bebidas no alcohólicas, Oro, Sunbrew y Limón y Sal Cheladas. La compañía espera que una parte sustancial de su crecimiento, entre el 20% y el 40%, sea impulsada por estas innovaciones de nuevos productos, lo que demuestra un compromiso significativo en esta área.","[{'name': 'stz-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stz-Q126-10-Q.html'}]",276066,USD,STZ,SMART,STK,True,BE1
consumer and retail,innovation_in_beverages,US61174X1090,MONSTER BEVERAGE CORP,7,Se enfoca en desarrollar nuevas formulaciones de bebidas energéticas y expandir su cartera de productos con sabores innovadores y bebidas funcionales para capturar las preferencias cambiantes de los consumidores.,,,196986496,USD,MNST,SMART,STK,True,BE1
consumer and retail,innovation_in_beverages,US1005571070,BOSTON BEER COMPANY INC-A,8,Impulsa avances en el sector de bebidas a través del desarrollo e introducción de ofertas de bebidas nuevas y diversas.,"The Boston Beer Company demuestra su enfoque en la innovación de bebidas a través del desarrollo y lanzamiento de nuevos productos y extensiones de línea, como Sun Cruiser, Truly Unruly, Twisted Tea Light y Twisted Tea Extreme. El énfasis de la compañía en adaptarse a las preferencias cambiantes de los consumidores es evidente en sus refrescantes estrategias de marketing, la exploración de nuevos sabores y los ajustes en la oferta de productos. Se están realizando inversiones de capital en las cervecerías de la compañía para impulsar la eficiencia, reducir los costos y respaldar la innovación de productos, particularmente dentro de la categoría 'Beyond Beer'.","[{'name': 'sam-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sam-FY24-10-K.html'}, {'name': 'sam-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sam-Q125-10-Q.html'}, {'name': 'sam-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sam-Q324-10-Q.html'}]",1841216,USD,SAM,SMART,STK,True,BE1
consumer and retail,innovation_in_beverages,NL0000009165,HEINEKEN NV,9,Impulsa el progreso en la innovación de bebidas a través del desarrollo de nuevos productos y la exploración de categorías emergentes en el mercado global.,,,29622888,EUR,HEIA,SMART,STK,False,BE1
consumer and retail,innovation_in_beverages,US15118V2079,CELSIUS HOLDINGS INC,10,"Desarrolla y comercializa bebidas funcionales, contribuyendo a la evolución de la industria de las bebidas a través de formulaciones innovadoras y ofertas de productos centradas en la salud.","Celsius enfatiza la innovación de productos como un motor clave de crecimiento, como lo demuestra el lanzamiento de nuevos sabores y líneas de productos como CELSIUS Playa Vibe, Retro Vibe, Mango Lemonade y CELSIUS HYDRATION. El enfoque de la empresa en la innovación centrada en el consumidor es evidente en su estrategia para obtener colocaciones adicionales en el comercio minorista con nuevas innovaciones y apalancar los conocimientos del consumidor para comprender el mercado y refinar las estrategias de marketing. Este compromiso con la innovación se refleja en el éxito de las innovaciones de nuevos productos tanto en Celsius como en Alani Nu, con mención específica de las preferencias de los consumidores por productos funcionales y mejores para la salud, y la capacidad de la empresa para liderar la revolución de la energía moderna con una gran innovación de productos.","[{'name': 'celh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/celh-Q125-10-Q.html'}, {'name': 'celh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/celh-FY24-10-K.html'}]",71364351,USD,CELH,SMART,STK,True,BE1
