symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
NKE,CR,FO2,consumer and retail,innovation_in_footwear,US6541061031,NIKE INC -CL B,1,"Impulsa los avances en calzado deportivo a través del desarrollo continuo de nuevas tecnologías, materiales y diseños, estableciendo estándares de la industria en rendimiento y sostenibilidad.","El enfoque de Nike en la innovación en calzado es evidente en su estrategia de crear productos innovadores y 'debe tener' y su posición como el mayor vendedor de calzado deportivo. Esto está respaldado por su integración de plataformas de innovación líderes en la industria como Nike Air, Flyknit, ZoomX y React X en zapatillas para correr, así como el rediseño de modelos como Vomero, Structure y Pegasus. Además, Nike está lanzando nuevos productos como las zapatillas de trail Super Shoe con las ACG Ultrafly y se está asociando con SKIMS para crear productos de entrenamiento de rendimiento, aprovechando la experiencia en innovación de Nike.","[{'name': 'nke-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q225-10-Q.html'}, {'name': 'nke-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nke-FY25-10-K.html'}, {'name': 'nke-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q125-10-Q.html'}]",10291,USD,SMART,STK
DECK,CR,FO2,consumer and retail,innovation_in_footwear,US2435371073,DECKERS OUTDOOR CORP,2,Se enfoca en el desarrollo de tecnologías y diseños innovadores de calzado en su diversa cartera de marcas para mejorar el rendimiento y la experiencia del consumidor.,"Deckers está fuertemente invertida en la innovación de calzado, como lo demuestra su posición como líder mundial en el diseño, marketing y distribución de calzado innovador tanto para actividades de estilo de vida como de rendimiento. La marca HOKA de la empresa es un motor clave de este enfoque, ofreciendo calzado de rendimiento premium con amortiguación y estabilidad mejoradas, al tiempo que se enfoca en la innovación para ofrecer experiencias transformadoras. Deckers ha reforzado sus capacidades en diseño, innovación, color y estilo de vida para mejorar una gama más amplia de estilos, y el CEO ha identificado la innovación como un principio rector para sus marcas.","[{'name': 'deck-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/deck-Q126-10-Q.html'}, {'name': 'deck-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/deck-FY25-10-K.html'}, {'name': 'deck-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/deck-Q325-10-Q.html'}, {'name': 'deck-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/deck-Q225-10-Q.html'}]",268376,USD,SMART,STK
ONON,CR,FO2,consumer and retail,innovation_in_footwear,CH1134540470,ON HOLDING AG-CLASS A,3,"Se centra en la introducción de nuevas tecnologías y diseños en calzado deportivo, mejorando el rendimiento y la experiencia del usuario a través de la innovación continua.","On está significativamente invertido en Innovación en Calzado, demostrado a través de varias iniciativas clave. La compañía se centra en la construcción de franquicias icónicas de calzado como Cloudsurfer y Cloudmonster, y ha tenido éxito con nuevos lanzamientos como Cloud 6, que ha sido su lanzamiento más exitoso hasta la fecha. On también está innovando la fabricación de productos con la tecnología LightSpray, un proceso ultraligero automatizado por brazos robóticos, e incluso ha lanzado su primera fábrica LightSpray en Zúrich. La compañía está construyendo activamente un equipo para apoyar esta tecnología, contratando ingenieros computacionales, especialistas en robótica e ingenieros de planta, y planeando más lanzamientos de productos LightSpray a lo largo del año.",,513880603,USD,SMART,STK
CROX,CR,FO2,consumer and retail,innovation_in_footwear,US2270461096,CROCS INC,4,"Introduce materiales y diseños de calzado únicos que priorizan la comodidad y una estética distintiva, impulsando la innovación en el mercado del calzado de consumo.","Crocs enfatiza la innovación en calzado como un objetivo estratégico central, esforzándose por ser un líder mundial en el campo. Este compromiso se demuestra a través de su enfoque en ofrecer nuevas innovaciones, una narración clara a través del marketing y la introducción constante de nuevas líneas de productos, incluidas iteraciones de zuecos como Echo, Bae e InMotion, así como franquicias de sandalias como Brooklyn, Getaway y Miami. La empresa también utiliza materiales patentados como Croslite en la marca Crocs y diseños innovadores como el concepto de mocasín de la marca HEYDUDE, lo que resalta aún más su dedicación a la innovación en calzado.","[{'name': 'crox-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crox-Q125-10-Q.html'}, {'name': 'crox-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crox-Q324-10-Q.html'}, {'name': 'crox-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crox-Q225-10-Q.html'}, {'name': 'crox-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crox-FY24-10-K.html'}]",37792836,USD,SMART,STK
PUM,CR,FO2,consumer and retail,innovation_in_footwear,DE0006969603,PUMA SE,5,"Impulsa los avances en calzado deportivo y de estilo de vida a través de la investigación, el desarrollo continuos y la integración de materiales y diseños de vanguardia para mejorar el rendimiento y la comodidad.",,,15050,EUR,SMART,STK
7936,CR,FO2,consumer and retail,innovation_in_footwear,JP3118000003,ASICS CORP,6,"Avanza en el campo del calzado a través de la investigación y el desarrollo continuos en nuevos materiales, diseños y principios biomecánicos para mejorar el rendimiento atlético y la comodidad.",,,14017648,JPY,SMART,STK
WWW,CR,FO2,consumer and retail,innovation_in_footwear,US9780971035,WOLVERINE WORLD WIDE INC,7,Contribuye al desarrollo de nuevas tecnologías y diseños dentro de la industria del calzado.,"La implicación de la empresa en la innovación del calzado es evidente a través de su visión estratégica de construir marcas de calzado de alta energía y ofrecer productos innovadores. Como diseñador, comercializador y licenciante líder a nivel mundial de calzado de marca, la cartera de la empresa incluye marcas como Saucony, Merrell y Wolverine, que han introducido productos innovadores. Por ejemplo, el Endorphin Speed 5 de Saucony combina una placa de nailon con espuma PWRRUN PE, mientras que el Infinity System de Wolverine ofrece una absorción de impactos y un retorno de energía mejorados, lo que demuestra un compromiso con la integración de nuevas tecnologías y materiales en su calzado.","[{'name': 'www-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/www-Q225-10-Q.html'}, {'name': 'www-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/www-Q324-10-Q.html'}, {'name': 'www-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/www-FY24-10-K.html'}, {'name': 'www-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/www-Q125-10-Q.html'}]",13938,USD,SMART,STK
BIRK,CR,FO2,consumer and retail,innovation_in_footwear,JE00BS44BN30,BIRKENSTOCK HOLDING PLC,8,Enfatiza el desarrollo continuo en tecnología de plantillas y ciencia de materiales para ofrecer mayor comodidad y soporte ortopédico en su calzado.,"El compromiso de Birkenstock con la Innovación en Calzado es evidente en su expansión estratégica a nuevas categorías, como zapatos con cordones y de punta cerrada, siendo estas últimas las que experimentan un aumento de 400 puntos básicos en su participación en los ingresos año tras año. Para respaldar este crecimiento, Birkenstock está invirtiendo en automatización en la fabricación, infraestructura de TI y optimización de procesos en toda la organización. Estas inversiones se extienden a expansiones de fábricas, particularmente en Pasewalk, para mejorar las capacidades de producción, fabricación y logística, y para mantenerse al día con la creciente demanda de estilos no Boston.",,658821477,USD,SMART,STK
VFC,CR,FO2,consumer and retail,innovation_in_footwear,US9182041080,VF CORP,9,"Impulsa avances en el diseño de calzado, la ciencia de los materiales y las técnicas de fabricación para mejorar el rendimiento del producto y el atractivo para el consumidor.","VF Corporation demuestra su compromiso con la innovación en calzado a través de varias de sus marcas clave. Específicamente, Vans se enfoca en el calzado al presentar nuevos diseños, como el Super Low Pro, al mismo tiempo que revitaliza los diseños principales; este enfoque es una estrategia clave para revitalizar la marca. The North Face también ha experimentado un crecimiento de dos dígitos en su segmento de calzado, lo que lo convierte en una parte significativa del negocio, y Altra es un líder en zapatillas para correr por senderos. VF Corporation permite a los presidentes de marca dirigir un mayor enfoque y atención a la construcción de marca a largo plazo, la innovación de productos y las estrategias de crecimiento para marcas como Vans y Timberland.","[{'name': 'vfc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vfc-Q225-10-Q.html'}, {'name': 'vfc-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vfc-FY25-10-K.html'}, {'name': 'vfc-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vfc-Q325-10-Q.html'}, {'name': 'vfc-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vfc-Q126-10-Q.html'}]",13440,USD,SMART,STK
UAA,CR,FO2,consumer and retail,innovation_in_footwear,US9043111072,UNDER ARMOUR INC-CLASS A,10,Participa en avances y enfoques novedosos dentro de la industria del calzado.,"Under Armour se identifica como un desarrollador, comercializador y distribuidor líder de calzado deportivo de marca, con ventas netas que consisten en productos de calzado. La empresa está acelerando activamente la innovación en calzado para energizar a los atletas y elevar la marca, centrándose en optimizar su cartera y reconstruir con un enfoque más agudo en el atleta. Esto se demuestra a través de la introducción de nuevos modelos como SlipSpeed Echo, la línea de calzado UA Halo prevista y la zapatilla para correr Velociti Elite 3, todas las cuales enfatizan el diseño, el rendimiento y las características centradas en el atleta.","[{'name': 'uaa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uaa-Q225-10-Q.html'}, {'name': 'uaa-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/uaa-FY25-10-K.html'}, {'name': 'uaa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uaa-Q125-10-Q.html'}, {'name': 'uaa-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uaa-Q325-10-Q.html'}]",36786278,USD,SMART,STK
