industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
consumer and retail,innovation_in_retail,US0231351067,AMAZON.COM INC,1,"Pionera en avances en comercio electrónico, logística y venta minorista física, aprovechando tecnología como la personalización impulsada por IA y la automatización de la cadena de suministro para remodelar continuamente la experiencia de compra global.",,3691937,USD,AMZN,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,US9311421039,WALMART INC,2,"Lidera la transformación del comercio minorista a través de importantes inversiones en avances tecnológicos, eficiencias operativas y la evolución de las experiencias de compra de los clientes en sus extensas operaciones globales.",,13824,USD,WMT,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,KYG017191142,ALIBABA GROUP HOLDING LTD,3,"Impulsa avances significativos en el sector minorista a través de sus extensas plataformas de comercio electrónico y la integración de nuevas tecnologías, redefiniendo la experiencia de compra del consumidor y los modelos de negocio.",,391638829,HKD,9988,SEHK,STK,False,,RE3
consumer and retail,innovation_in_retail,US47215P1066,JD.COM INC-ADR,4,"Impulsa avances continuos en el comercio electrónico, la logística y la gestión de la cadena de suministro a través de la innovación tecnológica para mejorar la experiencia minorista.",,152486141,USD,JD,SMART,STK,False,,RE3
consumer and retail,innovation_in_retail,US22266T1097,COUPANG INC,5,"Pionera en avances en el comercio minorista a través de su ecosistema de comercio electrónico integrado y soluciones de entrega de última milla, mejorando la eficiencia y la conveniencia del cliente.",,475686899,USD,CPNG,SMART,STK,False,,RE3
consumer and retail,innovation_in_retail,JP3967200001,RAKUTEN GROUP INC,6,"Impulsa la innovación minorista a través de sus completas plataformas de comercio electrónico, soluciones avanzadas de tecnología financiera y servicios digitales integrados, mejorando las experiencias de compra en línea y permitiendo nuevos modelos de negocio.",,37585692,JPY,4755,SMART,STK,False,,RE3
consumer and retail,innovation_in_retail,US94419L1017,WAYFAIR INC- CLASS A,7,"Impulsa la innovación minorista a través de su plataforma especializada de comercio electrónico para muebles del hogar, optimizando la experiencia de compra en línea y la logística de productos grandes y voluminosos.",,168812158,USD,W,SMART,STK,False,,RE3
consumer and retail,innovation_in_retail,DE000ZAL1111,ZALANDO SE,8,Impulsa los avances en la venta minorista de moda en línea aprovechando la tecnología para mejorar las experiencias del cliente y optimizar los procesos operativos.,,168731675,EUR,ZAL,SMART,STK,False,,RE3
consumer and retail,innovation_in_retail,US8552441094,STARBUCKS CORP,9,"Aprovecha las plataformas digitales y los programas de fidelización para mejorar la experiencia del cliente y optimizar los procesos de pedido, contribuyendo a los avances en la tecnología minorista.","El compromiso de Starbucks con la Innovación Minorista es evidente a través de varias iniciativas. La estrategia ""Back to Starbucks"" de la compañía enfatiza la mejora de la experiencia del cliente y la innovación en la experiencia de degustación de café a través del desarrollo de productos, marketing y experiencias en la tienda. Starbucks también está invirtiendo en nuevas plataformas de alimentos y bebidas y reimaginando el programa Starbucks Rewards. Además, la implementación del modelo Green Apron Service tiene como objetivo establecer estándares consistentes y escalables en las tiendas operadas por la empresa en EE. UU.",274105,USD,SBUX,SMART,STK,True,"[{'name': 'sbux-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbux-Q325-10-Q.html'}, {'name': 'sbux-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbux-Q125-10-Q.html'}, {'name': 'sbux-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sbux-FY24-10-K.html'}]",RE3
consumer and retail,innovation_in_retail,US9892071054,ZEBRA TECHNOLOGIES CORP-CL A,10,"Proporciona soluciones de inteligencia de activos empresariales, que incluyen computación móvil, captura de datos e impresión, para mejorar la gestión de inventario, optimizar las operaciones de las tiendas y mejorar las experiencias de los clientes en el sector minorista.",,276304,USD,ZBRA,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,GB00B3MBS747,OCADO GROUP PLC,11,"Aprovecha la tecnología avanzada de automatización y logística para revolucionar el comercio minorista de comestibles en línea, permitiendo soluciones de comercio electrónico eficientes y escalables para la entrega de alimentos.",,77478945,GBP,OCDO,SMART,STK,False,,RE3
consumer and retail,innovation_in_retail,US5627501092,MANHATTAN ASSOCIATES INC,12,"Proporciona soluciones críticas de cadena de suministro y comercio omnicanal que permiten a los minoristas innovar sus operaciones, optimizar el inventario y mejorar la experiencia del cliente.",,4814485,USD,MANH,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,US2786421030,EBAY INC,13,"Opera un mercado global de comercio electrónico que empodera a diversos vendedores y los conecta con compradores, evolucionando continuamente su plataforma para facilitar nuevas experiencias de venta al por menor y modelos de negocio.",,4347086,USD,EBAY,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,US5653941030,MAPLEBEAR INC,14,"Impulsa avances en las compras y servicios de entrega de comestibles en línea, proporcionando una plataforma que conecta a los consumidores con los minoristas e innova el proceso de cumplimiento de la última milla.","El compromiso de Instacart con la Innovación Minorista es evidente en su misión de impulsar el futuro de los comestibles a través de la tecnología, asociándose con minoristas para navegar la transformación digital de sus negocios. Instacart ha inventado un nuevo modelo para las compras de comestibles en línea al ofrecer a los consumidores entregas a pedido. El enfoque de la empresa se extiende a innovaciones en tienda como Caper Carts, personalización impulsada por IA y campañas universales, así como a la provisión de una solución tecnológica integral que abarca comercio electrónico, cumplimiento, tiendas conectadas, publicidad y marketing, y análisis a través de la Plataforma Empresarial de Instacart.",655310909,USD,CART,SMART,STK,True,"[{'name': 'cart-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cart-Q324-10-Q.html'}, {'name': 'cart-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cart-FY24-10-K.html'}]",RE3
consumer and retail,innovation_in_retail,US5010441013,KROGER CO,15,"Contribuye a la innovación minorista mediante la integración de soluciones avanzadas de comercio electrónico, herramientas digitales de participación del cliente y eficiencias en la cadena de suministro dentro del sector de comestibles.",,8908,USD,KR,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,US90384S3031,ULTA BEAUTY INC,16,"Se centra en mejorar la experiencia del cliente a través de herramientas digitales avanzadas y una estrategia omnicanal integrada, impulsando la innovación en el comercio minorista de belleza.",,46970422,USD,ULTA,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,US87612E1064,TARGET CORP,17,Las operaciones y el desarrollo estratégico de la empresa están alineados con el tema de Innovación Minorista.,,6437,USD,TGT,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,US4370761029,HOME DEPOT INC,18,Impulsa los avances en la innovación minorista mediante la evolución continua de sus estrategias operativas y la participación del cliente dentro del mercado de mejoras para el hogar.,"La participación de The Home Depot en la innovación minorista es evidente en sus significativos planes de gasto de capital, con aproximadamente $ 3.5 mil millones invertidos en el año fiscal 2024 y un plan de $ 4 mil millones para el año fiscal 2025. Estas inversiones se canalizan hacia iniciativas destinadas a mejorar la experiencia del cliente a través de la tecnología y el desarrollo de capacidades diferenciadas, incluida la maduración de las capacidades Pro y la construcción de nuevas tiendas. El enfoque de la empresa se extiende a mejorar la experiencia del cliente a través de la tecnología y el desarrollo de capacidades diferenciadas, y la demanda de productos nuevos e innovadores también juega un papel.",7930,USD,HD,SMART,STK,True,"[{'name': 'hd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hd-FY24-10-K.html'}, {'name': 'hd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q224-10-Q.html'}]",RE3
consumer and retail,innovation_in_retail,US98850P1093,YUM CHINA HOLDINGS INC,19,Aprovecha tecnologías digitales avanzadas y eficiencias operativas para mejorar la experiencia del cliente e impulsar el crecimiento en su extensa red de restaurantes.,,251376406,USD,YUMC,SMART,STK,False,,RE3
consumer and retail,innovation_in_retail,US88339J1051,TRADE DESK INC/THE -CLASS A,20,"Proporciona una plataforma de publicidad programática que permite a los minoristas optimizar las campañas publicitarias digitales, personalizar la interacción con el cliente e impulsar las ventas a través de estrategias basadas en datos.",,248755440,USD,TTD,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,US0865161014,BEST BUY CO INC,21,Impulsa mejoras continuas en sus operaciones minoristas mediante la integración de tecnologías avanzadas y la optimización de los recorridos de los clientes omnicanal.,"El enfoque de Best Buy en la innovación minorista es evidente a través de varias iniciativas estratégicas. La empresa se centra en fortalecer su presencia omnicanal, como lo demuestra su estrategia para el año fiscal '26 de ser un destino líder en tecnología. Esto incluye la implementación de una solución de abastecimiento basada en datos para optimizar el cumplimiento de pedidos en línea y la asociación con FedEx para mejorar la cadena de suministro. Además, Best Buy está creando nuevas experiencias de marca y ampliando su oferta de productos en línea a través del marketplace de Best Buy, complementado con pruebas de tecnología de búsqueda con IA para mejorar el descubrimiento de productos y la experiencia del cliente.",4817,USD,BBY,SMART,STK,True,,RE3
consumer and retail,innovation_in_retail,LU0974299876,GLOBANT SA,22,"Proporciona servicios y soluciones tecnológicas a clientes del sector minorista, apoyando sus iniciativas de innovación y transformación.",,160756766,USD,GLOB,SMART,STK,False,,RE3
