symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
ELV,INS,financials,insurance_products,US0367521038,ELEVANCE HEALTH INC,1,"Se enfoca en ofrecer una amplia gama de productos de seguros a individuos y grupos, sirviendo como una entidad líder en el mercado de seguros de salud.","La fuerte conexión de Elevance Health con los Productos de Seguros es evidente a través de su operación como una de las aseguradoras de salud más grandes de los Estados Unidos, sirviendo a aproximadamente 46 millones de miembros médicos. Con licencia para realizar operaciones de seguros en los 50 estados, el Distrito de Columbia y Puerto Rico, Elevance Health ofrece una diversa gama de productos de atención administrada, que incluyen HMO, PPO y planes Medicare y Medicaid. El crecimiento de los ingresos de la empresa se ve notablemente impulsado por mayores rendimientos de primas dentro de su segmento de Beneficios de Salud, junto con una mayor membresía en Medicare Advantage y planes Individuales de la ACA, lo que subraya la importancia de los productos de seguros para su desempeño financiero.","[{'name': 'elv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elv-Q125-10-Q.html'}, {'name': 'elv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elv-Q225-10-Q.html'}, {'name': 'elv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elv-Q324-10-Q.html'}, {'name': 'elv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/elv-FY24-10-K.html'}]",173962302,USD,SMART,STK
AEX,INS,financials,insurance_products,CH0044328745,CHUBB LTD,2,"Proporciona una amplia gama de productos y servicios de seguros en diversas líneas de negocio, sirviendo a un amplio espectro de clientes a nivel mundial.","Chubb es una organización global de seguros y reaseguros con operaciones en seis segmentos de negocio: Seguros Comerciales de Propiedad y Accidentes en América del Norte, Seguros Personales de Propiedad y Accidentes en América del Norte, Seguros Agrícolas en América del Norte, Seguros Generales en el Extranjero, Reaseguros Globales y Seguros de Vida. La compañía ofrece una variedad de productos de seguros, incluyendo líneas personales, seguros comerciales de propiedad y accidentes, seguros de vida, seguros de hogar y seguros de viaje. El enfoque de Chubb en productos de seguros se demuestra aún más por el crecimiento de las primas globales de propiedad y accidentes y las primas de seguros de vida. La expansión estratégica de la compañía a través de adquisiciones también indica una fuerte alineación con los productos de seguros.","[{'name': 'cb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cb-FY24-10-K.html'}, {'name': 'cb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cb-Q125-10-Q.html'}, {'name': 'cb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cb-Q225-10-Q.html'}, {'name': 'cb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cb-Q324-10-Q.html'}]",83007963,EUR,SMART,STK
TRV,INS,financials,insurance_products,US89417E1091,TRAVELERS COS INC/THE,3,"Desarrolla y distribuye una cartera integral de productos de seguros, abordando las diversas necesidades de gestión de riesgos y protección de individuos y empresas.","El negocio de Travelers Companies se centra en productos de seguros, como lo demuestra su enfoque en operaciones de seguros, primas, siniestros y suscripción en diversos segmentos, incluyendo Seguros Empresariales, Seguros de Fianzas y Especialidades, y Seguros Personales. El rendimiento financiero de la empresa está estrechamente ligado a su rendimiento de suscripción e inversión, con una parte importante de los ingresos derivada de las primas. Las llamadas de resultados y los documentos financieros discuten extensamente estos productos de seguros, destacando el crecimiento de las primas, los ingresos por suscripción y los ratios combinados, lo que subraya la centralidad de los seguros para las operaciones y la salud financiera de la empresa.","[{'name': 'trv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/trv-FY24-10-K.html'}, {'name': 'trv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trv-Q324-10-Q.html'}, {'name': 'trv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trv-Q225-10-Q.html'}, {'name': 'trv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trv-Q125-10-Q.html'}]",43150617,USD,SMART,STK
L,INS,financials,insurance_products,US5404241086,LOEWS CORP,4,"Proporciona una amplia gama de productos de seguros, estableciéndose como un participante clave en la industria de seguros en general.","CNA Financial, una subsidiaria importante de Loews Corporation, opera principalmente en el sector de seguros de propiedad y accidentes comerciales. La competencia principal de CNA es su negocio de seguros de propiedad y accidentes comerciales, con operaciones que incluyen líneas de negocio Especializadas, Comerciales e Internacionales. La cartera de inversiones de CNA respalda su obligación de pagar futuras reclamaciones de seguros, y la compañía comercializa sus productos a través de agentes y corredores independientes a una amplia gama de clientes.","[{'name': 'l-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/l-Q125-10-Q.html'}, {'name': 'l-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/l-FY24-10-K.html'}, {'name': 'l-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/l-Q324-10-Q.html'}, {'name': 'l-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/l-Q225-10-Q.html'}]",9252,USD,SMART,STK
AIG,INS,financials,insurance_products,US0268747849,AMERICAN INTERNATIONAL GROUP,5,"Es un proveedor global líder de una cartera integral de productos y servicios de seguros, que abordan una amplia gama de riesgos para individuos y empresas en todo el mundo.","El negocio de AIG depende en gran medida de los productos de seguros, como lo demuestran las extensas discusiones sobre su diversa oferta, que incluyen líneas comerciales y personales, seguros de propiedad, responsabilidad civil y especializados. El segmento de Seguros Generales de la compañía es un proveedor líder de estos productos, con una red de propiedad y daños a terceros de gran alcance. Además, las llamadas de resultados y los documentos giran constantemente en torno al desempeño financiero y la dirección estratégica de los segmentos de seguros de AIG, lo que demuestra el enfoque de la compañía en las primas, las ratios combinadas y los resultados de suscripción en diversas líneas de negocio.","[{'name': 'aig-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aig-Q324-10-Q.html'}, {'name': 'aig-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aig-Q125-10-Q.html'}, {'name': 'aig-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aig-FY24-10-K.html'}]",61319701,USD,SMART,STK
AJG,INS,financials,insurance_products,US3635761097,ARTHUR J GALLAGHER & CO,6,"Ofrece una amplia gama de productos de seguros y soluciones de gestión de riesgos, sirviendo como una correduría de seguros global líder.","Arthur J. Gallagher & Co. está fuertemente involucrada en productos de seguros, ofreciendo servicios como corretaje de seguros y reaseguros, consultoría y liquidación de reclamaciones por terceros. La empresa identifica, negocia y coloca diversas formas de cobertura de seguro, incluyendo propiedad/daños, vida, salud, bienestar y seguro de discapacidad. Esto está respaldado además por su segmento de corretaje, que proporciona servicios de corretaje y consultoría en colocaciones de seguros y reaseguros, así como gestión de riesgos. La adquisición de AssuredPartners también amplía las capacidades de los clientes en propiedad/daños comerciales, especialidades, beneficios para empleados y líneas personales.","[{'name': 'ajg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ajg-Q324-10-Q.html'}, {'name': 'ajg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ajg-Q125-10-Q.html'}, {'name': 'ajg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ajg-FY24-10-K.html'}]",4325,USD,SMART,STK
UNH,INS,financials,insurance_products,US91324P1021,UNITEDHEALTH GROUP INC,7,"Proporciona una cartera integral de productos de seguros y beneficios de atención médica, que atiende a diversos segmentos de clientes dentro de la industria de la salud.","La conexión de UnitedHealth Group con el tema de Productos de Seguros es evidente a través de su operación de UnitedHealthcare, un proveedor importante de beneficios, productos y servicios de atención médica. UnitedHealthcare ofrece varias opciones de seguros, incluidos planes para Empleadores e Individuos, Medicare y Jubilación, y Comunitarios y Estatales. Las primas de estos productos de seguros constituyen una parte sustancial de los ingresos de UnitedHealth Group, y los informes recientes indican que las primas representan aproximadamente el 77% de los ingresos totales. Además, el negocio Medicare Advantage de UnitedHealthcare continúa expandiéndose, lo que demuestra la participación e inversión continua de la empresa en productos de seguros.","[{'name': 'unh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/unh-Q324-10-Q.html'}, {'name': 'unh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/unh-Q225-10-Q.html'}, {'name': 'unh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/unh-FY24-10-K.html'}]",13272,USD,SMART,STK
ALL,INS,financials,insurance_products,US0200021014,ALLSTATE CORP,8,Ofrece una amplia gama de productos de seguros diseñados para proteger a individuos y empresas de diversos riesgos.,"El negocio de Allstate se centra significativamente en productos de seguros, como lo demuestran sus amplias ofertas en propiedad y daños, accidentes y salud, y otras líneas personales. Una parte central de la estrategia de Allstate implica aumentar la cuota de mercado de propiedad y responsabilidad civil personal y expandir la protección proporcionada a los clientes, con ingresos derivados en gran medida de las primas de seguros. La empresa está implementando activamente nuevos productos de seguros de automóviles y propietarios de viviendas más asequibles en numerosos estados, lo que demuestra un compromiso con la innovación y el crecimiento en este sector. Allstate también invierte en protección a través de asociaciones estratégicas, ofreciendo garantías de productos, protección de identidad y asistencia en carretera, lo que solidifica aún más la importancia de los productos de seguros para la empresa.","[{'name': 'all-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/all-Q324-10-Q.html'}, {'name': 'ALL-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ALL-FY24-10-K.html'}, {'name': 'all-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/all-Q125-10-Q.html'}, {'name': 'all-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/all-Q225-10-Q.html'}]",4357,USD,SMART,STK
PGR,INS,financials,insurance_products,US7433151039,PROGRESSIVE CORP,9,"Desarrolla y distribuye una amplia gama de productos de seguros, contribuyendo significativamente al mercado al ofrecer soluciones esenciales de gestión de riesgos y protección financiera.","El negocio de Progressive se centra en productos de seguros, como lo demuestra su amplia gama de ofertas, que incluyen automóviles personales, líneas comerciales y seguros de propiedad. El enfoque de la empresa se extiende a la consecución de objetivos de rentabilidad de suscripción, la gestión eficaz del riesgo y el crecimiento de las primas y pólizas en vigor. Progressive aspira a ser un destino líder para las necesidades de seguros, enfatizando las pólizas combinadas y una cartera de productos adaptados a los requisitos cambiantes de los clientes. La dedicación de la empresa a los productos de seguros se ve aún más subrayada por las discusiones sobre primas, pólizas, rentabilidad de suscripción y ratios de siniestralidad.","[{'name': 'pgr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pgr-Q324-10-Q.html'}, {'name': 'pgr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pgr-Q125-10-Q.html'}, {'name': 'pgr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pgr-Q225-10-Q.html'}]",11080,USD,SMART,STK
PRU,INS,financials,insurance_products,US7443201022,PRUDENTIAL FINANCIAL INC,10,"Ofrece una cartera integral de productos de seguros, que incluyen seguros de vida, anualidades y seguros grupales, al servicio de individuos e instituciones a nivel mundial para brindar protección y seguridad financiera.","La participación de Prudential Financial en productos de seguros es evidente a través de sus diversas ofertas, que incluyen seguros de vida, anualidades y seguros grupales. Estos productos son centrales para las operaciones de Prudential, con Seguros Grupales y Vida Individual identificados como operaciones principales. El enfoque de la empresa en abordar las crecientes necesidades de protección y jubilación de los clientes está respaldado por sólidas ventas en negocios globales de jubilación y seguros, particularmente en productos de Vida Grupal. Además, Prudential está diversificando activamente su combinación de productos y aprovechando la tecnología para mejorar la eficiencia operativa y la experiencia del cliente dentro de su negocio de seguros.","[{'name': 'pru-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pru-Q225-10-Q.html'}, {'name': 'pru-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pru-Q324-10-Q.html'}, {'name': 'pru-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pru-FY24-10-K.html'}, {'name': 'pru-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pru-Q125-10-Q.html'}]",13865082,USD,SMART,STK
