type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
unclassified,insurtech_associations,CNE1000003X6,PING AN INSURANCE GROUP CO-H,1,Establece y aprovecha activamente colaboraciones estratégicas con empresas tecnológicas para desarrollar e integrar soluciones innovadoras de insurtech en sus ofertas de seguros y servicios financieros.,,46652400,HKD,2318,SEHK,STK,False,
unclassified,insurtech_associations,US40171V1008,GUIDEWIRE SOFTWARE INC,2,"Sirve como plataforma fundamental para numerosas alianzas insurtech, permitiendo la innovación digital y la colaboración en todo el ecosistema de seguros.","Guidewire enfatiza su ecosistema a través de alianzas estratégicas con aseguradoras y una red de socios tecnológicos que comprende SI, consultoría y otros actores de la industria. Este ecosistema incluye el Guidewire App Marketplace, que presenta más de 300 aplicaciones de terceros y está impulsado por más de 200 socios tecnológicos, todos alineados para mejorar los resultados de los clientes. La empresa fomenta estas relaciones alentando a los socios a co-comercializar, perseguir iniciativas de ventas conjuntas e impulsar una mayor adopción de la tecnología de Guidewire, lo que ayuda a la empresa a crecer de manera eficiente y centrarse en la innovación.",100825898,USD,GWRE,SMART,STK,True,"[{'name': 'gwre-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gwre-Q125-10-Q.html'}]"
unclassified,insurtech_associations,DE0008404005,ALLIANZ SE-REG,3,"Participa activamente en colaboraciones e inversiones con empresas de insurtech para impulsar la innovación, mejorar las capacidades digitales y ampliar su oferta de servicios en el sector de seguros.",,14079,EUR,ALV,SMART,STK,False,
unclassified,insurtech_associations,FR0000120628,AXA SA,4,"Participa activamente en colaboraciones e inversiones dentro del ecosistema insurtech, aprovechando tecnologías innovadoras para mejorar las ofertas de seguros y la eficiencia operativa.",,29612141,EUR,CS,SMART,STK,False,
unclassified,insurtech_associations,US92345Y1064,VERISK ANALYTICS INC,5,"Proporciona soluciones de datos, análisis y tecnología que son integrales para fomentar y optimizar las asociaciones dentro del ecosistema insurtech.",,69293559,USD,VRSK,SMART,STK,True,
unclassified,insurtech_associations,IE00BDB6Q211,WILLIS TOWERS WATSON PLC,6,"Participa activamente y facilita colaboraciones con empresas de insurtech para impulsar la innovación, mejorar las ofertas y optimizar la eficiencia operativa dentro del sector de seguros para sus clientes.","El compromiso de WTW con las asociaciones de Insurtech es evidente a través de su negocio de Consultoría y Tecnología de Seguros (ICT), que combina consultoría y tecnología para crear valor para los clientes. La empresa utiliza Radar Vision, una herramienta de modelado impulsada por IA, para ayudar a las aseguradoras en la fijación de precios, la suscripción y la gestión de siniestros, incluida una colaboración con una gran aseguradora de salud del Reino Unido para una iniciativa de transformación de precios. WTW se enfoca en desarrollar e implementar soluciones de tecnología, datos y análisis tanto para operaciones internas como para mantener los estándares de la industria y satisfacer las preferencias de los clientes.",217947850,EUR,WTY,SMART,STK,True,"[{'name': 'wtw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wtw-Q125-10-Q.html'}]"
unclassified,insurtech_associations,US3020811044,EXLSERVICE HOLDINGS INC,7,"Se enfoca en proporcionar soluciones de análisis de datos y transformación digital que permiten y mejoran las asociaciones de insurtech, impulsando la innovación y la eficiencia dentro del sector de seguros.","La participación de EXL en Alianzas Insurtech es evidente a través de la provisión de soluciones de software de seguros digitales cloud-first, integrando IA generativa, aprendizaje automático, análisis avanzados y plataformas para facilitar la transformación operativa y la integración de IA para empresas de seguros. La compañía presta servicios a corredores de seguros, reaseguradores y empresas insurtech, lo que demuestra aún más su implicación en el espacio insurtech. Además, EXL ha desarrollado el Insurance Large Language Model (LLM), una plataforma especializada de IA generativa diseñada para siniestros, suscripción y subrogación, lo que pone de manifiesto un esfuerzo dedicado a mejorar los procesos de seguros con soluciones impulsadas por IA.",41155380,USD,EXLS,SMART,STK,True,"[{'name': 'exls-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exls-Q125-10-Q.html'}, {'name': 'exls-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exls-Q225-10-Q.html'}]"
unclassified,insurtech_associations,US0268747849,AMERICAN INTERNATIONAL GROUP,8,Se enfoca en aprovechar las asociaciones de Insurtech para mejorar sus operaciones de seguros e impulsar la innovación dentro de la industria.,,61319701,USD,AIG,SMART,STK,True,
unclassified,insurtech_associations,BMG8192H1060,SIRIUSPOINT LTD,9,Participa activamente en colaboraciones e inversiones dentro del ecosistema insurtech para impulsar la innovación y mejorar las soluciones de seguros.,"SiriusPoint demuestra su compromiso con las asociaciones de Insurtech a través de participaciones accionarias en numerosas entidades. La estrategia de la compañía implica asociarse con líderes y equipos de alta integridad que poseen una profunda experiencia en suscripción, incentivando a todas las partes a ofrecer resultados. Al 30 de junio de 2025, SiriusPoint mantenía participaciones accionarias en 20 entidades, incluidas MGAs, compañías de Insurtech y otras, que suscriben o distribuyen una amplia gama de líneas de negocio, como responsabilidad general, responsabilidad profesional y seguros cibernéticos.",471245525,USD,SPNT,SMART,STK,True,"[{'name': 'spnt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spnt-Q324-10-Q.html'}, {'name': 'spnt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spnt-Q125-10-Q.html'}, {'name': 'spnt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spnt-Q225-10-Q.html'}, {'name': 'spnt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/spnt-FY24-10-K.html'}]"
unclassified,insurtech_associations,CH0011075394,ZURICH INSURANCE GROUP AG,10,Impulsa la innovación en sus ofertas de seguros y modelos operativos a través de colaboraciones estratégicas con empresas Insurtech.,,262834,CHF,ZURN,SMART,STK,False,
