industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
unclassified,integrated_circuits,KR7005930003,SAMSUNG ELECTRONICS CO LTD,1,"Es un líder mundial en el desarrollo y la fabricación de circuitos integrados, suministrando una amplia gama de productos semiconductores para diversos dispositivos electrónicos e impulsando la innovación en la industria.",,17382528,KRW,005930,KSE,STK,False,,IN2
unclassified,integrated_circuits,US67066G1040,NVIDIA CORP,2,"Diseña y produce una amplia gama de circuitos integrados, incluyendo GPUs y CPUs, que son esenciales para la computación de alto rendimiento, la inteligencia artificial y el procesamiento gráfico en diversas industrias.","El enfoque de NVIDIA en los circuitos integrados es evidente a través de múltiples factores, incluidas las plataformas de computación y redes de centros de datos de la empresa que impulsan el crecimiento de los ingresos a través de la computación acelerada y las soluciones de IA. Los requisitos de licencia del gobierno de EE. UU. que afectan las exportaciones de circuitos integrados A100 y H100 a China y Rusia subrayan aún más la importancia de estos productos específicos para NVIDIA. Estos requisitos de licencia y la mención de los próximos sistemas Blackwell resaltan la inversión y el interés estratégico de NVIDIA en el espacio de los circuitos integrados.",4815747,USD,NVDA,SMART,STK,True,"[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}]",IN2
unclassified,integrated_circuits,US7475251036,QUALCOMM INC,3,"Diseña y licencia circuitos integrados esenciales para la conectividad móvil avanzada, el procesamiento y la inteligencia artificial, extendiendo su impacto en los sectores automotriz y de IoT.","El negocio de Qualcomm está significativamente ligado a la industria de los circuitos integrados, ya que la empresa obtiene la mayor parte de sus ingresos de la venta de productos de circuitos integrados. Esto se ve respaldado aún más por el hecho de que los ingresos de QCT para teléfonos móviles, automoción y IoT se generan principalmente a partir de la venta de plataformas Snapdragon, que incluyen procesadores, módems y chipsets de conectividad inalámbrica integrados. Además, Qualcomm está comprometida a mantener su liderazgo en tecnología 5G y productos de circuitos integrados a través de la investigación y el desarrollo continuos.",273544,USD,QCOM,SMART,STK,True,"[{'name': 'qcom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q125-10-Q.html'}, {'name': 'qcom-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qcom-FY24-10-K.html'}]",IN2
unclassified,integrated_circuits,US4581401001,INTEL CORP,4,"Como diseñador y fabricante líder, Intel proporciona circuitos integrados fundamentales, incluidos microprocesadores, que potencian la infraestructura de computación y datos en los mercados globales.",,270639,USD,INTC,SMART,STK,True,,IN2
unclassified,integrated_circuits,US4824801009,KLA CORP,5,"Proporciona soluciones avanzadas de control de procesos y gestión de rendimientos, críticas para la fabricación y el desarrollo de circuitos integrados en diversos nodos tecnológicos.","La participación de KLA en el tema de Circuitos Integrados es sustancial, como lo demuestra su posición como proveedor líder de soluciones de control de procesos y gestión de rendimiento para la industria de semiconductores, apoyando directamente la I+D y la fabricación de circuitos integrados. La amplia cartera de productos de inspección y metrología de la empresa juega un papel crucial para ayudar a los clientes a gestionar los desafíos del proceso de fabricación y lograr mayores rendimientos de productos a menores costos. Además, el segmento de control de procesos de semiconductores de KLA genera una parte significativa de los ingresos totales de la empresa, lo que subraya la importancia de los circuitos integrados para sus operaciones.",270957,USD,KLAC,SMART,STK,True,"[{'name': 'klac-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q325-10-Q.html'}, {'name': 'klac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q225-10-Q.html'}, {'name': 'klac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q125-10-Q.html'}, {'name': 'klac-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/klac-FY25-10-K.html'}]",IN2
unclassified,integrated_circuits,US0382221051,APPLIED MATERIALS INC,6,"Proporciona equipos, servicios y soluciones de software de fabricación avanzados esenciales para la producción de circuitos integrados, apoyando a la industria mundial de semiconductores.",,266093,USD,AMAT,SMART,STK,True,,IN2
unclassified,integrated_circuits,US5128073062,LAM RESEARCH CORP,7,Proporciona equipos y servicios cruciales para la fabricación de semiconductores que facilitan la producción y el avance tecnológico de los circuitos integrados.,"El negocio de Lam Research está estrechamente relacionado con la industria de los circuitos integrados, ya que los procesos de fabricación de semiconductores de sus clientes implican la fabricación de circuitos integrados en obleas. La competencia principal de la empresa reside en la integración de hardware, materiales de proceso, software y control de procesos para permitir resultados en la oblea durante la fabricación de estos circuitos integrados. Esto indica que los productos y servicios de Lam Research son esenciales para la producción de circuitos integrados.",732440574,USD,LRCX,SMART,STK,True,"[{'name': 'lrcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q225-10-Q.html'}]",IN2
unclassified,integrated_circuits,US11135F1012,BROADCOM INC,8,"Desarrolla y suministra una amplia cartera de dispositivos semiconductores, incluidos circuitos integrados personalizados y estándar, que son esenciales para diversos mercados como el centro de datos, la banda ancha y el almacenamiento empresarial.",,313130367,USD,AVGO,SMART,STK,True,,IN2
unclassified,integrated_circuits,KR7000660001,SK HYNIX INC,9,"Desempeña un papel importante en la producción y el avance de circuitos integrados, particularmente en tecnologías de semiconductores de memoria.",,17382246,KRW,000660,KSE,STK,False,,IN2
unclassified,integrated_circuits,US5951121038,MICRON TECHNOLOGY INC,10,"Desarrolla y fabrica una cartera completa de circuitos integrados de memoria y almacenamiento, que incluyen DRAM y memoria flash NAND, que son componentes críticos para diversas aplicaciones informáticas, móviles y de centros de datos.",,9939,USD,MU,SMART,STK,True,,IN2
