symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
QCOM,TE,INT,technology,internet_of_things,US7475251036,QUALCOMM INC,1,Desarrolla y proporciona conjuntos de chips avanzados y plataformas de conectividad esenciales para potenciar una amplia gama de dispositivos y aplicaciones de Internet de las cosas.,"La participación de Qualcomm en el Internet de las Cosas es evidente a través de varios factores clave. El segmento QCT de la empresa genera ingresos de IoT, con ingresos que aumentan año tras año, impulsados por la demanda de productos con tecnologías de conectividad, procesamiento e IA. Qualcomm está expandiendo su ecosistema de socios en IoT industrial con plataformas Dragonwing y colaboraciones para la automatización empresarial, y también está experimentando una transición de microcontroladores a microprocesadores e IA, beneficiándose de su cartera de tecnología. Además, Qualcomm cree que el 5G combinado con la computación de alto rendimiento y bajo consumo y la inteligencia artificial en el dispositivo continuarán impulsando la adopción de ciertas tecnologías en industrias más allá de los teléfonos móviles, como la automotriz y la IoT.","[{'name': 'qcom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q225-10-Q.html'}, {'name': 'qcom-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qcom-FY24-10-K.html'}, {'name': 'qcom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q125-10-Q.html'}, {'name': 'qcom-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q325-10-Q.html'}]",273544,USD,SMART,STK
IOT,TE,INT,technology,internet_of_things,US79589L1061,SAMSARA INC-CL A,2,"Proporciona una plataforma de operaciones conectadas que aprovecha el Internet de las Cosas para mejorar la eficiencia, seguridad y sostenibilidad de las operaciones físicas en diversas industrias.","El compromiso de la empresa con el tema de Internet de las Cosas es evidente a través de su Plataforma de Operaciones Conectadas, que consolida datos de dispositivos IoT, activos conectados y sistemas de terceros. Esta plataforma procesa aproximadamente 20 billones de puntos de datos anualmente, recopilados de pasarelas, cámaras y sensores implementados en las operaciones de los clientes. La Nube de Operaciones Conectadas de la empresa permite a las empresas aprovechar los datos de IoT, y también venden dispositivos IoT de reemplazo, incluidas pasarelas, sensores y cámaras, lo que indica la importancia de IoT para sus operaciones y flujos de ingresos.","[{'name': 'iot-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iot-Q126-10-Q.html'}, {'name': 'iot-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iot-Q325-10-Q.html'}, {'name': 'iot-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/iot-FY25-10-K.html'}]",532274461,USD,SMART,STK
ARM,TE,INT,technology,internet_of_things,US0420682058,ARM HOLDINGS PLC-ADR,3,"Proporciona tecnología y arquitectura de procesador fundamentales, cruciales para potenciar una amplia gama de dispositivos de Internet de las Cosas, permitiendo operaciones eficientes y conectadas en diversas aplicaciones.","La participación de Arm en el Internet de las Cosas se refleja en el crecimiento de sus ingresos por regalías en varios mercados objetivo, incluido el IoT. Este crecimiento es generalizado en los principales mercados, lo que contribuye a la estrategia de diversificación de la empresa. Si bien el IoT se identifica como un mercado que contribuye al crecimiento de las regalías, su expansión es más lenta en comparación con los sectores de centros de datos, automotriz y de teléfonos inteligentes, con indicios de una estabilización en el IoT y sistemas integrados.",,653400472,USD,SMART,STK
SLAB,TE,INT,technology,internet_of_things,US8269191024,SILICON LABORATORIES INC,4,Proporciona soluciones de silicio esenciales y tecnologías inalámbricas que permiten el desarrollo y la conectividad de una amplia gama de dispositivos y aplicaciones de Internet de las cosas.,"Silicon Labs demuestra una fuerte conexión con el Internet de las Cosas, ya que se identifica como líder en tecnología inalámbrica segura e inteligente para un mundo más conectado. La empresa proporciona soluciones analógicas intensivas y de señal mixta para una amplia gama de aplicaciones de IoT, incluyendo hogar conectado y seguridad, automatización y control industrial, medición inteligente e instrumentación médica. Silicon Labs enfatiza su enfoque en el espacio IoT, impulsado por sus productos de la Serie 2 líderes en la industria y su papel como el mayor proveedor de código para thread, lo que destaca su compromiso con la habilitación de la conectividad de dispositivos y el intercambio de datos.","[{'name': 'slab-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slab-Q125-10-Q.html'}, {'name': 'slab-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slab-Q324-10-Q.html'}, {'name': 'slab-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/slab-FY24-10-K.html'}, {'name': 'slab-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slab-Q224-10-Q.html'}]",8027031,USD,SMART,STK
NXPI,TE,INT,technology,internet_of_things,NL0009538784,NXP SEMICONDUCTORS NV,5,"Proporciona soluciones de semiconductores esenciales para una amplia gama de aplicaciones de Internet de las Cosas, permitiendo la conectividad, el procesamiento y la seguridad en dispositivos inteligentes y ecosistemas conectados.","NXP está significativamente involucrada en Internet de las cosas, como lo demuestra su enfoque en soluciones de cómputo de IA de borde inteligente para los mercados industrial y de IoT. El mercado final Industrial e IoT de la empresa es un contribuyente notable a los ingresos, y la empresa proporciona procesadores, soluciones avanzadas de analogía, seguridad y conectividad. NXP también ve una recuperación generalizada tanto en el IoT industrial como en el de consumo y está creando demanda de soluciones de cómputo de IA de borde inteligente que eliminan la necesidad de conectarse a la nube para la ejecución de modelos de IA.","[{'name': 'nxpi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q225-10-Q.html'}, {'name': 'nxpi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nxpi-FY24-10-K.html'}, {'name': 'nxpi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q324-10-Q.html'}, {'name': 'nxpi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q125-10-Q.html'}]",77791077,USD,SMART,STK
SMTC,TE,INT,technology,internet_of_things,US8168501018,SEMTECH CORP,6,Impulsa la expansión del mercado del Internet de las Cosas proporcionando soluciones de conectividad críticas y tecnologías de semiconductores para diversas aplicaciones de IoT.,"Semtech se identifica como un proveedor de sistemas de Internet de las Cosas con un segmento operativo dedicado a Sistemas y Conectividad de IoT, enfatizando la importancia del tema para su negocio. Los productos inalámbricos de la compañía, con tecnología LoRa, están diseñados para aplicaciones de máquina a máquina y de IoT, y las soluciones habilitadas por LoRa se expanden en varios mercados finales. El negocio de hardware de sistemas de IoT de Semtech ha registrado importantes ventas netas, y la compañía está avanzando en el IoT satelital a través de redes no terrestres, demostrando su compromiso con el Internet de las Cosas.","[{'name': 'smtc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smtc-Q225-10-Q.html'}, {'name': 'smtc-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smtc-Q126-10-Q.html'}, {'name': 'smtc-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/smtc-FY25-10-K.html'}, {'name': 'smtc-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smtc-Q325-10-Q.html'}]",3655896,USD,SMART,STK
MSFT,TE,INT,technology,internet_of_things,US5949181045,MICROSOFT CORP,7,"Ofrece una robusta plataforma en la nube, Azure IoT, que permite a las empresas conectar, administrar y obtener inteligencia de vastas redes de dispositivos de Internet de las cosas y soluciones de borde.",,,272093,USD,SMART,STK
005930,TE,INT,technology,internet_of_things,KR7005930003,SAMSUNG ELECTRONICS CO LTD,8,"Desarrolla e integra tecnologías de Internet de las cosas en su diversa cartera de productos, contribuyendo a soluciones para el hogar inteligente y ecosistemas de dispositivos conectados.",,,17382528,KRW,KSE,STK
SIE,TE,INT,technology,internet_of_things,DE0007236101,SIEMENS AG-REG,9,Las operaciones y estrategias de la empresa están alineadas con el desarrollo y despliegue del Internet de las Cosas.,,,14217,EUR,SMART,STK
AMZN,TE,INT,technology,internet_of_things,US0231351067,AMAZON.COM INC,10,"Desarrolla y proporciona plataformas y servicios de Internet de las cosas (IoT) basados en la nube a través de AWS, junto con una cartera de dispositivos IoT de consumo y ofertas para el hogar inteligente.",,,3691937,USD,SMART,STK
