symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
GS,IN3,financials,investment_banking,US38141G1040,GOLDMAN SACHS GROUP INC,1,"Ofrece una amplia gama de servicios de banca de inversión, que abarcan asesoramiento en fusiones y adquisiciones, suscripción y finanzas corporativas, para una diversa base de clientes globales.","La participación de Goldman Sachs en la banca de inversión es evidente a través de su amplia gama de servicios, que incluyen asesoramiento estratégico para fusiones y adquisiciones, desinversiones, reestructuraciones y suscripción. La empresa destaca su posición de liderazgo como el asesor de fusiones y adquisiciones número 1 a nivel mundial durante los últimos 20 años, respaldado por equipos en América, Europa y Asia. Esto se ve aún más corroborado por un sólido desempeño en banca de inversión, un aumento de los ingresos por asesoramiento y una cartera de asesoramiento en crecimiento, con clientes que recurren a ellos para transacciones importantes, así como por los ingresos de la suscripción de acciones y deuda.","[{'name': 'gs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gs-Q125-10-Q.html'}, {'name': 'gs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gs-Q225-10-Q.html'}, {'name': 'gs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gs-Q324-10-Q.html'}]",4627828,USD,SMART,STK
MS,IN3,financials,investment_banking,US6174464486,MORGAN STANLEY,2,"Sirve como líder mundial en banca de inversión, ofreciendo servicios integrales de asesoramiento para fusiones y adquisiciones, recaudación de capital a través de suscripción de acciones y deuda, y reestructuración financiera estratégica para corporaciones y gobiernos.","Morgan Stanley enfatiza la Banca de Inversión como un servicio clave, que abarca la captación de capital, la suscripción y los roles de asesoramiento, incluidas las fusiones y adquisiciones y las reestructuraciones. El compromiso de la firma se ve subrayado por contrataciones estratégicas y préstamos corporativos para ampliar su cobertura. Los ingresos de la banca de inversión han sido sustanciales, con un trimestre reciente que muestra $ 1.6 mil millones, y la compañía está trabajando activamente para expandir su huella de clientes corporativos a través de la extensión de crédito y el despliegue estratégico de capital en negocios centrales como la banca de inversión. Este enfoque se destaca aún más por la reanudación de la actividad de banca de inversión y una creciente cartera de fusiones y adquisiciones, particularmente en atención médica y tecnología.","[{'name': 'ms-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ms-FY24-10-K.html'}, {'name': 'ms-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q125-10-Q.html'}, {'name': 'ms-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q225-10-Q.html'}, {'name': 'ms-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q324-10-Q.html'}]",2841574,USD,SMART,STK
JPM,IN3,financials,investment_banking,US46625H1005,JPMORGAN CHASE & CO,3,"Mantiene una destacada presencia global en la banca de inversión, ofreciendo servicios integrales en mercados de capitales, fusiones y adquisiciones, y asesoramiento estratégico a clientes en todo el mundo.","JPMorgan Chase mantiene una sólida posición en banca de inversión, como lo demuestra su constante primer puesto en honorarios de banca de inversión global y una participación sustancial en el mercado. El banco Comercial y de Inversión (CIB) de la firma ha reportado ingresos netos y de ingresos significativos, con un notable crecimiento interanual de los honorarios de banca de inversión. Específicamente, los aumentos en los honorarios de asesoramiento y suscripción de deuda han contribuido a este desempeño, respaldados por una sólida cartera de proyectos y una perspectiva optimista del mercado. Este compromiso se demuestra aún más a través de sustanciales programas de recompra de acciones comunes, lo que resalta la importancia estratégica de la banca de inversión para JPMorgan Chase.","[{'name': 'jpm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q125-10-Q.html'}, {'name': 'jpm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q225-10-Q.html'}]",1520593,USD,SMART,STK
C,IN3,financials,investment_banking,US1729674242,CITIGROUP INC,4,"Proporciona amplios servicios de banca de inversión, incluida asesoría en fusiones y adquisiciones, recaudación de capital y suscripción, lo que la convierte en un participante crítico en los mercados financieros globales.","La exposición de Citigroup al tema de la banca de inversión es significativa, como lo demuestran varios indicadores clave. Los ingresos bancarios de la compañía han experimentado aumentos, impulsados en gran medida por el crecimiento en la banca de inversión, incluida la fortaleza en los mercados de capitales de deuda, asesoría y mercados de capitales de renta variable. Citigroup ha estado involucrada en múltiples transacciones de alto perfil, como asesorar a Boeing en la venta de Jeppesen y a Nippon Steel en la adquisición de U.S. Steel, y ha participado en un número sustancial de eventos de tarifas de banca de inversión de primer nivel. Además, Citigroup está ganando activamente cuota de mercado en banca de inversión en varios sectores, con aumentos notables en los ingresos por fusiones y adquisiciones.","[{'name': 'c-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q324-10-Q.html'}, {'name': 'c-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q125-10-Q.html'}, {'name': 'c-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/c-FY24-10-K.html'}]",87335484,USD,SMART,STK
BAC,IN3,financials,investment_banking,US0605051046,BANK OF AMERICA CORP,5,"Opera como un importante banco de inversión global, ofreciendo un conjunto integral de servicios que incluyen asesoramiento en fusiones y adquisiciones, mercados de capitales de renta variable y deuda, y soluciones de financiación estratégica.","La participación de Bank of America en la banca de inversión es evidente a través de su segmento de Banca Global, que incluye Banca de Inversión Global y proporciona una gama de servicios como suscripción y servicios de asesoramiento. La empresa destaca su posición como líder mundial en banca corporativa y de inversión, sirviendo a diversos clientes en todo el mundo. Las tarifas de banca de inversión juegan un papel en el desempeño financiero de la empresa, con fluctuaciones atribuidas a cambios en las tarifas de emisión de deuda y capital; por ejemplo, las tarifas de banca de inversión aumentaron $215 millones durante un período de tres meses principalmente debido a mayores tarifas de emisión de deuda.","[{'name': 'bac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q225-10-Q.html'}, {'name': 'bac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q125-10-Q.html'}, {'name': 'bac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bac-FY24-10-K.html'}]",10098,USD,SMART,STK
EVR,IN3,financials,investment_banking,US29977A1051,EVERCORE INC - A,6,"Proporciona una amplia gama de servicios de banca de inversión, que incluyen asesoramiento estratégico, fusiones y adquisiciones, y soluciones de mercados de capitales.","La participación de Evercore en Banca de Inversión es evidente a través de su segmento de Banca de Inversión y Renta Variable, que genera honorarios por una variedad de actividades, que incluyen asesoramiento en fusiones y adquisiciones, recaudación de capital y suscripción. La plataforma diversificada de la compañía le permite operar en diversos entornos de mercado, con capacidades en gestión de pasivos, reestructuración, asesoramiento en capital privado y suscripción de acciones. Este compromiso se demuestra aún más con la incorporación de directores generales senior a la práctica de banca de inversión y la franquicia resiliente de asesoramiento en fusiones y adquisiciones de la compañía.","[{'name': 'evr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/evr-Q225-10-Q.html'}, {'name': 'evr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/evr-Q324-10-Q.html'}, {'name': 'evr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/evr-Q125-10-Q.html'}, {'name': 'evr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/evr-FY24-10-K.html'}]",40358992,USD,SMART,STK
HLI,IN3,financials,investment_banking,US4415931009,HOULIHAN LOKEY INC,7,"Opera como un banco de inversión global, brindando servicios de asesoramiento financiero que incluyen fusiones y adquisiciones, mercados de capitales y reestructuración financiera en diversos sectores.","Houlihan Lokey se identifica como un banco de inversión global, con experiencia en fusiones y adquisiciones, mercados de capitales, reestructuraciones financieras y asesoramiento financiero. La empresa se centra en construir el mejor negocio de asesoramiento bancario de inversión del mundo, con ingresos de Finanzas Corporativas que muestran un crecimiento significativo. El segmento de Finanzas Corporativas asesora sobre ofertas de M&A y mercados de capitales, contribuyendo una parte sustancial a los ingresos totales de la empresa, como lo demuestran los 399 millones de dólares generados en el primer trimestre de 2026, un aumento interanual del 21%, y los 421,6 millones de dólares para los tres meses finalizados el 31 de diciembre de 2024, lo que representa un aumento del 36%.","[{'name': 'hli-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hli-FY25-10-K.html'}, {'name': 'hli-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hli-Q325-10-Q.html'}, {'name': 'hli-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hli-Q225-10-Q.html'}, {'name': 'hli-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hli-Q126-10-Q.html'}]",202918196,USD,SMART,STK
MC,IN3,financials,investment_banking,US60786M1053,MOELIS & CO - CLASS A,8,"Proporciona una gama de servicios de asesoramiento que incluyen fusiones y adquisiciones, recapitalizaciones y reestructuraciones, actuando como una importante firma independiente de banca de inversión para corporaciones, instituciones y gobiernos a nivel mundial.","El negocio principal de Moelis & Company gira en torno a la banca de inversión, ya que la empresa se identifica explícitamente como un banco de inversión independiente líder a nivel mundial. Las actividades de la empresa como firma de asesoría de banca de inversión constituyen un único segmento de negocio que ofrece a los clientes una gama de servicios de asesoría con experiencia en todas las principales industrias en fusiones y adquisiciones, recapitalizaciones y reestructuraciones, y otros asuntos de finanzas corporativas. Además, la empresa ayuda a los clientes a alcanzar sus objetivos estratégicos al ofrecer servicios integrales de asesoría financiera integrada en todos los principales sectores industriales, con una presencia global en más de 20 ubicaciones.","[{'name': 'mc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mc-Q125-10-Q.html'}, {'name': 'mc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mc-Q225-10-Q.html'}, {'name': 'mc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mc-FY24-10-K.html'}, {'name': 'mc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mc-Q324-10-Q.html'}]",148626089,USD,SMART,STK
LAZ,IN3,financials,investment_banking,US52110M1099,LAZARD INC,9,"Opera como una destacada firma global de asesoría financiera y gestión de activos, ocupando una posición de primer nivel dentro del sector de la banca de inversión.","La conexión de Lazard con el tema de Banca de Inversión es evidente a través de sus actividades comerciales principales. La empresa brinda asesoramiento sobre fusiones y adquisiciones, mercados de capitales, soluciones de capital, reestructuración y gestión de pasivos. El segmento de Asesoramiento Financiero de Lazard logró un primer semestre récord, impulsado por los ingresos de M&A estratégicas y recaudación de fondos, y los ingresos por comisiones de banca de inversión aumentaron en comparación con el año anterior. Lazard también participó en una serie de transacciones significativas, lo que demuestra aún más su participación en la banca de inversión.","[{'name': 'laz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/laz-Q125-10-Q.html'}, {'name': 'laz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/laz-Q225-10-Q.html'}, {'name': 'laz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/laz-FY24-10-K.html'}]",673821848,USD,SMART,STK
UBSG,IN3,financials,investment_banking,CH0244767585,UBS GROUP AG-REG,10,"Proporciona un conjunto integral de servicios de banca de inversión, que incluyen asesoramiento, mercados de capitales y soluciones de financiación, a una base de clientes global.",,,170187395,CHF,SMART,STK
