symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
NOW,TE,ITS,technology,it_solutions,US81762P1021,SERVICENOW INC,1,"Proporciona una plataforma líder para flujos de trabajo digitales y gestión de servicios empresariales, lo que permite a las empresas automatizar y optimizar los servicios y operaciones de TI.","El enfoque de ServiceNow en Soluciones de TI es evidente a través de su Plataforma Now, una solución basada en la nube diseñada para digitalizar flujos de trabajo para empresas de diversos sectores. La plataforma integra IA, datos y flujos de trabajo para impulsar resultados comerciales, con soluciones como Now Assist, RaptorDB Pro y Workflow Data Fabric que mejoran los ecosistemas tecnológicos. La cartera de soluciones de TI de ServiceNow incluye ITSM, ITOM e ITAM, junto con la gestión de seguridad y riesgos, a menudo presentadas en las principales operaciones, lo que demuestra su importancia para las ofertas e ingresos de la empresa. La Plataforma Now automatiza los procesos comerciales al conectar departamentos y sistemas dispares, lo que refleja el compromiso de ServiceNow de ofrecer soluciones de TI integrales.","[{'name': 'now-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/now-FY24-10-K.html'}, {'name': 'now-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q125-10-Q.html'}, {'name': 'now-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q324-10-Q.html'}]",109911821,USD,SMART,STK
ACN,TE,ITS,technology,it_solutions,IE00B4BNMY34,ACCENTURE PLC-CL A,2,"Proporciona soluciones integrales de TI y servicios de consultoría, que abarcan estrategia, transformación digital, integración en la nube y ciberseguridad para ayudar a los clientes a modernizar y optimizar sus paisajes tecnológicos.","La participación de Accenture en Soluciones de TI es evidente a través de su amplia gama de servicios, que incluyen tecnología y operaciones. La empresa ayuda a los clientes a acelerar su reinvención a través de la tecnología, los datos y las transformaciones digitales impulsadas por IA, y mediante la construcción de su núcleo digital y la optimización de las operaciones. La estrategia de Accenture incluye ser un socio clave en el ecosistema tecnológico, ayudando a los clientes con la modernización de aplicaciones, la habilitación de la nube y la ciberseguridad, y ayudándoles a aprovechar la IA, incluso en las primeras etapas de su adopción de IA. Además, Accenture apoya la reconstrucción de infraestructura crítica sobre núcleos digitales modernos, como lo demuestra su trabajo con el servicio de Liquidación Bruta en Tiempo Real del Banco de Inglaterra.","[{'name': 'acn-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q325-10-Q.html'}, {'name': 'acn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q225-10-Q.html'}, {'name': 'acn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/acn-FY24-10-K.html'}]",67889930,USD,SMART,STK
MSFT,TE,ITS,technology,it_solutions,US5949181045,MICROSOFT CORP,3,"Proporciona un conjunto completo de software, servicios en la nube y soluciones empresariales que forman la infraestructura fundamental e impulsan la innovación en diversas industrias a nivel mundial.","El enfoque de Microsoft en la tecnología digital y la IA es fundamental para su misión, empoderando a las organizaciones a través de plataformas y herramientas innovadoras. El compromiso de la empresa de proporcionar soluciones de TI se refleja en el crecimiento de Dynamics 365, impulsado por la creciente demanda en sus diversas aplicaciones. La amplia disponibilidad de tecnología digital de Microsoft, junto con sus plataformas impulsadas por IA, subraya su papel en la entrega de soluciones de TI para satisfacer las necesidades cambiantes de los clientes.","[{'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}]",272093,USD,SMART,STK
CRM,TE,ITS,technology,it_solutions,US79466L3024,SALESFORCE INC,4,"Ofrece un conjunto integral de soluciones de TI basadas en la nube para ventas, servicio, marketing y análisis, lo que permite a las empresas mejorar la participación del cliente y la eficiencia operativa.","El compromiso de Salesforce con las Soluciones de TI es evidente a través de su plataforma Customer 360, que conecta a los equipos de TI junto con ventas, servicio, marketing y comercio, proporcionando una visión unificada del cliente al integrar datos de diversos sistemas. Reforzando esto, Salesforce está lanzando una plataforma de servicios de TI agentivos, enfatizando su integración con los flujos de trabajo existentes y su disponibilidad dentro de Slack. Como una nueva categoría de productos para Salesforce, ITSM (servicio de TI) está integrado de forma nativa donde los empleados ya trabajan, y cada solicitud se convierte en una conversación en la que los agentes trabajan mano a mano con los equipos de TI solucionando proactivamente sus problemas. Salesforce proporciona soluciones de TI, lo que permite a las empresas conectarse con los clientes a través de datos, IA y CRM.","[{'name': 'crm-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crm-FY25-10-K.html'}, {'name': 'crm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q225-10-Q.html'}]",29624264,USD,SMART,STK
AMZN,TE,ITS,technology,it_solutions,US0231351067,AMAZON.COM INC,5,"Proporciona servicios integrales de computación en la nube que ofrecen infraestructura, plataformas y soluciones de software escalables y confiables para empresas a nivel mundial.",,,3691937,USD,SMART,STK
INGM,TE,ITS,technology,it_solutions,US4571521065,INGRAM MICRO HOLDING CORP,6,"Sirve como distribuidor y facilitador global de una amplia gama de soluciones de TI, facilitando la entrega e integración de tecnología para empresas de todo el mundo.","El compromiso de Ingram Micro con las Soluciones de TI es evidente a través de su papel principal en la distribución de productos de TI, nube y otros servicios relacionados a nivel mundial. Esto está respaldado por su oferta de una amplia gama de productos y servicios de TI destinados a generar demanda y crear eficiencias para clientes y proveedores. El negocio principal de la empresa gira en torno a las soluciones de TI, como lo demuestra el aumento de las ventas netas en varias categorías relacionadas con TI, incluidas las soluciones de cliente y punto final, las soluciones avanzadas y las soluciones basadas en la nube. Si bien Ingram Micro opera principalmente como distribuidor, su fuerte inversión en Soluciones Avanzadas y Soluciones Basadas en la Nube, junto con los gastos operativos requeridos para las capacidades técnicas, subraya su enfoque en el sector de TI.","[{'name': 'ingm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ingm-Q225-10-Q.html'}, {'name': 'ingm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ingm-Q125-10-Q.html'}]",737201087,USD,SMART,STK
SNX,TE,ITS,technology,it_solutions,US87162W1009,TD SYNNEX CORP,7,"Sirve como distribuidor global y agregador de soluciones, conectando el ecosistema de TI con una amplia cartera de productos, servicios y soluciones tecnológicas.","TD SYNNEX opera como un agregador de soluciones dentro del ecosistema de TI, desempeñando un papel crucial en la introducción de productos tecnológicos en el mercado y ayudando a los clientes a crear soluciones de TI personalizadas para maximizar los resultados comerciales. La empresa invierte en tecnologías estratégicas, incluida la nube híbrida, la seguridad, el análisis de datos y la IA, y ofrece soluciones de TI integrales en mercados verticales clave como el gobierno y la atención médica. Además, TD SYNNEX proporciona modelos operativos integrados y automatizados, aprovechando las API transaccionales y los flujos de trabajo personalizados para mejorar la eficiencia de sus clientes.","[{'name': 'snx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snx-Q225-10-Q.html'}, {'name': 'snx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snx-Q125-10-Q.html'}, {'name': 'snx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snx-Q324-10-Q.html'}, {'name': 'snx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/snx-FY24-10-K.html'}]",26904835,USD,SMART,STK
SAP,TE,ITS,technology,it_solutions,DE0007164600,SAP SE,8,"Proporciona soluciones integrales de software empresarial que permiten a las organizaciones gestionar procesos comerciales críticos, datos y operaciones en diversas industrias.",,,14204,EUR,SMART,STK
ZS,TE,ITS,technology,it_solutions,US98980G1022,ZSCALER INC,9,Ofrece plataformas de seguridad nativas de la nube que son esenciales para salvaguardar la transformación digital y los entornos de TI modernos.,"La participación de Zscaler con Soluciones de TI es evidente a través de sus operaciones de agente, que se están expandiendo en ITOps y SecOps, respaldadas por innovaciones como ZDX Copilot y una solución de remediación de puntos finales impulsada por IA destinada a una resolución más rápida de tickets de TI. La plataforma de la compañía ofrece soluciones de seguridad integradas, que incluyen Zero Trust, seguridad de IA y seguridad de datos, diseñadas para reducir la complejidad y los costos para las empresas. Además, el programa Z-Flex facilita la adopción sin problemas de nuevos módulos de productos, mientras que la adquisición de la tecnología de tejido de datos de Avalor mejora sus capacidades de TI.",,310621426,USD,SMART,STK
IBM,TE,ITS,technology,it_solutions,US4592001014,INTL BUSINESS MACHINES CORP,10,"Ofrece una cartera integral de soluciones de TI integradas, que incluyen servicios de consultoría, software e infraestructura, diseñadas para abordar desafíos empresariales complejos e impulsar la transformación digital para empresas de todo el mundo.",,,8314,USD,SMART,STK
