type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,last_mile_logistics,US9113121068,UNITED PARCEL SERVICE-CL B,1,"Aprovecha una extensa red global y capacidades operativas avanzadas para brindar servicios críticos de entrega de última milla, asegurando el movimiento oportuno y eficiente de bienes a clientes en todo el mundo.","El compromiso de UPS con la logística de última milla es evidente a través de varias iniciativas estratégicas. La compañía internalizó la entrega de volumen de SurePost, esperando que las entregas adicionales dentro de su red ejerzan un mayor control operativo y mantengan la calidad del servicio. Esta internalización llevó al reemplazo de SurePost por Ground Saver, un servicio económico doméstico que aprovecha la red de UPS para la entrega de última milla, aunque ha impactado los resultados operativos debido a mayores costos de recogida y entrega. Además, UPS está expandiendo la entrega residencial los sábados en Europa y acelerando las entregas a numerosos países de Asia, África y Medio Oriente, lo que demuestra un enfoque en mejorar sus capacidades de logística de última milla.","[{'name': 'ups-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q225-10-Q.html'}, {'name': 'ups-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q324-10-Q.html'}, {'name': 'ups-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ups-FY24-10-K.html'}]",6231002,USD,UPS,SMART,STK,True,TL_LAS
transportation and logistics,last_mile_logistics,US31428X1063,FEDEX CORPORATION,2,"Opera una red vasta y compleja que proporciona servicios esenciales de entrega de última milla para paquetes, conectando empresas y consumidores a nivel mundial.","FedEx demuestra su enfoque en la logística de última milla a través de varias iniciativas, incluida la implementación de la optimización de Network 2.0 en más de 200 ubicaciones en EE. UU. y Canadá, donde tanto los proveedores de servicios contratados como los mensajeros empleados gestionan la recogida y entrega de paquetes. El plan de la empresa para consolidar instalaciones, reducir las rutas de recogida y entrega, y optimizar su red a través de Network 2.0 subraya aún más este énfasis. Esto también se refleja en el crecimiento del volumen de entrega a domicilio terrestre en EE. UU., impulsado por la expansión del comercio electrónico.","[{'name': 'fdx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q325-10-Q.html'}, {'name': 'fdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q225-10-Q.html'}, {'name': 'fdx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fdx-FY25-10-K.html'}]",5100583,USD,FDX,SMART,STK,True,TL_LAS
transportation and logistics,last_mile_logistics,US0231351067,AMAZON.COM INC,3,"Opera una red de entrega de última milla extensa y tecnológicamente avanzada para cumplir con los pedidos de comercio electrónico, lo que impacta significativamente la eficiencia y los estándares de los servicios de entrega a nivel mundial.","El compromiso de Amazon con la logística de última milla es evidente a través de sus inversiones estratégicas y su enfoque operativo. La empresa está expandiendo los servicios de entrega el mismo día y al día siguiente para llegar a más clientes en Estados Unidos, incluidos aquellos en comunidades más pequeñas, y ha presentado innovaciones en su centro de innovación de última milla, como la clasificación automatizada de paquetes y la tecnología que mejora la ergonomía de los empleados. La importancia de la logística de última milla se destaca aún más por la inclusión de los costos de envío saliente y la operación de centros de clasificación y entrega dentro del costo de las ventas de Amazon.","[{'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}]",3691937,USD,AMZN,SMART,STK,True,TL_LAS
transportation and logistics,last_mile_logistics,US25809K1051,DOORDASH INC - A,4,"Ofrece una plataforma integral para la logística de última milla, facilitando servicios de entrega a pedido para una diversa gama de comerciantes a consumidores, impulsando así la eficiencia y la accesibilidad en áreas urbanas y suburbanas.","El negocio de DoorDash se centra en la logística de última milla, conectando comerciantes y consumidores a través de su red de 'Dashers' que entregan pedidos. El enfoque de la compañía en mejorar la experiencia de entrega es evidente en su asociación con Coco Robotics para robots de acera y entrega autónoma, con el objetivo de resolver el sistema de extremo a extremo para la entrega autónoma. DoorDash opera sus mercados DoorDash y Wolt en más de 30 países, lo que permite a los comerciantes establecer una presencia en línea y cumplir con los pedidos a través de estos contratistas independientes.","[{'name': 'dash-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dash-Q324-10-Q.html'}]",459309417,USD,DASH,SMART,STK,True,TL_LAS
transportation and logistics,last_mile_logistics,US90353T1007,UBER TECHNOLOGIES INC,5,"Opera una extensa plataforma que facilita servicios de entrega de última milla bajo demanda para alimentos, comestibles y otros productos, conectando comerciantes con consumidores.",,,365207014,USD,UBER,SMART,STK,True,TL_LAS
transportation and logistics,last_mile_logistics,US9311421039,WALMART INC,6,"Aprovecha su extensa red de tiendas y capacidades logísticas para brindar servicios eficientes de entrega de última milla para pedidos en línea, mejorando la conveniencia del cliente y la velocidad de cumplimiento.","La participación de Walmart en la logística de última milla es evidente a través de la asignación de capital de la empresa a su cadena de suministro. Específicamente, las ventas de comercio electrónico dentro del segmento Walmart U.S. son notablemente impulsadas por los servicios de recogida y entrega en tienda. De manera similar, el segmento Sam's Club experimenta crecimiento de comercio electrónico a través de la recogida y entrega en el club, lo que pone de relieve el papel de las soluciones eficientes de última milla en el impulso de las ventas.","[{'name': 'wmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q225-10-Q.html'}, {'name': 'wmt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q325-10-Q.html'}]",13824,USD,WMT,SMART,STK,True,TL_LAS
transportation and logistics,last_mile_logistics,US22266T1097,COUPANG INC,7,Gestiona y optimiza activamente los procesos de logística de última milla para garantizar un cumplimiento eficiente y oportuno dentro de su alcance operativo.,"El enfoque de Coupang en la logística de última milla es evidente a través de su creciente servicio de Rocket Delivery, que tiene como objetivo ofrecer a los clientes opciones de entrega el mismo día, al amanecer o al día siguiente. El compromiso de la empresa de mejorar la experiencia de entrega se ve reforzado por Fulfillment and Logistics by Coupang (FLC), que mejora la entrega de productos del mercado y acelera el crecimiento de los vendedores. Coupang Eats también contribuye a este énfasis, esforzándose por ofrecer el servicio de entrega más rápido y confiable del mercado.",,475686899,USD,CPNG,SMART,STK,False,TL_LAS
transportation and logistics,last_mile_logistics,US5653941030,MAPLEBEAR INC,8,Opera un mercado que facilita la entrega de última milla de comestibles y otros bienes esenciales de minoristas locales directamente a los consumidores.,"El negocio de Instacart se centra en la logística de última milla, proporcionando un mercado y una Plataforma Empresarial que incluye servicios de cumplimiento. Cientos de miles de compradores cumplen con los pedidos, asegurando que cada pedido sea entregado. Instacart ofrece opciones de entrega y recogida en varios casos de uso, enfatizando el enfoque de la empresa en el último paso de la entrega al consumidor.","[{'name': 'cart-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cart-FY24-10-K.html'}]",655310909,USD,CART,SMART,STK,True,TL_LAS
transportation and logistics,last_mile_logistics,US9120081099,US FOODS HOLDING CORP,9,"Opera una extensa red de distribución y una gran flota para ofrecer entregas directas y oportunas de productos alimenticios a su diversa base de clientes, lo que subraya su función esencial en la logística de última milla.",,,234662860,USD,USFD,SMART,STK,True,TL_LAS
transportation and logistics,last_mile_logistics,US74982T1034,RXO INC,10,"Se centra en proporcionar soluciones eficientes de entrega de última milla, optimizando la etapa final de la cadena de suministro para diversas industrias.","La participación de RXO en la logística de última milla es significativa, como lo demuestra su posición como el mayor proveedor de transporte externo de última milla para mercancías pesadas en EE. UU., llegando a la gran mayoría de la población estadounidense. Este servicio complementa su negocio de corretaje de camiones y facilita las entregas a los consumidores a través de contratistas externos. El negocio de última milla de RXO ha mostrado un crecimiento sustancial, con un crecimiento constante de dos dígitos en paradas y aumentos significativos de ingresos, impulsado tanto por clientes nuevos como existentes, incluidas marcas conocidas en el sector de artículos grandes y voluminosos.","[{'name': 'rxo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rxo-FY24-10-K.html'}, {'name': 'rxo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rxo-Q225-10-Q.html'}, {'name': 'rxo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rxo-Q324-10-Q.html'}, {'name': 'rxo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rxo-Q125-10-Q.html'}]",592052137,USD,RXO,SMART,STK,True,TL_LAS
