symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
LNG,LNG,energy and utilities,lng_projects,US16411R2085,CHENIERE ENERGY INC,1,"Se enfoca en el desarrollo y operación de terminales de exportación de gas natural licuado (GNL) a gran escala, sustentando el comercio y suministro global de gas natural.","El negocio de Cheniere Energy se centra significativamente en proyectos de GNL, como lo demuestra la operación de sus instalaciones de licuefacción y exportación de gas natural en Sabine Pass y Corpus Christi. La empresa está expandiendo activamente su capacidad a través de proyectos como Corpus Christi Stage 3, CCL Midscale Trains 8 y 9, y el Proyecto de Expansión SPL, con el objetivo de aumentar la capacidad de producción a más de 100 millones de toneladas anuales. Estos proyectos representan una inversión importante y un enfoque estratégico en el aprovechamiento de su plataforma existente para satisfacer la creciente demanda global de GNL, solidificando aún más la posición de la empresa en el mercado de GNL.","[{'name': 'lng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lng-Q225-10-Q.html'}, {'name': 'lng-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lng-Q125-10-Q.html'}, {'name': 'lng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lng-FY24-10-K.html'}]",4728003,USD,SMART,STK
CVX,LNG,energy and utilities,lng_projects,US1667641005,CHEVRON CORP,2,"Un actor global importante en el desarrollo, producción y exportación de proyectos de gas natural licuado (GNL), que contribuye significativamente al suministro energético mundial.","La participación de Chevron en proyectos de GNL es evidente a través de varias actividades clave. La empresa tiene proyectos de GNL en Australia y África Occidental, y está desarrollando activamente el proyecto de gas Aphrodite en Chipre, que suministrará gas a Egipto. Chevron también ha firmado contratos a largo plazo para comprar GNL, aumentando su capacidad de absorción de la Costa del Golfo de EE. UU. y fortaleciendo su cadena de valor global de gas y GNL. Además, los precios de los contratos de GNL a largo plazo de la empresa suelen estar vinculados a los precios del petróleo crudo, con una parte importante de la absorción de GNL de los activos australianos comprometida en virtud de contratos vinculantes a largo plazo.","[{'name': 'cvx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q324-10-Q.html'}, {'name': 'cvx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q125-10-Q.html'}, {'name': 'cvx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q225-10-Q.html'}]",5684,USD,SMART,STK
CQP,LNG,energy and utilities,lng_projects,US16411Q1013,CHENIERE ENERGY PARTNERS LP,3,"Es un importante desarrollador y operador de proyectos de gas natural licuado (GNL), facilitando la producción y exportación mundial de gas natural.","El compromiso de la empresa con los proyectos de GNL es sustancial, principalmente a través de su propiedad y operación de la Terminal de GNL de Sabine Pass, una importante instalación de licuefacción y exportación de GNL con una capacidad de producción de más de 30 millones de toneladas anuales de GNL. Esta terminal incluye cinco tanques de almacenamiento de GNL, vaporizadores y tres atracaderos marinos, lo que subraya aún más su importancia. Además, la empresa está desarrollando activamente el Proyecto de Expansión de SPL, que se espera que añada aproximadamente 20 millones de toneladas anuales de capacidad de producción máxima, lo que demuestra un claro compromiso con la expansión de sus capacidades de GNL. La empresa también ha presentado una solicitud a la FERC para la autorización de construir y operar el Proyecto de Expansión de SPL.","[{'name': 'cqp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cqp-FY24-10-K.html'}, {'name': 'cqp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cqp-Q125-10-Q.html'}, {'name': 'cqp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cqp-Q225-10-Q.html'}]",43502814,USD,SMART,STK
XOM,LNG,energy and utilities,lng_projects,US30231G1022,EXXON MOBIL CORP,4,"Contribuye al desarrollo y expansión de proyectos globales de gas natural licuado (GNL), desempeñando un papel clave en la cadena de suministro desde la producción hasta la entrega.","La participación de ExxonMobil en proyectos de GNL es evidente a través de sus 'Activos Ventajosos', que incluyen GNL. La compañía anticipa la primera producción de GNL del proyecto Golden Pass, con expectativas de entregar el primer gas a finales de este año o principios del próximo. Además, ExxonMobil está asegurando activamente puntos de venta de GNL de proyectos en Papúa y Mozambique, lo que destaca los esfuerzos de la compañía para expandir su cartera de GNL y su alcance en el mercado. La compañía identifica el 'GNL' como un 'Activo Ventajoso', lo que sugiere proyectos e inversiones significativos en esta área.","[{'name': 'xom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q125-10-Q.html'}, {'name': 'xom-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q324-10-Q.html'}, {'name': 'xom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q225-10-Q.html'}]",13977,USD,SMART,STK
SRE,LNG,energy and utilities,lng_projects,US8168511090,SEMPRA,5,"Desarrolla y opera importantes proyectos de exportación de gas natural licuado (GNL), contribuyendo al suministro y la infraestructura energética global.","Sempra Infrastructure exhibe una fuerte conexión con proyectos de GNL a través de su activa participación en diversas etapas de desarrollo y construcción. El compromiso de la empresa se ve subrayado por su progreso en proyectos como ECA LNG Phase 1 y PA LNG Phase 1, junto con el contrato EPC asegurado con Bechtel para el proyecto propuesto PA LNG Phase 2. Además, Sempra Infrastructure está involucrada en múltiples proyectos de GNL, incluyendo Cameron LNG Phase 2, lo que significa un enfoque sustancial y sostenido en la expansión de sus capacidades de GNL.","[{'name': 'sre-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q225-10-Q.html'}, {'name': 'sre-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sre-FY24-10-K.html'}, {'name': 'sre-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q125-10-Q.html'}, {'name': 'sre-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q324-10-Q.html'}]",11020,USD,SMART,STK
GTLS,LNG,energy and utilities,lng_projects,US16115Q3083,CHART INDUSTRIES INC,6,"Contribuye significativamente a los proyectos de GNL al proporcionar equipos y soluciones tecnológicas esenciales en toda la cadena de valor del GNL, desde la licuefacción hasta la regasificación.","Chart Industries está fuertemente involucrada en proyectos de GNL, posicionándose como un proveedor líder de tecnología, equipos y servicios relacionados. Esto se evidencia en el aumento de las ventas en el segmento de Sistemas de Transferencia de Calor impulsado por proyectos de GNL y una cartera sustancial específica de GNL de pedidos potenciales, estimada en $ 1 mil millones dentro del próximo año. La tecnología de proceso IPSMR de Chart también es un componente clave, habiendo sido seleccionada para proyectos importantes como el proyecto ExxonMobil Rovuma LNG y Woodside Louisiana LNG Fase 2, con anticipación para las Fases 3 y 4.","[{'name': 'gtls-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gtls-Q125-10-Q.html'}, {'name': 'gtls-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gtls-Q324-10-Q.html'}, {'name': 'gtls-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gtls-Q225-10-Q.html'}, {'name': 'gtls-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gtls-FY24-10-K.html'}]",40066309,USD,SMART,STK
BKR,LNG,energy and utilities,lng_projects,US05722G1004,BAKER HUGHES CO,7,"Proporciona turbomaquinaria crítica, compresión y otros equipos y servicios avanzados esenciales para el desarrollo y la operación de proyectos globales de gas natural licuado (GNL).","Baker Hughes demuestra un fuerte compromiso con los proyectos de GNL, respaldado por sus perspectivas positivas sobre los mercados globales de gas natural y GNL. La empresa anticipa una continua resiliencia en el GNL y ve fortaleza en la infraestructura de GNL y gas, lo que refuerza su optimismo para la economía a largo plazo de la industria del GNL. Esto se evidencia aún más en pedidos significativos para proyectos de GNL en EE. UU., incluidos acuerdos marco estratégicos con NextDecade y Argent LNG, y el suministro de equipos para trenes de licuefacción. Baker Hughes también registró pedidos sustanciales de equipos de infraestructura de gas, lo que destaca su compromiso de apoyar el desarrollo de gas natural y GNL.","[{'name': 'bkr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q324-10-Q.html'}, {'name': 'bkr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q225-10-Q.html'}, {'name': 'bkr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q125-10-Q.html'}, {'name': 'bkr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bkr-FY24-10-K.html'}]",281316445,USD,SMART,STK
TTE,LNG,energy and utilities,lng_projects,FR0000120271,TOTALENERGIES SE,8,"Impulsa la expansión y el suministro global de gas natural licuado a través de una participación significativa en el desarrollo, la producción y la comercialización de proyectos de GNL.",,,29612193,EUR,SMART,STK
KBR,LNG,energy and utilities,lng_projects,US48242W1062,KBR INC,9,"Proporciona soluciones integrales de ingeniería, adquisición y construcción críticas para el desarrollo y la operación eficiente de proyectos de gas natural licuado (GNL) a nivel mundial.","El compromiso de KBR con los proyectos de GNL es evidente a través de su amplia experiencia y exitosas entregas de proyectos, incluido el proyecto Plaquemines LNG, que está progresando excepcionalmente bien. La participación de la empresa se extiende a nivel mundial, con proyectos de GNL en EE. UU., Indonesia, Omán y Abu Dhabi, lo que demuestra su excelencia en la entrega y disciplina comercial en el mercado del GNL. La participación de KBR en las ganancias también se ve significativamente influenciada por los servicios en proyectos de GNL dentro de su segmento STS, aunque se han observado fluctuaciones en estas ganancias.","[{'name': 'kbr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbr-Q324-10-Q.html'}, {'name': 'kbr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbr-Q125-10-Q.html'}, {'name': 'kbr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kbr-FY24-10-K.html'}, {'name': 'kbr-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbr-Q224-10-Q.html'}]",41552939,USD,SMART,STK
EE,LNG,energy and utilities,lng_projects,US30069T1016,EXCELERATE ENERGY INC-A,10,"Participa en el desarrollo y operación de proyectos de regasificación y licuefacción, contribuyendo a la cadena de suministro global de gas natural licuado.","La participación de Excelerate Energy en Proyectos de GNL es sustancial, ya que la empresa es un proveedor líder de infraestructura energética crítica en la parte posterior de la cadena de valor global del GNL. Posee y opera activos de infraestructura de gas natural licuado y gas natural, funcionando como un punto de recepción en todo el mundo para el GNL, que vuelve a convertir en gas natural a través de la regasificación. La empresa opera una parte importante de la capacidad mundial de regasificación flotante y está ampliando activamente su presencia en terminales de GNL en mercados clave de gas natural, incluida la adquisición de las terminales de GNL de Montego Bay y Old Harbour en Jamaica. Además, Excelerate Energy está construyendo una nueva terminal de regasificación flotante para apoyar la expansión de la flota y satisfacer la creciente necesidad de capacidad de regasificación flotante.","[{'name': 'ee-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ee-Q125-10-Q.html'}, {'name': 'ee-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ee-Q225-10-Q.html'}, {'name': 'ee-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ee-FY24-10-K.html'}]",555711270,USD,SMART,STK
