industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,loyalty_programs,US0258161092,AMERICAN EXPRESS CO,1,"Opera un conjunto de programas de fidelización muy influyente y extenso, incluido Membership Rewards, que son fundamentales para sus ofertas de tarjetas de crédito y generan una importante participación y retención de clientes.","American Express participa activamente en programas de fidelización a través de diversas iniciativas. La empresa diseña y opera programas de fidelización de clientes, incluido el programa Membership Rewards, para recompensar a los clientes habituales y fomentar la lealtad a la marca. Estos programas ofrecen acceso a restaurantes, bodegas, salas VIP de aeropuertos y experiencias exclusivas, con asociaciones como Resy y Tock que mejoran estas ofertas. Además, American Express gestiona negocios de coalición de fidelización, con International Card Services (ICS) desempeñando un papel clave, y explora recompensas innovadoras como la moneda digital a través de asociaciones como la de Coinbase.","[{'name': 'axp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axp-Q324-10-Q.html'}, {'name': 'axp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axp-Q125-10-Q.html'}, {'name': 'axp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/axp-FY24-10-K.html'}, {'name': 'axp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axp-Q225-10-Q.html'}]",4721,USD,AXP,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US5719032022,MARRIOTT INTERNATIONAL -CL A,2,"Opera un programa de fidelización global integral que es central para su estrategia de retención de clientes, fomentando la repetición de negocios y mejorando las experiencias de los huéspedes en su extensa cartera de marcas.","La participación de Marriott en Programas de Fidelización es significativa, impulsada principalmente por el énfasis de la empresa en su programa Marriott Bonvoy. El programa cuenta con una base de miembros sustancial, alcanzando casi 248 millones de miembros, con tasas de penetración de miembros alcanzando niveles récord a nivel mundial y en EE. UU. y Canadá. Esto está respaldado aún más por el lanzamiento de una campaña global de aplicaciones y la mención explícita de 'gastos del Programa de Fidelización', lo que destaca la inversión continua de la empresa en su programa de fidelización.","[{'name': 'mar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q324-10-Q.html'}]",9358,USD,MAR,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US02376R1023,AMERICAN AIRLINES GROUP INC,3,"Opera un programa de fidelización líder que recompensa a los viajeros frecuentes, mejorando la retención de clientes y generando ingresos significativos a través de asociaciones y la participación de los miembros.","American Airlines demuestra una fuerte conexión con los programas de fidelización, principalmente a través de su programa AAdvantage. El programa AAdvantage contribuye significativamente al rendimiento financiero de la compañía, impulsando la demanda de cabinas premium, ya que los miembros de AAdvantage representan una parte sustancial de los ingresos premium. La compañía está trabajando activamente para hacer crecer el programa AAdvantage y mejorar su asociación con Citi, con un aumento interanual de miembros activos de AAdvantage y un aumento del gasto en tarjetas de crédito copatrocinadas.","[{'name': 'aal-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aal-Q225-10-Q.html'}, {'name': 'aal-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aal-Q125-10-Q.html'}, {'name': 'aal-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aal-Q324-10-Q.html'}, {'name': 'aal-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aal-FY24-10-K.html'}]",139673266,USD,AAL,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US62886E1082,NCR VOYIX CORP,4,"Ofrece soluciones que permiten a las empresas implementar y gestionar programas de fidelización, mejorando la participación y retención de clientes a través de plataformas integradas de gestión de transacciones y datos.","La participación de Voyix en Programas de Fidelización es evidente a través de sus soluciones dirigidas por software para clientes minoristas, que incluyen aplicaciones de fidelización y participación del consumidor. La empresa ofrece estas soluciones como parte de una gama más amplia de ofertas, integrándolas con sistemas de punto de venta, pagos y gestión de inventario. Por ejemplo, Voyix firmó un acuerdo de 5 años en el Reino Unido con una cadena de supermercados para proporcionar soluciones de alojamiento y fidelización para sus 1.000 tiendas, junto con sistemas de punto de venta y autopago.","[{'name': 'vyx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vyx-Q225-10-Q.html'}, {'name': 'vyx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vyx-Q125-10-Q.html'}]",2381302,USD,VYX,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US8552441094,STARBUCKS CORP,5,Opera un programa de fidelización digital de gran éxito que impulsa la participación del cliente y la repetición de compras a través de recompensas personalizadas y pedidos móviles.,"Starbucks tiene un enfoque sustancial en programas de lealtad, demostrado por sus casi 34 millones de miembros activos de recompensas y más de 65 millones de seguidores en redes sociales. La compañía planea lanzar innovaciones significativas en su programa Starbucks Rewards a principios de 2026, incorporando la retroalimentación de los clientes e introduciendo nuevas funciones para mejorar la lealtad y el compromiso. Estas innovaciones apuntan a adaptar el programa para reconocer la lealtad en lugar de ofrecer únicamente descuentos, con el objetivo de aumentar el amor por la marca y las transacciones no descontadas.",,274105,USD,SBUX,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US0231351067,AMAZON.COM INC,6,Opera un programa integral de fidelización por suscripción que integra diversos servicios para fomentar la retención de clientes y mejorar la participación en su extenso ecosistema.,,,3691937,USD,AMZN,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US2473617023,DELTA AIR LINES INC.,7,"Opera un importante programa de fidelización que atrae y retiene clientes, contribuyendo sustancialmente a los ingresos y la lealtad a la marca dentro de la industria de las aerolíneas.","Delta Air Lines demuestra una fuerte conexión con los programas de fidelización, particularmente a través de su programa SkyMiles. Este programa impacta significativamente el desempeño financiero de Delta, con ingresos sustanciales derivados de premios de viaje de fidelización y la venta de SkyMiles a socios como American Express. El enfoque de la aerolínea en expandir el programa SkyMiles, incluidas las asociaciones con empresas como Uber y American Express, tiene como objetivo mejorar la participación del cliente y construir lealtad a largo plazo, especialmente entre los segmentos millennial y Gen Z. El crecimiento en los ingresos por fidelización y la participación del cliente subraya la importancia estratégica de los programas de fidelización para el modelo de negocio general de Delta.","[{'name': 'dal-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dal-FY24-10-K.html'}, {'name': 'dal-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dal-Q125-10-Q.html'}, {'name': 'dal-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dal-Q225-10-Q.html'}, {'name': 'dal-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dal-Q324-10-Q.html'}]",44001820,USD,DAL,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US9100471096,UNITED AIRLINES HOLDINGS INC,8,"Opera su extenso programa de fidelización MileagePlus, que es fundamental para la retención de clientes, la participación y la generación de ingresos significativos a través de la monetización de millas.","United Airlines demuestra una fuerte conexión con los programas de fidelización, particularmente a través de su programa MileagePlus, que se considera un ""activo joya de la corona"". El CEO Scott Kirby enfatiza la importancia estratégica de la lealtad a la marca, señalando el éxito de United en ganar clientes leales a la marca y el consiguiente rendimiento financiero resiliente. El enfoque de la compañía en la lealtad es evidente en los ingresos significativos generados por la venta de millas a socios no aéreos, incluido el gasto con tarjetas de crédito con JPMorgan Chase, y el crecimiento constante de los ingresos por fidelización. Este énfasis se ve aún más resaltado por iniciativas como la colaboración Blue Sky con JetBlue, destinada a mejorar los beneficios para los miembros de MileagePlus.","[{'name': 'ual-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ual-Q125-10-Q.html'}, {'name': 'ual-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ual-Q324-10-Q.html'}, {'name': 'ual-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ual-FY24-10-K.html'}, {'name': 'ual-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ual-Q225-10-Q.html'}]",79498203,USD,UAL,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US92826C8394,VISA INC-CLASS A SHARES,9,"Habilita y mejora los programas de fidelización a través de su red de pagos global, facilitando la acumulación y canje de recompensas para los consumidores mediante tarjetas de marca compartida y asociaciones con comercios.",,,49462172,USD,V,SMART,STK,True,LOY
consumer and retail,loyalty_programs,US43300A2033,HILTON WORLDWIDE HOLDINGS IN,10,Gestiona un programa de fidelización global que es fundamental para impulsar la retención de clientes y las reservas repetidas en su extensa cartera de marcas hoteleras.,"La conexión de Hilton con el tema de Programas de Lealtad es evidente a través de su programa insignia Hilton Honors, que cuenta con una base de miembros sustancial y en crecimiento, superando los 226 millones de miembros y demostrando un crecimiento constante año tras año del 16%. Hilton enfatiza la importancia de Hilton Honors para impulsar la cuota de mercado y reducir los costos de distribución, y las tarifas del programa contribuyen a los compromisos con los propietarios y los programas operativos. El éxito y el alcance global de Hilton Honors subrayan su importancia para la estrategia general de Hilton y los esfuerzos de retención de clientes, con una membresía dividida equitativamente entre viajeros de EE. UU. e internacionales.","[{'name': 'hlt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q225-10-Q.html'}, {'name': 'hlt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hlt-FY24-10-K.html'}, {'name': 'hlt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q324-10-Q.html'}, {'name': 'hlt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlt-Q125-10-Q.html'}]",257944570,USD,HLT,SMART,STK,True,LOY
