industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
CR,LUX,EL,consumer and retail,luxury_brand,US5184391044,ESTEE LAUDER COMPANIES-CL A,1,"Se basa en el cultivo y la gestión de una cartera global de marcas de belleza de lujo de alta gama, aprovechando la marca de lujo para diferenciar sus ofertas y atraer a consumidores exigentes.","The Estée Lauder Companies enfatiza su posición como líder en ""belleza de prestigio"", combinando productos y servicios de alta calidad con accesibilidad para el consumidor. Esto es evidente en su enfoque estratégico en el alcance dirigido al consumidor y la diversificación en categorías de productos, geografías y puntos de precio. La empresa aprovecha la analítica del consumidor para mejorar la participación y lealtad de la marca, al mismo tiempo que invierte en publicidad y desarrollo de productos para respaldar el crecimiento de las ventas. Marcas como La Mer, TOM FORD y Estée Lauder se destacan por impulsar el crecimiento en mercados clave como China y Japón, confirmando el atractivo y el impacto de las ofertas de lujo de la empresa.","[{'name': 'el-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/el-Q325-10-Q.html'}, {'name': 'el-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/el-Q225-10-Q.html'}, {'name': 'el-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/el-FY25-10-K.html'}, {'name': 'el-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/el-Q125-10-Q.html'}]",1448477,USD,SMART,STK
CR,LUX,CPRI,consumer and retail,luxury_brand,VGG1890L1076,CAPRI HOLDINGS LTD,2,Un contribuyente líder en el sector de Branding de Lujo.,"Capri Holdings se identifica como un grupo global de moda de lujo, enfatizando que la marca de lujo es central para su identidad y estrategia a través de marcas como Versace, Jimmy Choo y Michael Kors. El compromiso de la empresa con el estilo glamoroso y la artesanía está en el corazón de cada una de sus marcas de lujo, con esfuerzos centrados en construir la deseabilidad de la marca a través de narraciones convincentes y experiencias atractivas para el consumidor. Capri Holdings invierte en mejorar el conocimiento de la marca, la participación del consumidor y las estrategias de precios de lujo para revitalizar sus casas de moda de lujo.","[{'name': 'cpri-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cpri-FY25-10-K.html'}, {'name': 'cpri-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpri-Q225-10-Q.html'}, {'name': 'cpri-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpri-Q126-10-Q.html'}, {'name': 'cpri-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpri-Q325-10-Q.html'}]",347409760,USD,SMART,STK
CR,LUX,RH,consumer and retail,luxury_brand,US74967X1037,RH,3,"Opera como una marca de lujo en el mercado de muebles para el hogar, ofreciendo productos premium y una experiencia de cliente elevada que define el diseño y el estilo de vida de alta gama.","El enfoque de RH en la marca de lujo es evidente a través de su autodenominación constante como una 'marca de estilo de vida de lujo' y sus estrategias de 'Elevación de Marca'. La empresa tiene como objetivo construir un ecosistema de Productos, Lugares, Servicios y Espacios para establecerse como un líder de opinión y creador de tendencias a nivel mundial. Esto se ejemplifica con inversiones en ubicaciones globales icónicas como RH Paris, ubicada en el epicentro de la moda y el lujo, y la integración de marcas de lujo complementarias como Waterworks. La estrategia de la empresa incluye la creación de experiencias inmersivas y una forma de vida elevada, reforzando su compromiso con la marca de lujo.","[{'name': 'rh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rh-Q324-10-Q.html'}, {'name': 'rh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rh-Q125-10-Q.html'}, {'name': 'rh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rh-FY24-10-K.html'}, {'name': 'rh-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rh-Q224-10-Q.html'}]",258821404,USD,SMART,STK
CR,LUX,RL,consumer and retail,luxury_brand,US7512121010,RALPH LAUREN CORP,4,Se centra en el desarrollo y mantenimiento de una cartera de marcas de lujo dentro del mercado de consumo global.,"El negocio de Ralph Lauren está profundamente entrelazado con el tema de la marca de lujo, como lo demuestra su identificación explícita como líder mundial en el diseño, marketing y distribución de productos de estilo de vida de lujo. Esto se demuestra aún más a través de las prioridades estratégicas de la empresa, que incluyen la elevación y energización de su marca de estilo de vida a través de inversiones en moda, patrocinios de celebridades y eventos exclusivos. El compromiso de la empresa con la elevación de la marca es un viaje de varios años centrado en mejorar la calidad del producto, el marketing y las experiencias del cliente, impulsando en última instancia el crecimiento del precio de venta medio por unidad y fortaleciendo el valor de la marca.","[{'name': 'rl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rl-Q325-10-Q.html'}, {'name': 'rl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rl-Q225-10-Q.html'}, {'name': 'rl-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rl-Q126-10-Q.html'}]",92306678,USD,SMART,STK
CR,LUX,MC,consumer and retail,luxury_brand,FR0000121014,LVMH MOET HENNESSY LOUIS VUI,5,"Gestiona una extensa cartera de marcas de lujo icónicas en diversos sectores, estableciendo estándares globales e impulsando la innovación en el mercado de bienes de lujo.",,,29612150,EUR,SMART,STK
CR,LUX,MAR,consumer and retail,luxury_brand,US5719032022,MARRIOTT INTERNATIONAL -CL A,6,"Opera una cartera diversa de marcas de hoteles de lujo que atienden a viajeros de alto nivel, estableciendo y manteniendo identidades de marca premium dentro del mercado global de la hospitalidad.","El compromiso de Marriott con las marcas de lujo es evidente a través de varios aspectos clave de sus operaciones. La compañía está expandiendo activamente su cartera global de lujo, que es significativamente más grande que la de su competidor más cercano. Esta expansión incluye planes para abrir propiedades de lujo adicionales y una importante cartera de proyectos destinados a ofrecer experiencias personalizadas. Además, Marriott continúa fortaleciendo su cartera de lujo, destacando marcas como The Ritz-Carlton y The Ritz-Carlton Yacht Collection, y reconoce el impacto de su negocio de residencias de marca en la percepción de estas marcas de lujo. Los hoteles de lujo de la compañía también están impulsando el crecimiento del RevPAR, lo que demuestra la importancia financiera de este segmento.","[{'name': 'mar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mar-Q324-10-Q.html'}, {'name': 'mar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mar-FY24-10-K.html'}]",9358,USD,SMART,STK
CR,LUX,AXP,consumer and retail,luxury_brand,US0258161092,AMERICAN EXPRESS CO,7,"Desarrolla y comercializa servicios financieros premium y productos de tarjetas exclusivos que se alinean con estilos de vida de lujo, brindando acceso a experiencias y servicios de alta gama para clientes adinerados.","El enfoque de American Express en la marca de lujo es evidente a través de su posición como marca global de pagos y estilo de vida premium, con un liderazgo de larga data en la categoría de tarjetas premium. Esto se ve reforzado por su compromiso de enriquecer las propuestas de valor con beneficios y ofertas que los clientes valoran, y sus inversiones estratégicas en la renovación de productos de tarjetas premium, incluidas las Tarjetas Platinum de Consumidor y Negocios de EE. UU. El éxito de la compañía se ve impulsado además por las innovaciones, la competencia y los cambios generacionales, centrándose en el valor, el acceso, las experiencias y un servicio al cliente superior, que contribuyen al creciente atractivo de los productos premium y al crecimiento de sus carteras de tarjetas premium.","[{'name': 'axp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axp-Q225-10-Q.html'}]",4721,USD,SMART,STK
CR,LUX,TPR,consumer and retail,luxury_brand,US8760301072,TAPESTRY INC,8,Su negocio se centra en el desarrollo y la comercialización de una cartera diversa de marcas de lujo dentro del mercado global de moda y accesorios.,"El enfoque de Tapestry en el branding de lujo es evidente a través de su casa de marcas icónicas, que incluyen Coach, Kate Spade y Stuart Weitzman. El posicionamiento de 'Lujo Expresivo' de Coach resuena con los consumidores, impulsando ganancias en la línea superior y superando a la industria en bolsos y accesorios. La estrategia de la empresa implica combinar la obsesión por el consumidor con una construcción de marca disciplinada y creatividad, así como ofrecer un valor y una artesanía excepcionales en el mercado de lujo. Tapestry une estas marcas con un compromiso con la innovación y la autenticidad, definido por productos distintivos y experiencias de cliente diferenciadas.","[{'name': 'tpr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpr-Q225-10-Q.html'}, {'name': 'tpr-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tpr-FY25-10-K.html'}, {'name': 'tpr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpr-Q125-10-Q.html'}]",292491487,USD,SMART,STK
CR,LUX,IPAR,consumer and retail,luxury_brand,US4583341098,INTERPARFUMS INC,9,"Desarrolla, fabrica y distribuye perfumes de prestigio y cosméticos, aprovechando y mejorando la marca de lujo dentro de la industria de la fragancia.","El compromiso de Interparfums con el tema de Lujo y Marca se evidencia en su negocio principal de fabricación, comercialización y distribución de fragancias de prestigio. La cartera de la empresa incluye una gama de marcas de lujo, como Boucheron, Coach, Jimmy Choo, Montblanc y Van Cleef & Arpels, con una parte significativa de las ventas originada en los mercados europeos. Interparfums refina estratégicamente su cartera de marcas para mejorar su posición en las categorías de prestigio y lujo, priorizando marcas con productos que se venden a precios más altos e introduciendo nuevas colecciones dirigidas al segmento de lujo superior. Este enfoque se demuestra aún más con el lanzamiento de colecciones de fragancias exclusivas, la apertura de boutiques insignia y los acuerdos de licencia con marcas de lujo establecidas como Longchamp, lo que indica un compromiso para solidificar su presencia en el mercado de fragancias de lujo.","[{'name': 'ipar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipar-Q324-10-Q.html'}, {'name': 'ipar-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipar-Q125-10-Q.html'}, {'name': 'ipar-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ipar-FY23-10-K.html'}, {'name': 'ipar-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipar-Q225-10-Q.html'}]",6857699,USD,SMART,STK
CR,LUX,CFR,consumer and retail,luxury_brand,CH0210483332,CIE FINANCIERE RICHEMO-A REG,10,"Gestiona una colección de marcas de lujo reconocidas a nivel mundial en diversos segmentos, impulsando la innovación y manteniendo altos estándares en el mercado de lujo.",,,134773421,CHF,SMART,STK
