symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
AMAT,IN,MAN,industrial,manufacturing_of_electronic_products,US0382221051,APPLIED MATERIALS INC,1,"Proporciona equipos, servicios y software cruciales que permiten la fabricación de semiconductores y pantallas avanzadas, formando la base para la fabricación de productos electrónicos modernos.","El compromiso de Applied Materials con el tema Fabricación de Electrónica es evidente a través de la provisión de equipos de fabricación, servicios y software para las industrias de semiconductores, pantallas y relacionadas. Su base de clientes incluye fabricantes de obleas y chips semiconductores, pantallas de cristal líquido y diodos orgánicos emisores de luz (OLED), y otros dispositivos electrónicos. El segmento de Sistemas de Semiconductores contribuye significativamente a los ingresos de la empresa, subrayando la importancia estratégica de la fabricación de electrónica para su negocio principal.","[{'name': 'amat-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q324-10-Q.html'}, {'name': 'amat-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q125-10-Q.html'}]",266093,USD,SMART,STK
005930,IN,MAN,industrial,manufacturing_of_electronic_products,KR7005930003,SAMSUNG ELECTRONICS CO LTD,2,"Sirve como líder global en la fabricación a gran escala de diversos componentes electrónicos y productos terminados, aprovechando capacidades de producción avanzadas y extensas redes de cadena de suministro.",,,17382528,KRW,KSE,STK
NVDA,IN,MAN,industrial,manufacturing_of_electronic_products,US67066G1040,NVIDIA CORP,3,Proporciona diseños de semiconductores fundamentales y tecnologías avanzadas que son integrales para los procesos de producción y componentes de una amplia gama de productos electrónicos.,,,4815747,USD,SMART,STK
JBL,IN,MAN,industrial,manufacturing_of_electronic_products,US4663131039,JABIL INC,4,"Proporciona soluciones y servicios de fabricación integrales en varias categorías de productos electrónicos, apoyando a diversas industrias.","El compromiso de Jabil con el tema de la Fabricación de Electrónica es evidente a través de su posición como proveedor líder de servicios y soluciones de fabricación a nivel mundial. La compañía proporciona servicios integrales de diseño, producción y gestión de productos electrónicos a empresas de diversas industrias y mercados finales. Jabil obtiene prácticamente todos sus ingresos de servicios de fabricación, que abarcan la producción de componentes tangibles construidos según las especificaciones del cliente.","[{'name': 'jbl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jbl-Q225-10-Q.html'}, {'name': 'jbl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jbl-Q125-10-Q.html'}, {'name': 'jbl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jbl-Q325-10-Q.html'}, {'name': 'jbl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jbl-FY24-10-K.html'}]",4457282,USD,SMART,STK
2317,IN,MAN,industrial,manufacturing_of_electronic_products,TW0002317005,HON HAI PRECISION INDUSTRY,5,"Sirve como líder mundial en servicios de fabricación de productos electrónicos, produciendo una amplia gama de dispositivos y componentes electrónicos para destacadas marcas internacionales.",,,37928714,TWD,TWSE,STK
FLEX,IN,MAN,industrial,manufacturing_of_electronic_products,SG9999000020,FLEX LTD,6,"Se especializa en proporcionar servicios y soluciones integrales de fabricación de productos electrónicos en diversas industrias, desde el diseño hasta la producción y la logística.","Flex se identifica como un socio de fabricación avanzado de extremo a extremo, que ofrece un conjunto integral de servicios que incluyen diseño e ingeniería, gestión de la cadena de suministro, fabricación y soporte postventa. La empresa apoya el ciclo de vida completo de los productos de los clientes a través de una red de aproximadamente 100 instalaciones, diseñando, construyendo, enviando y prestando servicios a productos de consumo y empresariales. Flex proporciona soluciones de fabricación a diversas industrias y mercados finales, destacando el enfoque de la empresa en ofrecer innovación tecnológica y soluciones de fabricación.","[{'name': 'flex-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flex-Q225-10-Q.html'}, {'name': 'flex-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flex-Q325-10-Q.html'}, {'name': 'flex-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flex-Q126-10-Q.html'}]",4596077,USD,SMART,STK
TER,IN,MAN,industrial,manufacturing_of_electronic_products,US8807701029,TERADYNE INC,7,"Ofrece soluciones esenciales de pruebas automatizadas y robótica industrial que son fundamentales para la producción, calidad y eficiencia de los procesos de fabricación de productos electrónicos.","La participación de Teradyne en el tema de Fabricación Electrónica es evidente a través de su papel como proveedor, diseñador, desarrollador y fabricante mundial de equipos de prueba automatizados y soluciones de robótica. Los sistemas de prueba automática de la empresa se utilizan para probar sistemas electrónicos complejos en diversas industrias, incluidas la electrónica de consumo, inalámbrica, automotriz y de comunicaciones. Además, las ofertas de productos de robótica de Teradyne, como brazos robóticos colaborativos y robots móviles autónomos, son utilizadas por clientes de fabricación, logística e industriales a nivel mundial para mejorar la eficiencia y reducir los costos, solidificando su participación en el panorama de la fabricación electrónica.","[{'name': 'ter-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ter-Q225-10-Q.html'}, {'name': 'ter-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ter-Q324-10-Q.html'}]",12729,USD,SMART,STK
INTC,IN,MAN,industrial,manufacturing_of_electronic_products,US4581401001,INTEL CORP,8,"Fabrica componentes semiconductores esenciales, incluidos microprocesadores y chipsets, que son fundamentales para una amplia gama de dispositivos y sistemas electrónicos a nivel mundial.",,,270639,USD,SMART,STK
KLAC,IN,MAN,industrial,manufacturing_of_electronic_products,US4824801009,KLA CORP,9,"Proporciona soluciones de control de procesos y gestión de rendimiento que son críticas para la fabricación de semiconductores, permitiendo la producción de componentes electrónicos de alta calidad e impulsando avances en la industria.","KLA está profundamente involucrada en la industria de la fabricación de productos electrónicos, principalmente a través de su provisión de soluciones y servicios de control de procesos y gestión de rendimiento para la fabricación de semiconductores. Estas soluciones son esenciales dada la creciente demanda de semiconductores en productos de consumo e industriales, así como la creciente complejidad de los dispositivos semiconductores avanzados. KLA también ofrece soluciones tecnológicas para diversas necesidades de fabricación, incluidos circuitos impresos, pantallas planas, dispositivos semiconductores especiales y otros componentes electrónicos.","[{'name': 'klac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q125-10-Q.html'}, {'name': 'klac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q225-10-Q.html'}]",270957,USD,SMART,STK
QCOM,IN,MAN,industrial,manufacturing_of_electronic_products,US7475251036,QUALCOMM INC,10,"Desarrolla y suministra tecnologías y componentes semiconductores fundamentales que son esenciales para la producción y funcionalidad de una amplia gama de dispositivos electrónicos, desempeñando así un papel fundamental en la industria de fabricación de productos electrónicos.",,,273544,USD,SMART,STK
LRCX,IN,MAN,industrial,manufacturing_of_electronic_products,US5128073062,LAM RESEARCH CORP,11,"Proporciona equipos avanzados de fabricación de semiconductores críticos para la producción de circuitos integrados, habilitando así la industria de Fabricación de Electrónica en general.",,,732440574,USD,SMART,STK
TXN,IN,MAN,industrial,manufacturing_of_electronic_products,US8825081040,TEXAS INSTRUMENTS INC,12,Fabrica una amplia gama de semiconductores analógicos y de procesamiento embebido que son componentes esenciales para diversos dispositivos y sistemas electrónicos en numerosas industrias.,,,13096,USD,SMART,STK
MKSI,IN,MAN,industrial,manufacturing_of_electronic_products,US55306N1046,MKS INC,13,"Proporciona instrumentación, sistemas y componentes críticos esenciales para medir, monitorear y controlar procesos avanzados dentro de la industria de fabricación de productos electrónicos.","MKS Instruments está profundamente involucrada en el tema de la fabricación de productos electrónicos, proporcionando soluciones tecnológicas fundamentales a través de su División de Soluciones de Vacío (VSD) y su División de Soluciones de Materiales (MSD). Los productos y tecnologías de la empresa, incluido el equipo de perforación de PCB flexible y el equipo de química, permiten la fabricación de dispositivos electrónicos cada vez más complejos, especialmente placas multicapa avanzadas e interconexiones de alta densidad relacionadas con aplicaciones de IA. MKS Instruments está experimentando un fuerte impulso de pedidos de química y equipos utilizados en estas aplicaciones avanzadas y es un proveedor de soluciones fundamentales para el mercado de electrónica y empaquetado.","[{'name': 'mksi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q125-10-Q.html'}, {'name': 'mksi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q225-10-Q.html'}, {'name': 'mksi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q324-10-Q.html'}, {'name': 'mksi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mksi-FY24-10-K.html'}]",4814955,USD,SMART,STK
SNPS,IN,MAN,industrial,manufacturing_of_electronic_products,US8716071076,SYNOPSYS INC,14,"Proporciona software de automatización de diseño electrónico (EDA) y propiedad intelectual (IP) que son esenciales para el diseño, verificación y fabricación de semiconductores, que son componentes fundamentales en la electrónica.",,,274499,USD,SMART,STK
AVGO,IN,MAN,industrial,manufacturing_of_electronic_products,US11135F1012,BROADCOM INC,15,"Proporciona una cartera diversa de soluciones de semiconductores que son fundamentales para el diseño, la producción y la funcionalidad de los dispositivos electrónicos en diversas industrias.",,,313130367,USD,SMART,STK
ADI,IN,MAN,industrial,manufacturing_of_electronic_products,US0326541051,ANALOG DEVICES INC,16,"Proporciona circuitos integrados críticos de procesamiento de señales analógicas, de señal mixta y digitales que son componentes fundamentales en la fabricación de una amplia gama de dispositivos y sistemas electrónicos.",,,4157,USD,SMART,STK
KEYS,IN,MAN,industrial,manufacturing_of_electronic_products,US49338L1035,KEYSIGHT TECHNOLOGIES IN,17,"Apoya a la industria de fabricación de productos electrónicos al proporcionar soluciones integrales de prueba, medición y validación cruciales para el desarrollo y la producción de componentes y sistemas electrónicos.",,,170167160,USD,SMART,STK
MCHP,IN,MAN,industrial,manufacturing_of_electronic_products,US5950171042,MICROCHIP TECHNOLOGY INC,18,"Desarrolla y suministra una amplia cartera de microcontroladores, semiconductores analógicos y de señal mixta que son componentes fundamentales en la fabricación de una amplia gama de productos electrónicos.","Microchip Technology participa en el diseño, desarrollo, fabricación y venta de productos semiconductores, con operaciones de fabricación que abarcan la fabricación de obleas, la prueba de obleas, el ensamblaje y las pruebas. Una parte sustancial de los recursos de fabricación es propiedad de la empresa como un componente importante de su estrategia comercial, lo que permite un alto nivel de control de fabricación. Además, Microchip Technology anunció su intención de expandir la capacidad de producción en los EE. UU., incluidos planes de expansión multianuales en Fab 4 en Oregón y Fab 5 en Colorado, para aumentar la capacidad de producción de SiC y silicio, incluida la producción de obleas de 8 pulgadas.","[{'name': 'mchp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mchp-Q225-10-Q.html'}]",271568,USD,SMART,STK
