type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
professional services,marketing_services,US6819191064,OMNICOM GROUP,1,Es un líder mundial en la prestación de una amplia gama de servicios de marketing a clientes de diversas industrias.,"El negocio principal de Omnicom gira en torno a la provisión de soluciones creativas de marketing y ventas inspiradas en datos a una amplia gama de clientes. El compromiso de la empresa con los servicios de marketing es evidente a través de su amplia gama de ofertas, que incluyen Medios y Publicidad, Marketing de Precisión, Relaciones Públicas, Salud, Marca y Comercio Minorista, Experiencial y Ejecución y Soporte. Esto se ve reforzado aún más por la reorganización de sus activos de datos y tecnología en una plataforma de extremo a extremo diseñada para respaldar las ambiciones de marketing y comerciales de los clientes. La empresa monitorea los ingresos en una amplia gama de disciplinas y los agrupa en las siguientes categorías: Medios y Publicidad, Marketing de Precisión, Relaciones Públicas, Salud, Marca y Comercio Minorista, Experiencial y Ejecución y Soporte.","[{'name': 'omc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/omc-Q125-10-Q.html'}, {'name': 'omc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/omc-FY24-10-K.html'}, {'name': 'omc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/omc-Q324-10-Q.html'}]",10811,USD,OMC,SMART,STK,True,PS_MAR
professional services,marketing_services,US00724F1012,ADOBE INC,2,"Proporciona plataformas integrales de marketing digital y gestión de la experiencia del cliente que permiten a las empresas crear, gestionar y optimizar contenido y campañas de marketing en diversos canales.","La participación de Adobe en los servicios de marketing es evidente a través de su segmento de Experiencia Digital, que proporciona una plataforma integrada para que las empresas gestionen y optimicen las experiencias de los clientes. El enfoque de la empresa en combinar creatividad y marketing se destaca por sus ofertas como Adobe GenStudio, que reúne flujo de trabajo, creación, gestión de activos e informes para permitir la automatización del marketing con IA. El segmento de Experiencia Digital de Adobe atiende a profesionales del marketing, ofreciendo soluciones para ofrecer datos accionables, optimizar la entrega de contenido y gestionar los recorridos de los clientes, con productos como Adobe Analytics, Adobe Experience Manager y Adobe Marketo Engage.","[{'name': 'adbe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q225-10-Q.html'}, {'name': 'adbe-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q125-10-Q.html'}, {'name': 'adbe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adbe-FY24-10-K.html'}]",265768,USD,ADBE,SMART,STK,True,PS_MAR
professional services,marketing_services,US4606901001,INTERPUBLIC GROUP OF COS INC,3,"Proporciona un conjunto integral e integrado de servicios de marketing a nivel mundial, que abarcan publicidad, relaciones públicas y soluciones digitales para sus clientes.","El negocio principal de IPG gira en torno a la prestación de servicios de marketing, comunicaciones y transformación empresarial, que impulsan el crecimiento de empresas y marcas. Las empresas de la compañía se especializan en diversos aspectos del marketing, incluyendo insights, datos, medios, creatividad y producción, comercio digital, y marketing y comunicaciones de atención médica, ofreciendo servicios globales integrales para ayudar a los especialistas en marketing a construir marcas y aumentar las ventas. IPG aprovecha plataformas impulsadas por la tecnología y la centralización funcional para mejorar las capacidades de cara al cliente, como la producción y el análisis. Además, la selección de IPG por parte de PepsiCo como su socio global de datos y análisis para comunicaciones, junto con la introducción de la nueva oferta First Answer que aprovecha los medios ganados y los resultados de búsqueda de IA, resalta la importancia de IPG en el dominio de los servicios de marketing.","[{'name': 'ipg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipg-Q324-10-Q.html'}, {'name': 'ipg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ipg-FY24-10-K.html'}, {'name': 'ipg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipg-Q125-10-Q.html'}, {'name': 'ipg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipg-Q225-10-Q.html'}]",8514,USD,IPG,VALUE,STK,True,PS_MAR
professional services,marketing_services,US79466L3024,SALESFORCE INC,4,"Proporciona plataformas y herramientas basadas en la nube que permiten a las empresas gestionar y automatizar campañas de marketing, personalizar recorridos de clientes y analizar la participación en diversos canales.",,,29624264,USD,CRM,SMART,STK,True,PS_MAR
professional services,marketing_services,US02079K3059,ALPHABET INC-CL A,5,"Proporciona amplias plataformas de publicidad digital, soluciones de marketing en motores de búsqueda y herramientas de análisis que son fundamentales para la industria de servicios de marketing a nivel mundial.",,,208813719,USD,GOOGL,SMART,STK,True,PS_MAR
professional services,marketing_services,IE00B4BNMY34,ACCENTURE PLC-CL A,6,"Proporciona servicios integrales de marketing y asesoramiento estratégico, permitiendo a los clientes mejorar su presencia de marca y la interacción con los clientes.","La participación de Accenture en servicios de marketing se demuestra a través de adquisiciones estratégicas destinadas a mejorar sus capacidades. La compañía adquirió MomentumABM en el Reino Unido y Superdigital en los EE. UU. para fortalecer su posición en marketing B2B, social e de influencers. Estas adquisiciones reflejan la inversión y dedicación de Accenture para expandir su oferta de servicios de marketing.",,67889930,USD,ACN,SMART,STK,True,PS_MAR
professional services,marketing_services,US30303M1027,META PLATFORMS INC-CLASS A,7,"Opera plataformas líderes de redes sociales que permiten a las empresas anunciarse y llegar a audiencias objetivo, contribuyendo significativamente al ecosistema de servicios de marketing digital.",,,107113386,USD,META,SMART,STK,True,PS_MAR
professional services,marketing_services,US0231351067,AMAZON.COM INC,8,"Proporciona amplias soluciones publicitarias para marcas y vendedores, aprovechando su vasta plataforma de comercio electrónico y datos de clientes para permitir campañas de marketing dirigidas e impulsar las ventas.","La participación de Amazon en servicios de marketing es evidente a través de varios aspectos de sus operaciones. La empresa incurre en costos de ventas y marketing, que incluyen gastos de publicidad y nómina para el personal dedicado a estas actividades, incluidas las comisiones de ventas relacionadas con AWS. Amazon utiliza varios canales de marketing como búsqueda patrocinada, referencias de clientes de terceros, publicidad en redes sociales y en línea, y publicidad televisiva para dirigir a los clientes a sus tiendas. Además, los servicios de publicidad contribuyen al crecimiento de las ventas, particularmente en los segmentos de América del Norte e Internacional, como se refleja en el aumento de las ventas unitarias.","[{'name': 'amzn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amzn-FY24-10-K.html'}, {'name': 'amzn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q225-10-Q.html'}, {'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}]",3691937,USD,AMZN,SMART,STK,True,PS_MAR
professional services,marketing_services,JE00B8KF9B49,WPP PLC,9,"Ofrece una suite integral de servicios de marketing y comunicación a nivel mundial, que abarca publicidad, relaciones públicas, planificación de medios y transformación digital para una diversa base de clientes.",,,119773886,GBP,WPP,SMART,STK,False,PS_MAR
professional services,marketing_services,US5949181045,MICROSOFT CORP,10,"Ofrece plataformas y herramientas integrales que permiten a las empresas gestionar campañas publicitarias, relaciones con los clientes y estrategias de marketing basadas en datos.","La participación de Microsoft en Servicios de Marketing es evidente a través de múltiples fuentes de ingresos. Los ingresos por publicidad en búsquedas y noticias experimentaron un aumento notable, y el crecimiento de los ingresos de LinkedIn fue impulsado en parte por sus Soluciones de Marketing. Específicamente, LinkedIn experimentó aumentos de ingresos, con Soluciones de Marketing contribuyendo junto con otras líneas de negocio como Soluciones de Talento, Suscripciones Premium y Soluciones de Ventas.","[{'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True,PS_MAR
