symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
GEHC,ME3,health,medical_imaging_ai,US36266G1076,GE HEALTHCARE TECHNOLOGY,1,Es pionera en la aplicación de inteligencia artificial para mejorar las capacidades de diagnóstico y la eficiencia operativa en imágenes médicas en diversos entornos sanitarios.,,601776309,USD,SMART,STK,
SHL,ME3,health,medical_imaging_ai,DE000SHL1006,SIEMENS HEALTHINEERS AG,2,"Impulsa la innovación en imágenes médicas integrando inteligencia artificial en sus soluciones, mejorando las capacidades de diagnóstico, la eficiencia operativa y los flujos de trabajo de atención al paciente.",,310520441,EUR,SMART,STK,
PHIA,ME3,health,medical_imaging_ai,NL0000009538,KONINKLIJKE PHILIPS NV,3,"Desarrolla e integra inteligencia artificial en sus soluciones de imagen médica, mejorando las capacidades de diagnóstico y optimizando los flujos de trabajo de atención al paciente.",,29622921,EUR,SMART,STK,
MSFT,ME3,health,medical_imaging_ai,US5949181045,MICROSOFT CORP,4,"Proporciona infraestructura en la nube y servicios de inteligencia artificial que apoyan el desarrollo, la implementación y el avance de soluciones de IA para imágenes médicas para proveedores de atención médica e investigadores.",,272093,USD,SMART,STK,
RDNT,ME3,health,medical_imaging_ai,US7504911022,RADNET INC,5,"Es un contribuyente líder al tema de IA de Imágenes Médicas, lo que refleja su posición significativa en el sector.","RadNet está significativamente involucrada en IA de Imagen Médica, como lo demuestra su segmento de Salud Digital, que se enfoca en soluciones de informática de salud impulsadas por IA. La empresa está desarrollando activamente soluciones de IA utilizando aprendizaje automático para ayudar a los radiólogos en la interpretación de imágenes y mejorar la eficiencia, apuntando inicialmente a la detección de cáncer de mama, próstata, pulmón y colon. El compromiso de RadNet se evidencia aún más en sus adquisiciones de iCAD, líder en soluciones de salud mamaria impulsadas por IA, y See-Mode Technologies, un innovador en IA para imágenes de ultrasonido, así como en el despliegue de soluciones de IA como el programa de detección mamaria EBCD impulsado por IA y TechLive para escaneo remoto.",41888859,USD,SMART,STK,"[{'name': 'rdnt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rdnt-Q324-10-Q.html'}, {'name': 'rdnt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rdnt-FY24-10-K.html'}]"
HTFL,ME3,health,medical_imaging_ai,US42238D1072,HEARTFLOW INC,6,"Desarrolla soluciones de diagnóstico impulsadas por IA para enfermedades cardiovasculares, aprovechando imágenes médicas para proporcionar evaluaciones no invasivas y mejorar la planificación del tratamiento.","El enfoque de la empresa en la IA para imágenes médicas es evidente en su uso pionero de software e IA para ofrecer soluciones no invasivas para diagnosticar y controlar la enfermedad de las arterias coronarias. La plataforma Heartflow aprovecha la IA y la dinámica de fluidos computacional avanzada para crear modelos 3D personalizados del corazón de un paciente a partir de escaneos CCTA. Esta plataforma, una oferta central, es fundamental para las operaciones de la empresa, con un equipo dedicado de científicos de investigación de doctorado e ingenieros de software especializados en algoritmos basados en IA, imágenes médicas y visualización 3D.",805357791,USD,SMART,STK,"[{'name': 'htfl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/htfl-Q225-10-Q.html'}]"
4901,ME3,health,medical_imaging_ai,JP3814000000,FUJIFILM HOLDINGS CORP,7,"Desarrolla e integra capacidades de inteligencia artificial en sus soluciones de imágenes médicas, lo que contribuye a mejorar la precisión y la eficiencia diagnóstica en la atención médica.",,13905493,JPY,SMART,STK,
7751,ME3,health,medical_imaging_ai,JP3242800005,CANON INC,8,Contribuye al sector de IA de imágenes médicas a través del desarrollo de tecnologías avanzadas para el análisis de imágenes médicas.,,13905840,JPY,SMART,STK,
AMZN,ME3,health,medical_imaging_ai,US0231351067,AMAZON.COM INC,9,"Proporciona infraestructura de computación en la nube y servicios de inteligencia artificial/aprendizaje automático, lo que permite a las organizaciones de atención médica desarrollar e implementar soluciones para el análisis de imágenes médicas y el diagnóstico.",,3691937,USD,SMART,STK,
HOLX,ME3,health,medical_imaging_ai,US4364401012,HOLOGIC INC,10,Aprovecha la inteligencia artificial en sus plataformas de imágenes médicas para mejorar la precisión y eficiencia del diagnóstico.,"La participación de Hologic en la IA de imágenes médicas es evidente a través de su segmento de Salud Mamaria, que ofrece una gama de soluciones que incluyen sistemas de mamografía digital 3D y software de análisis de imágenes que utiliza inteligencia artificial, a veces denominado Genius AI. Sus plataformas avanzadas de imagen mamaria, como los sistemas Selenia 3D Dimensions y 3Dimensions, emplean tomosíntesis para producir imágenes mamarias 3D detalladas. El enfoque de la empresa en el análisis de imágenes impulsado por IA para la salud mamaria significa un compromiso para mejorar la precisión, la eficiencia y la interpretación de las imágenes médicas dentro de esta área crítica.",270188,USD,SMART,STK,"[{'name': 'holx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/holx-Q125-10-Q.html'}, {'name': 'holx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/holx-Q225-10-Q.html'}, {'name': 'holx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/holx-FY24-10-K.html'}]"
