symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
AZN,HE,ME1,health,medical_innovation,GB0009895292,ASTRAZENECA PLC,1,"Pioneros en investigación y desarrollo de vanguardia para descubrir y ofrecer medicamentos transformadores, avanzando significativamente la atención al paciente y la ciencia médica a nivel mundial.",,909330,GBP,SMART,STK,
ABT,HE,ME1,health,medical_innovation,US0028241000,ABBOTT LABORATORIES .,2,"Impulsa avances en la atención médica a través del desarrollo de dispositivos médicos innovadores, diagnósticos, productos nutricionales y productos farmacéuticos establecidos, contribuyendo significativamente a la atención al paciente y a los resultados de salud a nivel mundial.",,4065,USD,SMART,STK,
JNJ,HE,ME1,health,medical_innovation,US4781601046,JOHNSON & JOHNSON,3,"Pioneros y avances en la innovación médica a través de la investigación y el desarrollo continuos de nuevas tecnologías sanitarias, productos farmacéuticos y dispositivos médicos.",,8719,USD,SMART,STK,
GSK,HE,ME1,health,medical_innovation,GB00BN7SWP63,GSK PLC,4,"Impulsa la innovación médica a través de la investigación, el desarrollo y la comercialización de nuevos medicamentos y vacunas para abordar los desafíos de salud global.",,574757089,GBP,SMART,STK,
MRK,HE,ME1,health,medical_innovation,US58933Y1055,MERCK & CO INC,5,"Impulsa avances en la innovación médica a través de una extensa investigación y desarrollo, entregando terapias y vacunas novedosas para abordar las necesidades de salud globales.",,70101545,USD,SMART,STK,
ROG,HE,ME1,health,medical_innovation,CH0012032048,ROCHE HOLDING AG-GENUSSCHEIN,6,"Participa en una extensa investigación y desarrollo para descubrir, desarrollar y comercializar medicamentos innovadores y soluciones de diagnóstico, avanzando significativamente la atención al paciente.",,228954,CHF,SMART,STK,
LLY,HE,ME1,health,medical_innovation,US5324571083,ELI LILLY & CO,7,"Desarrolla y comercializa productos farmacéuticos innovadores, impulsando avances en la ciencia médica y abordando necesidades médicas no cubiertas en diversas áreas terapéuticas.",,9160,USD,SMART,STK,
SYK,HE,ME1,health,medical_innovation,US8636671013,STRYKER CORP,8,"Desarrolla y comercializa tecnologías médicas avanzadas, instrumentos quirúrgicos e implantes ortopédicos, innovando continuamente para mejorar los resultados de los pacientes y la prestación de atención médica.","El compromiso de Stryker con la innovación médica es evidente a través de su enfoque en avances internos y actividades estratégicas de M&A. La empresa introduce constantemente productos de próxima generación en sus diversos segmentos de negocio, ejemplificado por el sistema LIFEPAK 35 y el sistema de placas Pangea, con LIFEPAK 35 obteniendo recientemente la aprobación europea. Además, Stryker está expandiendo activamente las aplicaciones de sus sistemas robóticos Mako y lanzando nuevas aplicaciones como cadera de revisión, Mako Spine y hombro, demostrando un impulso continuo para innovar y crear valor en el espacio de los dispositivos médicos.",4430948,USD,SMART,STK,
PFE,HE,ME1,health,medical_innovation,US7170811035,PFIZER INC,9,"Desarrolla y comercializa medicamentos y vacunas innovadores, avanzando en las opciones de tratamiento y abordando necesidades médicas no cubiertas a nivel mundial.",,11031,USD,SMART,STK,
ABBV,HE,ME1,health,medical_innovation,US00287Y1091,ABBVIE INC,10,"Se enfoca en el descubrimiento, desarrollo y comercialización de terapias innovadoras en diversas áreas de enfermedades, avanzando la ciencia médica y la atención al paciente.",,118089500,USD,SMART,STK,
DHR,HE,ME1,health,medical_innovation,US2358511028,DANAHER CORP,11,"Proporciona herramientas, consumibles y servicios críticos en ciencias de la vida y diagnóstico, lo que permite la investigación científica, el descubrimiento de fármacos y diagnósticos médicos avanzados que impulsan la innovación en la atención médica.",,6442,USD,SMART,STK,
BMY,HE,ME1,health,medical_innovation,US1101221083,BRISTOL-MYERS SQUIBB CO,12,"Impulsa la innovación médica a través del descubrimiento, desarrollo y comercialización de terapias novedosas dirigidas a transformar la atención al paciente y abordar necesidades médicas críticas no satisfechas.",,5111,USD,SMART,STK,
MRNA,HE,ME1,health,medical_innovation,US60770K1079,MODERNA INC,13,"Es pionera en la tecnología de ARN mensajero (ARNm) para desarrollar vacunas y terapias novedosas, avanzando fundamentalmente en el campo de la medicina y abordando necesidades médicas no cubiertas.","El compromiso de Moderna con la Innovación Médica es evidente en sus continuos avances en la tecnología de ARNm, que son centrales para su negocio principal. Esto se demuestra a través del desarrollo y la aprobación de productos innovadores como mNEXSPIKE y mRESVIA, así como el progreso en vacunas combinadas contra la gripe y el COVID, y los avances en programas de oncología y enfermedades raras. El compromiso de la empresa se extiende a la protección de su tecnología de ARNm a través de la aplicación de patentes y el aprovechamiento de la IA para mejorar las capacidades de investigación y optimizar las operaciones, todo ello con el objetivo de lograr hasta 10 aprobaciones de productos para impulsar el crecimiento de las ventas.",344809106,USD,SMART,STK,
MDT,HE,ME1,health,medical_innovation,IE00BTN1Y115,MEDTRONIC PLC,14,"Desarrolla y comercializa una amplia cartera de tecnologías y terapias médicas innovadoras, promoviendo soluciones sanitarias en diversos estados de enfermedad.",,181387075,USD,SMART,STK,
AMGN,HE,ME1,health,medical_innovation,US0311621009,AMGEN INC,15,"Impulsa la innovación médica a través del descubrimiento, desarrollo y entrega de nuevas terapias humanas.",,266145,USD,SMART,STK,
GILD,HE,ME1,health,medical_innovation,US3755581036,GILEAD SCIENCES INC,16,"Desarrolla y comercializa medicamentos innovadores para necesidades médicas no cubiertas, contribuyendo a los avances en el tratamiento de enfermedades y la atención al paciente.","El compromiso de Gilead con la innovación médica es evidente en su cartera de 54 programas clínicos en curso destinados a desarrollar medicamentos transformadores y avanzar en los servicios de atención médica. Este compromiso se demuestra aún más a través del desarrollo de terapias como terapias celulares, Trodelvy y lenacapavir. El enfoque de la empresa se extiende al tratamiento y la prevención del VIH, ejemplificado por Biktarvy, el estándar de atención para el tratamiento del VIH, y el desarrollo continuo de lenacapavir.",269753,USD,SMART,STK,
