symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TDOC,MEN,health,mental_health_services,US87918A1051,TELADOC HEALTH INC,1,"Proporciona amplias soluciones de atención virtual diseñadas específicamente para la salud mental, ofreciendo acceso a servicios de terapia y psiquiatría a una amplia población.","El compromiso de Teladoc con el tema de los servicios de salud mental es evidente a través de sus diversas iniciativas y servicios dedicados. La empresa ofrece atención virtual, incluidos servicios de salud mental, y el segmento BetterHelp ofrece terapia virtual a particulares y empleadores. Teladoc también ha lanzado Wellbound, un programa de asistencia al empleado que brinda apoyo para la salud mental y el bienestar, incluidos servicios de terapia en línea a través de BetterHelp. Para solidificar aún más su compromiso, Teladoc adquirió UpLift, una empresa virtual de salud mental, para mejorar las capacidades de BetterHelp, particularmente en la provisión de acceso a beneficios cubiertos, y para servir a una población más amplia que busca atención de salud mental.","[{'name': 'tdoc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tdoc-Q225-10-Q.html'}, {'name': 'tdoc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tdoc-FY24-10-K.html'}, {'name': 'tdoc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tdoc-Q125-10-Q.html'}]",198563873,USD,SMART,STK
ACHC,MEN,health,mental_health_services,US00404A1097,ACADIA HEALTHCARE CO INC,2,"Opera instalaciones que brindan una gama completa de servicios de tratamiento de salud mental y abuso de sustancias, tanto para pacientes hospitalizados como residenciales.","El negocio de Acadia Healthcare se centra en los servicios de salud mental, como lo demuestra la operación de numerosas instalaciones de salud conductual y su objetivo estratégico de ser el proveedor indispensable en este sector. La empresa se enfoca en brindar servicios de salud conductual a pacientes con problemas psiquiátricos y de abuso de sustancias, ofreciendo atención psiquiátrica hospitalaria y ambulatoria, y tratamiento residencial para adolescentes. Acadia enfatiza su compromiso de abordar la crisis de salud mental y brindar atención de alta calidad, así como su dedicación a integrar la atención médica mental y física a través de asociaciones y programas. La adquisición por parte de la empresa de Turning Point, un proveedor de servicios de tratamiento de salud mental, demuestra aún más su inversión y enfoque en expandir sus capacidades en el sector de la salud mental.","[{'name': 'achc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/achc-Q125-10-Q.html'}, {'name': 'achc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/achc-Q324-10-Q.html'}, {'name': 'achc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/achc-FY24-10-K.html'}, {'name': 'achc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/achc-Q225-10-Q.html'}]",96983623,USD,SMART,STK
UHS,MEN,health,mental_health_services,US9139031002,UNIVERSAL HEALTH SERVICES-B,3,Opera un número significativo de instalaciones dedicadas a la prestación de servicios integrales de salud mental.,"La participación de Universal Health Services en el tema de Servicios de Salud Mental es evidente a través de su extensa red de centros de salud conductual, incluidos centros de hospitalización y ambulatorios en EE. UU., Reino Unido y Puerto Rico. El negocio principal de la empresa implica la operación de estas instalaciones, que ofrecen una gama de servicios de salud conductual. Además, el enfoque estratégico de la empresa incluye la expansión de su red de salud conductual Signet y el crecimiento de su atención conductual ambulatoria, al tiempo que aborda desafíos como la dotación de personal y los posibles cambios en la financiación de Medicaid dentro de este segmento.","[{'name': 'uhs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uhs-Q125-10-Q.html'}, {'name': 'uhs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uhs-Q324-10-Q.html'}, {'name': 'uhs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uhs-Q225-10-Q.html'}, {'name': 'uhs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/uhs-FY24-10-K.html'}]",13206,USD,SMART,STK
LFST,MEN,health,mental_health_services,US53228F1012,LIFESTANCE HEALTH GROUP INC,4,"Proporciona una gama completa de servicios de salud mental, que incluyen atención psiquiátrica y psicoterapéutica, a personas de diversos grupos de edad.","El negocio principal de LifeStance Health gira en torno a la prestación de servicios de salud mental ambulatoria, como lo destaca su operación como una importante plataforma nacional que emplea a un número sustancial de médicos de salud mental con licencia. El enfoque de la empresa incluye ofrecer una amplia gama de servicios, como evaluaciones psiquiátricas, pruebas psicológicas y diversas formas de terapia, para tratar afecciones de salud mental en todo el espectro ambulatorio. LifeStance Health también se compromete a ampliar el acceso a atención de salud mental asequible y de alta calidad, con el objetivo de mejorar las vidas de millones a través de estos servicios.","[{'name': 'lfst-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lfst-Q225-10-Q.html'}, {'name': 'lfst-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lfst-Q125-10-Q.html'}, {'name': 'lfst-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lfst-FY24-10-K.html'}]",495923492,USD,SMART,STK
UNH,MEN,health,mental_health_services,US91324P1021,UNITEDHEALTH GROUP INC,5,"Proporciona servicios y soluciones integrales de salud mental como componente central de sus ofertas de atención médica integradas, con el objetivo de mejorar el acceso y los resultados de la atención para sus miembros.","La participación de UnitedHealth Group en Servicios de Salud Mental es evidente a través de varias menciones de salud conductual en sus operaciones. OptumHealth incluye servicios de salud conductual gestionada y observa una elevada utilización de servicios conductuales ambulatorios. Además, el aumento de los costos y la actividad de atención en salud conductual, particularmente dentro de Medicaid, están afectando a la empresa, con tendencias de hasta el 20%. Si bien la atención conductual está integrada en los modelos de prestación de atención, no se enfatiza explícitamente como un enfoque estratégico principal.","[{'name': 'unh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/unh-Q225-10-Q.html'}, {'name': 'unh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/unh-FY24-10-K.html'}]",13272,USD,SMART,STK
ALKS,MEN,health,mental_health_services,IE00B56GVS15,ALKERMES PLC,6,"Desarrolla y comercializa productos farmacéuticos innovadores diseñados específicamente para tratar trastornos graves de salud mental, ampliando así las opciones terapéuticas dentro de los servicios de salud mental.","Alkermes demuestra su enfoque en los servicios de salud mental a través del desarrollo y comercialización de productos dirigidos a afecciones como la esquizofrenia, el trastorno bipolar I, la dependencia del alcohol y la dependencia de opioides. La cartera de la compañía incluye productos clave como ARISTADA, LYBALVI y VIVITROL, respaldados por una fuerza de ventas de psiquiatría dedicada, con esfuerzos de expansión dirigidos a mejorar la presencia en el mercado de LYBALVI y ARISTADA. Estos productos están diseñados para abordar las necesidades insatisfechas de las personas que viven con trastornos psiquiátricos y neurológicos, lo que refleja el énfasis estratégico de Alkermes en los tratamientos de neurociencia y salud mental.","[{'name': 'alks-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alks-Q324-10-Q.html'}, {'name': 'alks-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alks-Q225-10-Q.html'}, {'name': 'alks-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alks-Q125-10-Q.html'}, {'name': 'alks-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/alks-FY24-10-K.html'}]",94892734,USD,SMART,STK
HCA,MEN,health,mental_health_services,US40412C1018,HCA HEALTHCARE INC,7,Proporciona servicios de salud mental como parte de su oferta integral de atención médica.,"La participación de HCA en servicios de salud mental se refleja en las discusiones sobre admisiones de salud conductual, aunque estas admisiones han disminuido debido a que la compañía redujo su oferta en ciertas instalaciones y reutilizó camas para MedSurg. La compañía ha señalado que la salud conductual no tiene una combinación de pagadores tan favorable en comparación con el resto de su negocio. Esto indica un impacto limitado pero no nulo de los servicios de salud mental en HCA.",,85076790,USD,SMART,STK
ELV,MEN,health,mental_health_services,US0367521038,ELEVANCE HEALTH INC,8,Se enfoca en la prestación de Servicios de Salud Mental.,"Elevance Health demuestra su compromiso con la industria de servicios de salud mental a través de varias vías, especialmente a través de Carelon Behavioral Health, una subsidiaria que ofrece servicios de salud conductual. Las soluciones de defensa del paciente de la compañía apoyan a millones de miembros al brindar acceso a servicios de salud conductual, y Carelon está expandiendo aún más su alcance a través de nuevos contratos. El enfoque de Elevance Health también es evidente en su creciente cartera de atención basada en el valor, particularmente dentro de la salud conductual, y sus esfuerzos para abordar los requisitos de paridad de salud mental, incluida la adaptación a nuevas regulaciones.","[{'name': 'elv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elv-Q324-10-Q.html'}, {'name': 'elv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elv-Q225-10-Q.html'}, {'name': 'elv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/elv-FY24-10-K.html'}]",173962302,USD,SMART,STK
NBIX,MEN,health,mental_health_services,US64125C1099,NEUROCRINE BIOSCIENCES INC,9,"Desarrolla terapias para afecciones neurológicas y psiquiátricas, contribuyendo a los avances en los Servicios de Salud Mental.","Neurocrine Biosciences demuestra un compromiso con el tema de Servicios de Salud Mental a través de varias actividades clave. La empresa se dedica a descubrir y desarrollar tratamientos para trastornos neuropsiquiátricos, incluido el inicio de programas de Fase III para osavampator en el trastorno depresivo mayor (TDM) y la esquizofrenia. Este compromiso está respaldado aún más por el despliegue de equipos de ventas ampliados de psiquiatría y atención a largo plazo de INGREZZA, destinados a acelerar el diagnóstico y tratamiento de afecciones como la discinesia tardía y la corea asociada con la enfermedad de Huntington. La inversión de la empresa en su organización comercial, en particular la expansión de su equipo de ventas de psiquiatría, subraya su enfoque en servir a pacientes con necesidades neuropsiquiátricas poco atendidas.","[{'name': 'nbix-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nbix-Q225-10-Q.html'}, {'name': 'nbix-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nbix-FY24-10-K.html'}, {'name': 'nbix-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nbix-Q324-10-Q.html'}]",4815347,USD,SMART,STK
CVS,MEN,health,mental_health_services,US1266501006,CVS HEALTH CORP,10,Proporciona servicios en el sector de la salud mental.,"El segmento de Beneficios de Atención Médica de CVS incluye planes de salud conductual como parte de su oferta de servicios. Si bien esto indica una participación en servicios de salud mental, no se destaca como una oferta principal o única. La inclusión de planes de salud conductual sugiere cierta asignación de recursos, pero no es un enfoque principal, ni hay una mención explícita de la contribución de ingresos de estos planes.","[{'name': 'cvs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q125-10-Q.html'}, {'name': 'cvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cvs-FY24-10-K.html'}, {'name': 'cvs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q225-10-Q.html'}, {'name': 'cvs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q324-10-Q.html'}]",2585769,USD,SMART,STK
