type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,metal_recycling_technology,US6703461052,NUCOR CORP,1,"Es un contribuyente líder en tecnología de reciclaje de metales, aprovechando sus operaciones para promover prácticas sostenibles dentro de la industria del acero.","La posición de Nucor como el mayor reciclador de América del Norte, utilizando chatarra de acero como su principal materia prima para la producción de acero y productos de acero, demuestra la fuerte alineación de la compañía con la tecnología de reciclaje de metales. Esto se apoya aún más en la inclusión de DJJ, un corredor y procesador de chatarra, dentro del segmento de materias primas de Nucor. La operación de reciclaje a gran escala de Nucor indica una inversión y experiencia significativas en reciclaje de metales.","[{'name': 'nue-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nue-Q324-10-Q.html'}, {'name': 'nue-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nue-Q224-10-Q.html'}]",10557,USD,NUE,SMART,STK,True,MET
industrial,metal_recycling_technology,AU000000SGM7,SIMS LTD,2,"Se centra en el reciclaje de metales, aprovechando la tecnología para procesar y gestionar diversas corrientes de metales para su reutilización y sostenibilidad.",,,36357952,AUD,SGM,SMART,STK,False,MET
industrial,metal_recycling_technology,BE0974320526,UMICORE,3,"Pionera en tecnologías avanzadas para el reciclaje de diversos metales, contribuyendo significativamente a la economía circular y a la gestión sostenible de los recursos.",,,291956769,EUR,UMI,SMART,STK,False,MET
industrial,metal_recycling_technology,NO0012470089,TOMRA SYSTEMS ASA,4,"Desarrolla tecnologías de clasificación avanzadas que permiten la recuperación y el reciclaje eficientes de diversos metales, contribuyendo significativamente a la optimización de recursos y a las iniciativas de economía circular dentro de la industria del reciclaje de metales.",,,549147351,NOK,TOM,SMART,STK,False,MET
industrial,metal_recycling_technology,US8581191009,STEEL DYNAMICS INC,5,"Utiliza tecnologías y procesos avanzados de reciclaje de metales para convertir chatarra metálica en nuevos productos de acero, contribuyendo significativamente a las prácticas de fabricación sostenible dentro de la industria.","La participación de la empresa en el tema de la tecnología de reciclaje de metales es evidente a través de su posición como el mayor reciclador de metales de América del Norte, tanto para metales ferrosos como no ferrosos. Para respaldar sus operaciones de acero y aluminio, la empresa está creciendo a través de nuevas relaciones con proveedores y el uso de tecnologías de separación innovadoras. El equipo de reciclaje de metales colabora estrechamente con los equipos de acero y aluminio para ampliar las capacidades de separación de chatarra utilizando procesos avanzados y soluciones tecnológicas, lo que ayuda a mitigar el riesgo de suministro y aumentar el contenido reciclado en los productos de aluminio.","[{'name': 'stld-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stld-Q125-10-Q.html'}, {'name': 'stld-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stld-Q324-10-Q.html'}]",6478095,USD,STLD,SMART,STK,True,MET
industrial,metal_recycling_technology,JP3638600001,DOWA HOLDINGS CO LTD,6,Desarrolla y aplica tecnologías avanzadas de reciclaje de metales para recuperar recursos valiosos y contribuir a una economía circular.,,,13905598,JPY,5714,SMART,STK,False,MET
industrial,metal_recycling_technology,US2017231034,COMMERCIAL METALS CO,7,"Utiliza tecnología de reciclaje de metales para procesar y reutilizar diversos materiales metálicos, apoyando prácticas sostenibles dentro de la industria.",,,5811,USD,CMC,SMART,STK,True,MET
industrial,metal_recycling_technology,FR0013467479,CONSTELLIUM SE,8,Utiliza tecnologías de reciclaje de metales en sus procesos de fabricación para apoyar la producción sostenible.,"Constellium demuestra su participación en la tecnología de reciclaje de metales a través de varias actividades operativas y estratégicas. La empresa compra la mayor parte de sus necesidades de chatarra a distribuidores en EE. UU., aprovechando la exclusión de la chatarra de aluminio de los aranceles de la Sección 232, lo que impacta positivamente su cadena de suministro nacional a través del aumento de las primas regionales de EE. UU. Además, los gastos de capital de Constellium para los seis meses que finalizaron el 30 de junio de 2024, incluyeron una inversión en reciclaje en Francia, lo que indica una inversión directa en tecnología de reciclaje de metales.","[{'name': 'cstm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cstm-Q225-10-Q.html'}]",394959368,USD,CSTM,SMART,STK,False,MET
industrial,metal_recycling_technology,US4830077040,KAISER ALUMINUM CORP,9,"Aprovecha la tecnología de reciclaje de metales para procesar aluminio, contribuyendo a prácticas de fabricación sostenibles y a la conservación de recursos.","El compromiso de Kalu con el tema de la Tecnología de Reciclaje de Metales proviene de su uso de aluminio de chatarra o reciclado como materia prima principal en sus procesos de fabricación. Las políticas de precios de la empresa están diseñadas para mitigar el impacto de las fluctuaciones del precio del aluminio, lo que indica que sus ganancias se derivan principalmente de la conversión de aluminio en productos semielaborados. Si bien Kalu utiliza aluminio reciclado, no hay mención explícita de tecnologías propietarias de reciclaje de metales o ventajas competitivas únicas.","[{'name': 'kalu-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kalu-Q225-10-Q.html'}, {'name': 'kalu-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kalu-FY24-10-K.html'}]",39204349,USD,KALU,SMART,STK,True,MET
industrial,metal_recycling_technology,US5018892084,LKQ CORP,10,Implica la recuperación y el procesamiento de metales de vehículos al final de su vida útil y de piezas de automóviles usadas para su reutilización y reventa.,"LKQ participa en el reciclaje de metales a través de su segmento Self Service, que vende productos automotrices reciclados de vehículos al final de su vida útil. La empresa también genera ingresos por la venta de chatarra y otros metales, incluidos metales preciosos como platino, paladio y rodio recuperados de piezas recicladas como convertidores catalíticos, así como lingotes y cerdos de aluminio de operaciones de fundición. Estas actividades indican la participación de la empresa en el reciclaje de metales, aunque no es el enfoque principal.","[{'name': 'lkq-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lkq-Q324-10-Q.html'}, {'name': 'lkq-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lkq-Q225-10-Q.html'}]",26345312,USD,LKQ,SMART,STK,True,MET
