industry,theme,isin_code,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
energy and utilities,microgrid_solutions,DE0007236101,SIEMENS AG-REG,1,"Proporciona soluciones integrales para microrredes, que abarcan componentes de redes inteligentes, sistemas de gestión de energía y plataformas de digitalización para mejorar la resiliencia energética e integrar fuentes renovables.",,14217,EUR,SIE,SMART,STK,False,,MIC
energy and utilities,microgrid_solutions,FR0000121972,SCHNEIDER ELECTRIC SE,2,"Proporciona soluciones integrales para el desarrollo y la gestión de microrredes, permitiendo sistemas energéticos resilientes y sostenibles.",,29612196,EUR,SU,SMART,STK,False,,MIC
energy and utilities,microgrid_solutions,CH0012221716,ABB LTD-REG,3,"Proporciona tecnologías y servicios integrales para Soluciones de Microredes, permitiendo la generación, distribución y gestión de energía descentralizadas.",,2682965,CHF,ABBN,SMART,STK,False,,MIC
energy and utilities,microgrid_solutions,IE00B8KQN827,EATON CORP PLC,4,Desarrolla e implementa soluciones integrales de microrredes que mejoran la resiliencia y la sostenibilidad energética para diversas aplicaciones.,,118017864,EUR,3EC,SMART,STK,True,,MIC
energy and utilities,microgrid_solutions,US02361E1082,AMERESCO INC-CL A,5,"Diseña, desarrolla e implementa soluciones avanzadas de microrredes que integran la generación de energía renovable, el almacenamiento de energía y los controles inteligentes para proporcionar una infraestructura de energía resiliente y sostenible.","El compromiso de Ameresco con las Soluciones de Microrredes es evidente en su enfoque estratégico y su cartera de proyectos. La empresa reconoce la creciente demanda de infraestructura energética integral y soluciones de microrredes, con casi la mitad de su cartera total de proyectos que comprende soluciones de infraestructura energética que incluyen ofertas de microrredes. Ameresco ha visto retornos de inversiones anteriores en microrredes y considera las microrredes y el almacenamiento de baterías a gran escala como esenciales para los proyectos de infraestructura energética, enfatizando su papel en la mejora de la fiabilidad y la resiliencia generales en el panorama energético en evolución. Además, Ameresco está desarrollando activamente proyectos avanzados de microrredes junto con otras tecnologías de generación de energía.",77456695,USD,AMRC,SMART,STK,False,"[{'name': 'amrc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amrc-Q125-10-Q.html'}, {'name': 'amrc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amrc-Q225-10-Q.html'}]",MIC
energy and utilities,microgrid_solutions,US0937121079,BLOOM ENERGY CORP- A,6,Proporciona soluciones de generación de energía basadas en celdas de combustible que permiten implementaciones de microrredes resilientes y siempre activas para infraestructura crítica y aplicaciones comerciales.,"Bloom Energy enfatiza la importancia estratégica de las soluciones de microrredes totalmente aisladas, especialmente para los clientes de centros de datos que buscan una rápida implementación de energía y la evitación de retrasos en la interconexión. Los sistemas Bloom Energy Server se pueden configurar como microrredes totalmente aisladas in situ, proporcionando energía sin costosas actualizaciones de transmisión y distribución. La empresa ha demostrado sus capacidades instalando una microrred aislada que sigue la carga para Quanta Computer, y el acuerdo con Oracle implica energía aislada, lo que destaca la interacción directa de Bloom con los hiperscaladores y su arquitectura diseñada para tales soluciones. Las soluciones de microrredes de Bloom también sirven a las empresas de servicios públicos como activos de transmisión de energía, evitando los costos de construcción de nueva infraestructura.",326398514,USD,BE,SMART,STK,False,"[{'name': 'be-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/be-Q225-10-Q.html'}, {'name': 'be-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/be-Q125-10-Q.html'}, {'name': 'be-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/be-FY24-10-K.html'}]",MIC
energy and utilities,microgrid_solutions,JP3788600009,HITACHI LTD,7,"Desarrolla e implementa soluciones integrales de microrredes, contribuyendo a infraestructuras energéticas resilientes y sostenibles a nivel mundial.",,13905665,JPY,6501,SMART,STK,False,,MIC
energy and utilities,microgrid_solutions,JP3902400005,MITSUBISHI ELECTRIC CORP,8,"Contribuye al desarrollo y despliegue de soluciones de microrredes a través de sus tecnologías avanzadas y sistemas integrados para la gestión, distribución y resiliencia de la energía.",,13905675,JPY,6503,SMART,STK,False,,MIC
energy and utilities,microgrid_solutions,US65339F1012,NEXTERA ENERGY INC,9,"Participa en el desarrollo y despliegue de soluciones avanzadas de microrredes, mejorando la resiliencia y confiabilidad energética para diversos clientes.",,75960201,USD,NEE,SMART,STK,True,,MIC
energy and utilities,microgrid_solutions,US3687361044,GENERAC HOLDINGS INC,10,Entrega soluciones integradas de generación de energía y almacenamiento de energía que sirven como componentes fundamentales para el desarrollo y la operación de sistemas de microrredes.,"El compromiso de Generac con las soluciones de microrredes es evidente a través de la adquisición de Ageto, una empresa especializada en el diseño e integración de soluciones de control de microrredes. Esta adquisición señala una iniciativa estratégica para mejorar las capacidades de Generac en el sector de las microrredes, permitiendo a la compañía expandirse a aplicaciones más allá de la energía de respaldo, incluyendo Energía como Servicio y proyectos de microrredes para clientes C&I. Generac tiene como objetivo aprovechar su posición en generadores alimentados por gas natural para penetrar aún más en el mercado de almacenamiento de energía 'detrás del medidor' para C&I, con un enfoque en aplicaciones de microrredes que requieren controles avanzados a nivel de sistema.",72529783,USD,GNRC,SMART,STK,True,"[{'name': 'gnrc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gnrc-Q125-10-Q.html'}, {'name': 'gnrc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gnrc-Q324-10-Q.html'}, {'name': 'gnrc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gnrc-Q225-10-Q.html'}]",MIC
energy and utilities,microgrid_solutions,US4385161066,HONEYWELL INTERNATIONAL INC,11,"Desarrolla y proporciona soluciones integrales para microrredes, mejorando la resiliencia energética, la sostenibilidad y la eficiencia operativa para diversas aplicaciones.",,4350,USD,HON,SMART,STK,True,,MIC
energy and utilities,microgrid_solutions,US72919P2020,PLUG POWER INC,12,"Proporciona sistemas de pilas de combustible de hidrógeno que sirven como fuente de energía limpia y confiable para instalaciones de microrredes, apoyando la resiliencia energética y la generación de energía distribuida.","El compromiso de Plug Power con las soluciones de microrredes es evidente en su enfoque en sistemas de energía estacionaria diseñados para respaldar operaciones críticas, incluidos centros de datos, microrredes e instalaciones de generación. Estos sistemas ofrecen energía de respaldo y continua, con el objetivo de reemplazar las opciones tradicionales como baterías y generadores diésel. La línea de productos GenSure de Plug ejemplifica aún más este enfoque, proporcionando energía escalable y modular de celdas de combustible PEM para requisitos de respaldo y soporte de red en diversos sectores, incluidas las telecomunicaciones, el transporte y los servicios públicos.",88385302,USD,PLUG,SMART,STK,False,"[{'name': 'plug-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/plug-Q125-10-Q.html'}, {'name': 'plug-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/plug-FY24-10-K.html'}]",MIC
