type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
materials and mining,mineral_reserves,AU000000BHP4,BHP GROUP LTD,1,"Gestiona extensas reservas minerales globales en diversas materias primas, sustentando sus operaciones mineras principales y sus capacidades de producción a largo plazo.",,4036812,AUD,BHP,SMART,STK,False,,MM_MIN
materials and mining,mineral_reserves,GB0007188757,RIO TINTO PLC,2,"Gestiona extensas reservas minerales globales en una cartera diversa de productos básicos, lo que sustenta su capacidad de producción a largo plazo y el desarrollo estratégico de recursos.",,2852762,GBP,RIO,SMART,STK,False,,MM_MIN
materials and mining,mineral_reserves,BRVALEACNOR0,VALE SA,3,"Posee y desarrolla activamente importantes reservas minerales a nivel mundial, que son integrales para sus operaciones mineras y su viabilidad a largo plazo.",,52289812,BRL,VALE3,B3,STK,False,,MM_MIN
materials and mining,mineral_reserves,GB00BTK05J60,ANGLO AMERICAN PLC,4,"Gestiona extensas reservas minerales que son fundamentales para sus operaciones mineras y su capacidad de producción a largo plazo, sustentando su papel como proveedor mundial importante de materias primas esenciales.",,788708135,GBP,AAL,SMART,STK,False,,MM_MIN
materials and mining,mineral_reserves,US35671D8570,FREEPORT-MCMORAN INC,5,"Se enfoca en la exploración, desarrollo y gestión de importantes reservas minerales, predominantemente cobre y oro, como fundamental para sus actividades mineras globales.",,7089,USD,FCX,SMART,STK,True,,MM_MIN
materials and mining,mineral_reserves,US6516391066,NEWMONT CORP,6,"Gestiona y desarrolla una cartera sustancial de reservas minerales, que son esenciales para sus operaciones globales de producción de oro y cobre.",,10174,USD,NEM,SMART,STK,True,,MM_MIN
materials and mining,mineral_reserves,US0126531013,ALBEMARLE CORP,7,"Gestiona extensas reservas minerales, en particular litio, que son fundamentales para su producción y cadena de suministro a nivel mundial.",,4347,USD,ALB,SMART,STK,True,,MM_MIN
materials and mining,mineral_reserves,US26875P1012,EOG RESOURCES INC,8,"Se enfoca en la exploración, desarrollo y producción de petróleo y gas natural, que son fundamentales para sus operaciones como valiosas reservas minerales.",,6890,USD,EOG,SMART,STK,True,,MM_MIN
materials and mining,mineral_reserves,US25179M1036,DEVON ENERGY CORP,9,"Gestiona y desarrolla extensas reservas minerales, centrándose principalmente en petróleo y gas natural, que son fundamentales para sus operaciones de exploración y producción.",,754442,USD,DVN,SMART,STK,True,,MM_MIN
materials and mining,mineral_reserves,US61945C1036,MOSAIC CO/THE,10,Gestiona y extrae extensas reservas minerales de potasa y fosfato para producir nutrientes esenciales para cultivos para aplicaciones agrícolas globales.,,88292752,USD,MOS,SMART,STK,True,,MM_MIN
materials and mining,mineral_reserves,AU000000FMG4,FORTESCUE LTD,11,Posee importantes reservas minerales que son fundamentales para sus operaciones mineras y sus perspectivas de producción a largo plazo.,,34805876,AUD,FMG,SMART,STK,False,,MM_MIN
