type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
materials and mining,mining_equipment,US1491231015,CATERPILLAR INC,1,"Es un fabricante líder mundial de equipos de minería, que proporciona maquinaria y soluciones esenciales que impulsan las operaciones de la industria a nivel mundial.","El compromiso de Caterpillar con el tema de Equipos de Minería es evidente a través de su segmento de Industrias de Recursos, que apoya a los clientes que utilizan maquinaria en minería, construcción pesada y cantería. Si bien la empresa anticipa menores ventas generales de equipos, señala un impulso positivo con sólidas tasas de pedidos y crecimiento de la cartera de pedidos, particularmente para camiones mineros grandes y articulados. Sin embargo, la caída de los precios del carbón ha afectado el número de camiones estacionados, y las ventas a usuarios de minería experimentaron algunos desafíos debido al momento de las entregas de camiones todoterreno, aunque las ventas a usuarios de construcción pesada y cantería/agregados tuvieron un mejor desempeño de lo esperado.","[{'name': 'cat-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cat-Q125-10-Q.html'}, {'name': 'cat-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cat-FY24-10-K.html'}, {'name': 'cat-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cat-Q225-10-Q.html'}, {'name': 'cat-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cat-Q324-10-Q.html'}]",5437,USD,CAT,SMART,STK,True,MI2
materials and mining,mining_equipment,JP3304200003,KOMATSU LTD,2,"Proporciona una amplia gama de maquinaria pesada y soluciones tecnológicas avanzadas, desempeñando un papel crucial en el apoyo e impulso de la productividad en el sector minero mundial.",,,13905624,JPY,6301,SMART,STK,False,MI2
materials and mining,mining_equipment,SE0015658109,EPIROC AB-A,3,"Desarrolla y fabrica una amplia gama de equipos y soluciones para la industria minera, apoyando operaciones críticas desde la exploración hasta el manejo de materiales.",,,490627944,SEK,EPI.A,SMART,STK,False,MI2
materials and mining,mining_equipment,SE0000667891,SANDVIK AB,4,"Proporciona una amplia gama de equipos, herramientas y servicios esenciales para la perforación, carga, transporte y trituración en la industria minera mundial, apoyando una mayor eficiencia y seguridad.",,,8769361,SEK,SAND,SMART,STK,False,MI2
materials and mining,mining_equipment,JP3787000003,HITACHI CONSTRUCTION MACHINE,5,"Fabrica y suministra una gama completa de maquinaria minera, incluidas excavadoras, camiones volquete y otros equipos pesados, esenciales para las operaciones mineras globales.",,,14016477,JPY,6305,SMART,STK,False,MI2
materials and mining,mining_equipment,US6882392011,OSHKOSH CORP,6,Proporciona equipos y vehículos especializados utilizados en la industria minera.,"La participación de Oshkosh en el tema de Equipos de Minería es evidente a través de su segmento de Vehículos Comerciales, que fabrica vehículos de servicio de campo y grúas montadas en camiones explícitamente para empresas mineras. Estos vehículos y grúas representan un producto estrella para la empresa dentro de este sector. El enfoque de la empresa en este segmento indica una asignación dedicada de recursos y personal para apoyar su presencia en el mercado de equipos de minería.","[{'name': 'osk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/osk-Q225-10-Q.html'}]",272856,USD,OSK,SMART,STK,True,MI2
materials and mining,mining_equipment,US8807791038,TEREX CORP,7,"Fabrica y suministra maquinaria pesada y soluciones esenciales para diversas etapas de las operaciones mineras, incluida la excavación, el manejo de materiales y el procesamiento de minerales.","El compromiso de Terex con el tema de Equipos de Minería proviene de su segmento MP, que diseña, fabrica y da servicio a una gama de equipos de procesamiento de materiales. Esto incluye trituradoras, cribas, tromeles y alimentadores de delantal utilizados en aplicaciones de canteras y minería. Terex también construye y apoya productos utilizados en la gestión de minerales y materiales.","[{'name': 'tex-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tex-FY24-10-K.html'}]",12732,USD,TEX,SMART,STK,True,MI2
materials and mining,mining_equipment,US04956D1072,ATMUS FILTRATION TECHNOLOGIE,8,Proporciona soluciones de filtración que respaldan el rendimiento y la longevidad de los equipos de minería.,,,633108219,USD,ATMU,SMART,STK,False,MI2
materials and mining,mining_equipment,US59516C1062,MICROVAST HOLDINGS INC,9,"Suministra sistemas avanzados de baterías para aplicaciones de alta resistencia, incluido equipo de minería eléctrico, lo que contribuye a la electrificación y eficiencia de las operaciones dentro de la industria minera.",,,504717050,USD,MVST,SMART,STK,False,MI2
materials and mining,mining_equipment,US3138551086,FEDERAL SIGNAL CORP,10,Proporciona vehículos y equipos de seguridad especializados cruciales para la eficiencia operativa y la protección de los trabajadores dentro de la industria minera.,"La participación de la empresa en la industria de equipos de minería es evidente a través de la fabricación y suministro de equipos de apoyo para la extracción de metales. Esto se demuestra con un crecimiento de dos dígitos en las ventas netas de estos equipos, impulsado por la fuerte demanda del mercado y los esfuerzos de optimización de canales en Ground Force y TowHaul. La empresa también ha ampliado su red de socios distribuidores de equipos de apoyo para la extracción de metales, con un aumento de las ventas fuera de EE. UU. debido a mayores envíos de estos equipos.","[{'name': 'fss-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fss-Q324-10-Q.html'}, {'name': 'fss-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fss-Q125-10-Q.html'}, {'name': 'fss-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fss-FY24-10-K.html'}]",7381,USD,FSS,SMART,STK,True,MI2
