symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TTWO,MO3,financials,mobile_games,US8740541094,TAKE-TWO INTERACTIVE SOFTWRE,1,Mantiene una posición de liderazgo en el sector de los juegos móviles a través del desarrollo y la publicación de una cartera diversa de títulos populares y exitosos.,"El compromiso de Take-Two Interactive con el tema de los Juegos Móviles es sustancial, respaldado por el desarrollo de juegos para plataformas móviles por parte de la compañía y los ingresos significativos generados por este sector. Los ingresos móviles representan consistentemente una gran parte de los ingresos netos totales de la compañía, superando el 50% en varios períodos de informes. Clave para esta presencia es Zynga, una marca de Take-Two, que se enfoca en juegos móviles gratuitos y ha tenido un éxito considerable con títulos como Toon Blast, Match Factory! y Color Block Jam, contribuyendo significativamente a las reservas netas de la compañía y superando las expectativas. La compañía también enfatiza su enfoque en mejorar su cartera móvil existente y lanzar nuevos títulos móviles, incluidas colaboraciones como WWE 2K para Netflix.","[{'name': 'ttwo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q225-10-Q.html'}, {'name': 'ttwo-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ttwo-FY25-10-K.html'}, {'name': 'ttwo-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q126-10-Q.html'}, {'name': 'ttwo-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q325-10-Q.html'}]",6478131,USD,SMART,STK
U,MO3,financials,mobile_games,US91332U1016,UNITY SOFTWARE INC,2,"Proporciona una plataforma líder para la creación y operación de juegos móviles, permitiendo a los desarrolladores crear, ejecutar y monetizar sus aplicaciones en diversos dispositivos.","El enfoque de Unity en los juegos móviles es evidente a través de su conjunto integral de herramientas diseñadas para crear, comercializar y hacer crecer juegos en las principales plataformas, incluido el móvil. Los servicios de publicación de juegos de la compañía brindan a los desarrolladores de juegos móviles la infraestructura y la experiencia necesarias para lanzar y administrar sus juegos, y el 70% de los principales juegos móviles del mundo se construyen en Unity. Esto se ve respaldado aún más por su trabajo con 85 de los 100 juegos móviles principales y asociaciones con empresas como Scopely, el creador de Monopoly Go!. La dedicación de Unity también se demuestra a través de Unity Ad Network y la plataforma de IA, Unity Vector, que mejora el rendimiento de los anuncios y aumenta las compras dentro de la aplicación para juegos móviles.","[{'name': 'u-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/u-Q225-10-Q.html'}, {'name': 'u-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/u-FY24-10-K.html'}]",445423543,USD,SMART,STK
GOOGL,MO3,financials,mobile_games,US02079K3059,ALPHABET INC-CL A,3,"Proporciona un ecosistema fundamental para los juegos móviles a través de su sistema operativo Android y la Google Play Store, facilitando la distribución y monetización de juegos para desarrolladores y jugadores a nivel mundial.","La participación de Google en el tema de los juegos móviles se refleja a través de varias vías. La empresa genera ingresos por las ventas de Google Play, que incluyen aplicaciones y compras dentro de la aplicación, lo que indica un flujo de ingresos conectado a los juegos móviles. Además, Google está integrando funciones como Circle to Search en los juegos móviles, lo que permite a los jugadores utilizar capacidades de búsqueda impulsadas por IA. Sin embargo, los juegos móviles son parte del ecosistema más amplio de Google Play, y la empresa no enfatiza específicamente los juegos móviles.","[{'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}, {'name': 'googl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/googl-FY24-10-K.html'}]",208813719,USD,SMART,STK
AAPL,MO3,financials,mobile_games,US0378331005,APPLE INC,4,"Facilita el desarrollo y la distribución de una amplia gama de juegos móviles a través de su plataforma iOS y App Store, dando forma significativamente al ecosistema de los juegos móviles.",,,265598,USD,SMART,STK
EA,MO3,financials,mobile_games,US2855121099,ELECTRONIC ARTS INC,5,"Desarrolla y publica una cartera sustancial de juegos móviles, impulsando el crecimiento y generando ingresos significativos dentro de la industria de los juegos móviles.","Electronic Arts mantiene una presencia en el sector de los juegos móviles, desarrollando y distribuyendo juegos para teléfonos móviles y tabletas, con ingresos derivados de la venta de juegos, contenido adicional y servicios en estos dispositivos. El éxito de FC Mobile, con más de 50 millones de instalaciones y un crecimiento interanual de usuarios activos diarios, destaca la capacidad de la empresa para escalar contenido en vivo de manera efectiva en todas las plataformas. El CEO Andrew Wilson enfatizó FC Mobile como una iniciativa estratégica clave para expandir el alcance global de su franquicia de fútbol, particularmente en mercados de Oriente Medio y el Sudeste Asiático.","[{'name': 'ea-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ea-FY25-10-K.html'}, {'name': 'ea-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q325-10-Q.html'}, {'name': 'ea-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q126-10-Q.html'}, {'name': 'ea-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q225-10-Q.html'}]",268995,USD,SMART,STK
APP,MO3,financials,mobile_games,US03831W1080,APPLOVIN CORP-CLASS A,6,"Proporciona una plataforma integral para desarrolladores de juegos móviles, que abarca soluciones de monetización, marketing y análisis, además de desarrollar y publicar su propia cartera de juegos móviles.","La conexión de AppLovin con la industria de los videojuegos móviles es evidente a través de sus importantes fuentes de ingresos e iniciativas estratégicas. Una parte sustancial de los ingresos publicitarios de la compañía, que supera el 90%, se deriva de los videojuegos móviles. AppLovin entró en la industria de las aplicaciones de videojuegos móviles en 2018, construyendo una cartera de más de 200 videojuegos móviles gratuitos en cinco géneros, gestionados por diez estudios, y sus avances tecnológicos han sido fundamentales para revitalizar el ecosistema de los videojuegos. El mercado MAX de la compañía también juega un papel crucial en el impulso del crecimiento dentro del mercado de los videojuegos móviles.","[{'name': 'app-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/app-FY24-10-K.html'}, {'name': 'app-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/app-Q125-10-Q.html'}, {'name': 'app-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/app-Q225-10-Q.html'}]",481863646,USD,SMART,STK
RBLX,MO3,financials,mobile_games,US7710491033,ROBLOX CORP -CLASS A,7,"Sirve como una plataforma destacada para contenido generado por usuarios, permitiendo una amplia gama de experiencias de juegos móviles creadas y compartidas por su comunidad global.","La plataforma de Roblox demuestra una fuerte conexión con los juegos móviles, evidenciada por una participación sustancial de los usuarios, que incluye 111,8 millones de DAUs y 27,4 mil millones de horas de participación. El enfoque de la empresa en los juegos y el contenido se destaca en su llamada de resultados del segundo trimestre de 2025, que mencionó el éxito de varios éxitos virales como 'Grow a Garden'. Este éxito, junto con la expansión a diferentes géneros como RPG, deportes y carreras, indica un enfoque en experiencias de juego compatibles con dispositivos móviles dentro del ecosistema de Roblox.",,476026060,USD,SMART,STK
NTES,MO3,financials,mobile_games,US64110W1027,NETEASE INC-ADR,8,"Desarrolla y publica una diversa cartera de juegos móviles, desempeñando un papel importante en la expansión y evolución del mercado de juegos móviles.",,,9541698,USD,SMART,STK
PLTK,MO3,financials,mobile_games,US72815L1070,PLAYTIKA HOLDING CORP,9,"Desarrolla y publica una cartera diversa de juegos móviles gratuitos, aprovechando información basada en datos y operaciones en vivo para atraer a una audiencia global.","El fuerte compromiso de Playtika con el tema de los Juegos Móviles es evidente a través de varias declaraciones y resultados financieros. La compañía se identifica explícitamente como uno de los principales desarrolladores de juegos móviles del mundo, distribuyendo estos juegos a través de plataformas móviles como Apple y Google. Este enfoque está respaldado además por su cartera de juegos móviles líder en la industria, que generó ingresos récord de más de 700 millones de dólares en un trimestre reciente. Incluso con vientos en contra reconocidos en el mercado de los juegos móviles, Playtika se mantiene comprometida con sus prioridades estratégicas, como lo demuestra el éxito de juegos como Disney Solitaire y Bingo Blitz.","[{'name': 'pltk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pltk-Q225-10-Q.html'}, {'name': 'pltk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pltk-Q125-10-Q.html'}, {'name': 'pltk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pltk-FY24-10-K.html'}]",465362703,USD,SMART,STK
7832,MO3,financials,mobile_games,JP3778630008,BANDAI NAMCO HOLDINGS INC,10,"Desarrolla y publica varios títulos de juegos para el mercado de juegos móviles, contribuyendo al contenido y la participación del usuario en el sector.",,,36215830,JPY,SMART,STK
036570,MO3,financials,mobile_games,KR7036570000,NCSOFTCORPORATION,11,"Desarrolla y publica una cartera de populares juegos móviles, incluidos juegos de rol multijugador masivos en línea (MMORPG), contribuyendo significativamente al mercado de los juegos móviles.",,,29317508,KRW,KSE,STK
MSFT,MO3,financials,mobile_games,US5949181045,MICROSOFT CORP,12,Es un participante en el mercado de juegos móviles.,,,272093,USD,SMART,STK
263750,MO3,financials,mobile_games,KR7263750002,PEARL ABYSS CORP,13,Desarrolla y publica juegos para la plataforma móvil.,,,479088600,KRW,KOSDAQ,STK
3765,MO3,financials,mobile_games,JP3235900002,GUNGHO ONLINE ENTERTAINMENT,14,Contribuye al panorama de los juegos móviles a través del desarrollo y la operación de títulos de entretenimiento en línea.,,,128713428,JPY,SMART,STK
YALA,MO3,financials,mobile_games,US98459U1034,YALLA GROUP LTD,15,Se enfoca en desarrollar y ofrecer experiencias de juegos móviles a su base de usuarios.,"La conexión de Yalla con el tema de los juegos móviles es evidente a través de su producto estrella, Yalla Ludo, una plataforma de juegos casual líder en la región MENA con un ciclo de vida esperado prolongado. La empresa está invirtiendo estratégicamente en juegos de núcleo medio y núcleo duro, lo que se demuestra en una sólida cartera de productos con múltiples títulos nuevos programados para su lanzamiento, incluidos juegos Match-3 y roguelike. Además, Yalla está refinando su estrategia de negocio de juegos al aumentar las asociaciones externas y las capacidades de distribución de juegos, incluidas las colaboraciones con desarrolladores de juegos líderes.",,447585292,USD,SMART,STK
AMZN,MO3,financials,mobile_games,US0231351067,AMAZON.COM INC,16,Participa en el sector de los videojuegos móviles.,,,3691937,USD,SMART,STK
