type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
financials,mortgage_banking,US77311W1018,ROCKET COS INC-CLASS A,1,"Opera como un proveedor líder de originación y administración de hipotecas, aprovechando la tecnología para facilitar los procesos de préstamos hipotecarios para los consumidores.","Rocket Companies demuestra un enfoque significativo en la banca hipotecaria, como lo demuestran sus sustanciales originaciones de préstamos hipotecarios residenciales, que ascendieron a $21.6 mil millones durante los tres meses que finalizaron el 31 de marzo de 2025. Las actividades de la empresa abarcan la originación, venta y administración de hipotecas, con discusiones durante las llamadas de resultados que enfatizan los volúmenes de bloqueo de tasas, los márgenes de ganancia en la venta y las adquisiciones estratégicas como Mr. Cooper y Redfin, todo lo cual es indicativo del papel central de la banca hipotecaria en su modelo de negocio. Esto se ve aún más respaldado por su compromiso de ofrecer experiencias de cliente líderes en la industria a través de una estrategia de propiedad de vivienda impulsada por IA y una suite completa de productos que incluyen financiamiento hipotecario. Las adquisiciones estratégicas de la empresa, como Mr. Cooper, están dirigidas a fortalecer las capacidades de administración y crear un modelo de negocio equilibrado, destacando la importancia de la banca hipotecaria para Rocket Companies.","[{'name': 'rkt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rkt-Q125-10-Q.html'}]",438058842,USD,RKT,SMART,STK,False,MOR
financials,mortgage_banking,US70932M1071,PENNYMAC FINANCIAL SERVICES,2,"Proporciona soluciones integrales de banca hipotecaria, que abarcan la originación de préstamos, el servicio y la inversión en activos relacionados con hipotecas.","El negocio de PennyMac Financial Services está profundamente entrelazado con la industria de la banca hipotecaria, como lo demuestra su enfoque explícito en la producción y el servicio de préstamos hipotecarios residenciales en EE. UU. La empresa opera una plataforma integral de banca hipotecaria y ocupa una posición significativa en el mercado como el segundo mayor productor de préstamos hipotecarios y un importante servicer. Esto se ve reforzado aún más por su visión estratégica de un proceso de préstamo totalmente automatizado y una experiencia de autoservicio fluida, lo que solidifica su compromiso e inversión en el sector de la banca hipotecaria.","[{'name': 'pfsi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pfsi-FY24-10-K.html'}, {'name': 'pfsi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pfsi-Q125-10-Q.html'}, {'name': 'pfsi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pfsi-Q225-10-Q.html'}]",339976292,USD,PFSI,SMART,STK,False,MOR
financials,mortgage_banking,US3135861090,FANNIE MAE,3,"Juega un papel crucial en el sector de la banca hipotecaria al proporcionar liquidez, estabilidad y asequibilidad al sistema de financiación de la vivienda.","El fuerte compromiso de Fannie Mae con el tema de la Banca Hipotecaria es evidente en todas sus operaciones comerciales principales, ya que la empresa es una fuente líder de financiamiento para hipotecas residenciales en los Estados Unidos. Fannie Mae compra préstamos hipotecarios residenciales originados por prestamistas, coloca estos préstamos en fideicomisos y emite valores respaldados por hipotecas garantizadas. Estas actividades, incluida la originación de préstamos hipotecarios, la titulización y la gestión de riesgos, son fundamentales para el papel de Fannie Mae en el sistema de financiamiento de viviendas, y la empresa proporciona una liquidez sustancial al mercado hipotecario.","[{'name': 'fnma-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q125-10-Q.html'}, {'name': 'fnma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q225-10-Q.html'}, {'name': 'fnma-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fnma-FY24-10-K.html'}]",7278,USD,FNMA,SMART,STK,False,MOR
financials,mortgage_banking,US0605051046,BANK OF AMERICA CORP,4,"Sirve como una importante institución financiera que proporciona soluciones integrales de concesión y administración de hipotecas a los consumidores, influyendo significativamente en el sector de la banca hipotecaria.","La banca hipotecaria es un componente de las operaciones de la corporación, como lo demuestra la originación, financiación y administración de préstamos hipotecarios, lo que introduce riesgos de crédito, liquidez y tasas de interés. La empresa ofrece hipotecas residenciales y préstamos sobre el valor líquido de la vivienda a consumidores y pequeñas empresas. Además, el aumento en la originación de préstamos hipotecarios de primer grado para Banca de Consumo y la Corporación total indica su continua actividad en esta área. Las hipotecas residenciales también contribuyen al crecimiento de los activos totales de la empresa.","[{'name': 'bac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bac-FY24-10-K.html'}, {'name': 'bac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q125-10-Q.html'}, {'name': 'bac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q225-10-Q.html'}]",10098,USD,BAC,SMART,STK,True,MOR
financials,mortgage_banking,US3134003017,FREDDIE MAC,5,"Impulsa la liquidez y la estabilidad dentro del sector de la banca hipotecaria al comprar hipotecas a prestamistas, apoyando así el sistema de financiación de la vivienda.","Las operaciones de Freddie Mac están profundamente entrelazadas con la industria de la banca hipotecaria, principalmente a través de la compra, titularización y garantía de préstamos hipotecarios unifamiliares y multifamiliares. Como GSE autorizada por el Congreso, la misión de Freddie Mac es proporcionar liquidez, estabilidad y asequibilidad al mercado de la vivienda de EE. UU. comprando préstamos hipotecarios originados por prestamistas y empaquetándolos en valores relacionados con hipotecas. La empresa apoya el mercado de la vivienda de EE. UU. al permitir el acceso a la financiación de préstamos hipotecarios y proporcionar liquidez constante, aunque no origina préstamos hipotecarios directamente.","[{'name': 'fmcc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q225-10-Q.html'}, {'name': 'fmcc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fmcc-FY24-10-K.html'}, {'name': 'fmcc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q125-10-Q.html'}]",7341,USD,FMCC,SMART,STK,False,MOR
financials,mortgage_banking,US31620R3030,FIDELITY NATIONAL FINANCIAL,6,"Proporciona seguros de título y servicios de transacciones esenciales que son fundamentales para la industria de la banca hipotecaria, facilitando las transferencias de propiedad y asegurando los intereses de los prestamistas.","Los ingresos del segmento de Títulos de la empresa están estrechamente ligados a la actividad inmobiliaria, específicamente a las ventas, la financiación hipotecaria y la refinanciación. Como tal, la empresa supervisa las tendencias de originación de hipotecas y se basa en las previsiones de la Mortgage Bankers Association (MBA). La actividad inmobiliaria residencial, y por lo tanto los ingresos del segmento de Títulos, dependen de factores como las tasas de interés hipotecarias y la oferta de financiación.","[{'name': 'fnf-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fnf-FY24-10-K.html'}, {'name': 'fnf-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnf-Q324-10-Q.html'}, {'name': 'fnf-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnf-Q125-10-Q.html'}]",156178034,USD,FNF,SMART,STK,True,MOR
financials,mortgage_banking,US46625H1005,JPMORGAN CHASE & CO,7,"Opera como un proveedor significativo de servicios de banca hipotecaria, incluyendo originación, administración y financiamiento para consumidores y empresas.","JPMorgan Chase participa activamente en la banca hipotecaria, como lo demuestra la presentación de informes sobre comisiones hipotecarias e ingresos relacionados. La participación de la empresa en servicios hipotecarios se ve respaldada aún más por la presentación constante de estas comisiones e ingresos en sus documentos financieros. Si bien se mencionan las comisiones e ingresos hipotecarios, la ausencia de un porcentaje específico de contribución a los ingresos sugiere una inversión limitada, aunque presente, en esta área.","[{'name': 'jpm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q225-10-Q.html'}]",1520593,USD,JPM,SMART,STK,True,MOR
financials,mortgage_banking,US45866F1049,INTERCONTINENTAL EXCHANGE IN,8,"Ofrece soluciones tecnológicas y de datos integrales que sustentan y optimizan el ciclo de vida de la banca hipotecaria, desde la originación del préstamo hasta el servicio.","La participación de ICE en la industria de la banca hipotecaria es evidente a través de su segmento de Tecnología Hipotecaria, que proporciona una plataforma tecnológica con herramientas de flujo de trabajo digital para el mercado hipotecario residencial de EE. UU., abordando ineficiencias y mitigando riesgos a lo largo del ciclo de vida hipotecario. Esta plataforma admite varias etapas, incluida la solicitud, el cierre, el servicio y el mercado secundario. Los ingresos de tecnología hipotecaria de la empresa se derivan de esta plataforma hipotecaria residencial integral de extremo a extremo en EE. UU., y su negocio se ve afectado por las tendencias de la industria hipotecaria.","[{'name': 'ice-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ice-Q125-10-Q.html'}, {'name': 'ice-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ice-Q324-10-Q.html'}, {'name': 'ice-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ice-FY24-10-K.html'}, {'name': 'ice-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ice-Q225-10-Q.html'}]",136370275,USD,ICE,SMART,STK,True,MOR
financials,mortgage_banking,US00123Q1040,AGNC INVESTMENT CORP,9,Sirve como un participante clave en el sector de la banca hipotecaria al especializarse en la inversión y gestión de activos relacionados con hipotecas.,"AGNC Investment Corp. demuestra una fuerte conexión con la industria de la banca hipotecaria a través de su participación activa en el mercado inmobiliario estadounidense, donde actúa como un proveedor líder de capital privado, mejorando la liquidez en los mercados hipotecarios de bienes raíces residenciales y facilitando la propiedad de viviendas. La empresa invierte principalmente en valores respaldados por hipotecas residenciales de agencias de forma apalancada, generando ingresos a partir de los intereses obtenidos de estas inversiones. El enfoque de AGNC en valores respaldados por hipotecas, las discusiones sobre la reforma de las GSE y los esfuerzos para mantener la estabilidad en el mercado hipotecario subrayan su importante compromiso con el tema de la banca hipotecaria.","[{'name': 'agnc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/agnc-Q225-10-Q.html'}]",249963585,USD,AGNC,SMART,STK,False,MOR
financials,mortgage_banking,US6934751057,PNC FINANCIAL SERVICES GROUP,10,"Opera una importante división de banca hipotecaria, que proporciona diversas soluciones de financiación de viviendas y contribuye significativamente al mercado inmobiliario residencial.","La participación de PNC en la banca hipotecaria es evidente a través de sus actividades hipotecarias residenciales y comerciales, incluida la valoración y cobertura de derechos de servicio. Si bien la empresa participa en la banca hipotecaria tanto residencial como comercial, los ingresos hipotecarios han disminuido en general debido a una menor actividad de servicio de hipotecas residenciales. Sin embargo, los préstamos comerciales han aumentado debido a los préstamos de almacén de agencias multifamiliares, lo que indica cierta actividad continua en el sector hipotecario. A pesar de estas actividades, la banca hipotecaria no se destaca como un enfoque estratégico importante, y su contribución a los ingresos parece ser inferior al 10% de los ingresos generales.",,11240,USD,PNC,SMART,STK,True,MOR
